AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1456530,3579812,,Woodford,,,,,,
4330811,3579812,,Woodford Estate,,,,,,
1456531,3579813,,Clarkes Court Bay,,,,,,
4330812,3579813,,Woburn Bay,,,,,,
11990756,3579813,fr,Cul de Sac des Fontaines,,,,1,,
1456532,3579814,,Woborn,,,,,,
4330813,3579814,,Woburn,,,,,,
13601395,3579819,link,"https://en.wikipedia.org/wiki/Willis,_Grenada",,,,,,
13601407,3579819,,Willis,,,,,,
11990737,3579823,fr,Le Grand Becaye,,,,1,,
1456533,3579824,,Westerhall,,,,,,
4330814,3579824,,Westerhall Point,,,,,,
1456534,3579827,,Bacaye Harbor,,,,,,
4330815,3579827,,Westerhall Bay,,,,,,
11990736,3579827,fr,Cul de Sac de Becaye,,,,1,,
1456535,3579833,,Saint Marks,,,,,,
1456536,3579833,,Saint Mark,,,,,,
1456537,3579833,,Grand Pauvre,,,,,,
1456538,3579833,,Saint Mark Village,,,,,,
1456539,3579833,,Grand Pauve,,,,,,
7149500,3579833,link,https://en.wikipedia.org/wiki/Victoria%2C_Grenada,,,,,,
1456540,3579836,,Upper Pearl,,,,,,
4330816,3579836,,Upper Pearls,,,,,,
7039300,3579836,link,https://en.wikipedia.org/wiki/Upper_Pearls,,,,,,
15666344,3579836,wkdt,Q7898850,,,,,,
1456541,3579837,,La Taste,,,,,,
4330817,3579837,,Upper La Taste,,,,,,
7041847,3579837,link,https://en.wikipedia.org/wiki/Upper_La_Taste,,,,,,
7062630,3579838,link,https://en.wikipedia.org/wiki/Upper_La_Tante,,,,,,
7119171,3579838,,Upper La Tante,,,,,,
15433188,3579838,wkdt,Q7898732,,,,,,
7059289,3579839,link,https://en.wikipedia.org/wiki/Upper_Capitol,,,,,,
7119172,3579839,,Upper Capitol,,,,,,
15492794,3579839,wkdt,Q7898545,,,,,,
1456542,3579840,,Union,,,,,,
4330818,3579840,,Union Village,,,,,,
7050139,3579840,link,https://en.wikipedia.org/wiki/Union_Village%2C_Grenada,,,,,,
13601398,3579843,link,"https://en.wikipedia.org/wiki/Union,_Grenada",,,,,,
13601408,3579843,,Union,,,,,,
1456543,3579846,,Tufton Hall,,,,,,
4330819,3579846,,Tufton Hall Estate,,,,,,
1456544,3579847,,Mace Point,,,,,,
4330820,3579847,,True Blue Point,,,,,,
11990765,3579847,fr,Point Mace,,,,1,,
15906603,3579849,wkdt,Q14222058,,,,,,
4330821,3579850,,Trou Jab,,,,,,
11990670,3579850,fr,Ance Diable,,,,1,,
7079909,3579854,link,https://en.wikipedia.org/wiki/Tivoli%2C_Grenada,,,,,,
7119173,3579854,,Tivoli,,,,,,
14981204,3579854,wkdt,Q1779106,,,,,,
1456546,3579860,,Thebaid,,,,,,
4330822,3579860,,Thebaide,,,,,,
6893268,3579862,link,https://en.wikipedia.org/wiki/Temp%C3%A9_River,,,,,,
6923260,3579862,,Tempé River,,,,,,
1456547,3579863,,Temple,,,,,,
4330823,3579863,,Tempe,,,,,,
13935272,3579863,,Tempé,,,,,,
1456548,3579865,,Telescopic Point,,,,,,
4330824,3579865,,Telescope Point,,,,,,
11990711,3579865,fr,Pointe de la Grand Riviere,,,,1,,
1456549,3579869,,David Point,,,,,,
4330825,3579869,,Tanga Langua,,,,,,
11990695,3579869,fr,Pointe David,,,,1,,
1456550,3579871,,Levera Island,,,,,,
1456551,3579871,,Levera Islet,,,,,,
4330826,3579871,,Sugar Loaf,,,,,,
11990697,3579871,fr,Ile de Levera,,,,1,,
11990780,3579876,en,Pegus Point,,,,,,
11990784,3579876,,Point Filet,,,,,,
1456552,3579881,,Snell Hall,,,,,,
4330827,3579881,,Snell Hall Estate,,,,,,
1456553,3579884,,Two Brothers,,,,,,
4330828,3579884,,Sister Rocks,,,,,,
6893203,3579886,link,https://en.wikipedia.org/wiki/River_Simon,,,,,,
6923261,3579886,,River Simon,,,,,,
6891547,3579888,link,https://en.wikipedia.org/wiki/Silver_River_%28Grenada%29,,,,,,
6923262,3579888,,Silver River,,,,,,
1456554,3579891,,Sautiers,,,,,,
2986216,3579891,link,https://en.wikipedia.org/wiki/Sauteurs,,,,,,
4330829,3579891,,Sauteurs,,,,,,
15281572,3579891,wkdt,Q1318103,,,,,,
6890968,3579892,link,https://en.wikipedia.org/wiki/River_Saumache,,,,,,
6923263,3579892,,River Saumache,,,,,,
13935273,3579892,,Saumache River,,,,,,
1456555,3579893,,Sans Soucie,,,,,,
1456556,3579893,,San Soucei,,,,,,
4330830,3579893,,Sans Souci Estate,,,,,,
1456557,3579896,,Sandy Islet,,,,,,
4330831,3579896,,Sandy Island,,,,,,
11990699,3579896,fr,Ile Haut,,,,1,,
1456558,3579897,,Samaritan,,,,,,
4330832,3579897,,Samaritan Estate,,,,,,
1456559,3579898,,Salt Pond,,,,,,
4330833,3579898,,Salt Ponds,,,,,,
1456560,3579899,fr,River Sallée,,,,,,
1456561,3579899,,River Salee,,,,,,
4330834,3579899,,Salle River,,,,,,
1456562,3579900,,Salt River,,,,,,
4330835,3579900,,Salle River,,,,,,
1456563,3579901,,Saline Point,,,,,,
1456564,3579901,,Point Saline,,,,,,
4330836,3579901,,Point Salines,,,,,,
11990672,3579901,fr,Point des Salines,,,,1,,
1456565,3579902,,Saline Islet,,,,,,
2986217,3579902,link,https://en.wikipedia.org/wiki/Saline_Island,,,,,,
1456566,3579903,,Negro Point,,,,,,
4330837,3579903,,Saint Pierre Point,,,,,,
6892724,3579906,link,https://en.wikipedia.org/wiki/Saint_Patrick_River,,,,,,
6923264,3579906,,Saint Patrick River,,,,,,
2186024,3579907,,Saint Patrick,1,1,,,,
7201461,3579907,link,https://en.wikipedia.org/wiki/Saint_Patrick_Parish%2C_Grenada,,,,,,
6893116,3579910,link,https://en.wikipedia.org/wiki/Saint_Marks_River,,,,,,
6923265,3579910,,Saint Marks River,,,,,,
2186025,3579913,,Saint Mark,1,1,,,,
7512798,3579913,link,https://en.wikipedia.org/wiki/Saint_Mark_Parish%2C_Grenada,,,,,,
6892524,3579915,link,https://en.wikipedia.org/wiki/Saint_Louis_River_%28Grenada%29,,,,,,
6923266,3579915,,Saint Louis River,,,,,,
11990738,3579915,fr,Riviere Saint Louis,,,,1,,
6892474,3579916,link,https://en.wikipedia.org/wiki/Saint_Johns_River_%28Grenada%29,,,,,,
6923267,3579916,,Saint Johns River,,,,,,
2186022,3579919,,Saint John,1,1,,,,
7141370,3579919,link,https://en.wikipedia.org/wiki/Saint_John_Parish%2C_Grenada,,,,,,
11990786,3579921,,Tibeau Point,,,,,,
1456567,3579922,,Saint Georges Harbor,,,,,,
1456568,3579922,,Saint George Harbour,,,,,,
4330838,3579922,,Saint George’s Harbour,,,,,,
1456569,3579923,,Great George,,,,,,
1456570,3579923,,Saint George,,,,,,
4330839,3579923,,Saint George’s Estate,,,,,,
11990774,3579924,fr,La Grand Baye,,,,1,,
11999478,3579924,,Saint George’s Bay,,,,,,
1456571,3579925,,Lewis,,,,,,
1456572,3579925,,Grenada City,,,,,,
1456573,3579925,,Port Louis,,,,,,
1456574,3579925,,Fort Royal,,,,,,
1456575,3579925,,Saint George,,,,,,
1456576,3579925,,Port Royal,,,,,,
1456577,3579925,,Georgetown,,,,,,
1596678,3579925,de,St. George's,,,,,,
1596679,3579925,en,St. George's,,,,,,
1596680,3579925,es,Saint George's,,,,,,
1596681,3579925,ca,Saint George's,,,,,,
1596682,3579925,da,Saint George's,,,,,,
1596683,3579925,fi,St. George's,,,,,,
1596684,3579925,fr,Saint-Georges,,,,,,
1596685,3579925,he,סנט ג'ורג',,,,,,
1596686,3579925,id,St. George's,,,,,,
1596687,3579925,io,St Georges,,,,,,
1596688,3579925,it,St. George's,,,,,,
1596689,3579925,ja,セントジョージズ,,,,,,
1596690,3579925,ko,세인트조지스,,,,,,
1596691,3579925,lt,Sent Džordžas,,,,,,
1596692,3579925,pl,Saint George's,,,,,,
1596693,3579925,sk,Saint George's,,,,,,
1596694,3579925,sv,Saint George's,,,,,,
1636243,3579925,nl,Saint George's,,,,,,
1649601,3579925,el,Σεντ Τζόρτζες,,,,,,
1649806,3579925,pt,Saint George.s,,,,,,
1901989,3579925,vo,Saint George's,,,,,,
1989427,3579925,ru,Сент-Джоржес,,,,,,
2986218,3579925,link,https://en.wikipedia.org/wiki/St._George%27s%2C_Grenada,,,,,,
3056567,3579925,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%82-%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6%D0%B5%D1%81,,,,,,
13773920,3579925,unlc,GDGND,,,,,,
13773922,3579925,unlc,GDSTG,,,,,,
2186023,3579926,,Saint George,1,1,,,,
7507675,3579926,link,https://en.wikipedia.org/wiki/Saint_George_Parish%2C_Grenada,,,,,,
6890693,3579927,link,https://en.wikipedia.org/wiki/Saint_Francis_River_%28Grenada%29,,,,,,
6923268,3579927,,Saint Francis River,,,,,,
11990677,3579928,fr,Pointe Saint Elay,,,,1,,
11990746,3579929,fr,Pointe du Megrin,,,,1,,
11990743,3579930,fr,Port du Megrin,,,,1,,
11297862,3579931,link,https://en.wikipedia.org/wiki/St._David%27s%2C_Grenada,,,,,,
2186026,3579932,,Saint David,1,1,,,,
7198725,3579932,link,https://en.wikipedia.org/wiki/Saint_David_Parish%2C_Grenada,,,,,,
1456578,3579936,,Saint Catherine,,,,,,
1456579,3579936,,Mont Saint Catherine,,,,,,
1456580,3579936,,Saint Catherines Hill,,,,,,
2986219,3579936,link,https://en.wikipedia.org/wiki/Mount_Saint_Catherine_%28Grenada%29,,,,,,
4330840,3579936,,Mount Saint Catherine,,,,,,
1456581,3579937,,Saint Andrew Bay,,,,,,
4330841,3579937,,Saint Andrews Bay,,,,,,
11990717,3579937,fr,Port du Grand Marquis,,,,1,,
2186027,3579938,,Saint Andrew,1,1,,,,
5760917,3579938,link,https://en.wikipedia.org/wiki/Saint_Andrew_Parish%2C_Grenada,,,,,,
1456582,3579944,,Isle de Ronde,,,,,,
1456583,3579944,,Redonda,,,,,,
2986220,3579944,link,https://en.wikipedia.org/wiki/Ronde_Island,,,,,,
4330842,3579944,,Ronde Island,,,,,,
15622878,3579944,wkdt,Q389978,,,,,,
1456584,3579946,,Rivière Sallee,,,,,,
4330843,3579946,,River Sallee,,,,,,
11990733,3579956,fr,Pointe du Requin,,,,1,,
1456585,3579957,,Requin,,,,,,
4330844,3579957,,Requin Estate,,,,,,
11990734,3579958,fr,Port du Requin,,,,1,,
6890969,3579959,link,https://en.wikipedia.org/wiki/Red_River_%28Grenada%29,,,,,,
6923269,3579959,,Red River,,,,,,
2986221,3579962,link,https://en.wikipedia.org/wiki/Queen%27s_Park%2C_Grenada,,,,,,
4330845,3579962,,Queen’s Park Racecourse,,,,,,
8678484,3579963,link,https://en.wikipedia.org/wiki/National_Cricket_Stadium_%28Grenada%29,,,,,,
8802923,3579963,,Queens Park,,,,,,
1456586,3579964,,Goat Point,,,,,,
1456587,3579964,,Long Point,,,,,,
4330846,3579964,,Quarantine Point,,,,,,
11990674,3579964,fr,Pointe Cabrit,,,,1,,
1456588,3579970,,Le Sausos,,,,,,
4330847,3579970,,Prospect,,,,,,
11990763,3579971,fr,Pointe des Pirogues,,,,1,,
11990764,3579972,fr,Ance Lepine,,,,1,,
1892963,3579978,icao,TGPY,,,,,,
1892964,3579978,iata,GND,,,,,,
2986222,3579978,link,https://en.wikipedia.org/wiki/Maurice_Bishop_International_Airport,,,,,,
