AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
285944,463939,,Zekaris Ugheltekhili,,,,,,
285945,463939,,Sekari Pass,,,,,,
3719145,463939,,Pereval Zekarskiy,,,,,,
286537,465525,,Zakavkaz’ye,,,,,,
11170779,465525,,Zakavkazskiy Ekonomicheskiy Rayon,,,,,,
286927,466673,,Ugheltekhili Uqerich’o,,,,,,
286928,466673,,Pereval Yukeracha,,,,,,
3720768,466673,,Pereval Yukerigo,,,,,,
3720769,466673,,Перевал Юкериго,,,,,,
5954642,466673,ru,Перевал Юкериго,,,,,,
15713763,466673,wkdt,Q24679841,,,,,,
292410,479445,,Mt’a Uilpat’a,,,,,,
292411,479445,,El’badty-Kokh,,,,,,
292412,479445,,Gora Adaykhokh,,,,,,
3729498,479445,,Gora Uilpata,,,,,,
3729499,479445,,Гора Уилпата,,,,,,
5957967,479445,ru,Гора Уилпата,,,,,,
293159,481102,,Zanner Pass,,,,,,
3730975,481102,,Pereval Tsanner,,,,,,
9743527,481102,ka,Ts’aneri Ughelt’ekhili,,,,,,
9743528,481102,ka,წანერი უღელტეხილი,,,,,,
15624262,481102,wkdt,Q24679840,,,,,,
2514009,481167,ru,Перевал Трусо,,,,,,
3731039,481167,,Pereval Truso,,,,,,
293736,482601,,Mt’a T’lili,,,,,,
293737,482601,,Gora Grmany,,,,,,
293738,482601,,Tlil Dağı,,,,,,
293739,482601,ru,Gora Tlil’,,,,,,
3732073,482601,,Kırma Dağı,,,,,,
294271,483866,,Tebulosmt’a,,,,,,
294272,483866,,Tebules-Moto,,,,,,
3732986,483866,,Gora Tebulosmta,,,,,,
3732987,483866,,Гора Тебулосмта,,,,,,
5713492,483866,link,https://en.wikipedia.org/wiki/Tebulosmta,,,,,,
5959281,483866,ru,Гора Тебулосмта,,,,,,
294273,483867,,Pereval Tebulo,,,,,,
3732988,483867,,Ugheltekhili Tebulo,,,,,,
13934040,483867,ru,Перевал Тебуло,,,,,,
15533917,483867,wkdt,Q24680967,,,,,,
297660,491353,,Gora Sofridzhu,,,,,,
2796592,491353,,Gora Sofrudzhu,,,,,,
