AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
10847257,3379997,fr,Zidok,,,,,,
10847258,3379998,fr,Îlet Zébédé,,,,,,
10935788,3379999,fr,Zaou Tabiki,,,,,,
10935789,3379999,,Zaou Tabriki,,,,,,
10935790,3379999,,Zaoe Tabriki,,,,,,
1393918,3380000,,Crique Zombi,,,,,,
4411067,3380000,,Crique Zambi,,,,,,
10847259,3380001,fr,Crique Yolande,,,,,,
10786885,3380002,fr,Yolande,,,,,,
10847260,3380003,fr,Village Yofé,,,,,,
10847261,3380003,,Yofé,,,,,,
1393919,3380004,,Grand Pripris de Yiyi,,,,,,
4411068,3380004,,Pripris de Yiyi,,,,,,
10847262,3380005,fr,Digue Yiyi,,,,,,
10847263,3380006,fr,Crique Yiyi,,,,,,
11021223,3380007,fr,Montagne Yaya,,,,,,
11021224,3380008,fr,Crique Yaya,,,,,,
1393920,3380009,,Yawassikwa Itou,,,,,,
1393921,3380009,,Saut Yawa Sikwa,,,,,,
1393922,3380009,,Saut Yawassikoua,,,,,,
1393923,3380009,,Saut Yaoua Sikoua,,,,,,
1393924,3380010,,Yaroupi Moula Itou,,,,,,
1393925,3380010,,Yaloupilemwa Itou,,,,,,
1393926,3380010,,Yaroupi Moula Ito,,,,,,
1393927,3380010,,Saut Yaroupi,,,,,,
1393928,3380011,,Crique Yaroupi,,,,,,
4411069,3380011,,Rivière Yaroupi,,,,,,
10847264,3380011,fr,Rivière Yaloupi,,,,,,
10847265,3380012,fr,Mont Yaki,,,,,,
10847266,3380012,,Mont Yaqui,,,,,,
10786886,3380013,fr,Saut Yapoura,,,,,,
1393929,3380014,,Yapopéna Itou,,,,,,
1393930,3380014,,Saut Yawapoupé-èna,,,,,,
1393931,3380014,,Saut Yapopéna,,,,,,
2726188,3380014,,Ouraououra Itou,,,,,,
2726189,3380014,,Oula Oula Itou,,,,,,
1393932,3380015,,Yapimaliki Soula,,,,,,
1393933,3380016,,Crique Bois Blanc,,,,,,
4411070,3380016,,Crique Yaou,,,,,,
10935791,3380017,fr,Yaou,,,,,,
10935792,3380017,fr,Montagne Couronnée,,,,,,
10847267,3380018,fr,Savane Yanou,,,,,,
10786887,3380020,fr,Saut Yanioué,,,,,,
1393934,3380021,,Mont de Yanioe,,,,,,
4411071,3380021,,Mont Yanioué,,,,,,
10786888,3380022,fr,Crique Yanioué,,,,,,
1393935,3380023,,Yamakatoupiaïna Itou,,,,,,
1393936,3380023,,Saut Pamaloupiaïna,,,,,,
1393937,3380023,,Saut Pamaroupi-aèna,,,,,,
1393938,3380024,,Yalou Patatpeu,,,,,,
4411072,3380024,,Yalou Patatpe,,,,,,
1393939,3380025,,Îlets Yakaréssing,,,,,,
1393940,3380025,,Îlets Yacarescin,,,,,,
10935793,3380026,fr,Saut Wyllistain,,,,,,
1393941,3380027,,Vini,,,,,,
1393942,3380027,,Weni Wé,,,,,,
4411073,3380027,,Winiwé,,,,,,
10847268,3380029,fr,Saut William,,,,,,
10935794,3380031,fr,Wéti Soula,,,,,,
10935795,3380033,fr,Wempi,,,,,,
10935796,3380034,fr,Wayo Gaan Soula,,,,,,
1393943,3380035,,Araoua,,,,,,
1393944,3380035,,Crique Wawoui,,,,,,
1393945,3380035,,Tako,,,,,,
1393946,3380035,,Crique Wawuui,,,,,,
4411074,3380035,,Crique Wawi,,,,,,
1393947,3380036,,Ouaoua Soula,,,,,,
4411075,3380036,,Wawa Soula,,,,,,
1393948,3380037,,Saut Ouasseye,,,,,,
4411076,3380037,,Saut Wasseï,,,,,,
1393949,3380038,,Crique Ouapou,,,,,,
4411077,3380038,,Crique Wapou,,,,,,
11021225,3380039,fr,Crique Wapa,,,,,,
1393950,3380041,,Crique Ouanapi,,,,,,
1393951,3380041,,Weti Wata Eoukou,,,,,,
1393952,3380041,,Rivière Ouanapi,,,,,,
1393953,3380041,,Crique Wéti-Wata,,,,,,
1393954,3380041,,Mapi,,,,,,
