AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
4334615,3042272,en,Vermerette,,,,,,
4334616,3042273,en,Vazon Bay,,,,,,
1298452,3042274,,Torteval Church,,,,,,
2052738,3042274,fr,Saint Phillipe de Torteval,,,,,,
4334617,3042274,en,Torteval,,,,,,
1298453,3042275,,Les Tétes d’Aval,,,,,,
1298454,3042275,,Lower Heads,,,,,,
4334618,3042275,en,Têtes d’Aval,,,,,,
1298455,3042276,,Passe du Singe,,,,,,
4334619,3042276,en,The Swinge,,,,,,
8085618,3042276,link,https://en.wikipedia.org/wiki/The_Swinge,,,,,,
15760119,3042277,wkdt,Q24695144,,,,,,
4334620,3042278,en,Banc de la Schole,,,,,,
1298456,3042279,,Point Sauzebourg,,,,,,
4334621,3042279,en,Point Sauzebourge,,,,,,
4334622,3042280,en,Saumarez Park,,,,,,
4334623,3042281,en,Saumarez,,,,,,
1298457,3042282,,Serq,,,,,,
1631684,3042282,de,Sark,,,,,,
1631685,3042282,en,Sark,,,,,,
1631686,3042282,es,Sark,,,,,,
1631687,3042282,ca,Sark,,,,,,
1631688,3042282,eo,Sark,,,,,,
1631689,3042282,fr,Sercq,,,,,,
1631690,3042282,he,סרק,,,,,,
1631691,3042282,id,Sark,,,,,,
1631692,3042282,ja,サーク島,,,,,,
1631693,3042282,nl,Sark,,,,,,
1631694,3042282,no,Sark,,,,,,
1631695,3042282,pl,Sark,,,,,,
1631696,3042282,pt,Sark,,,,,,
1631697,3042282,sk,Sark,,,,,,
1631698,3042282,sv,Sark,,,,,,
1631699,3042282,zh,薩克島,,,,,,
1636975,3042282,nrm,Ser,,,,,,
1902236,3042282,ko,사크 섬,,,,,,
1902237,3042282,ru,Сарк,,,,,,
1989419,3042282,ro,Sark,,,,,,
2920640,3042282,link,https://en.wikipedia.org/wiki/Sark,,,,,,
3055072,3042282,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%80%D0%BA,,,,,,
8306921,3042282,el,Σαρκ,,,,,,
8306922,3042282,bn,সার্ক,,,,,,
8306923,3042282,be,Востраў Сарк,,,,,,
8306924,3042282,sr,Сарк,,,,,,
8306925,3042282,et,Sarki saar,,,,,,
8306926,3042282,uk,Сарк,,,,,,
8306927,3042282,ta,சார்க்,,,,,,
8306928,3042282,lt,Sarkas,,,,,,
8306929,3042282,ba,Сарк,,,,,,
8707947,3042282,ga,An tSairc,,,,,,
4334624,3042283,en,Saline Bay,,,,,,
4334625,3042284,en,Saint’s Bay,,,,,,
1298458,3042285,,Saint Samson Harbour,,,,,,
2052739,3042285,,St. Sampson Harbour,,,,,,
4334626,3042285,en,Saint Sampson Harbour,,,,,,
1298459,3042286,en,Saint Sampson’s,,,,,,
4334627,3042286,en,Saint Sampson,1,,,,,
