AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1133410,2411432,,Meseta del Molino de Viento,,,,,,
4330033,2411432,,Windmill Hill Flats,,,,,,
1133411,2411434,,Roca Blanca,,,,,,
4330034,2411434,,White Rock,,,,,,
1133412,2411436,,Muelle del Carbón,,,,,,
4330035,2411436,,Western Arm,,,,,,
8678917,2411437,link,https://en.wikipedia.org/wiki/Wellington_Front,,,,,,
8802914,2411437,,Wellington Front,,,,,,
13774054,2411439,unlc,GIWTP,,,,,,
1133413,2411440,,Victoria Stadium,,,,,,
2944284,2411440,link,https://en.wikipedia.org/wiki/Victoria_Stadium_%28Gibraltar%29,,,,,,
4330036,2411440,,Victoria Sports Centre,,,,,,
5900439,2411444,link,https://en.wikipedia.org/wiki/Trafalgar_Cemetery,,,,,,
6129016,2411444,,Trafalgar Cemetery,,,,,,
15496699,2411444,wkdt,Q1009226,,,,,,
1133414,2411446,,Dockyard Tower,,,,,,
4330037,2411446,,The Tower,,,,,,
8688054,2411447,link,https://en.wikipedia.org/wiki/Tovey_Battery,,,,,,
8802915,2411447,,Tovey Battery,,,,,,
8070042,2411451,link,https://en.wikipedia.org/wiki/Spur_Battery,,,,,,
8108847,2411451,,Spur Battery,,,,,,
8075007,2411452,link,https://en.wikipedia.org/wiki/Southport_Gates,,,,,,
1133415,2411453,,Muelle Sur,,,,,,
4330038,2411453,,South Mole,,,,,,
1133416,2411454,,Jumpers Bastion,,,,,,
1133417,2411454,,Baluarte Jumper del Sud,,,,,,
4330039,2411454,,South Jumpers Bastion,,,,,,
1133418,2411457,,Cueva Shirley,,,,,,
4330040,2411457,,Shirley Cove,,,,,,
1133419,2411461,,Salto Carrobo,,,,,,
1133420,2411461,,Salto Garrobo,,,,,,
4330041,2411461,,Sandy Bay,,,,,,
7153979,2411461,link,https://en.wikipedia.org/wiki/Sandy_Bay%2C_Gibraltar,,,,,,
7153136,2411466,link,https://en.wikipedia.org/wiki/St._Michael%27s_Cave,,,,,,
5897187,2411467,link,https://en.wikipedia.org/wiki/Cathedral_of_St._Mary_the_Crowned,,,,,,
6129017,2411467,,Cathedral of Saint Mary’s the Crowned,,,,,,
1133421,2411471,,Civil Hospital,,,,,,
4330042,2411471,,Saint Bernard’s Hospital,,,,,,
7552191,2411471,link,https://en.wikipedia.org/wiki/St_Bernard%27s_Hospital,,,,,,
1133422,2411478,,Rock Gun,,,,,,
4330043,2411478,,Royal Battery,,,,,,
1133423,2411480,,Muelle Rosia,,,,,,
4330044,2411480,,Rosia Mole,,,,,,
1133424,2411481,,Cala Rosia,,,,,,
4330045,2411481,,Rosia Bay,,,,,,
8083973,2411481,link,https://en.wikipedia.org/wiki/Rosia_Bay,,,,,,
8686875,2411483,link,https://en.wikipedia.org/wiki/Rooke_Battery,,,,,,
8802916,2411483,,Rooke Battery,,,,,,
1133425,2411484,,Hotel Peñon,,,,,,
4330046,2411484,,Rock Hotel,,,,,,
8672167,2411488,link,https://en.wikipedia.org/wiki/Ragged_Staff_Gates,,,,,,
15371131,2411488,wkdt,Q15271263,,,,,,
1133426,2411491,,Dique Número 2,,,,,,
1133427,2411491,,Dock Number 2,,,,,,
4330047,2411491,,Queen Alexandra Dock Number Two,,,,,,
8098330,2411493,link,https://en.wikipedia.org/wiki/Princess_Royal%27s_Battery,,,,,,
8108848,2411493,,Princess Royal’s Battery,,,,,,
8071430,2411494,link,https://en.wikipedia.org/wiki/Princess_Caroline%27s_Battery,,,,,,
8108849,2411494,,Princess Caroline’s Battery,,,,,,
8101357,2411495,link,https://en.wikipedia.org/wiki/Princess_Anne%27s_Battery,,,,,,
8108850,2411495,,Princess Anne’s Battery,,,,,,
8091583,2411496,link,https://en.wikipedia.org/wiki/Princess_Amelia%27s_Battery,,,,,,
8108851,2411496,,Princess Amelia’s Battery,,,,,,
1133428,2411497,,Dique Número 1,,,,,,
1133429,2411497,,Dock Number 1,,,,,,
4330048,2411497,,Prince of Wales Dock Number One,,,,,,
1133430,2411498,,Commercial Mole,,,,,,
4330049,2411498,,Passenger Wharf,,,,,,
1133431,2411499,,Punta del Pasagre,,,,,,
1133432,2411499,,Punta Pasaje,,,,,,
4330050,2411499,,Passage Point,,,,,,
8095549,2411500,link,https://en.wikipedia.org/wiki/Parson%27s_Lodge_Battery,,,,,,
1133433,2411501,,Muelle de Arsenal,,,,,,
4330051,2411501,,Ordnance Wharf,,,,,,
1133434,2411504,,Torre de O’hara,,,,,,
4330052,2411504,,O’Hara’s Battery,,,,,,
8082875,2411504,link,https://en.wikipedia.org/wiki/O%27Hara%27s_Battery,,,,,,
1133435,2411510,,Graving Dock,,,,,,
1133436,2411510,,Dique Número 4,,,,,,
4330053,2411510,,Dock Number Four,,,,,,
1133437,2411512,,Muelle Norte,,,,,,
4330054,2411512,,North Mole,,,,,,
1133438,2411513,,Baluarte Jumper del Norte,,,,,,
4330055,2411513,,North Jumpers Bastion,,,,,,
1133440,2411521,,El Monte,,,,,,
4330056,2411521,,The Mount,,,,,,
8093062,2411521,link,https://en.wikipedia.org/wiki/The_Mount_%28Gibraltar%29,,,,,,
1133441,2411526,,Alameda de los Monos,,,,,,
4330057,2411526,,Monkeys Alameda,,,,,,
1133442,2411528,,Cerro de Enmedio,,,,,,
4330058,2411528,,Middle Hill,,,,,,
11293212,2411528,link,https://en.wikipedia.org/wiki/Middle_Hill_%28Gibraltar%29,,,,,,
1133443,2411530,,Peldaños del Mediterraneo,,,,,,
4330059,2411530,,Mediterranean Steps,,,,,,
8683621,2411530,link,https://en.wikipedia.org/wiki/Mediterranean_Steps,,,,,,
1133444,2411535,,Muelle Principal,,,,,,
4330060,2411535,,Main Wharf,,,,,,
1133445,2411536,,Banco Mackerel,,,,,,
4330061,2411536,,Mackerel Bank,,,,,,
1133446,2411540,es,Punta Grande de Europa,,,,,,
7189728,2411540,link,https://en.wikipedia.org/wiki/Europa_Point,,,,,,
10223949,2411540,,Punta Europa,,,,,,
10223950,2411540,en,Europa Point,,,,,,
10223951,2411540,en,Great Europa Point,,,,,,
1133447,2411541,en,Europa Bay,,,,,,
1133448,2411541,,Cala de Europa,,,,,,
1133449,2411541,,Ensenada de Europa,,,,,,
4330062,2411541,,Little Bay,,,,,,
1133450,2411544,,Cueva de LeVante,,,,,,
4330063,2411544,,Levant Cave,,,,,,
15480658,2411544,wkdt,Q6534899,,,,,,
8680387,2411545,link,https://en.wikipedia.org/wiki/Lathbury_Barracks,,,,,,
8802917,2411545,,Lathbury Barracks,,,,,,
1133451,2411548,,Baluarte del Rey,,,,,,
8691679,2411548,link,https://en.wikipedia.org/wiki/King%27s_Bastion,,,,,,
1133452,2411550,,Dock Number 3,,,,,,
1133453,2411550,,Dique Número 3,,,,,,
4330064,2411550,,King Edward VII Dock Number Three,,,,,,
1133454,2411552,,Commercial Square,,,,,,
4330065,2411552,,John Mackintosh Square,,,,,,
7166180,2411552,link,https://en.wikipedia.org/wiki/John_Mackintosh_Square,,,,,,
11615918,2411552,es,Plaza de John Mackintosh,,,,,,
11615919,2411552,fi,John Mackintoshin aukio,,,,,,
11615920,2411552,hi,जॉन मैकिन्टौश स्क्वयर,,,,,,
11615921,2411552,ja,ジョン・マッキントッシュ・スクエア,,,,,,
11615922,2411552,pa,ਜਾਨ ਮੈਕਿੰਟੌਸ਼ ਸਕਵੈਰ,,,,,,
11615923,2411552,zh,约翰·麦金托什广场,,,,,,
15316217,2411552,wkdt,Q41321,,,,,,
8072271,2411553,link,https://en.wikipedia.org/wiki/John_Mackintosh_Hall,,,,,,
1133455,2411556,,Exchange Building,,,,,,
4330066,2411556,,House of Assembly,,,,,,
2944285,2411558,link,https://en.wikipedia.org/wiki/Cathedral_of_the_Holy_Trinity%2C_Gibraltar,,,,,,
4330067,2411558,,Cathedral of the Holy Trinity,,,,,,
15887878,2411558,wkdt,Q93896,,,,,,
8677389,2411561,link,https://en.wikipedia.org/wiki/Hayne%27s_Cave_Battery,,,,,,
8802918,2411561,,Hayne’s Cave Battery,,,,,,
1133456,2411564,,Muelle de Artilleria,,,,,,
4330068,2411564,,Gun Wharf,,,,,,
1133457,2411565,,Punta Guilds,,,,,,
4330069,2411565,,Guild’s Point,,,,,,
8071980,2411566,link,https://en.wikipedia.org/wiki/Green%27s_Lodge_Battery,,,,,,
8108852,2411566,,Green’s Lodge Battery,,,,,,
1133458,2411567,,Europa Point,,,,,,
1133459,2411567,,Punta Grande de Europa,,,,,,
4330070,2411567,,Great Europa Point,,,,,,
1133460,2411569,,Plaza de las Casamatas,,,,,,
1133461,2411569,,Grand Casemate Square,,,,,,
4330071,2411569,,Grand Casemates Square,,,,,,
8099110,2411569,link,https://en.wikipedia.org/wiki/Grand_Casemates_Square,,,,,,
15596088,2411569,wkdt,Q327587,,,,,,
8075520,2411570,link,https://en.wikipedia.org/wiki/Grand_Casemates_Gates,,,,,,
8108853,2411570,,Grand Casemates Gates,,,,,,
