AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1248246,2760156,,Yder Bay,,,,,,
1248247,2760156,,Yderbugten,,,,,,
3216414,2760156,,Yder Bugt,,,,,,
1248248,2760159,,Wegeners Øer,,,,,,
3216423,2760159,,Wegener Øer,,,,,,
13598588,2760160,en,Lake W. Bishop,,,,,,
1248249,2760161,,Wandels Hav,,,,,,
1248250,2760161,,Wandels Sea,,,,,,
4140644,2760161,,Wandel Hav,,,,,,
7152519,2760161,link,https://en.wikipedia.org/wiki/Wandel_Sea,,,,,,
7914459,2760161,en,Wandel Sea,,,,,,
11802675,2760161,link,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B5_%D0%92%D0%B0%D0%BD%D0%B4%D0%B5%D0%BB%D1%8F,,,,,,
11802676,2760161,ru,Море Ванделя,,,,,,
11802677,2760161,uk,Море Ванделя,,,,,,
13596087,2760168,en,Cape Tramnitz,,,,1,,
1248251,2760169,,Trekking Pass,,,,,,
1248252,2760169,,Trækpas,,,,,,
3216459,2760169,,Trækpasset,,,,,,
1248253,2760170,,Thomas Thomsen’s Nose,,,,,,
1248254,2760170,,Thomas Thomsens Næs,,,,,,
3216466,2760170,,Thomas Thomsen Næs,,,,,,
1248255,2760171,,Terrassebjærg,,,,,,
1248256,2760171,,Terrasebjerg,,,,,,
3216471,2760171,,Terrassebjerg,,,,,,
15481317,2760171,wkdt,Q24818745,,,,,,
15278989,2760173,wkdt,Q24818743,,,,,,
1248257,2760174,,Seventeen Kilometer Point,,,,,,
3216473,2760174,,Syttenkilometernæsset,,,,,,
1248258,2760183,en,Storm Bay,,,,1,,
3216483,2760183,,Stormbugt,,,,,,
1248259,2760184,,Koldewey Island,,,,,,
1248260,2760184,,Store Koldeway,,,,,,
3216485,2760184,,Store Koldewey,,,,,,
7536218,2760184,link,https://en.wikipedia.org/wiki/Store_Koldewey,,,,,,
1248261,2760191,,Müllers Næs,,,,,,
1248262,2760191,,Sophus Muller’s Point,,,,,,
3216492,2760191,,Sophus Müller Næs,,,,,,
15282597,2760192,wkdt,Q24818726,,,,,,
15927223,2760192,,Sophie Holm,,,,,,
1248263,2760199,,Skerfjorden,,,,,,
1248264,2760199,,Skærfjord,,,,,,
3216498,2760199,,Skærfjorden,,,,,,
13596514,2760199,fr,Baie d'Orleans,,,,,,
13596515,2760199,,Skaerfjorden,,,,,,
13596516,2760199,en,Reef Fjord,,,,,,
13596517,2760199,en,Skaer Fjord,,,,,,
1248265,2760201,en,Shannon Island,,,,,,
1248266,2760201,,Shannon,,,,,,
3216505,2760201,,Shannon Ø,,,,,,
7185295,2760201,link,https://en.wikipedia.org/wiki/Shannon_Island,,,,,,
1248267,2760202,en,Sengstake Bay,,,,1,,
3216507,2760202,,Sengstacke Bugt,,,,,,
1248268,2760204,,Schnauder Island,,,,,,
3216514,2760204,,Schnauder Ø,,,,,,
1248269,2760205,,Cape Sanct Jacques,,,,,,
1248270,2760205,,Cape Saint Jacques,,,,,,
3216515,2760205,,Kap Sankt Jacques,,,,,,
1248271,2760206,,Sadelbjerg,,,,,,
1248272,2760206,,Saddelbjærg,,,,,,
3216522,2760206,,Saddelbjerg,,,,,,
15267322,2760206,wkdt,Q24818714,,,,,,
1248273,2760207,,Sabine Island,,,,,,
2957078,2760207,link,https://en.wikipedia.org/wiki/Sabine_Island,,,,,,
3216523,2760207,,Sabine Ø,,,,,,
1248274,2760208,,Rosio Island,,,,,,
3216528,2760208,,Rosio,,,,,,
15570258,2760208,wkdt,Q24818713,,,,,,
1248275,2760210,,Røseløb,,,,,,
3216529,2760210,,Røseløbet,,,,,,
1248276,2760211,,Romer Lake,,,,,,
3216532,2760211,,Romer Sø,,,,,,
1248277,2760213,,Cape Rink,,,,,,
3216536,2760213,,Kap Rink,,,,,,
1248278,2760214,,Cape Ringkjöbing,,,,,,
3216537,2760214,,Kap Ringkøbing,,,,,,
1248279,2760216,,Rekred Ö,,,,,,
3216546,2760216,,Rekvedøen,,,,,,
1248280,2760219,,Prinsesse Margrethes Ö,,,,,,
3216556,2760219,,Prinsesse Margrethe Ø,,,,,,
1248281,2760220,,Princesse Elizabeth Alper,,,,,,
3216557,2760220,,Prinsesse Elisabeth Alper,,,,,,
15572212,2760220,wkdt,Q24818699,,,,,,
1248282,2760221,,Prinsesse Dagmars Ö,,,,,,
1248283,2760221,,Princess Dagmar Island,,,,,,
3216558,2760221,,Prinsesse Dagmar Ø,,,,,,
11313716,2760221,link,https://en.wikipedia.org/wiki/Prinsesse_Dagmar_Island,,,,,,
1248284,2760226,,Kap Philip Brake,,,,,,
1248285,2760226,en,Cape Philip Broke,,,,,,
3216565,2760226,,Kap Philip Broke,,,,,,
13596098,2760227,en,Cape Peschel,,,,1,,
1248286,2760228,,Penthiêvres Fjord,,,,,,
3216569,2760228,,Penthièvre Fjord,,,,,,
1248287,2760229,,Pendulum Strait,,,,,,
3216570,2760229,,Pendulumstrædet,,,,,,
1248288,2760230,,Pendulum Islands,,,,,,
3216571,2760230,,Pendulum Øer,,,,,,
1248289,2760233,,Paris Islands,,,,,,
1248290,2760233,,Pariseröerne,,,,,,
1248291,2760233,,Parisøer,,,,,,
1248292,2760233,,Pariseröer,,,,,,
3216577,2760233,,Parisøerne,,,,,,
1248293,2760234,en,Cape Pansch,,,,1,,
3216579,2760234,,Kap Pansch,,,,,,
1248294,2760236,,Kap Heer,,,,,,
3216582,2760236,,Kap Oswald Heer,,,,,,
13596089,2760236,en,Cape Oswald Heer,,,,1,,
1248295,2760240,,Orientation Islands,,,,,,
1248296,2760240,,Örientering Öerne,,,,,,
3216588,2760240,,Orienteringsøerne,,,,,,
1248297,2760241,,Olrik Pynt,,,,,,
3216589,2760241,,Olrik Odden,,,,,,
1248298,2760243,,Akse Blade,,,,,,
3216591,2760243,,Øksebladet,,,,,,
15469354,2760245,wkdt,Q24818674,,,,,,
15927301,2760245,,Nordre Muschelbjerg,,,,,,
