AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1087448,2245526,,Sine Bolon,,,,,,
1087449,2245526,,Siné Marigot,,,,,,
4103194,2245526,,Siné,,,,,,
1087574,2246238,,Sankutu Bolon,,,,,,
1087575,2246238,,Sunkuta Bolon,,,,,,
1087592,2246285,,Sandugu Bolon,,,,,,
1087593,2246285,,Kunchau Creek,,,,,,
1087594,2246285,,Sami Bolon,,,,,,
1087595,2246285,,Sardougou,,,,,,
1087596,2246285,,River Sandugu,,,,,,
4103314,2246285,,Sandougou,,,,,,
1087752,2246740,,Patte Bolon,,,,,,
1087941,2247247,,Nianija Bolon,,,,,,
1087942,2247247,,West Nianija Creek,,,,,,
1087943,2247247,,Niani Bolon,,,,,,
1087944,2247247,,Nianimarou Bolon,,,,,,
4103620,2247247,,Nianija Bôlon,,,,,,
1088289,2247943,,N’Dian Bolon,,,,,,
1088290,2247943,,N’Dipan Bolon,,,,,,
1088672,2248818,,Mansala Bolon,,,,,,
1088673,2248818,,Mansafa Bolon,,,,,,
1088954,2249697,,Koro Bolon,,,,,,
1088955,2249697,,Marigot de Korro,,,,,,
1090513,2253858,,Bintang Bôlon,,,,,,
1090514,2253858,,Marigot de Vintang,,,,,,
1090515,2253858,,Bintang,,,,,,
1090516,2253858,,Vintang Creek,,,,,,
1090517,2253858,,Bintang Creek,,,,,,
1090518,2253858,,Vintang,,,,,,
4105810,2253858,,Bintang Bolon,,,,,,
1133490,2411651,,Yundum Airport,,,,,,
2944288,2411651,link,https://en.wikipedia.org/wiki/Banjul_International_Airport,,,,,,
4330949,2411651,,Banjul International Airport,,,,,,
5804800,2411651,iata,BJL,,,,,,
5804961,2411651,icao,GBYD,,,,,,
5894030,2411651,es,Aeropuerto Internacional Yundum,,,,,,
5894031,2411651,fr,Aéroport international de Banjul,,,,,,
5894032,2411651,it,Aeroporto di Banjul-Yundum,,,,,,
5894033,2411651,fi,Banjulin kansainvälinen lentoasema,,,,,,
5894034,2411651,zh,班珠尔国际机场,,,,,,
5894035,2411651,hu,Banjuli nemzetközi repülőtér,,,,,,
5894036,2411651,lt,Bandžulio tarptautinis oro uostas,,,,,,
5894037,2411651,tr,Banjul Uluslararası Havalimanı,,,,,,
5894038,2411651,vi,Sân bay quốc tế Banjul,,,,,,
5894039,2411651,nl,Luchthaven Banjul Internationaal,,,,,,
5894040,2411651,ja,バンジュール国際空港,,,,,,
5894041,2411651,id,Bandar Udara Internasional Banjul,,,,,,
5894042,2411651,hi,बांजुल अंतर्राष्ट्रीय विमानक्षेत्र,,,,,,
5894043,2411651,pl,Port lotniczy Bandżul,,,,,,
11589253,2411651,ar,مطار بانجول الدولي,,,,,,
11589254,2411651,fa,فرودگاه بین‌المللی بانجول,,,,,,
11589255,2411651,ko,반줄 국제공항,,,,,,
11589256,2411651,ms,Lapangan Terbang Antarabangsa Banjul,,,,,,
11589257,2411651,no,Banjul internasjonale lufthavn,,,,,,
11589258,2411651,tg,Фурудгоҳи Байн‌алмиллалии Банҷул,,,,,,
11589259,2411651,ru,Аэропорт Банжул Юндум,,,,,,
1133491,2411652,,Yumdum,,,,,,
1133492,2411652,,Yundun,,,,,,
1133493,2411652,,Yundum,,,,,,
4330950,2411652,,Old Yundum,,,,,,
2944289,2411653,link,https://en.wikipedia.org/wiki/Yundum,,,,,,
4330951,2411653,,Yundum,,,,,,
13774108,2411653,unlc,GMYDM,,,,,,
1133494,2411654,,Yuma,,,,,,
4330952,2411654,,Yuna,,,,,,
1133495,2411660,,Yona,,,,,,
4330953,2411660,,Yonah,,,,,,
1133496,2411661,,Jda,,,,,,
1133497,2411661,,Ida,,,,,,
4330954,2411661,,Yida,,,,,,
1133498,2411663,,Yorubawal,,,,,,
4330955,2411663,,Yarobawal,,,,,,
1133499,2411665,,Yallol Ba,,,,,,
4330956,2411665,,Yallal Ba,,,,,,
1133500,2411667,,Yallol,,,,,,
4330957,2411667,,Yallal,,,,,,
14971799,2411667,wkdt,Q24844661,,,,,,
1133501,2411670,,Willimissa,,,,,,
4330958,2411670,,Wulumisa,,,,,,
7133538,2411671,link,https://en.wikipedia.org/wiki/Wuli_District,,,,,,
7323769,2411671,,Wuli,,,,,,
1133502,2411675,,Willingara,,,,,,
4330959,2411675,,Willingara Samba Tako,,,,,,
1133503,2411676,,Willingara,,,,,,
4330960,2411676,,Willingara Kejaw,,,,,,
1133504,2411677,,Willingara,,,,,,
4330961,2411677,,Willingara Ba,,,,,,
2185002,2411683,,Western,1,1,,,,
2944290,2411683,link,https://en.wikipedia.org/wiki/West_Coast_Division_%28the_Gambia%29,,,,,,
5650166,2411683,,Western Division,,,,,,
12134849,2411683,,West Coast,,,,,,
12134850,2411683,,West Coast Region,,,,,,
1133505,2411688,,Wellingara Mansak,,,,,,
4330962,2411688,,Wellingara Mansal,,,,,,
1133506,2411691,,Willingara,,,,,,
4330963,2411691,,Wellingara Bubacarr Bah,,,,,,
1133507,2411692,,Sitafuma,,,,,,
1133508,2411692,,Willingara,,,,,,
4330964,2411692,,Wellingara Ba,,,,,,
1133509,2411694,,Sare Adama,,,,,,
4330965,2411694,,Wellingara Adama,,,,,,
1133510,2411700,,Wellingara,,,,,,
1133511,2411700,,Willingara,,,,,,
4330966,2411700,,Welingara,,,,,,
15876390,2411700,wkdt,Q2557769,,,,,,
15590593,2411703,wkdt,Q2552196,,,,,,
1133512,2411704,,Wassadung,,,,,,
4330967,2411704,,Wassadung Demba,,,,,,
1133513,2411705,,Kanjeramba,,,,,,
1133514,2411705,,Kangiramba,,,,,,
4330968,2411705,,Wassadun,,,,,,
1133515,2411707,,Waliba Kunda,,,,,,
4330969,2411707,,Walliba Kunda,,,,,,
6885594,2411710,link,https://en.wikipedia.org/wiki/Upper_Saloum,,,,,,
6923305,2411710,,Upper Saloum,,,,,,
2185000,2411711,en,Upper River,,1,,,,
2944291,2411711,link,https://en.wikipedia.org/wiki/Upper_River_Division,,,,,,
3057787,2411711,link,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D1%85%D0%BD%D1%8F%D1%8F_%D0%A0%D0%B5%D0%BA%D0%B0_%28%D1%80%D0%B0%D0%B9%D0%BE%D0%BD_%D0%93%D0%B0%D0%BC%D0%B1%D0%B8%D0%B8%29,,,,,,
5650167,2411711,,Upper River Division,,,,,,
7996252,2411711,,Upper River,,,,,,
11660384,2411711,en,Upper River Division,1,,,,,
12134851,2411711,,Upper River Region,,,,,,
15373553,2411711,wkdt,Q824373,,,,,,
1133516,2411712,,Niumi,,,,,,
1133517,2411712,,Mandingo State,,,,,,
4330970,2411712,,Upper Niumi District,,,,,,
7191107,2411712,link,https://en.wikipedia.org/wiki/Upper_Niumi,,,,,,
6885595,2411714,link,https://en.wikipedia.org/wiki/Upper_Baddibu,,,,,,
6923306,2411714,,Upper Baddibu,,,,,,
1133522,2411720,,Turu Kunda,,,,,,
4330971,2411720,,Ture Kunda,,,,,,
1133523,2411727,,Tujereng,,,,,,
1133524,2411727,,Tujurei,,,,,,
4330972,2411727,,Tujering,,,,,,
1133525,2411733,,Tuba,,,,,,
4330973,2411733,,Tuba Tafsir,,,,,,
15768503,2411737,wkdt,Q24844646,,,,,,
15969171,2411737,,Tubanding,,,,,,
1133528,2411742,,Tuba Kata,,,,,,
4330974,2411742,,Tuba Kuta,,,,,,
1133529,2411744,,Kambuji,,,,,,
4330975,2411744,,Tubakuta,,,,,,
15500106,2411744,wkdt,Q2458839,,,,,,
1133530,2411746,,Tuba,,,,,,
4330976,2411746,,Tuba Koto,,,,,,
14978246,2411746,wkdt,Q1399711,,,,,,
1133531,2411747,,Tubakolon,,,,,,
4330977,2411747,,Tuba Kolong,,,,,,
1133532,2411759,,N’Toro Taim,,,,,,
1133533,2411759,,N’Toro Tem,,,,,,
4330978,2411759,,Toro Tayem,,,,,,
1133534,2411760,,N’Toro Baien,,,,,,
4330979,2411760,,Toro Mbaien,,,,,,
1133535,2411762,,Tarbu Chindeh,,,,,,
4330980,2411762,,Torbeh Chindeh,,,,,,
1133536,2411763,,Toranko Bantang,,,,,,
4330981,2411763,,Toranka Bantang,,,,,,
15850409,2411763,wkdt,Q24844642,,,,,,
1133537,2411764,,Tonitaba Creek,,,,,,
4330982,2411764,,Toniataba Bolon,,,,,,
1133538,2411765,,Tonitaba,,,,,,
4330983,2411765,,Toniataba,,,,,,
15559753,2411765,wkdt,Q1748500,,,,,,
14970373,2411770,wkdt,Q24844638,,,,,,
15969172,2411770,,Tinkinjo,,,,,,
1133539,2411772,,Sami Fati,,,,,,
4330984,2411772,,Timpa,,,,,,
1133540,2411773,,Timbinto,,,,,,
4330985,2411773,,Timbintu,,,,,,
1133541,2411777,,Thistle Creek,,,,,,
4330986,2411777,,Thistle Bolon,,,,,,
1133542,2411778,,Tento,,,,,,
4330987,2411778,,Tento Malick Bah,,,,,,
1133543,2411779,,Tento,,,,,,
4330988,2411779,,Tento Madi,,,,,,
1133544,2411782,,Madina,,,,,,
1133545,2411782,,Tenenfara,,,,,,
4330989,2411782,,Teneng Fara,,,,,,
1133546,2411785,,Tendeba,,,,,,
4330990,2411785,,Tendaba,,,,,,
15888903,2411791,wkdt,Q2402463,,,,,,
15969173,2411791,,Temanto,,,,,,
14965054,2411793,wkdt,Q24844634,,,,,,
15969174,2411793,,Tawa Kaltu,,,,,,
1133547,2411794,,Tasali,,,,,,
4330991,2411794,,Tasili,,,,,,
1133548,2411796,,Taburo Koto,,,,,,
1133549,2411796,,Taba Woro,,,,,,
4330992,2411796,,Tarburung Kotor,,,,,,
1133550,2411798,,Tankural,,,,,,
4330993,2411798,,Tankular,,,,,,
15850970,2411798,wkdt,Q2802756,,,,,,
1133551,2411799,,Tunku Creek,,,,,,
1133552,2411799,,Tunku Bolon,,,,,,
4330994,2411799,,Tanku Bolon,,,,,,
1133553,2411800,,Tankon Kunda,,,,,,
4330995,2411800,,Tankong Kunda,,,,,,
14964517,2411800,wkdt,Q24844631,,,,,,
1133554,2411804,,Tanji Bolon,,,,,,
4330996,2411804,,River Tanji,,,,,,
1133555,2411805,,Tanjen,,,,,,
1133556,2411805,,Tanje,,,,,,
2944292,2411805,link,https://en.wikipedia.org/wiki/Tanji,,,,,,
4330997,2411805,,Tanji,,,,,,
15422959,2411805,wkdt,Q1188686,,,,,,
1133557,2411807,,Tandi Wolloff,,,,,,
4330998,2411807,,Tandi Wollof,,,,,,
14963064,2411807,wkdt,Q24844629,,,,,,
1133558,2411808,,Mandingo,,,,,,
1133559,2411808,,Tende,,,,,,
4330999,2411808,,Tandi Kunda,,,,,,
1133560,2411813,,Tambasansan,,,,,,
1133561,2411813,,Tiembasisi,,,,,,
4331000,2411813,,Tambasensan,,,,,,
1133562,2411815,,Tambana Creek,,,,,,
4331001,2411815,,Tambana Bolon,,,,,,
1133563,2411818,,Tambakoto Creek,,,,,,
4331002,2411818,,Tamba Koto Bolon,,,,,,
1133564,2411819,,Tomba Koto,,,,,,
4331003,2411819,,Tamba Koto,,,,,,
14984287,2411819,wkdt,Q24856245,,,,,,
7520205,2411820,link,https://en.wikipedia.org/wiki/Tambajang_Forest_Park,,,,,,
7566510,2411820,,Tambajang Forest Park,,,,,,
14995474,2411823,wkdt,Q24855741,,,,,,
15969175,2411823,,Tally Ya,,,,,,
14982931,2411824,wkdt,Q24844626,,,,,,
15969176,2411824,,Tallen,,,,,,
1133565,2411825,,Talito,,,,,,
4331004,2411825,,Talito Musa,,,,,,
1133566,2411826,,Talito,,,,,,
4331005,2411826,,Talito Luntang,,,,,,
1133567,2411827,,Talindin Kunda,,,,,,
4331006,2411827,,Talinding Kunjang,,,,,,
1133568,2411830,,Tendito,,,,,,
1133569,2411830,,Tendaito,,,,,,
4331007,2411830,,Taindaitor,,,,,,
1133570,2411833,,Sare Boutie,,,,,,
1133571,2411833,,Taiba,,,,,,
4331008,2411833,,Taifa Amadou,,,,,,
15864784,2411833,wkdt,Q24844625,,,,,,
1133572,2411840,,Tabokoto,,,,,,
4331009,2411840,,Tabo Kotor,,,,,,
1133573,2411843,,Tabireneh Bolon,,,,,,
1133574,2411843,,Tabirere Creek,,,,,,
1133575,2411843,,Tabirere Bolon,,,,,,
4331010,2411843,,Tabirereh Bolon,,,,,,
1133576,2411853,,Tabba Nanni,,,,,,
1133577,2411853,,Tabba Nanna,,,,,,
4331011,2411853,,Taba Nani,,,,,,
1133578,2411854,,Bumari,,,,,,
4331012,2411854,,Tabanani,,,,,,
14970945,2411854,wkdt,Q24844623,,,,,,
1133579,2411855,,Tabajan,,,,,,
4331013,2411855,,Tabajang Kisimasu,,,,,,
1133580,2411862,,Surukung,,,,,,
4331014,2411862,,Sutukung,,,,,,
