AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1094536,2272906,,Wuni River,,,,,,
1094537,2272906,,Oule River,,,,,,
1094538,2272906,,Wune River,,,,,,
1094539,2272906,,Ouli,,,,,,
4126386,2272906,,Oulé,,,,,,
10227784,2272906,en,Woonee River,,,,,,
1095209,2273976,,Sewa River,,,,,,
1095210,2273976,,Seya River,,,,,,
4126766,2273976,,Se Ya,,,,,,
10227957,2273976,en,Siaya River,,,,,,
10227958,2273976,en,Siaya,,,,,,
1095965,2275216,,Makona,,,,,,
1095966,2275216,,Makana,,,,,,
1095967,2275216,,Moa,,,,,,
1095968,2275216,,Sulima,,,,,,
1095969,2275216,,Makona River,,,,,,
4127188,2275216,,Moa River,,,,,,
11287171,2275216,link,https://en.wikipedia.org/wiki/Moa_River,,,,,,
1096736,2276368,,Jawule River,,,,,,
1096737,2276368,,Djoule River,,,,,,
4127624,2276368,,Diaoulé,,,,,,
10228275,2276368,en,Jawule,,,,,,
1100524,2285309,,Légué,,,,,,
4130133,2285309,,Légé,,,,,,
1101581,2289061,,Dagbé,,,,,,
1101582,2289061,,Sassandra Fleuve,,,,,,
1101583,2289061,,Bagbé,,,,,,
1101584,2289061,,Férédougoube,,,,,,
1101585,2289061,,River Fereduguba,,,,,,
4130911,2289061,,Férédougouba,,,,,,
1132197,2403003,,Wulafu,,,,,,
4313397,2403003,,Ou Lafou,,,,,,
1132253,2403425,,Timbekurdu,,,,,,
4313449,2403425,,Timbekundu,,,,,,
10389581,2403425,,Tembicoundo,,,,,,
10389582,2403425,,Tembicounda,,,,,,
10389583,2403425,,Konko Nante,,,,,,
1132513,2405410,,Méli,,,,,,
1132514,2405410,,Mali,,,,,,
4313673,2405410,,Meli,,,,,,
1132682,2406969,,Little Scarcies,,,,,,
1132683,2406969,,Kabra River,,,,,,
1132684,2406969,,Skarsies Rivière,,,,,,
1132685,2406969,,Kart Fleuve,,,,,,
1132686,2406969,,Little Scaries,,,,,,
1132687,2406969,,Kabba,,,,,,
1132688,2406969,,Petite Scarsies,,,,,,
1132689,2406969,,Little Skarcies River,,,,,,
1132690,2406969,,Petite Scarcie Fleuve,,,,,,
1132691,2406969,,Kukura Rivière,,,,,,
1132692,2406969,,Petite Scarcies,,,,,,
4313818,2406969,,Kaba,,,,,,
8684439,2406969,link,https://en.wikipedia.org/wiki/Little_Scarcies_River,,,,,,
10231679,2407696,en,Kita,,,,,,
1134375,2413992,,Kapparabina,,,,,,
4332939,2413992,,Kaporabina,,,,,,
13144861,2413992,,Kaparabina,,,,,,
1134376,2413996,,Sipoï Sépa,,,,,,
1134377,2413996,,Zépouézépa,,,,,,
1134378,2413996,,Sipoï,,,,,,
4332941,2413996,,Zoupoïzéba,,,,,,
1134379,2413998,,Zigouéta,,,,,,
4332942,2413998,,Zouguépo,,,,,,
1134380,2414002,,Zogoueta,,,,,,
1134381,2414002,,Zouguéta,,,,,,
1134382,2414002,,Zougouta,,,,,,
4332943,2414002,,Zougoueta,,,,,,
15774456,2414004,wkdt,Q24844093,,,,,,
15969337,2414004,,Zoton,,,,,,
1134383,2414005,,Soopa,,,,,,
4332944,2414005,,Zopa,,,,,,
1134384,2414028,,Zentota,,,,,,
4332945,2414028,,Zenntota,,,,,,
1134385,2414030,,Djénimounto,,,,,,
1134386,2414030,,Djenimouta,,,,,,
1134387,2414030,,Djénimounta,,,,,,
4332946,2414030,,Zénémouta,,,,,,
15632795,2414035,wkdt,Q24844081,,,,,,
15969338,2414035,,Zazaguizi,,,,,,
1134388,2414051,,Yorokoguéa,,,,,,
4332947,2414051,,Youroukouguéya,,,,,,
10391541,2414053,en,Youmalé,,,,,,
7068742,2414055,link,https://en.wikipedia.org/wiki/Youkounkoun,,,,,,
7119206,2414055,,Youkounkoun,,,,,,
1134389,2414064,,Dioromandou,,,,,,
4332948,2414064,,Yoromandou,,,,,,
1134390,2414074,,Yangouya,,,,,,
1134391,2414074,,Yanguya,,,,,,
