AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1455805,3578254,,La Grande Ravine,,,,,,
4330368,3578254,,Grande Ravine,,,,,,
13193705,3578255,fr,Pointe Zozio,,,,,,
13144444,3578256,fr,Pointe à Zombi,,,,,,
1455806,3578257,,Zombie Pond,,,,,,
1455807,3578257,,Etang Zombis,,,,,,
1455808,3578257,,Étang Zombie,,,,,,
4330369,3578257,,Étang Zombi,,,,,,
13144445,3578257,fr,Étang Zombis,,,,,,
1455809,3578258,,Anse à Zomby,,,,,,
4330370,3578258,,Anse à Zombi,,,,,,
1455810,3578260,,Zévalos,,,,,,
4330371,3578260,,Zévallos,,,,,,
7519379,3578260,link,https://en.wikipedia.org/wiki/Zevallos,,,,,,
13193706,3578261,fr,Morne Zambi,,,,,,
1455811,3578262,,Îlet Yanka,,,,,,
4330372,3578262,,Îlet Yonka,,,,,,
13193707,3578268,fr,Vital,,,,,,
1455812,3578270,,Pointe du Violon,,,,,,
4330373,3578270,,Pointe Violon,,,,,,
13144446,3578273,fr,Anse Vinaigri,,,,,,
1455813,3578275,,Bouillante,,,,,,
1455814,3578275,,Bouillante-Village,,,,,,
4330374,3578275,,Village,,,,,,
13193708,3578276,fr,Morne Vigie,,,,,,
1455815,3578277,,Grande Rivière,,,,,,
1455816,3578277,,Rivière des Habitants,,,,,,
4330375,3578277,,Rivière des Vieux Habitants,,,,,,
13144447,3578277,fr,Grande Rivière des Vieux Habitants,,,,,,
1455817,3578278,,Les Habitants,,,,,,
2417149,3578278,post,97119,,,,,,
4330376,3578278,,Vieux-Habitants,,,,,,
7175245,3578278,link,https://en.wikipedia.org/wiki/Vieux-Habitants,,,,,,
9352644,3578278,uk,Вєз-Абітан,,,,,,
1455818,3578279,,Vieux-Fort Rivière,,,,,,
4330377,3578279,,Rivière du Vieux-Fort,,,,,,
13144448,3578279,fr,Rivière du Vieux Fort,,,,,,
1455819,3578280,,Rivière de Vieux-Fort,,,,,,
1455820,3578280,,Ravine de Vieux Fort,,,,,,
4330378,3578280,,Rivière du Vieux Fort,,,,,,
1455821,3578281,,Old Fort Point,,,,,,
4330379,3578281,,Pointe du Vieux-Fort,,,,,,
13144449,3578281,fr,Pointe du Vieux Fort,,,,,,
1455822,3578282,,Vieux Fort Point,,,,,,
1455823,3578282,,Pointe de Vieux Fort,,,,,,
4330380,3578282,,Pointe du Vieux-Fort,,,,,,
13144450,3578282,fr,Pointe du Vieux Fort,,,,,,
1455824,3578283,,Vieux Fort Islet,,,,,,
4330381,3578283,,Îlet du Vieux-Fort,,,,,,
13193709,3578283,fr,Îlet du Vieux Fort,,,,,,
13144451,3578284,fr,Étang du Vieux Fort,,,,,,
13144452,3578285,fr,Anse du Vieux Port,,,,,,
13144453,3578285,,Anse du Vieux-Fort,,,,,,
13193710,3578286,fr,Anse du Vieux Fort,,,,,,
13193711,3578287,fr,Vieux Fort,,,,,,
13193712,3578287,,Vieux-Fort,,,,,,
2417148,3578288,post,97141,,,,,,
4330382,3578288,,Vieux-Fort,,,,,,
13193713,3578289,fr,Vieux Bourg,,,,,,
13193714,3578291,fr,Vieille Anse,,,,,,
13193715,3578292,fr,Vidon,,,,,,
1455825,3578293,,Ravine La Viard,,,,,,
4330383,3578293,,Ravine Viard,,,,,,
13144454,3578293,fr,Rivière Viard,,,,,,
13144455,3578295,fr,Plage de Viard,,,,,,
15868964,3578295,wkdt,Q24854959,,,,,,
1455826,3578296,,Réunion,,,,,,
1455827,3578296,,Vezou,,,,,,
4330384,3578296,,Vezoux,,,,,,
13144456,3578298,fr,Versailles,,,,,,
13144457,3578299,fr,Vernou,,,,,,
13193716,3578300,fr,Vermont,,,,,,
13193717,3578301,fr,La Rose Verger,,,,,,
13193718,3578301,,Vergé,,,,,,
13144458,3578302,fr,Pointe de la Verdure,,,,,,
13193719,3578304,fr,Pointe du Vent,,,,,,
13193720,3578305,fr,Pointe du Vent,,,,,,
1455831,3578306,,Cascade du Vauchelet,,,,,,
4330386,3578306,,Cascade Vauchelet,,,,,,
1455832,3578307,,Anse du Figuier,,,,,,
1455833,3578307,,Anse Vanovre,,,,,,
4330387,3578307,,Anse du Vanovre,,,,,,
13193721,3578308,fr,Vanniers,,,,,,
13144459,3578313,fr,Anse du Val de l’Orge,,,,,,
1455834,3578314,,Vaisseaux Bank,,,,,,
4330388,3578314,,Banc des Vaisseaux,,,,,,
1455835,3578315,,Pointe du Pâté,,,,,,
4330389,3578315,,Pointe à Vache,,,,,,
13144460,3578316,fr,Fort l’Union,,,,,,
13144461,3578316,,Fort de l’Union,,,,,,
13144462,3578317,fr,Pointe Turlet,,,,,,
13144463,3578318,fr,Anse Turlet,,,,,,
13144464,3578319,fr,Rivière du Trou aux Chiens,,,,,,
1455836,3578320,,Trou aux Chiens Mountain,,,,,,
4330390,3578320,,Montagne du Trou aux Chiens,,,,,,
15413098,3578320,wkdt,Q24854950,,,,,,
13144465,3578321,fr,Pointe du Trou à Meynal,,,,,,
13144466,3578321,fr,Pointe à Roche,,,,,,
1455837,3578322,,The Three Cows,,,,,,
4330391,3578322,,Pointe des Trois Vaches,,,,,,
13193722,3578322,fr,Les Trois Vaches,,,,,,
1455838,3578323,,Pointe des Rivières,,,,,,
4330392,3578323,,Pointe des Trois Rivières,,,,,,
1455839,3578324,,Les Trois Rivières,,,,,,
2417147,3578324,post,97114,,,,,,
4330393,3578324,,Trois-Rivières,,,,,,
13774147,3578324,unlc,GPTRS,,,,,,
13193723,3578325,fr,Trois Îlets,,,,,,
13193724,3578325,,Trois-Îlets,,,,,,
1455840,3578326,,Troisieme Branch,,,,,,
4330394,3578326,,Troisième Bras,,,,,,
1455841,3578327,,Trionzelle,,,,,,
4330395,3578327,,Trioncelle,,,,,,
13193725,3578329,fr,Ravine de Trianon,,,,,,
13193726,3578329,,Ravine Trianon,,,,,,
13193727,3578330,fr,Pointe la Trembleuse,,,,,,
13193728,3578332,fr,Pointe à Tortue,,,,,,
13193729,3578333,fr,Accul à Tortue,,,,,,
13193730,3578333,,Acul à Tortue,,,,,,
13144467,3578334,fr,Îlet Tome,,,,,,
13193731,3578340,fr,Ti-Charlie,,,,,,
13193732,3578341,fr,Thibault,,,,,,
13193733,3578342,fr,Tête Rouge la Batterie,,,,,,
13193734,3578342,,Tête Rouge,,,,,,
13144468,3578343,fr,Tête Allègre,,,,,,
1455851,3578347,,Bourg des Saintes,,,,,,
1455852,3578347,,Le Bourg des Saintes,,,,,,
2417146,3578347,post,97137,,,,,,
4330398,3578347,,Terre-de-Haut,,,,,,
7482883,3578347,iata,LSS,,,,,,
8098417,3578347,link,https://en.wikipedia.org/wiki/Terre-de-Haut,,,,,,
9379965,3578347,uk,Терр-де-О,,,,,,
13774138,3578347,unlc,GPLSS,,,,,,
1455853,3578348,,Terre d’en Haut,,,,,,
4330399,3578348,,Terre de Haut,,,,,,
15623993,3578348,wkdt,Q3518640,,,,,,
1455854,3578349,,Upper Saint Island,,,,,,
1455855,3578349,,Île Saint-Pierre,,,,,,
1455856,3578349,,Saint Peter Island,,,,,,
1455857,3578349,,Terre d’en Haut,,,,,,
4330400,3578349,,Terre-de-Haut,,,,,,
8089453,3578349,link,https://en.wikipedia.org/wiki/Terre-de-Haut_Island,,,,,,
1455858,3578351,,Le Bourg,,,,,,
2417145,3578351,post,97136,,,,,,
4330401,3578351,,Terre-de-Bas,,,,,,
6907011,3578351,link,https://en.wikipedia.org/wiki/Terre-de-Bas,,,,,,
7485344,3578351,iata,HTB,,,,,,
11573944,3578351,ar,تير-دو-با,,,,,,
11573945,3578351,be,Востраў Тэр-дэ-Бас,,,,,,
11573946,3578351,uk,Терр-де-Ба,,,,,,
13193735,3578351,fr,Petites Anses,,,,,,
13193736,3578351,,Petites-Anses,,,,,,
13774134,3578351,unlc,GPHTB,,,,,,
1455859,3578352,,Terre d’en Bas,,,,,,
4330402,3578352,,Terre de Bas,,,,,,
15701700,3578352,wkdt,Q3518634,,,,,,
1455860,3578353,,Île Saint-Paul,,,,,,
1455861,3578353,,Lower Saint Island,,,,,,
1455862,3578353,,Terre d’en Bas,,,,,,
1455863,3578353,,Saint Paul Island,,,,,,
1455864,3578353,,Terre du Bas,,,,,,
4330403,3578353,,Terre-de-Bas,,,,,,
7145402,3578353,link,https://en.wikipedia.org/wiki/Terre-de-Bas_Island,,,,,,
2428258,3578354,iata,HTB,,,,,,
13144469,3578355,fr,Grande Pointe,,,,,,
13144470,3578355,,Pointe à la Taste,,,,,,
13144471,3578355,fr,Pointe de la Taste,,,,,,
13193737,3578356,fr,Pointe Tarare,,,,,,
13193738,3578357,fr,Anse Tarare,,,,,,
13193739,3578358,fr,Pointe de Tali,,,,,,
1455867,3578360,,De Surgy,,,,,,
4330405,3578360,,Surgy,,,,,,
13193740,3578361,fr,Passe du Sud-Ouest,,,,,,
1455869,3578363,,La Point Sud,,,,,,
4330406,3578363,,Pointe Sud,,,,,,
1455870,3578364,,Passe du Sud-Est,,,,,,
4330407,3578364,,Passe du Sud,,,,,,
13144472,3578366,fr,Rivière Caillou Bras du Sud,,,,,,
13144473,3578366,,Bras du Sud,,,,,,
13193741,3578367,fr,Baleine du Sud,,,,,,
1455872,3578368,,Subercazeau,,,,,,
4330408,3578368,,Subercazeaux,,,,,,
13144474,3578369,fr,Anse à la Source,,,,,,
1455873,3578370,,La Grande Soufrière,,,,,,
1455874,3578370,,La Soufrière,,,,,,
1455875,3578370,,Grande Soufrière,,,,,,
2986206,3578370,link,https://en.wikipedia.org/wiki/La_Grande_Soufri%C3%A8re,,,,,,
4330409,3578370,,Soufrière,,,,,,
9384830,3578370,ja,スフリエール山,,,,,,
9384831,3578370,ko,수프리에르 산,,,,,,
9384832,3578370,ru,Суфриер,,,,,,
11411005,3578370,he,לה סופרייר,,,,,,
11411006,3578370,lt,Sufrieras,,,,,,
13144475,3578372,fr,Pointe du Souffleur,,,,,,
13193742,3578373,fr,Passe du Souffleur,,,,,,
13193743,3578374,fr,Morne Souffleur,,,,,,
