AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1110092,2306474,,Yube-Mangani,,,,,,
4146163,2306474,,Yube,,,,,,
1110093,2306477,,Punta Dione,,,,,,
1110094,2306477,,Punta Sabue,,,,,,
1110095,2306477,,Punta Dioni,,,,,,
4146164,2306477,,Punta Yoni,,,,,,
1110096,2306485,,Djobete,,,,,,
4146165,2306485,,Yobete,,,,,,
1110097,2306495,,Yengue,,,,,,
4146166,2306495,,Yenge,,,,,,
1110098,2306501,,Punta Dieka,,,,,,
1110099,2306501,,Punta Siegue,,,,,,
1110100,2306501,,Punta Dieque,,,,,,
1110101,2306501,,Punta Yeque,,,,,,
1110102,2306501,,Punta Dieke,,,,,,
1110103,2306501,,Punta Yeko,,,,,,
4146167,2306501,,Punta Yeke,,,,,,
15462380,2306506,wkdt,Q24878623,,,,,,
15927637,2306506,,Isla Yebatelu,,,,,,
1110104,2306511,,Llama,,,,,,
4146168,2306511,,Yama,,,,,,
1110105,2306513,,Jawabuma,,,,,,
4146169,2306513,,Yagoebuma,,,,,,
1110106,2306533,,Pointe Vidal,,,,,,
4146170,2306533,,Punta Vidal,,,,,,
13574097,2306533,en,Cape Vidal,,,,,,
1110107,2306537,en,Cockburn Cove,,,,1,,
1110108,2306537,,Ensenada de Venus,,,,,,
4146171,2306537,,Bahía de Venus,,,,,,
13573962,2306537,en,Venus Bay,,,,,,
11904627,2306544,,Valladolid de los Bimbiles,,,,1,,
11904628,2306544,,Añisoc,,,,,,
11904629,2306544,,Añisok,,,,,,
11904707,2306544,link,https://en.wikipedia.org/wiki/A%C3%B1isoc,,,,,,
1110109,2306549,,Río Akoko,,,,,,
1110110,2306549,,Río Ntono,,,,,,
1110111,2306549,,Río Utondo,,,,,,
1110112,2306549,,Río Olende,,,,,,
1110113,2306549,,Río Otonde,,,,,,
1110114,2306549,,Río Otondo,,,,,,
4146172,2306549,,Río Utonde,,,,,,
1110115,2306550,,Utande,,,,,,
1110116,2306550,,Otondo,,,,,,
1110117,2306550,,Otonde,,,,,,
4146173,2306550,,Utonde,,,,,,
1110118,2306551,,Okomba,,,,,,
4146174,2306551,,Utomba,,,,,,
1110119,2306552,,Río Utamboni,,,,,,
1110120,2306552,,Rama Mitemele,,,,,,
1110121,2306552,,N’Temelé,,,,,,
1110122,2306552,,Río Mitemele,,,,,,
1110123,2306552,,Tembony,,,,,,
1110124,2306552,,Temboni,,,,,,
4146175,2306552,,Mitèmboni,,,,,,
8088785,2306552,link,https://en.wikipedia.org/wiki/Utamboni_River,,,,,,
1110125,2306556,,F. Urue,,,,,,
4146176,2306556,,Urue,,,,,,
1110126,2306558,,Río Sácriba,,,,,,
4146177,2306558,,Río Urabelo,,,,,,
1110127,2306562,,Punta Fernanda,,,,,,
4146178,2306562,,Punta de la Unidad Africana,,,,,,
13574088,2306562,en,Fernanda Point,,,,,,
13574089,2306562,en,William Point,,,,,,
1110128,2306563,,Punta Beloa,,,,,,
4146179,2306563,,Punta Uloba,,,,,,
1110129,2306569,,Punta Olambe,,,,,,
4146180,2306569,,Punta Ulambe,,,,,,
1110130,2306570,,Punta Ogouné,,,,,,
1110131,2306570,,Punta Ougouné,,,,,,
4146181,2306570,,Punta Ugonue,,,,,,
1110132,2306571,,Punta Ugunil,,,,,,
1110133,2306571,,Punta Uguni,,,,,,
4146182,2306571,,Punta Ugoni,,,,,,
1110134,2306576,,Okodi,,,,,,
4146183,2306576,,Ucodi,,,,,,
1110135,2306583,,Punta Tika,,,,,,
4146184,2306583,,T. Vives,,,,,,
1110136,2306589,,Río Tudela,,,,,,
4146185,2306589,,Río Olé,,,,,,
1110137,2306595,,Isla Yegani,,,,,,
1110138,2306595,,Isla Pan de Azúcar,,,,,,
1110139,2306595,,Isla Piedra Grande,,,,,,
1110140,2306595,,Isla Yegany,,,,,,
4146186,2306595,,Isla Tortuga,,,,,,
13286445,2306595,en,Turtle Island,,,,,,
1110141,2306617,,Río Botatalo,,,,,,
4146187,2306617,,Río Toito,,,,,,
1110142,2306618,,Río Botohó,,,,,,
4146188,2306618,,Río Toho,,,,,,
1110143,2306620,,Río Toko,,,,,,
4146189,2306620,,Río Toco,,,,,,
1110144,2306621,,Río Utoche,,,,,,
1110145,2306621,,Zoche,,,,,,
4146190,2306621,,Río Toche,,,,,,
1110146,2306627,,Río Tu,,,,,,
4146191,2306627,,Río To,,,,,,
1110147,2306632,,Punta Tika,,,,,,
4146192,2306632,,Tica,,,,,,
1110148,2306633,,Río Beta,,,,,,
4146193,2306633,,Río Tiburones,,,,,,
1110149,2306639,,Tope,,,,,,
4146194,2306639,,Tepé,,,,,,
1110150,2306642,,Teguete,,,,,,
4146195,2306642,,Tegaete,,,,,,
1110151,2306645,,Tek,,,,,,
4146196,2306645,,Tec,,,,,,
1110152,2306646,,M. Tebiari,,,,,,
4146197,2306646,,Tebiari,,,,,,
1110153,2306651,,Sulcado,,,,,,
1110154,2306651,,Monte Sulcados,,,,,,
4146198,2306651,,Pico Surcado,,,,,,
1110155,2306652,,Punta del Sur,,,,,,
1110156,2306652,,Punta Fernández,,,,,,
1110157,2306652,,Punta de San Pedro,,,,,,
1110158,2306652,,Punta Morfina,,,,,,
1110159,2306652,,Punta Morfino,,,,,,
4146199,2306652,,Punta Mofina,,,,,,
1110160,2306658,,Río Sahú,,,,,,
4146200,2306658,,Río Suhu,,,,,,
1110161,2306660,,F. Suarez,,,,,,
4146201,2306660,,Suárez,,,,,,
1110162,2306665,,Soguie,,,,,,
4146202,2306665,,Soue,,,,,,
1110163,2306666,,Río Sapo,,,,,,
4146203,2306666,,Río Sopo,,,,,,
1110164,2306669,,Arroyo Sam,,,,,,
4146204,2306669,,Arroyo Son,,,,,,
1110165,2306670,,Nsoamayong,,,,,,
4146205,2306670,,Somoyong,,,,,,
1110166,2306672,,Finca Soler,,,,,,
4146206,2306672,,Soler y Calvet,,,,,,
1110167,2306675,,Sugocham,,,,,,
4146207,2306675,,Sogodyam,,,,,,
1110168,2306678,,Socopetete,,,,,,
1110169,2306678,,Río Socopete,,,,,,
4146208,2306678,,Río Socopetete,,,,,,
1110170,2306679,,Socogui Cabo San Juan,,,,,,
4146209,2306679,,Socogui,,,,,,
1110171,2306700,,Barranco Motatamoté,,,,,,
4146210,2306700,,Barranco Siaca,,,,,,
1110172,2306701,,Niefang,,,,,,
4146211,2306701,,Sevilla de Niefang,,,,,,
7040199,2306701,link,https://en.wikipedia.org/wiki/Niefang,,,,,,
1110173,2306702,,Niefan,,,,,,
1110174,2306702,,Niefang,,,,,,
1110175,2306702,,Administración Territorial de Niefang,,,,,,
4146212,2306702,,Sevilla de Niefang,,,,,,
11098084,2306702,link,https://en.wikipedia.org/wiki/Niefang,,,,,,
1110176,2306704,,M. Serra,,,,,,
4146213,2306704,,Serra,,,,,,
1110177,2306707,,Rápidos de Sene,,,,,,
4146214,2306707,,Rápidos de Senye,,,,,,
1110178,2306708,,Sendye,,,,,,
1110179,2306708,,Sendre,,,,,,
1110180,2306708,,Sene,,,,,,
1110181,2306708,,Usenye,,,,,,
1110182,2306708,,Ousenyé,,,,,,
4146215,2306708,,Senye,,,,,,
1110183,2306709,,Sene,,,,,,
4146216,2306709,,Senye,,,,,,
1110184,2306715,,Seleye,,,,,,
4146217,2306715,,Selies,,,,,,
1110185,2306722,,Baney,,,,,,
1110186,2306722,,Laka-Baney,,,,,,
1110187,2306722,,Bany,,,,,,
2943706,2306722,link,https://en.wikipedia.org/wiki/Baney,,,,,,
4146218,2306722,,Santiago de Baney,,,,,,
1110188,2306723,,Cabo Agudo,,,,,,
1110189,2306723,,Ponta Santiago,,,,,,
4146219,2306723,,Punta Santiago,,,,,,
10131750,2306723,en,Cape Barrow,,,,1,,
1110190,2306725,,Isla de Santaren,,,,,,
1110191,2306725,,Isla Yeoga,,,,,,
1110192,2306725,,Islote de Santarem,,,,,,
4146220,2306725,,Isla Santarem,,,,,,
15205952,2306725,wkdt,Q24878521,,,,,,
1110193,2306726,,Montes Sulcados,,,,,,
1110194,2306726,,Monte Santa Mina,,,,,,
4146221,2306726,,Macizo Santa Mina,,,,,,
15593708,2306726,wkdt,Q24878789,,,,,,
1110195,2306731,,Evongo,,,,,,
4146222,2306731,,Santalices,,,,,,
1110196,2306732,es,Pico de Santa Isabel,,,,1,,
1110197,2306732,,Pic de Malabo,,,,,,
1110198,2306732,en,Clarence Peak,,,,,,
2943707,2306732,link,https://en.wikipedia.org/wiki/Pico_Basil%C3%A9,,,,,,
4146223,2306732,,Pico Basile,,,,,,
13574086,2306733,en,Saint Isabel Bay,,,,,,
13574090,2306733,en,Port Clarence,,,,1,,
1110199,2306734,,Demarcación de Sanda Isabel,,,,,,
1110200,2306734,,Administración Territorial de Santa Isabel,,,,,,
4146224,2306734,,Santa Isabel,,,,,,
1110201,2306736,,Bahía de Santa Cruz,,,,,,
4146225,2306736,,Bahía de Aval,,,,,,
1110202,2306737,,Santa Cruz,,,,,,
4146226,2306737,,Aual,,,,,,
1110203,2306741,,Ensenada,,,,,,
4146227,2306741,,San Pedro,,,,,,
1110204,2306742,,Río San Nicolás,,,,,,
4146228,2306742,,Arroyo de San Nicolás,,,,,,
13574095,2306742,en,Horton Brook,,,,,,
13574096,2306742,en,Nicolas Brook,,,,,,
1110205,2306744,,Cap Saint Jean,,,,,,
4146229,2306744,,Cabo San Juan,,,,,,
1110206,2306749,,Ndjakom,,,,,,
4146230,2306749,,San Joaquín de Ndyiacom,,,,,,
1110207,2306757,,Sandoval y Chamoro,,,,,,
4146231,2306757,,Sandoval y Chamorro,,,,,,
1110208,2306761,,Baie de San Carlos,,,,,,
1110209,2306761,,Bahía de San Carlos,,,,,,
4146232,2306761,,Bahía de Luba,,,,,,
13574112,2306761,en,San Carlos Bay,,,,,,
13574113,2306761,en,George Bay,,,,1,,
1110210,2306771,,Administración Territorial de San Carlos,,,,,,
1110211,2306771,,Demarcación de San Carlos,,,,,,
1110212,2306771,,Distrito de San Carlos,,,,,,
4146233,2306771,,San Carlos,,,,,,
1110213,2306773,,Ureka,,,,,,
1110214,2306773,,Ureca,,,,,,
1110215,2306773,,San Antonio de Ureka,,,,,,
1110216,2306773,,Urekd,,,,,,
4146234,2306773,,San Antonio de Ureca,,,,,,
7492229,2306773,link,https://en.wikipedia.org/wiki/San_Antonio_de_Ureca,,,,,,
1110220,2306774,,San Antonio,,,,,,
1615486,2306774,de,San Antonio de Palé,,,,,,
1615487,2306774,en,San Antonio de Palé,,,,,,
1615488,2306774,es,San Antonio de Palé,,,,,,
1615489,2306774,et,Pagalu,,,,,,
1615490,2306774,fi,San Antonio de Palé,,,,,,
1615491,2306774,ja,サンアントニオ・デ・パレ,,,,,,
1615492,2306774,nl,San Antonio de Palé,,,,,,
1615493,2306774,pl,Pagalu,,,,,,
1615494,2306774,pt,San Antonio de Palé,,,,,,
2943708,2306774,link,https://en.wikipedia.org/wiki/San_Antonio_de_Pal%C3%A9,,,,,,
4146235,2306774,,Palé,,,,,,
11106047,2306774,fr,San Antonio de Palé,,,,,,
11110524,2306774,,San Antonio de Palé,,,,,,
11169077,2306774,iata,NBN,,,,,,
11169078,2306774,en,St Antony,,,,1,,
11169079,2306774,en,San Antonio de Praia,,,,1,,
11169080,2306774,uk,Сан-Антоніо-де-Пале,,,,,,
11169081,2306774,ru,Сан-Антонио-де-Пале,,,,,,
11169082,2306774,he,סן אנטוניו דה פאלה,,,,,,
11169083,2306774,ko,산안토니오데팔레,,,,,,
13774149,2306774,unlc,GQABU,,,,,,
15868254,2306774,wkdt,Q1001897,,,,,,
1110221,2306775,,Punta del Suroeste,,,,,,
1110222,2306775,,Punta Manyob,,,,,,
1110223,2306775,,Punta San Antonio,,,,,,
1110224,2306775,,Punta Lagos,,,,,,
1110225,2306775,,Punta Marigob,,,,,,
4146236,2306775,,Punta Manjob,,,,,,
1110226,2306776,,San Pedro,,,,,,
1110227,2306776,,San Antonio,,,,,,
1110228,2306776,,San Antonio del Sur,,,,,,
4146237,2306776,,Mábana,,,,,,
1110229,2306778,,Río Sampaka,,,,,,
1110230,2306778,,Río Sambaka,,,,,,
4146238,2306778,,Río Sampaca,,,,,,
1110231,2306783,,Pointe del Salvador,,,,,,
4146239,2306783,,Punta Salvador,,,,,,
1110232,2306790,,Punta Sagre,,,,,,
1110233,2306790,,Punta Sangre,,,,,,
4146240,2306790,,Punta Sagres,,,,,,
13574104,2306790,,Punta Padgley,,,,,,
13574105,2306790,en,Cape Badgley,,,,1,,
13574106,2306790,es,Punta da Sagre,,,,1,,
1110234,2306792,,Shack-River,,,,,,
4146241,2306792,,Sácriba,,,,,,
1110235,2306801,,Ruma,,,,,,
4146242,2306801,,Río Ruma,,,,,,
1110236,2306802,,Buchica,,,,,,
1110237,2306802,,Ruicha,,,,,,
4146243,2306802,,Ruiché,,,,,,
1110238,2306818,,Continental Guinea,,,,,,
1110239,2306818,,Province of Rio Muni,,,,,,
1110240,2306818,,Continental,,,,,,
1110241,2306818,,Distrito Continental,,,,,,
4146244,2306818,,Provincia de Río Muni,,,,,,
11904694,2306818,link,https://en.wikipedia.org/wiki/R%C3%ADo_Muni,,,,,,
13774156,2306818,unlc,GQRMN,,,,,,
2943709,2306819,link,https://en.wikipedia.org/wiki/R%C3%ADo_Campo,,,,,,
4146245,2306819,,Río Campo,,,,,,
15647255,2306819,wkdt,Q15273982,,,,,,
