AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
162154,251155,,Nísoi Vóries Sporádhes,,,,,,
162155,251155,,Sporades,,,,,,
162156,251155,,Nísoi Vórioi Sporádhes,,,,,,
162157,251155,,Northern Sporádhes,,,,,,
162158,251155,,Voriai Sporades,,,,,,
162159,251155,,Nísoi Voríai Sporádhes,,,,,,
8488588,251155,ru,Северные Спорады,,,,,,
162160,251156,,Frantzeskianá Metókhia,,,,,,
4437554,251156,,Metókhia Fratzeskianá,,,,,,
11168793,251156,el,Φραντζεσκιανά Μετόχια,1,,,,,
11168794,251156,en,Frantzeskiana Metochia,,,,,,
11168795,251156,post,741 00,,,,,,
162161,251157,,Dodekánisos,,,,,,
162162,251157,,Southern Sporades,,,,,,
162163,251157,,Dhodhekánisos,,,,,,
162164,251157,,Nótioi Sporádhes,,,,,,
162165,251157,,Dodekanesos,,,,,,
162166,251157,,Sporádhes,,,,,,
162167,251157,,Dodecanesus,,,,,,
162168,251157,,Notiai Sporadhes,,,,,,
162169,251157,,Dokanisos,,,,,,
162170,251157,,Sporades,,,,,,
2052890,251157,el,Dodekánisa,,,,,,
2052891,251157,el,Δωδεκάνησα,,,,,,
2921884,251157,link,https://en.wikipedia.org/wiki/Southern_Sporades,,,,,,
4437556,251157,en,Dodecanese Islands,,,,,,
6132260,251157,el,Dodekánisos,,,,,,
11810244,251158,el,Kávos Zvígkou,,,,,,
11810245,251158,el,Κάβος Ζβίγκου,,,,,,
11810246,251158,,Kávos Zvíngou,,,,,,
162171,251159,,Órmous Zageriás,,,,,,
3222632,251159,el,Órmos Zogeriás,,,,,,
3222633,251159,el,Órmos Zoyeriás,,,,,,
6132261,251159,el,Órmous Zageriás,,,,,,
11265818,251159,el,Όρμος Ζογεριάς,,,,,,
3222634,251160,el,Ákra Zogeriás,,,,,,
3222635,251160,el,Ákra Zoyeriás,,,,,,
11265819,251160,el,Άκρα Ζογεριάς,,,,,,
162172,251161,,Ákra Zóvolo,,,,,,
4437557,251161,,Ákra Zóvollo,,,,,,
11810247,251161,el,Ákra Zómpolo,,,,,,
11810248,251161,el,Άκρα Ζόμπολο,,,,,,
162173,251162,,Xovígli,,,,,,
4437558,251162,,Zovígli,,,,,,
7953256,251162,el,Ζοβίγλι,,,,,,
162174,251163,el,Ákra Zoúrva,,,,,,
162175,251163,,Cape Zoúrva,,,,,,
162176,251163,,Cape Zurva,,,,,,
3222636,251163,el,Άκρα Ζούρβα,,,,,,
3222637,251163,el,Ákra Zoúrvas,,,,,,
6132262,251163,en,Cape Zurva,,,,,,
6132263,251163,en,Cape Zoúrva,,,,,,
11265820,251163,el,Άκρα Ζούρβας,,,,,,
8158229,251164,el,Zoúrva,,,,,,
8158230,251164,el,Ζούρβα,,,,,,
8440401,251165,,Zoúrva,,,,,,
8440402,251165,el,Ζούρβα,,,,,,
11083956,251165,en,Zourva,,,,,,
7953257,251166,el,Zoúrva,,,,,,
7953258,251166,el,Ζούρβα,,,,,,
162177,251167,,Cape Tsoúnos,,,,,,
162178,251167,,Kavo Zuro,,,,,,
4437559,251167,,Ákra Zoúros,,,,,,
8158231,251167,el,Ákra Tsoúnos,,,,,,
8158232,251167,el,Άκρα Τσούνος,,,,,,
12133772,251167,,Kavo Zuri,,,,,,
162179,251169,,Zourídhi,,,,,,
4437560,251169,,Zourídhion,,,,,,
11168753,251169,el,Ζουρίδι,1,,,,,
11168754,251169,en,Zouridi,,,,,,
11168756,251169,el,Ζουρίδιον,,,,,,
11168757,251169,post,740 55,,,,,,
162180,251170,,Sinoikismós Zourídhianá,,,,,,
4437561,251170,,Zouridhíaná,,,,,,
162181,251171,,Zounáki,,,,,,
4437563,251171,,Zounákion,,,,,,
7953259,251171,el,Ζουνάκι,,,,,,
7953260,251171,el,Ζουνάκιον,,,,,,
162182,251172,,Zoúmpri,,,,,,
162183,251172,,Zoumbrí,,,,,,
4437564,251172,,Velanidiá,,,,,,
162184,251173,,Zoumbátsi,,,,,,
4437565,251173,,Zoumpátsi,,,,,,
162185,251174,,Tsimbáta,,,,,,
4437566,251174,,Zoumbáta,,,,,,
11021532,251174,el,Pigí,,,,,,
11021533,251174,el,Πηγή,,,,,,
11021534,251175,el,Zoumpáta,,,,,,
11021535,251175,el,Ζουμπάτα,,,,,,
11021536,251175,,Zoumbáta,,,,,,
162186,251176,,Ákra Tsouloúfi,,,,,,
162187,251176,,Ákra Zouloúfa,,,,,,
162188,251176,,Cape Zoluphi,,,,,,
4437567,251176,,Ákra Zouloúfi,,,,,,
12004074,251176,el,Άκρα Ζουλούφι,,,,,,
