AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1407242,3426222,,Süd-Sandwich Inseln,,,,,,
1407243,3426222,,South Sandwich Group,,,,,,
1407244,3426222,,Sandwich Land,,,,,,
1407245,3426222,,Sandwich Islands,,,,,,
1407246,3426222,,Sandwich Group,,,,,,
4303410,3426222,,South Sandwich Islands,,,,,,
1407247,3426223,,Isla Georgia del Sur,,,,,,
1407248,3426223,,Süd-Georgien,,,,,,
1407249,3426223,,Isle of Georgia,,,,,,
1407250,3426223,,South Georgia Island,,,,,,
4303411,3426223,,South Georgia,,,,,,
11020282,3426223,,Isla San Pedro,,,,,,
8101927,3426224,link,https://en.wikipedia.org/wiki/Zenker_Ridge,,,,,,
8108592,3426224,,Zenker Ridge,,,,,,
15494553,3426224,wkdt,Q8069140,,,,,,
1407251,3426225,,Zavodovskii Island,,,,,,
1407252,3426225,,Zavodovsk Island,,,,,,
4303412,3426225,,Zavodovski Island,,,,,,
6890189,3426225,link,https://en.wikipedia.org/wiki/Zavodovski_Island,,,,,,
7756368,3426225,no,Zavodovskiøya,,,,,,
11642758,3426225,es,Isla Zavodovski,,,,,,
11642759,3426225,fr,Île Zavodovski,,,,,,
11642760,3426225,it,Isola di Zavodovski,,,,,,
11642761,3426225,nl,Zavodovski-eiland,,,,,,
11642762,3426225,ang,Zavodovski-īeg,,,,,,
11642763,3426225,ar,جزيرة زافودوفسكي,,,,,,
11642764,3426225,fi,Zavodovskin saari,,,,,,
11642765,3426225,ja,ザボドフスキー島,,,,,,
11642766,3426225,ko,자보도프스키 섬,,,,,,
11642767,3426225,lt,Zavodovskio sala,,,,,,
11642768,3426225,lv,Zavodovska sala,,,,,,
11642769,3426225,pt,Ilha Zavodovski,,,,,,
11642770,3426225,ru,Заводовский,,,,,,
11642771,3426225,zh,扎沃多夫斯基岛,,,,,,
8092872,3426226,link,https://en.wikipedia.org/wiki/Wordie_Point,,,,,,
8108593,3426226,,Wordie Point,,,,,,
1407253,3426227,,Whatahope Bay,,,,,,
4303413,3426227,,Windy Cove,,,,,,
7505908,3426227,link,https://en.wikipedia.org/wiki/Windy_Cove,,,,,,
8094052,3426228,link,https://en.wikipedia.org/wiki/Wilson_Rock,,,,,,
8108594,3426228,,Wilson Rock,,,,,,
1407254,3426229,,Wilson Harbor,,,,,,
