AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1436224,3515232,,Laguna El Toro,,,,,,
11998801,3515232,es,Laguna el Toro,,,,,,
1436881,3516608,,Sierra Madre,,,,,,
1436882,3516608,,Sierra de Istatán,,,,,,
1436883,3516608,,Cordillera de Chiapas,,,,,,
1436884,3516608,,Sierra Madre de Chiapas,,,,,,
4225996,3516608,,Sierra de Soconusco,,,,,,
11912447,3516608,es,Madre de Chiapas,,,,,,
1437916,3518029,,Río San Pedro,,,,,,
1437917,3518029,,San Pedro,,,,,,
1437918,3518029,,Río San Pedro Mártir,,,,,,
11998831,3518029,es,Arroyo San Pedro,,,,,,
9756494,3521308,,Río Pojom,,,,,,
9756495,3521308,es,Pojom,,,,,,
10584809,3521308,es,Río Seco,,,,,,
9939945,3522192,es,Laguna el Pais Ban,,,,,,
10649682,3522192,es,Laguna el Paisbán,,,,,,
13292541,3522192,es,El Pais Ban,,,,,,
4233752,3526736,,Río Ixcán,,,,,,
7515005,3526736,link,https://en.wikipedia.org/wiki/Ixc%C3%A1n_River,,,,,,
9757957,3526736,es,Ixcán,,,,,,
9758038,3527090,es,Hoja Blanca,,,,,,
9758039,3527090,,Río Hoja Blanca,,,,,,
1442237,3528681,,Moral,,,,,,
4235697,3528681,,El Moral,,,,,,
1442994,3530540,,Río Coatán,,,,,,
1442995,3530540,,Río Achute,,,,,,
1442996,3530540,,Río Comitan,,,,,,
11912490,3530540,es,Coatán,,,,,,
1443309,3531213,,Río Chajul,,,,,,
1443310,3531213,,Río Sulas,,,,,,
1443311,3531213,,Rio San Blas,,,,,,
1443312,3531213,,Río Xalbal,,,,,,
1443313,3531213,,Río Xacbal,,,,,,
4237831,3531213,,Río Xaclbal,,,,,,
1443455,3531660,,Río San Pedro,,,,,,
1443456,3531660,,Rio Candelarraa,,,,,,
9195363,3531660,es,Candelaria,,,,,,
11999050,3531660,,Río Candelaria,,,,,,
1456868,3581115,,Sarstoon River,,,,,,
1456869,3581115,,Rio Sarstum,,,,,,
1456870,3581115,,Río Sarstoon,,,,,,
4344573,3581115,,Río Sarstún,,,,,,
7122979,3581115,link,https://en.wikipedia.org/wiki/Sarstoon_River,,,,,,
1460408,3587503,,Río Chimalapa,,,,,,
1460409,3587503,,Río El Tambor,,,,,,
4347040,3587503,,Río Jalapa,,,,,,
10773931,3587505,link,https://en.wikipedia.org/wiki/Zunilito,,,,,,
7178512,3587506,link,https://en.wikipedia.org/wiki/Zunilito,,,,,,
7324001,3587506,,Zunilito,,,,,,
16080412,3587507,es,Pico de Zunil,,,,,,
16080413,3587507,,Volcán Zunil,,,,,,
10772771,3587508,link,https://en.wikipedia.org/wiki/Zunil,,,,,,
10786138,3587508,,Municipio de Zunil,,,,,,
16080414,3587508,es,Zunil,,,,,,
2986340,3587510,link,https://en.wikipedia.org/wiki/Zunil,,,,,,
4347041,3587510,,Zunil,,,,,,
16080415,3587517,es,Zompopero,,,,,,
1460410,3587518,,Río del Pilar,,,,,,
1460411,3587518,,Zin,,,,,,
4347042,3587518,,Río Zin,,,,,,
9941077,3587520,es,Zelandia,,,,,,
1460412,3587521,,Sayas,,,,,,
4347043,3587521,,Zayas,,,,,,
4347044,3587525,,Cerro Zarzal,,,,,,
16080416,3587531,es,Río Zarza,,,,,,
1460414,3587532,,Río Zarsaparilla,,,,,,
4347045,3587532,,Río Zarsaparrilla,,,,,,
9941078,3587534,es,Río Zarco,,,,,,
16080417,3587535,es,Río Zarco,,,,,,
16080418,3587536,es,Río Zarco,,,,,,
16080419,3587537,es,Río Zarco,,,,,,
16080420,3587540,es,Río Zarbabal,,,,,,
10772598,3587541,link,"https://en.wikipedia.org/wiki/Zaragoza,_Chimaltenango",,,,,,
10786139,3587541,,Municipio de Zaragoza,,,,,,
16080421,3587541,es,Zaragoza,,,,,,
1460415,3587542,,Hacienda Zaragoza,,,,,,
4347046,3587542,,Finca Zaragoza,,,,,,
7129204,3587543,link,https://en.wikipedia.org/wiki/Zaragoza%2C_Chimaltenango,,,,,,
7324002,3587543,,Zaragoza,,,,,,
10772731,3587545,link,"https://en.wikipedia.org/wiki/Zapotitl%C3%A1n,_Jutiapa",,,,,,
10786140,3587545,,Municipio de Zapotitlán,,,,,,
16080422,3587545,es,Zapotitlán,,,,,,
2986341,3587546,link,https://en.wikipedia.org/wiki/Zapotitl%C3%A1n%2C_Jutiapa,,,,,,
4347047,3587546,,Zapotitlán,,,,,,
1460416,3587547,,El Zapote,,,,,,
4347048,3587547,,Zapote del Bálsamo,,,,,,
1460417,3587549,,Río Shinshín,,,,,,
4347049,3587549,,Río Zapote,,,,,,
9941079,3587555,es,Quebrada Zapote,,,,,,
15970145,3587556,es,Finca El Zapote,,,,,,
15970146,3587556,,Finca Zapote,,,,,,
1460418,3587558,,El Zapote,,,,,,
4347050,3587558,,Zapote,,,,,,
1460419,3587560,,Laguna Zapotal,,,,,,
4347051,3587560,,Laguneta Zapotal,,,,,,
1460420,3587563,,Zanjón Seca,,,,,,
4347052,3587563,,Hacienda Zanjón Seco,,,,,,
10391557,3587563,es,Zanjón Seco,,,,,,
1460421,3587564,,San Lorenzo,,,,,,
4347053,3587564,,Zanjón San Lorenzo,,,,,,
10391558,3587564,es,Zanjón San Lorenzo Ayutla,,,,,,
9941080,3587565,es,Zanjón El Tiesto,,,,,,
16080423,3587566,es,Zanjón de Agua,,,,,,
15970147,3587569,es,Quebrada de Zaculeu,,,,,,
5707929,3587571,link,https://en.wikipedia.org/wiki/Zaculeu,,,,,,
5722939,3587571,,Zaculeu,,,,,,
11602907,3587571,lt,Zakuleu,,,,,,
11602908,3587571,ru,Сакулеу,,,,,,
15970148,3587572,es,Zaculeu,,,,,,
7324003,3587573,,Zaculeu,,,,,,
15536318,3587573,wkdt,Q139979,,,,,,
1460422,3587574,,Zacualpa,,,,,,
4347054,3587574,,Zacuapa,,,,,,
7160808,3587578,link,https://en.wikipedia.org/wiki/Zacualpa,,,,,,
7324004,3587578,,Zacualpa,,,,,,
1460423,3587582,,Sakatal,,,,,,
4347055,3587582,,Zacatal,,,,,,
1460424,3587583,,Sitio Arqueológico Zacatal,,,,,,
4347056,3587583,,Zacatal,,,,,,
10773950,3587585,link,https://en.wikipedia.org/wiki/Zacapa,,,,,,
10786141,3587585,,Municipio de Zacapa,,,,,,
16080424,3587585,es,Zacapa,,,,,,
2185274,3587586,,Zacapa,1,1,,,,
2986342,3587586,link,https://en.wikipedia.org/wiki/Zacapa_Department,,,,,,
5650271,3587586,,Departamento de Zacapa,,,,,,
2986343,3587587,link,https://en.wikipedia.org/wiki/Zacapa,,,,,,
3043386,3587587,ru,Сакапа,,,,,,
