AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1044093,2113335,,Galvez Bank,,,,,,
1044154,2114227,,Malaguana-Gadao Ridge,,,,,,
6533419,2114227,,South Back Arc Spreading Center - Fumarolic Activity,,,,,,
6533420,2114227,,Archaean Site - Fumarolic Activity,,,,,,
6533421,2114227,,Pika Site - Fumarolic Activity,,,,,,
6533422,2114227,,Mariana Trench Marine National Monument - Vents Unit,,,,,,
6634561,4038438,,WW2,,,,,,
6634613,4038440,,Peladgi Islets,,,,,,
15350536,4038452,wkdt,Q25185627,,,,,,
6582442,4038456,,Golf Pier G,,,,,,
15757534,4038472,wkdt,Q25185626,,,,,,
6634691,4038473,post,96915,,,,,,
6884314,4038473,link,https://en.wikipedia.org/wiki/Piti%2C_Guam,,,,,,
12512120,4038473,,Piti Village,,,,,,
12559134,4038473,,Petey,,,,,,
12668088,4038473,,Piti Vilage,,,,,,
8234388,4038478,link,"https://en.wikipedia.org/wiki/Piti,_Guam",,,,,,
8487004,4038478,,Piti,1,1,,,,
6594271,4038479,,War in the Pacific National Historical Park - Piti Guns Unit,,,,,,
6594272,4038479,,US National Register of Historic Places,,,,,,
6633877,4038481,,MEC Plant - Marianas Energy Company,,,,,,
12537514,4038481,,Piti Power Plant,,,,,,
6634588,4038483,,US National Register of Historic Places,,,,,,
6634593,4038483,es,Plaza de Magallanes,,,,1,,
12433117,4038483,,Plaza Principal,,,,,,
12559135,4038483,,Plaza de Espana *,,,,,,
12708560,4038483,,Magellan Plaza,,,,,,
12748881,4038483,,Plaza Espagna,,,,,,
15569223,4038492,wkdt,Q25185621,,,,,,
6634719,4038495,,Two Lovers Park,,,,,,
15850410,4038500,wkdt,Q25185620,,,,,,
8074777,4038502,link,https://en.wikipedia.org/wiki/Ritidian_Point,,,,,,
12760303,4038503,,Ritidian Unit Guam National Wildlife Refuge,,,,,,
12367353,4038509,,Sabana Maleyuc Hill,,,,,,
12537512,4038509,,Maleyuc Sabana,,,,,,
12472777,4038522,,Saint John's School,,,,,,
12453310,4038523,,Saint John's Church,,,,,,
12444309,4038524,,Saint Joseph's Church,,,,,,
15443732,4038531,wkdt,Q25185616,,,,,,
6634186,4038540,,San Francisco de Assisi,,,,,,
15670220,4038543,wkdt,Q25185615,,,,,,
5713565,4038546,link,https://en.wikipedia.org/wiki/Mount_Lamlam,,,,,,
6582411,4038546,,Lamlam - Top of Guam,,,,,,
6633848,4038546,,SW Mountain Chain,,,,,,
6634690,4038554,post,96915,,,,,,
6879816,4038554,link,https://en.wikipedia.org/wiki/Santa_Rita%2C_Guam,,,,,,
7636314,4038554,en,Santa Rita,1,,,,,
7752400,4038555,link,"https://en.wikipedia.org/wiki/Santa_Rita,_Guam",,,,,,
8487008,4038555,,Santa Rita,1,1,,,,
6634191,4038557,,Hyundai,,,1,,,
6633868,4038559,,Volcanic Outcrop through Limestone Plateau,,,,,,
16077765,4038561,,Pope John Paul II Guam Visit 1981 Monument,,,,,,
6633855,4038566,,SW Mountain Chain,,,,,,
15466902,4038566,wkdt,Q25185610,,,,,,
6634221,4038568,,Satpon Point,,,,,,
12668089,4038568,,Saupon Point,,,,,,
15244177,4038568,wkdt,Q25185609,,,,,,
6634628,4038570,,Navol Governor Seaton Schroeder 1900,,,,,,
2989153,4038588,link,https://en.wikipedia.org/wiki/Sinajana%2C_Guam,,,,,,
6634710,4038588,post,96910,,,,,,
12537513,4038588,,Sinahanna,,,,,,
13597623,4038588,,Sinajana,,,,,,
13774958,4038588,unlc,GUSJA,,,,,,
6582332,4038590,ch,Sinahånña,,,,,,
8234389,4038590,link,"https://en.wikipedia.org/wiki/Sinajana,_Guam",,,,,,
8487005,4038590,,Sinajana,1,1,,,,
12596943,4038597,,Saucio,,,,,,
12409768,4038603,,South Tipalao Housing Area,,,,,,
6874559,4038604,link,https://en.wikipedia.org/wiki/Southern_High_School_%28Guam%29,,,,,,
15287565,4038604,wkdt,Q7569978,,,,,,
6582456,4038606,es,Piedras de la Fragata Espanola,,,,1,,
12625170,4038606,,Rocks of the Spanish Frigate,,,,,,
6634203,4038608,,Sumay Villagers moved to new Santa Rita Village,,,,,,
12596944,4038608,,Sumai,,,,,,
6594282,4038610,,Sumay Cemetary,,,,,,
6594283,4038610,,US National Register of Historic Places,,,,,,
12748883,4038612,,Sumay,,,,,,
6634528,4038615,,Superior Court of Guam,,,,,,
6634529,4038615,,Supreme Court of Guam,,,,,,
6634530,4038615,,Drug Courts of Guam,,,,,,
6634531,4038615,,Traffic Court of Guam,,,,,,
6634532,4038615,,Small Claims Court of Guam,,,,,,
15762382,4038621,wkdt,Q25185599,,,,,,
15550899,4038623,wkdt,Q25185598,,,,,,
6633845,4038625,,SW Mountain Chain,,,,,,
15686434,4038625,wkdt,Q25185597,,,,,,
13641662,4038627,,Tagachang Beach,,,,,,
15780142,4038627,wkdt,Q25185596,,,,,,
