AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1089287,2250679,,Rio Gêba,,,,,,
1089289,2250679,,Rio Xaianga,,,,,,
1089290,2250679,,Gerba Rivière,,,,,,
1089291,2250679,,Rio Jeba,,,,,,
4104766,2250679,,Kayanga,,,,,,
6960210,2250679,en,Geba River,,,,,,
1123186,2368655,,Ilha Madara,,,,,,
4259689,2368655,,Ilha da Zagaia,,,,,,
15710645,2368655,wkdt,Q25192550,,,,,,
1123187,2368657,,Chitoli,,,,,,
1123188,2368657,,Chitole,,,,,,
4259690,2368657,,Xitole,,,,,,
15911161,2368657,link,https://en.wikipedia.org/wiki/Xitole,,,,,,
1123189,2368659,,Chime,,,,,,
4259691,2368659,,Xime,,,,,,
15821633,2368659,wkdt,Q54804572,,,,,,
1123190,2368665,,Rio Chiangará,,,,,,
4259692,2368665,,Rio Xâncara,,,,,,
1123191,2368670,,Ponta Cabral,,,,,,
4259693,2368670,,Vila Nova,,,,,,
1123192,2368682,,Cabo Barella,,,,,,
1123193,2368682,,Cabo Varela,,,,,,
4259694,2368682,,Ponta Varela,,,,,,
15672751,2368682,wkdt,Q25192531,,,,,,
1123194,2368684,,Iale,,,,,,
4259695,2368684,,Varela,,,,,,
1123195,2368685,,Praia da Varela,,,,,,
4259696,2368685,,Varela,,,,,,
15654439,2368686,wkdt,Q25192529,,,,,,
15956856,2368686,,Praia das Vacas,,,,,,
1123196,2368696,,Utonque,,,,,,
4259697,2368696,,Utanque,,,,,,
1123197,2368710,,Ura,,,,,,
4259698,2368710,,Ura Missirá,,,,,,
1123198,2368711,,Orakan Island,,,,,,
1123199,2368711,,Ilha Uracão,,,,,,
4259699,2368711,,Ilha de Uracane,,,,,,
15561908,2368711,wkdt,Q25192511,,,,,,
1123203,2368714,,Olôto,,,,,,
4259700,2368714,,Uoloto,,,,,,
1123204,2368719,,Untague,,,,,,
4259701,2368719,,Untaque,,,,,,
1123205,2368721,,Bolanha,,,,,,
4259702,2368721,,Untabualo,,,,,,
1123206,2368728,,Ilha Une,,,,,,
1123207,2368728,,Ul Island,,,,,,
4259703,2368728,,Ilha de Uno,,,,,,
7501996,2368728,link,https://en.wikipedia.org/wiki/Uno_%28Guinea-Bissau%29,,,,,,
1123208,2368729,,Zegzeg Island,,,,,,
4259704,2368729,,Ilha de Unhocomozinho,,,,,,
15447170,2368729,wkdt,Q25192503,,,,,,
7488809,2368730,link,https://en.wikipedia.org/wiki/Unhacomo,,,,,,
7566142,2368730,,Ilha de Unhocomo,,,,,,
1123209,2368731,,Ungará,,,,,,
4259705,2368731,,Ungurá,,,,,,
1123210,2368732,,Rio de Cantonaz,,,,,,
4259706,2368732,,Rio Unguebágabà,,,,,,
1123211,2368737,,Undarim,,,,,,
4259707,2368737,,Unfarim,,,,,,
1123212,2368755,,Unge,,,,,,
4259708,2368755,,Unche,,,,,,
1123213,2368765,,Umoá,,,,,,
4259709,2368765,,Umuã,,,,,,
1123214,2368771,,Ompabe,,,,,,
4259710,2368771,,Umpabá,,,,,,
1123215,2368775,,Umbunganhete,,,,,,
4259711,2368775,,Umbuganhete,,,,,,
1123216,2368785,,Umaro Jaia,,,,,,
4259712,2368785,,Umaro Jai,,,,,,
1123217,2368797,,Udjégui,,,,,,
1123218,2368797,,Ujoque,,,,,,
4259713,2368797,,Ujeque,,,,,,
1123219,2368805,,Ufoia Balari,,,,,,
4259714,2368805,,Ufoia Baleri,,,,,,
1123220,2368806,,Ufoia Baciri,,,,,,
4259715,2368806,,Ufoia Baciro,,,,,,
1123221,2368808,,Undechole,,,,,,
4259716,2368808,,Uerechole,,,,,,
1123222,2368809,,Vensacó,,,,,,
4259717,2368809,,Uensacó,,,,,,
1123223,2368815,,Sinchã Duloiel,,,,,,
4259718,2368815,,Uelíngarà,,,,,,
7036105,2368819,link,https://en.wikipedia.org/wiki/Uel%C3%ADngar%C3%A0,,,,,,
7112025,2368819,,Uelingarà,,,,,,
1123224,2368822,,Uedé Queia,,,,,,
4259719,2368822,,Uediqueia,,,,,,
1123225,2368824,,Rio Undaúma,,,,,,
4259720,2368824,,Rio Udunduma,,,,,,
15760614,2368827,wkdt,Q25192456,,,,,,
15956857,2368827,,Ponta Udate,,,,,,
15430983,2368829,wkdt,Q25192452,,,,,,
15956858,2368829,,Praia de Udane,,,,,,
1123226,2368844,,Sara Mamadi,,,,,,
1123227,2368844,,Uassadim,,,,,,
4259721,2368844,,Uassadu,,,,,,
1123228,2368845,,Uassado,,,,,,
1123229,2368845,,Sare Jaja,,,,,,
4259722,2368845,,Uassadu,,,,,,
1123230,2368848,,Ossadú,,,,,,
4259723,2368848,,Uassado,,,,,,
1123231,2368850,,Curral,,,,,,
4259724,2368850,,Uassado,,,,,,
1123232,2368854,,Uranto,,,,,,
4259725,2368854,,Uaranto,,,,,,
1123233,2368855,,Uarancande,,,,,,
4259726,2368855,,Uarancanda,,,,,,
1123234,2368859,,Uac,,,,,,
4259727,2368859,,Uaque,,,,,,
1123235,2368862,,Uaquelim,,,,,,
1123236,2368862,,Uanquilin,,,,,,
4259728,2368862,,Uanquelim,,,,,,
1123237,2368865,,Unhal,,,,,,
4259729,2368865,,Uánhal,,,,,,
1123238,2368871,,Uana,,,,,,
1123239,2368871,,Uame,,,,,,
4259730,2368871,,Uaná Porto,,,,,,
1123243,2368886,,Ualade,,,,,,
4259731,2368886,,Ualada,,,,,,
1123244,2368887,,Galoiel,,,,,,
4259732,2368887,,Uajê Mandinga,,,,,,
1123245,2368888,,Uaje Fulbe,,,,,,
1123246,2368888,,Uajê Coli,,,,,,
4259733,2368888,,Uajê Fula,,,,,,
1123247,2368897,,Rio Uá Chape,,,,,,
4259734,2368897,,Rio Uachapo,,,,,,
7036920,2368898,link,https://en.wikipedia.org/wiki/Uacaba,,,,,,
7112026,2368898,,Uacaba,,,,,,
15303492,2368898,wkdt,Q7876327,,,,,,
15911160,2368899,link,https://en.wikipedia.org/wiki/Uacaba,,,,,,
15956859,2368899,,Uacaba,,,,,,
1123248,2368903,,Rio Mabal,,,,,,
4259735,2368903,,Rio Turaia,,,,,,
1123249,2368905,,Tunquia,,,,,,
4259736,2368905,,Tungina,,,,,,
1123250,2368911,,Tumaneia,,,,,,
4259737,2368911,,Tumania,,,,,,
1123251,2368918,,Tubandem,,,,,,
4259738,2368918,,Tubadim,,,,,,
1123252,2368919,,Tobacuta,,,,,,
4259739,2368919,,Tubácutà,,,,,,
1123253,2368922,,Tringal,,,,,,
4259740,2368922,,Trangal,,,,,,
1123254,2368929,,Rio Petu,,,,,,
1123255,2368929,,Quenau,,,,,,
4259741,2368929,,Rio de Tor,,,,,,
1123256,2368932,,Rio Tansoide,,,,,,
4259742,2368932,,Rio Tonsongi,,,,,,
1123258,2368949,,Tamborã,,,,,,
4259743,2368949,,Tomburã,,,,,,
15750710,2368953,wkdt,Q25192374,,,,,,
15956860,2368953,,Ponta Tombali,,,,,,
1123259,2368954,,Gibraltar,,,,,,
1123260,2368954,,Caleu,,,,,,
1123261,2368954,,Ilheu de Colbert,,,,,,
2944071,2368954,link,https://en.wikipedia.org/wiki/Tombali,,,,,,
4259744,2368954,,Tombali,,,,,,
15341955,2368954,wkdt,Q2305120,,,,,,
2185375,2368955,en,Tombali,,1,,,,
5700643,2368955,link,https://en.wikipedia.org/wiki/Tombali_Region,,,,,,
9394968,2368955,en,Tombali Region,,,,,,
9394969,2368955,es,Región de Tombali,,,,,,
9394970,2368955,it,Regione di Tombali,,,,,,
9394971,2368955,bg,Томбали,,,,,,
9394972,2368955,eo,Regiono Tombali,,,,,,
9394973,2368955,fi,Tombalin alue,,,,,,
9394974,2368955,ja,トンバリ州,,,,,,
9394975,2368955,ko,톰발리 주,,,,,,
9394976,2368955,ro,Regiunea Tombali,,,,,,
9394977,2368955,pl,Region Tombali,,,,,,
9394978,2368955,zh,通巴利區,,,,,,
10644055,2368955,,Região de Tombali,,,,,,
14911173,2368955,wkdt,Q1047255,,,,,,
7531405,2368962,link,https://en.wikipedia.org/wiki/Tite_%28Guinea-Bissau%29,,,,,,
7566143,2368962,,Tite,,,,,,
1123262,2368967,,Patasse,,,,,,
1123263,2368967,,Rio de Coache,,,,,,
4259745,2368967,,Rio Tinquilim,,,,,,
1123264,2368981,,Tianacunda,,,,,,
4259746,2368981,,Tienecunda,,,,,,
1123267,2369006,,Tento,,,,,,
4259747,2369006,,Tencó,,,,,,
1123268,2369010,,Tamanto,,,,,,
4259748,2369010,,Temanto,,,,,,
1123269,2369011,,Malã Dalassi,,,,,,
4259749,2369011,,Temanco,,,,,,
1123270,2369012,,Temambú,,,,,,
4259750,2369012,,Temanbu,,,,,,
1123271,2369016,,Teié,,,,,,
4259751,2369016,,Tehé,,,,,,
1123272,2369017,,Iecache,,,,,,
4259752,2369017,,Tecache,,,,,,
15363855,2369028,wkdt,Q25192339,,,,,,
15956861,2369028,,Felo Tarije,,,,,,
1123273,2369029,,Tarige,,,,,,
1123274,2369029,,Tarija,,,,,,
4259753,2369029,,Tarije,,,,,,
1123275,2369036,,Tantan Cossé,,,,,,
4259754,2369036,,Tantã Cossé Bacari,,,,,,
1123276,2369041,,Batur,,,,,,
4259755,2369041,,Tancroal,,,,,,
1123277,2369053,,Tambiuol,,,,,,
4259756,2369053,,Rio Tambenji,,,,,,
1123278,2369054,,Tambato,,,,,,
4259757,2369054,,Tambato Mandinga,,,,,,
1123279,2369057,,Tambaio,,,,,,
4259758,2369057,,Tambato,,,,,,
1123280,2369061,,Tabandinto,,,,,,
4259759,2369061,,Tambandinto,,,,,,
1123281,2369063,,Tambá Bofá,,,,,,
4259760,2369063,,Tambambófa,,,,,,
1123282,2369072,,Rio dos Cavalos Marinhas,,,,,,
1123283,2369072,,Rio de Taricó,,,,,,
4259761,2369072,,Rio de Talicó,,,,,,
1123284,2369075,,Tabacó,,,,,,
4259762,2369075,,Talicó,,,,,,
1123285,2369083,,Rio Sàába,,,,,,
4259763,2369083,,Rio Tagugi,,,,,,
1123286,2369089,,Tadi,,,,,,
4259764,2369089,,Tade,,,,,,
1123287,2369094,,Sinchã Gobudu,,,,,,
4259765,2369094,,Tabaúma,,,,,,
1123288,2369097,,Sinchã Coli,,,,,,
4259766,2369097,,Tabatô,,,,,,
1123289,2369098,,Tabassé,,,,,,
1123290,2369098,,Tobasse,,,,,,
4259767,2369098,,Tabassi,,,,,,
1123291,2369101,,Tambandinto,,,,,,
4259768,2369101,,Tabandinto,,,,,,
1123292,2369104,,Mansabá,,,,,,
4259769,2369104,,Tabanca Nova,,,,,,
1123293,2369112,,Tabojenque,,,,,,
4259770,2369112,,Tabajenque,,,,,,
1123294,2369114,,Carantábá,,,,,,
4259771,2369114,,Tabajã,,,,,,
15554626,2369116,wkdt,Q25192275,,,,,,
15956862,2369116,,Felo Tabage,,,,,,
1123295,2369120,,Suto Manca,,,,,,
4259772,2369120,,Sutumaca,,,,,,
1123296,2369126,,Suzana,,,,,,
1123297,2369126,,Suxana,,,,,,
4259773,2369126,,Susana,,,,,,
1123298,2369133,,Suntuncuia,,,,,,
4259774,2369133,,Suntucuiá,,,,,,
1123299,2369140,,Sume,,,,,,
4259775,2369140,,Sumo,,,,,,
1123300,2369148,,Soluco,,,,,,
4259776,2369148,,Sulucó,,,,,,
1123301,2369153,,Ponta Ambuba,,,,,,
4259777,2369153,,Ponta Sueste,,,,,,
1123302,2369154,,Paiai Gaidê,,,,,,
4259778,2369154,,Rio de Sudoôtro,,,,,,
1123303,2369155,,Paiai Gaidê,,,,,,
4259779,2369155,,Sudoótro,,,,,,
1123304,2369160,,Sucuta,,,,,,
4259780,2369160,,Sucutò,,,,,,
1123305,2369163,,Sucuta,,,,,,
4259781,2369163,,Sucuto,,,,,,
1123306,2369164,,Madina Fali,,,,,,
4259782,2369164,,Sucuta,,,,,,
