AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1391903,3374943,,Barakara Mission,,,,,,
4409403,3374943,,Barakara,,,,,,
1391904,3374946,,Zorg en Vlygt,,,,,,
4409404,3374946,,Zorg en Vlyt,,,,,,
1391905,3374947,,Zorg en Vlief,,,,,,
4409405,3374947,,Zorg en Vlygt,,,,,,
1391906,3374948,,Zorgen Vleit,,,,,,
1391907,3374948,,Zorgen Vliet,,,,,,
4409406,3374948,,Zorgen Vlygt,,,,,,
7657804,3374948,,Zorg en Vlygt,,,,,,
1391908,3374951,,Number 18,,,,,,
4409407,3374951,,Zorg,,,,,,
8101005,3374952,link,https://en.wikipedia.org/wiki/Zombie_Creek,,,,,,
8109646,3374952,,Zombie Creek,,,,,,
1391909,3374955,,Sion,,,,,,
4409408,3374955,,Zion,,,,,,
1391910,3374957,,Zibingaatzako,,,,,,
4409409,3374957,,Zibingatzato Mountain,,,,,,
5900941,3374962,link,https://en.wikipedia.org/wiki/Fort_Zeelandia_%28Guyana%29,,,,,,
6132141,3374962,,Fort Zeelandia,,,,,,
15693355,3374962,wkdt,Q172962,,,,,,
1391911,3374963,,Zealandia,,,,,,
4409410,3374963,,Zeelandia,,,,,,
15911493,3374963,link,"https://en.wikipedia.org/wiki/Zeelandia,_Guyana",,,,,,
7173158,3374966,link,https://en.wikipedia.org/wiki/Zeeburg%2C_Guyana,,,,,,
7325104,3374966,,Zeeburg,,,,,,
1391912,3374968,,Zaruma Val,,,,,,
1391913,3374968,,Zaruma Fall,,,,,,
4409411,3374968,,Zaruma Falls,,,,,,
11020870,3374969,en,Yarowa River,,,,,,
11020871,3374969,,Yurowa River,,,,,,
1391914,3374970,,Yurona River,,,,,,
4409412,3374970,,Yurora River,,,,,,
1391915,3374971,,Yureppe Creek,,,,,,
4409413,3374971,,Yurepa Creek,,,,,,
1391916,3374972,,Halakuya Creek,,,,,,
4409414,3374972,,Yurapau Creek,,,,,,
7325105,3374974,,Yarabu Creek,,,,,,
7325106,3374974,,Yurabu Creek,,,,,,
1391917,3374976,,Eupukari,,,,,,
1391918,3374976,,Yupukari,,,,,,
4409415,3374976,,Yupukarri,,,,,,
11020872,3374977,en,Yukurishi Island,,,,,,
1391919,3374978,,Yukirishi River,,,,,,
1391920,3374978,,Yukurishi River,,,,,,
4409416,3374978,,Yukurishi Creek,,,,,,
7657805,3374980,,Yoku Creek,,,,,,
7657806,3374980,,Yuku Creek,,,,,,
1391921,3374982,,Yukanopito Fall,,,,,,
1391922,3374982,,Yucanopito Fall,,,,,,
4409417,3374982,,Yukanopito Falls,,,,,,
1391923,3374983,,Yubaniwau,,,,,,
4409418,3374983,,Yubani River,,,,,,
1391924,3374984,,Yawanna Island,,,,,,
4409419,3374984,,Yowanna Island,,,,,,
1391925,3374985,,Yauribiara Lake,,,,,,
4409420,3374985,,Youribana Lake,,,,,,
7657807,3374988,,Yurabo,,,,,,
7657808,3374988,,Yoruba,,,,,,
1391926,3374994,,Yaiemabaru Creek,,,,,,
1391927,3374994,,Ylembaru Creek,,,,,,
4409421,3374994,,Yiembaru Creek,,,,,,
15151970,3374996,wkdt,Q25211059,,,,,,
15977726,3374996,,Yewale Mountain,,,,,,
11020873,3374997,en,Yesi Island,,,,,,
15737435,3374997,wkdt,Q25211058,,,,,,
1391928,3374999,,Yesikabra Creek,,,,,,
1391929,3374999,,Yesikabra River,,,,,,
4409422,3374999,,Yesekabra River,,,,,,
1391930,3375005,,Yarow Yourabo Creek,,,,,,
4409423,3375005,,Yawrabo Creek,,,,,,
1391931,3375006,,Yawang,,,,,,
4409424,3375006,,Yawong River,,,,,,
1391932,3375007,,Yawari Creek,,,,,,
4409425,3375007,,Yawari River,,,,,,
7657809,3375011,,Yaurandan Creek,,,,,,
7657810,3375011,,Yauradan Creek,,,,,,
1391933,3375012,,Yukabura Creek,,,,,,
4409426,3375012,,Yaukabura Creek,,,,,,
1391934,3375013,,Yatuna,,,,,,
4409427,3375013,,Yatuna Creek,,,,,,
1391935,3375021,,Yarokabra Creek,,,,,,
1391936,3375021,,Yarrokabra Creek,,,,,,
4409428,3375021,,Yarowkabra Creek,,,,,,
11020874,3375023,en,Yarowkabra Creek,,,,,,
1391937,3375025,,Yarawaia,,,,,,
4409429,3375025,,Yarowbia Creek,,,,,,
14895707,3375026,wkdt,Q25211039,,,,,,
15977727,3375026,,Yaronglar Mountain,,,,,,
1391938,3375027,,Yarkurabu Creek,,,,,,
4409430,3375027,,Yarkurabu River,,,,,,
1391939,3375028,,Yari-Yarima Creek,,,,,,
4409431,3375028,,Yariyarima River,,,,,,
7325107,3375029,,Yari-yari,,,,,,
7325108,3375029,,Yariyari Creek,,,,,,
1391940,3375031,,Yaririkabra Creek,,,,,,
4409432,3375031,,Yarirakabra Creek,,,,,,
15820387,3375038,wkdt,Q25211030,,,,,,
15977728,3375038,,Yarakita Hill,,,,,,
1391941,3375039,,Yaori Mountain,,,,,,
4409434,3375039,,Yaore Mountain,,,,,,
15151901,3375039,wkdt,Q25211029,,,,,,
1391942,3375044,,Yamura Island,,,,,,
4409435,3375044,,Yamuru Island,,,,,,
15652990,3375044,wkdt,Q25211025,,,,,,
1391943,3375045,,Yumuruina Creek,,,,,,
4409436,3375045,,Yamuruina Creek,,,,,,
7325109,3375046,,Yamparri River,,,,,,
7325110,3375046,,Yamparri Creek,,,,,,
1391944,3375047,,Yamara,,,,,,
4409437,3375047,,Yamora Creek,,,,,,
1391945,3375049,,Yama,,,,,,
4409438,3375049,,Yamat Mountain,,,,,,
15151887,3375049,wkdt,Q25211020,,,,,,
11020875,3375051,en,Yakusari Creek,,,,,,
11020876,3375052,en,Yakusari Canal,,,,,,
15479493,3375057,wkdt,Q25211014,,,,,,
15977730,3375057,,Mount Yaki,,,,,,
1391946,3375059,,Yakata Creek,,,,,,
4409439,3375059,,Yakata River,,,,,,
11020877,3375062,en,Yakarabaru Creek,,,,,,
7325111,3375065,,Wyngaants Rust,,,,,,
7325112,3375065,,Wyngaarts Rust,,,,,,
7325113,3375066,,Wyngaerts Lust,,,,,,
7325114,3375066,,Wyngaarts Lust,,,,,,
1391947,3375069,,Wuritipu,,,,,,
4409441,3375069,,Wuritupu Mountain,,,,,,
15151830,3375069,wkdt,Q25226907,,,,,,
1391948,3375070,,Woweta,,,,,,
4409443,3375070,,Woweta Village,,,,,,
15911492,3375070,link,https://en.wikipedia.org/wiki/Wowetta,,,,,,
7657811,3375074,,Worikibaru Creek,,,,,,
7657812,3375074,,Worikibaru,,,,,,
7657813,3375074,,Worikaburu River,,,,,,
1391949,3375076,,Woodly Park,,,,,,
4409444,3375076,,Woodley Park,,,,,,
11296488,3375081,link,https://en.wikipedia.org/wiki/Mount_Wokomung,,,,,,
11392986,3375081,,Mount Wokomung,,,,,,
15381856,3375081,wkdt,Q23582034,,,,,,
15151677,3375084,wkdt,Q25210975,,,,,,
15977731,3375084,,Wiwitau Mountain,,,,,,
1391950,3375085,,Wituru Rapid,,,,,,
1391951,3375085,,Witaru Fall,,,,,,
1391952,3375085,,Witaru Rapid,,,,,,
4409445,3375085,,Witaru Falls,,,,,,
7325115,3375086,,Wissibini River,,,,,,
7325116,3375086,,Wissibini Creek,,,,,,
1391953,3375087,,Wisemar,,,,,,
4409446,3375087,,Wismar,,,,,,
1391954,3375090,,Wiruni River,,,,,,
4409447,3375090,,Wiruni Creek,,,,,,
1391955,3375097,,Winters Fall,,,,,,
4409448,3375097,,Winters Falls,,,,,,
11020878,3375098,en,Winters Creek,,,,,,
1391956,3375099,,Winipiru,,,,,,
4409449,3375099,,Wineperu River,,,,,,
1391957,3375100,,Winipiru,,,,,,
1391958,3375100,,Wineperu Creek,,,,,,
1391959,3375100,,Winepiru,,,,,,
4409450,3375100,,Wineperu River,,,,,,
7657814,3375100,,Wineparu Creek,,,,,,
7657815,3375100,,Peruruni Creek,,,,,,
11020879,3375105,en,Windsor Castle,,,,,,
1391960,3375106,,Willis Landing,,,,,,
4409451,3375106,,Willis’ Point,,,,,,
11020880,3375111,en,Wilikiturin Creek,,,,,,
1391961,3375113,,Number 18,,,,,,
4409452,3375113,,Wilhelmina,,,,,,
7657816,3375113,,Number Eighteen Wilhelmina,,,,,,
1391962,3375115,,River Wicki,,,,,,
1391963,3375115,,Wikky River,,,,,,
4409453,3375115,,Wikki River,,,,,,
1391964,3375116,,Wikki Indian Reservation,,,,,,
1391965,3375116,,Wikki Amerindian Reservation,,,,,,
4409454,3375116,,Wikki Amerindian District,,,,,,
1391966,3375117,,Wichabai Creek,,,,,,
4409455,3375117,,Wichabai River,,,,,,
2984304,3375118,link,https://en.wikipedia.org/wiki/Wichabai,,,,,,
4409456,3375118,,Wichabai,,,,,,
15709586,3375118,wkdt,Q7998092,,,,,,
1391967,3375120,,White Creek,,,,,,
4409457,3375120,,White Water Creek,,,,,,
11020882,3375121,en,White Water Creek,,,,,,
1391968,3375125,,White Creek,,,,,,
4409458,3375125,,White River,,,,,,
1391969,3375126,,White Creek,,,,,,
4409459,3375126,,White River,,,,,,
1391970,3375128,,White River,,,,,,
4409460,3375128,,White Creek,,,,,,
11020883,3375133,en,White Creek,,,,,,
1391971,3375137,,Attei Hill,,,,,,
4409461,3375137,,White Cliff,,,,,,
15151246,3375141,wkdt,Q25210887,,,,,,
15977732,3375141,,Whatope Mountain,,,,,,
15300648,3375142,wkdt,Q25210885,,,,,,
15977733,3375142,,Whartons Mine,,,,,,
1391972,3375143,,Whannamaparu River,,,,,,
4409464,3375143,,Whanamaparu Creek,,,,,,
7657817,3375143,,Whanamaparu River,,,,,,
1391973,3375144,,Weyabu River,,,,,,
4409465,3375144,,Weyabo Creek,,,,,,
1391974,3375149,,Rio Muri West,,,,,,
1391975,3375149,,Muri River,,,,,,
4409466,3375149,,West Muri River,,,,,,
1391976,3375152,,Rio Kutari West,,,,,,
4409467,3375152,,West Kutari River,,,,,,
1391977,3375153,,Rio Kassikaityu West,,,,,,
4409468,3375153,,West Kassikaityu River,,,,,,
7657818,3375158,,Essequibo River West Channel,,,,,,
7657819,3375158,,West Channel,,,,,,
11020884,3375159,en,Westbury,,,,,,
1391978,3375160,,Rio Aramatau West,,,,,,
4409469,3375160,,West Aramatau River,,,,,,
1391979,3375161,,Amuku River,,,,,,
4409470,3375161,,West Amuku River,,,,,,
7424941,3375162,,Werk-en-Rust,,,,,,
7424942,3375162,,Werk en Rust,,,,,,
1391980,3375163,,Weri Weraikuru Creek,,,,,,
4409472,3375163,,Weri-Werai-Kuru River,,,,,,
1391981,3375164,,Werikuru Creek,,,,,,
4409473,3375164,,Wereikuru Creek,,,,,,
11020885,3375166,en,Werebaru Creek,,,,,,
1391982,3375168,,New Ground Village,,,,,,
2984305,3375168,link,https://en.wikipedia.org/wiki/Wel_te_Vreeden,,,,,,
4409474,3375168,,Wel te Vreeden,,,,,,
1391983,3375169,,Number 33,,,,,,
4409475,3375169,,Wellington Park,,,,,,
11020886,3375170,en,Welkurebu Creek,,,,,,
11020887,3375171,en,Welkom,,,,,,
1391984,3375172,,Wegelegen,,,,,,
1391985,3375172,,Weloelegen,,,,,,
4409476,3375172,,Welgelegen,,,,,,
2984306,3375173,link,https://en.wikipedia.org/wiki/Weldaad,,,,,,
4409477,3375173,,Weldaad,,,,,,
1391986,3375175,,Weiyea Creek,,,,,,
4409478,3375175,,Weiyea River,,,,,,
15151101,3375176,wkdt,Q25210838,,,,,,
15977734,3375176,,Weitipu Mountain,,,,,,
1391987,3375179,,Waurch River,,,,,,
1391988,3375179,,Wauran River,,,,,,
4409480,3375179,,Waurch Creek,,,,,,
1391989,3375181,,Wauna-Yarakita,,,,,,
4409481,3375181,,Wauna-Yarikita,,,,,,
1391990,3375182,,Wauna-Anura River,,,,,,
4409482,3375182,,Wauna-Sanuku Creek,,,,,,
15324327,3375183,wkdt,Q25210833,,,,,,
15977735,3375183,,Wauna Hill,,,,,,
1391991,3375186,,Watuka River,,,,,,
1391992,3375186,,Watooka Creek,,,,,,
4409483,3375186,,Watuka Creek,,,,,,
1391993,3375187,,Watooka Village,,,,,,
4409484,3375187,,Watuka,,,,,,
1391994,3375190,,Waterloo River,,,,,,
4409485,3375190,,Waterloo Creek,,,,,,
1391995,3375191,,Bachelors Adventure,,,,,,
4409486,3375191,,Waterloo,,,,,,
1391996,3375194,,Water Hass Creek,,,,,,
4409487,3375194,,Water Haas Creek,,,,,,
7325117,3375195,,Waterdog Creek,,,,,,
7325118,3375195,,Water Dog Creek,,,,,,
1391997,3375199,,Watamung Mountain,,,,,,
4409488,3375199,,Watamung Mountains,,,,,,
15399392,3375199,wkdt,Q25210823,,,,,,
1391998,3375205,,Tramway Rapids,,,,,,
4409490,3375205,,Wassai Hole Rapids,,,,,,
1391999,3375207,,Mashikura River,,,,,,
4409491,3375207,,Washikuru Creek,,,,,,
15529040,3375213,wkdt,Q25210814,,,,,,
15977736,3375213,,Warupina Mountain,,,,,,
1392000,3375216,,Waruma Outstation,,,,,,
4409492,3375216,,Waruma,,,,,,
1392001,3375217,,Number 21,,,,,,
4409493,3375217,,Warren,,,,,,
7657820,3375217,,Number Twenty-one Warren,,,,,,
1392002,3375218,,Warosi,,,,,,
4409494,3375218,,Warousi,,,,,,
7657821,3375219,,Warapoka Amerindian Village,,,,,,
7657822,3375219,,Waropoko Mission,,,,,,
1392003,3375220,,Warapoko,,,,,,
4409495,3375220,,Waropoko Creek,,,,,,
7657823,3375220,,Warapoka Creek,,,,,,
1392004,3375221,,Warongong River,,,,,,
4409497,3375221,,Warong River,,,,,,
11020890,3375222,en,War Office Island,,,,,,
1392005,3375223,,Warniabo River,,,,,,
4409498,3375223,,Warniabo Creek,,,,,,
1392006,3375228,,Wariwiau Village,,,,,,
4409499,3375228,,Wariwau,,,,,,
1392007,3375229,,Wiawiaru Creek,,,,,,
4409500,3375229,,Wariwaru Creek,,,,,,
15085458,3375230,wkdt,Q25210802,,,,,,
15977737,3375230,,Warirud,,,,,,
1392008,3375231,,Wareri River,,,,,,
4409501,3375231,,Wariri River,,,,,,
1392009,3375232,,Wariri,,,,,,
4409502,3375232,,Wariri Mine,,,,,,
1392010,3375235,,Wariparu River,,,,,,
1392011,3375235,,Waripari River,,,,,,
4409503,3375235,,Waripari Creek,,,,,,
7657824,3375236,,Warina Creek,,,,,,
7657825,3375236,,Warina,,,,,,
1392012,3375238,,Waramia,,,,,,
1392013,3375238,,Warimia River,,,,,,
1392014,3375238,,Warima,,,,,,
4409504,3375238,,Warimia Creek,,,,,,
7325119,3375239,,Warima Creek,,,,,,
7325120,3375239,,Warimia Creek,,,,,,
1392015,3375243,,Warimambo Fall,,,,,,
4409505,3375243,,Warimambo Falls,,,,,,
1392016,3375244,,Warima River,,,,,,
4409506,3375244,,Warima Creek,,,,,,
7657826,3375250,,Warawara Falls,,,,,,
7657827,3375250,,Warawara Fall,,,,,,
1392017,3375251,,Warawaipai River,,,,,,
4409507,3375251,,Warawapai Creek,,,,,,
1392018,3375253,,Waratuk Fall,,,,,,
4409508,3375253,,Waratuk Falls,,,,,,
1392019,3375254,,Waratilla River,,,,,,
4409509,3375254,,Waratilla Creek,,,,,,
1392020,3375255,,Aratabaga Creek,,,,,,
1392021,3375255,,Waratobaka,,,,,,
4409511,3375255,,Waratabaka Creek,,,,,,
7657828,3375256,,Warata Creek,,,,,,
7657829,3375256,,Warata,,,,,,
1392022,3375257,,Waraputa Falls,,,,,,
4409512,3375257,,Waraputa Fall,,,,,,
1392023,3375259,,Warapana River,,,,,,
4409514,3375259,,Warapana Creek,,,,,,
1392024,3375260,,Warapana River,,,,,,
4409515,3375260,,Warapana Creek,,,,,,
