AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
913295,1818209,,Ch’üan-wan,,,,,,
913296,1818209,,Tsun Wan,,,,,,
913297,1818209,,Tsun Wan Wai,,,,,,
4308330,1818209,,Tsuen Wan,,,,,,
7771969,1818209,zh-TW,荃灣,,,,,,
8354481,1818209,link,https://en.wikipedia.org/wiki/Tsuen_Wan,,,,,,
13775074,1818209,unlc,HKZTW,,,,,,
913298,1818210,,Feng-wan,,,,,,
913299,1818210,,Tai Long Bay,,,,,,
913300,1818210,,Fung Wan,,,,,,
913301,1818210,,Fung Bay,,,,,,
4308331,1818210,,Tai Long Wan,,,,,,
10152086,1818210,zh,太浪灣,,,,,,
10152087,1818210,,Tailang Wan,,,,,,
10152088,1818210,zh,太浪湾,,,,,,
913302,1818211,,Yung Shu Wan,,,,,,
4308332,1818211,,Yung Shue Wan,,,,,,
10152089,1818211,zh,榕樹灣,,,,,,
10152090,1818211,,Rongshu Wan,,,,,,
10152091,1818211,zh,榕树湾,,,,,,
15244992,1818211,wkdt,Q6170532,,,,,,
16076590,1818211,link,https://en.wikipedia.org/wiki/Yung_Shue_Wan,,,,,,
913303,1818212,,Lung Shui Wan,,,,,,
913304,1818212,,Yung Shu Wan,,,,,,
913305,1818212,,Yung Shui Wan,,,,,,
2937856,1818212,link,https://en.wikipedia.org/wiki/Yung_Shue_Wan,,,,,,
4308333,1818212,,Yung Shue Wan,,,,,,
10152092,1818212,zh,榕樹灣,,,,,,
10152093,1818212,,Rongshu Wan,,,,,,
10152094,1818212,zh,榕树湾,,,,,,
12543057,1818212,en,Banyan Bay,,,,,,
10152095,1818213,,Yung Shue Long,,,,,,
10152096,1818213,zh,榕樹塱,,,,,,
10152097,1818213,,Rongshu Lang,,,,,,
10152098,1818213,zh,榕树塱,,,,,,
10152099,1818214,,Yung Shue Ha,,,,,,
10152100,1818214,zh,榕樹下,,,,,,
10152101,1818214,,Rongshu Xia,,,,,,
10152102,1818214,zh,榕树下,,,,,,
15550016,1818214,wkdt,Q8061263,,,,,,
16076632,1818214,link,https://en.wikipedia.org/wiki/Yung_Shue_Ha,,,,,,
10152103,1818215,,Yung Shue Au,,,,,,
10152104,1818215,zh,榕樹凹,,,,,,
10152105,1818215,,Rongshu’ao,,,,,,
10152106,1818215,zh,榕树凹,,,,,,
11304016,1818215,link,https://en.wikipedia.org/wiki/Yung_Shue_Au,,,,,,
15256286,1818215,wkdt,Q8061262,,,,,,
913306,1818216,,Yeung Shu Au,,,,,,
4308334,1818216,,Yung Shue Au,,,,,,
10152107,1818216,zh,榕樹凹,,,,,,
10266372,1818216,,Rongshu’ao,,,,,,
10266373,1818216,zh,榕树凹,,,,,,
2808197,1818217,zh-CN,龙鼓上滩,,,,,,
2808198,1818217,,Yung Long,,,,,,
2808199,1818217,,Longgushangtan,,,,,,
4308335,1818217,,Lung Kwu Sheung Tan,,,,,,
10266374,1818217,,Longgu Shantan,,,,,,
913307,1818218,,Mount Johnston,,,,,,
913308,1818218,,Aplichau,,,,,,
4308336,1818218,,Yuk Kwai Shan,,,,,,
10152108,1818218,zh,玉桂山,,,,,,
10152109,1818218,,Yugui Shan,,,,,,
10152110,1818219,,Yuen Tun Ha,,,,,,
10152111,1818219,zh,月墩下,,,,,,
10229188,1818219,,Yuedunxia,,,,,,
10152112,1818220,,Yuen Tun,,,,,,
10152113,1818220,zh,圓墩,,,,,,
10152114,1818220,,Yuandun,,,,,,
10152115,1818220,zh,圆墩,,,,,,
10152116,1818221,,Yuen Ng Fan,,,,,,
10152117,1818221,zh,元五墳,,,,,,
10266375,1818221,,Yuanwufen,,,,,,
10266376,1818221,zh,元五坟,,,,,,
913309,1818222,,Yüan-lang-hsin-hsü,,,,,,
913310,1818222,,Yuen Long Town,,,,,,
913311,1818222,,Yuen Long,,,,,,
913312,1818222,,Yuen Long Market,,,,,,
2937857,1818222,link,https://en.wikipedia.org/wiki/Yuen_Long_Town,,,,,,
4308337,1818222,,Yuen Long San Hui,,,,,,
10152118,1818222,zh,元朗新墟,,,,,,
10266377,1818222,,Yuanlang Xinxu,,,,,,
10266378,1818222,,Yuanlang,,,,,,
10266379,1818222,zh,元朗,,,,,,
7183925,1818223,link,https://en.wikipedia.org/wiki/Yuen_Long_Kau_Hui,,,,,,
7323604,1818223,,Yuen Long Kau Hui,,,,,,
8354555,1818223,zh,元朗舊墟,,,,,,
13775073,1818223,unlc,HKYUE,,,,,,
15420104,1818223,wkdt,Q8060290,,,,,,
913313,1818224,,Yuen Long Area,,,,,,
913314,1818224,,Yuen Long,,1,,,,
2937858,1818224,link,https://en.wikipedia.org/wiki/Yuen_Long,,,,,,
4308338,1818224,,Yuen Long District,,,,,,
5462722,1818224,link,https://en.wikipedia.org/wiki/Yuen_Long_District,,,,,,
8616557,1818224,ko,위안랑 구,1,,,,,
913315,1818225,,Yuan-lang-hsü,,,,,,
913316,1818225,,Yuen long kou hui,,,,,,
913317,1818225,,Un long hui,,,,,,
913318,1818225,,Un Long,,,,,,
913320,1818225,,Yuen Long Old Town,,,,,,
4308339,1818225,,Yuen Long,,,,,,
10152119,1818225,zh,元朗,,,,,,
10266380,1818225,,Yuanlang,,,,,,
10266381,1818225,,Yuanlang Xu,,,,,,
10266382,1818225,zh,元朗墟,,,,,,
15292843,1818225,wkdt,Q847174,,,,,,
16076588,1818225,link,https://en.wikipedia.org/wiki/Yuen_Long,,,,,,
10152120,1818226,,Yuen Leng,,,,,,
10152121,1818226,zh,元嶺,,,,,,
10152122,1818226,,Yuanling,,,,,,
10152123,1818226,zh,元岭,,,,,,
10152124,1818227,,Yuen Kong San Tsuen,,,,,,
10152125,1818227,zh,元朗新村,,,,,,
10266383,1818227,,Yuanlang Xincun,,,,,,
2808200,1818228,zh,圓崗洲,,,,,,
4308340,1818228,,Yuen Kong Chau,,,,,,
10152126,1818228,,Yuangang Zhou,,,,,,
10152127,1818228,zh,圆岗洲,,,,,,
913321,1818229,,Lead Mine Pass,,,,,,
4308341,1818229,,Yuen Kong Au,,,,,,
7528874,1818229,link,https://en.wikipedia.org/wiki/Lead_Mine_Pass,,,,,,
10152128,1818229,zh,鉛礦坳,,,,,,
10152129,1818229,,Qiankuang Ao,,,,,,
10152130,1818229,zh,铅矿坳,,,,,,
10266384,1818229,,Qiankuang’ao,,,,,,
10152131,1818230,,Yuen Kong,,,,,,
10152132,1818230,zh,元崗,,,,,,
10266385,1818230,,Yuangang,,,,,,
10266386,1818230,zh,元岗,,,,,,
913322,1818231,,Un Kok,,,,,,
4308342,1818231,,Yuen Kok,,,,,,
10152133,1818231,zh,圓角,,,,,,
10152134,1818231,,Yuan Jiao,,,,,,
10152135,1818231,zh,圆角,,,,,,
8097544,1818232,link,https://en.wikipedia.org/wiki/Yuen_Chau_Tsai,,,,,,
8108714,1818232,,Yuen Chau Tsai,,,,,,
10152136,1818232,zh,元洲仔,,,,,,
10152137,1818232,,Yuanzhou Zai,,,,,,
7538851,1818233,link,https://en.wikipedia.org/wiki/Yuen_Chau_Kok,,,,,,
7566323,1818233,,Yuen Chau Kok,,,,,,
7771970,1818234,,Yuen Chau Kok,,,,,,
7771971,1818234,zh,圓洲角,,,,,,
10152138,1818234,,Yuanzhoujiao,,,,,,
10152139,1818234,zh,圆洲角,,,,,,
2808201,1818235,zh,圓洲,,,,,,
