AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
755517,1547266,,Lake Winston,,,,,,
4316597,1547266,,Winston Lagoon,,,,,,
7194544,1547266,link,https://en.wikipedia.org/wiki/Winston_Lagoon,,,,,,
8096082,1547269,link,https://en.wikipedia.org/wiki/Wakefield_Reef,,,,,,
8108797,1547269,,Wakefield Reef,,,,,,
7498420,1547270,link,https://en.wikipedia.org/wiki/Vanhoffen_Bluff,,,,,,
7566409,1547270,,Vanhöffen Bluff,,,,,,
5760351,1547271,link,https://en.wikipedia.org/wiki/Vahsel_Glacier,,,,,,
5775968,1547271,,Vahsel Glacier,,,,,,
8090114,1547273,link,https://en.wikipedia.org/wiki/Sunken_Rock,,,,,,
8108798,1547273,,Sunken Rock,,,,,,
755518,1547274,,Southwest Beach Point,,,,,,
4316598,1547274,,Spit Point,,,,,,
7532779,1547274,link,https://en.wikipedia.org/wiki/Spit_Point,,,,,,
7517941,1547275,link,https://en.wikipedia.org/wiki/Spit_Bay,,,,,,
7566410,1547275,,Spit Bay,,,,,,
755519,1547276,,S. West-Bai,,,,,,
755520,1547276,,S. W. Bay,,,,,,
4316599,1547276,,South West Bay,,,,,,
7138842,1547276,link,https://en.wikipedia.org/wiki/South_West_Bay,,,,,,
8077401,1547278,link,https://en.wikipedia.org/wiki/South_Barrier,,,,,,
8108799,1547278,,South Barrier,,,,,,
15433108,1547278,wkdt,Q7566243,,,,,,
755521,1547279,,Launches Beach,,,,,,
4316600,1547279,,Skua Beach,,,,,,
7526298,1547279,link,https://en.wikipedia.org/wiki/Skua_Beach,,,,,,
755522,1547280,,Shag Rock,,,,,,
755523,1547280,,Shag Islet,,,,,,
4316601,1547280,,Shag Island,,,,,,
7492254,1547281,link,https://en.wikipedia.org/wiki/Mount_Separation,,,,,,
7566411,1547281,,Mount Separation,,,,,,
15678342,1547282,wkdt,Q25267333,,,,,,
15960129,1547282,,The Sentinel,,,,,,
7175485,1547283,link,https://en.wikipedia.org/wiki/Schmidt_Glacier,,,,,,
7323655,1547283,,Schmidt Glacier,,,,,,
7528437,1547284,link,https://en.wikipedia.org/wiki/Scarlet_Hill,,,,,,
7566412,1547284,,Scarlet Hill,,,,,,
755524,1547285,,Segel-Fels,,,,,,
4316602,1547285,,Sail Rock,,,,,,
8099959,1547285,link,https://en.wikipedia.org/wiki/Sail_Rock_%28Antarctica%29,,,,,,
755525,1547286,,Saddle-Kap,,,,,,
755526,1547286,,Sadles Point,,,,,,
4316603,1547286,,Saddle Point,,,,,,
7138148,1547286,link,https://en.wikipedia.org/wiki/Saddle_Point,,,,,,
15493480,1547287,wkdt,Q7371042,,,,,,
15960130,1547287,,Round Hill,,,,,,
755527,1547288,,Rodgers Head,,,,,,
755528,1547288,,Kap Rogers,,,,,,
4316604,1547288,,Rogers Head,,,,,,
7550383,1547288,link,https://en.wikipedia.org/wiki/Rogers_Head,,,,,,
15466399,1547288,wkdt,Q7359284,,,,,,
