AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1463363,3600025,,Zarzale,,,,,,
4349444,3600025,,Zarzal,,,,,,
1463364,3600026,,Port Cortez,,,,,,
3043405,3600026,ru,Пуэрто-Кортес,,,,,,
4349445,3600026,,Puerto Cortez,,,,,,
4349446,3600026,,Puerto Caballo,,,,1,,
11262256,3600026,link,https://en.wikipedia.org/wiki/Puerto_Cort%C3%A9s,,,,,,
11262257,3600026,es,Puerto Cortés,,,,,,
11262258,3600026,,Puerto de Caballos,,,,1,,
13775157,3600026,unlc,HNPCR,,,,,,
1463366,3600027,,Pimienta,,,,,,
4349447,3600027,,Quebrada La Pimienta,,,,,,
1463367,3600028,,Quebrada Gibancara,,,,,,
4349448,3600028,,Río Ibantara,,,,,,
1463368,3600029,,Bahía de Cortez,,,,,,
1463369,3600029,,Puerto Cortez,,,,,,
4349449,3600029,,Puerto Cortés,,,,,,
1463370,3600030,,Cortez,,,,,,
4349450,3600030,,Cortés,,,,,,
15693177,3600031,wkdt,Q25267313,,,,,,
15970896,3600031,,Cerro Zuyatillo,,,,,,
14849439,3600033,wkdt,Q25267312,,,,,,
15970897,3600033,,Portillo Zuyate,,,,,,
1463371,3600038,,Río Zuaytal,,,,,,
4349451,3600038,,Río Zuyatal,,,,,,
1463372,3600042,,Sursular,,,,,,
1463373,3600042,,Zarzular,,,,,,
4349452,3600042,,Zurzular,,,,,,
1463374,3600044,,Surzular,,,,,,
4349453,3600044,,Zurzular,,,,,,
15115002,3600045,wkdt,Q25267303,,,,,,
15970898,3600045,,Cerro Zurran,,,,,,
1463375,3600046,,Zunzapote,,,,,,
1463376,3600046,,Quebrada Zon-zapote,,,,,,
4349454,3600046,,Quebrada Zunzapote,,,,,,
1463377,3600048,,El Zuntule,,,,,,
1463378,3600048,,Zuntule,,,,,,
1463379,3600048,,Suntul,,,,,,
1463380,3600048,,Zontule,,,,,,
4349455,3600048,,Suntule,,,,,,
1463381,3600055,,Sorca,,,,,,
4349456,3600055,,Zorca,,,,,,
15226689,3600056,wkdt,Q25267296,,,,,,
15970899,3600056,,Cerro Zopilotepe,,,,,,
15615458,3600057,wkdt,Q25267295,,,,,,
15970900,3600057,,Zopilotepe,,,,,,
15556359,3600062,wkdt,Q25267291,,,,,,
15970901,3600062,,Cerro Zopilocoy,,,,,,
1463382,3600063,,Sopilocoy,,,,,,
1463383,3600063,,Sapilocoy,,,,,,
4349457,3600063,,Zopilocoy,,,,,,
15137158,3600064,wkdt,Q25267290,,,,,,
15970902,3600064,,Monte del Zope,,,,,,
15633684,3600068,wkdt,Q25267287,,,,,,
15970903,3600068,,Cuchilla del Zompopero,,,,,,
1463384,3600071,,El Zompopero,,,,,,
4349458,3600071,,Zompopero,,,,,,
1463385,3600081,,El Portillo Zarzalosa,,,,,,
4349459,3600081,,Zarzalosa,,,,,,
1463386,3600083,,Cerro del Zarsal,,,,,,
4349460,3600083,,Cerro del Zarzal,,,,,,
15804925,3600083,wkdt,Q25267277,,,,,,
1463387,3600090,,Zarquillas,,,,,,
4349461,3600090,,Cerro Zarquillas,,,,,,
15340260,3600090,wkdt,Q25267274,,,,,,
15244763,3600103,wkdt,Q25267267,,,,,,
15970904,3600103,,Monte Zapotillal,,,,,,
1463388,3600105,,El Zapote,,,,,,
1463389,3600105,,Zapote de Tejera,,,,,,
4349462,3600105,,Zapote Tejera,,,,,,
15496237,3600116,wkdt,Q25267259,,,,,,
15970905,3600116,,Monte el Zapote,,,,,,
15418045,3600130,wkdt,Q25267251,,,,,,
15970906,3600130,,Cerro Zaparrugo,,,,,,
1463390,3600132,,Zanjas de la Palma,,,,,,
4349463,3600132,,Zanja de Palma,,,,,,
15541299,3600133,wkdt,Q25267250,,,,,,
15970907,3600133,,Zampopero,,,,,,
1463391,3600136,,Sambuco,,,,,,
4349464,3600136,,Zambuco,,,,,,
13775201,3600139,unlc,HNZBN,,,,,,
13827111,3600139,,Zambrano,,,,,,
1463392,3600140,,Sambita,,,,,,
1463393,3600140,,Zambito,,,,,,
1463394,3600140,,Zambrita,,,,,,
4349465,3600140,,Zambita,,,,,,
1463395,3600143,,Azacualpita,,,,,,
1463396,3600143,,Sacualpita,,,,,,
4349466,3600143,,Zacualpita,,,,,,
1463397,3600144,,Sacualpita,,,,,,
4349467,3600144,,Zacualpita,,,,,,
1463398,3600147,,Zacate Pachón,,,,,,
1463399,3600147,,Zacate Pochón,,,,,,
4349468,3600147,,Zacate Pachoy,,,,,,
1463400,3600148,,Sacate Grande Island,,,,,,
4349469,3600148,,Isla Zacate Grande,,,,,,
7161376,3600148,link,https://en.wikipedia.org/wiki/Isla_Zacate_Grande,,,,,,
1463401,3600151,,Zacale Blanco,,,,,,
4349470,3600151,,Zacate Blanco,,,,,,
1463402,3600152,,Zacate Grande,,,,,,
4349471,3600152,,Zacate Blanco,,,,,,
15332137,3600154,wkdt,Q25267244,,,,,,
15970908,3600154,,Monte Zacate,,,,,,
1463403,3600163,,Cerro Yústina,,,,,,
4349472,3600163,,Cerro Yusina,,,,,,
15625955,3600163,wkdt,Q25267239,,,,,,
4349473,3600165,,Yuscarán,,,,,,
2986475,3600166,link,https://en.wikipedia.org/wiki/Yuscar%C3%A1n,,,,,,
7361720,3600166,,Yuscarán,,,,,,
13866693,3600166,es,Municipio de Yuscarán,,,,,,
1463404,3600178,,Jululo,,,,,,
4349474,3600178,,Yululo,,,,,,
1463405,3600179,,Cerro de Yugo,,,,,,
4349475,3600179,,Cerro Yugo,,,,,,
1463406,3600185,,Yucal,,,,,,
4349476,3600185,,Yucual,,,,,,
1463407,3600186,,Yucateca,,,,,,
4349477,3600186,,Yucanteca,,,,,,
1463408,3600188,,Río Yucanguara,,,,,,
1463409,3600188,,Quebrada Yucanguara,,,,,,
4349478,3600188,,Río Yucanguare,,,,,,
15755612,3600189,wkdt,Q25267231,,,,,,
15970909,3600189,,Valle de Yoro,,,,,,
1463410,3600191,,Quebrada de Yoro,,,,,,
4349479,3600191,,Quebrada Yoro,,,,,,
1463411,3600192,,Cordillera de Yoro,,,,,,
4349480,3600192,,Montaña de Yoro,,,,,,
2186106,3600193,,Yoro,1,1,,,,
5650293,3600193,,Departamento de Yoro,,,,,,
7752405,3600193,link,https://en.wikipedia.org/wiki/Yoro_Department,,,,,,
1463412,3600194,,Cerro Quiscamote,,,,,,
4349481,3600194,,Cerro de Yoro,,,,,,
7544423,3600195,link,https://en.wikipedia.org/wiki/Yoro,,,,,,
7567026,3600195,,Yoro,,,,,,
13138489,3600195,iata,ORO,,,,,,
13775200,3600195,unlc,HNYOR,,,,,,
15494787,3600195,wkdt,Q2561180,,,,,,
2986476,3600197,link,https://en.wikipedia.org/wiki/Yoro,,,,,,
4349482,3600197,,Yoro,,,,,,
1463413,3600198,,Quebrada de Yorito,,,,,,
