AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
4425712,3054739,,Borza,,,,,,
1347419,3165187,,Trieste,,,,,,
1347420,3165187,it,Golfo di Trieste,,,,,,
1347421,3165187,,Tržaški Zaliv,,,,,,
1347422,3165187,,Triest,,,,,,
1347423,3165187,,Trščanski Zaliv,,,,,,
1347424,3165187,,Tršćanski Zaljev,,,,,,
1347425,3165187,,Trst,,,,,,
4662480,3165187,,Gulf of Trieste,,,,,,
5707062,3165187,link,https://en.wikipedia.org/wiki/Gulf_of_Trieste,,,,,,
6157568,3165187,sl,Tržaški Zaliv,,,,,,
4664750,3175397,en,Istria,1,,,,,
4664751,3175397,,Istra,,,,,,
11764222,3175397,de,Istrien,1,,,,,
11764223,3175397,es,Istria,1,,,,,
11764224,3175397,fr,Istrie,1,,,,,
11764225,3175397,it,Istria,1,,,,,
1360927,3186233,,Selo Vranjic,,,,,,
1360928,3186233,,Vranjica,,,,,,
4671036,3186233,,Vranjic,,,,,,
8682441,3186233,link,https://en.wikipedia.org/wiki/Vranjic,,,,,,
13775511,3186233,unlc,HRVRA,,,,,,
14977366,3186233,wkdt,Q3443678,,,,,,
1360930,3186235,,Ostrvo Premuda,,,,,,
1360931,3186235,,Ostrov Premuda,,,,,,
1360932,3186236,,Rt Pizal,,,,,,
1360933,3186236,,Pizzale Point,,,,,,
4671038,3186236,,Rt Pical,,,,,,
1360934,3186237,,Muna Cove,,,,,,
4671039,3186237,,Uvala Muna,,,,,,
1360937,3186240,,Lukovo Harbor,,,,,,
4671041,3186240,,Uvala Lukovo Šugarje,,,,,,
1360938,3186241,,Scogli Lagostini di Ponente,,,,,,
1360939,3186241,,Isolotti Lagostini Occidentali,,,,,,
4671042,3186241,,Otočići Donji Školji,,,,,,
1360945,3186248,,Suonecchia,,,,,,
1360946,3186248,,Zvoneće,,,,,,
4671047,3186248,,Zvoneća,,,,,,
1360947,3186251,,Žirje Zaliv,,,,,,
4671051,3186251,,Uvala Zvirje,,,,,,
1360948,3186252,,Zvirina Island,,,,,,
1360949,3186252,,Ostrvo Zvirinovic,,,,,,
1360950,3186252,,Zvirinovik,,,,,,
1360951,3186252,,Zvirinovic,,,,,,
1360952,3186252,,Otok Zvirinovik,,,,,,
4671052,3186252,,Otočić Zvirinovik,,,,,,
1360957,3186262,,Ostrvo Žverinac,,,,,,
1360958,3186262,,Zvirinac Island,,,,,,
4671061,3186262,,Otok Žverinac,,,,,,
1360959,3186263,,Zvirinac,,,,,,
4671062,3186263,,Zverinac,,,,,,
1360962,3186268,,Stanica Zvečaj,,,,,,
4671069,3186268,,Železnička Stanica Zvečaj,,,,,,
1360966,3186272,,Canale di Žut,,,,,,
4671075,3186272,,Žutski Kanal,,,,,,
1360967,3186273,,Žutska Aba,,,,,,
1360968,3186273,,Otok Žutska Aba,,,,,,
4671076,3186273,,Otočić Žutska Aba,,,,,,
7513176,3186276,link,https://en.wikipedia.org/wiki/%C5%BDuta_Lokva,,,,,,
7575776,3186276,,Žuta Lokva,,,,,,
15280954,3186276,wkdt,Q394324,,,,,,
1360971,3186279,,Zunchio,,,,,,
1360972,3186279,,Ostrvo Žut,,,,,,
1360973,3186279,,Žut,,,,,,
4671081,3186279,,Otok Žut,,,,,,
7162042,3186279,link,https://en.wikipedia.org/wiki/%C5%BDut,,,,,,
1360974,3186281,,Zurkovo Bay,,,,,,
1360975,3186281,,Žurkova,,,,,,
4671082,3186281,,Uvala Žurkovo,,,,,,
1360976,3186283,,Tiha Bay,,,,,,
1360977,3186283,,Župski Zaliv,,,,,,
1360978,3186283,,Valle di Breno,,,,,,
4671084,3186283,,Župski Zaljev,,,,,,
1360980,3186290,,Županjel,,,,,,
4671087,3186290,,Županjol,,,,,,
1360981,3186292,,Zuppagne,,,,,,
1360982,3186292,,Županjac,,,,,,
1360983,3186292,,Županic,,,,,,
4671090,3186292,,Županje,,,,,,
8792694,3186293,link,https://en.wikipedia.org/wiki/%C5%BDupanja,,,,,,
1360984,3186294,,Zsupanya,,,,,,
1360985,3186294,,Zsupanja,,,,,,
1913366,3186294,de,Županja,,,,,,
1913367,3186294,en,Županja,,,,,,
1913368,3186294,bg,Жупаня,,,,,,
1913369,3186294,bs,Županja,,,,,,
1913370,3186294,hr,Županja,,,,,,
1913371,3186294,ja,ジュパニャ,,,,,,
1913372,3186294,nl,Županja,,,,,,
1913373,3186294,ro,Županja,,,,,,
1913374,3186294,hbs,Županja,,,,,,
1913375,3186294,sr,Жупања,,,,,,
2982491,3186294,link,https://en.wikipedia.org/wiki/%C5%BDupanja,,,,,,
3056093,3186294,link,https://ru.wikipedia.org/wiki/%D0%96%D1%83%D0%BF%D0%B0%D0%BD%D1%8C%D1%8F,,,,,,
7364128,3186294,,Županja,,,,,,
13775529,3186294,unlc,HRZUP,,,,,,
15434778,3186295,wkdt,Q374952,,,,,,
16003651,3186295,,Županec,,,,,,
15739586,3186301,wkdt,Q820474,,,,,,
16003653,3186301,,Žunci,,,,,,
7532733,3186303,link,https://en.wikipedia.org/wiki/%C5%BDumberak%2C_Croatia,,,,,,
7575777,3186303,,Žumberak,,,,,,
9388868,3186303,hu,Zsumberk,,,,,,
9388869,3186303,ro,Comuna Žumberak,,,,,,
9388870,3186303,sr,Жумберак,,,,,,
9388872,3186303,ru,Жумберак,,,,,,
1360994,3186305,,Žuljana Bay,,,,,,
1360995,3186305,,Žuljanski Zaliv,,,,,,
1360996,3186305,,Zaton Žuljana,,,,,,
4671100,3186305,,Uvala Žuljana,,,,,,
1360997,3186306,,Giuliana,,,,,,
1360998,3186306,,Žulijana,,,,,,
4671101,3186306,,Žuljana,,,,,,
8689001,3186306,link,https://en.wikipedia.org/wiki/%C5%BDuljana,,,,,,
14980122,3186306,wkdt,Q2965254,,,,,,
1361002,3186313,,Velika Duboka Luka,,,,,,
1361003,3186313,,Žukova Cove,,,,,,
4671108,3186313,,Uvala Žukova,,,,,,
1361004,3186325,,Kometnik Zubič,,,,,,
4671116,3186325,,Zubić,,,,,,
1361005,3186329,,Rt Zub,,,,,,
1361006,3186329,,Rt Dente,,,,,,
1361007,3186329,,Punta del Dente Lanterna,,,,,,
4671118,3186329,,Rt,,,,,,
7531936,3186331,link,https://en.wikipedia.org/wiki/%C5%BDrnovo,,,,,,
7575778,3186331,,Žrnovo,,,,,,
15363868,3186331,wkdt,Q394257,,,,,,
1361008,3186332,,Klenovica,,,,,,
1361009,3186332,,Žarnovnica Cove,,,,,,
4671122,3186332,,Uvala Žrnovnica,,,,,,
1361010,3186333,,River Zernovica,,,,,,
4671123,3186333,,Žrnovnica,,,,,,
7197659,3186334,link,https://en.wikipedia.org/wiki/%C5%BDrnovnica,,,,,,
7216497,3186334,,Žrnovnica,,,,,,
15696026,3186334,wkdt,Q612175,,,,,,
1361011,3186335,,Žrnovica Cove,,,,,,
4671124,3186335,,Uvala Žrnovica,,,,,,
1361012,3186337,,Vrelo,,,,,,
4671125,3186337,,Zrmanja Vrelo,,,,,,
15832232,3186337,wkdt,Q3514452,,,,,,
1361013,3186338,,Stanica Zrmanja,,,,,,
4671126,3186338,,Železnička Stanica Zrmanja,,,,,,
1361014,3186339,,Zermagna,,,,,,
4671127,3186339,,Zrmanja,,,,,,
6890825,3186339,link,https://en.wikipedia.org/wiki/Zrmanja,,,,,,
1361015,3186340,,Zrmanja-Lazići,,,,,,
4671128,3186340,,Zrmanja,,,,,,
1361017,3186342,,Topolovac Zrinski,,,,,,
1361018,3186342,,Topolovac,,,,,,
2982492,3186342,link,https://en.wikipedia.org/wiki/Zrinski_Topolovac,,,,,,
4671130,3186342,,Zrinski Topolovac,,,,,,
1361019,3186343,,Zrinjska Gora,,,,,,
4671131,3186343,,Zrinska Gora,,,,,,
8080866,3186343,link,https://en.wikipedia.org/wiki/Zrinska_gora,,,,,,
7539577,3186344,link,https://en.wikipedia.org/wiki/Zrinska,,,,,,
7575779,3186344,,Zrinska,,,,,,
1361020,3186345,,Zrinjščina,,,,,,
4671132,3186345,,Zrinšćina,,,,,,
15711888,3186345,wkdt,Q820416,,,,,,
7132276,3186347,link,https://en.wikipedia.org/wiki/Zrin,,,,,,
7216498,3186347,,Zrin,,,,,,
