AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1401727,3408549,,Morne Fort Garien,,,,,,
4687965,3408549,,Morne Garien,,,,,,
14931147,3408549,wkdt,Q26224623,,,,,,
1435000,3512292,,Río Artibonito,,,,,,
1435001,3512292,,L’Artibonite River,,,,,,
1435002,3512292,,Artibonite River,,,,,,
1435003,3512292,,Rio Guayajayuco,,,,,,
1435004,3512292,,Artibonite Riviere,,,,,,
1435005,3512292,,Fleuve Artibonite,,,,,,
1435006,3512292,,Rio Artibonite,,,,,,
1435007,3512292,,Rivière Artibonite,,,,,,
2985648,3512292,link,https://en.wikipedia.org/wiki/Artibonite_River,,,,,,
3056432,3512292,link,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D0%B8%D0%B1%D0%BE%D0%BD%D0%B8%D1%82_%28%D1%80%D0%B5%D0%BA%D0%B0%29,,,,,,
3631843,3512292,,Rivière de l’ Artibonite,,,,,,
12259488,3715765,fr,Massif de Terre Neuve,,,,,,
13148053,3715766,fr,Rivière Pouèque,,,,,,
13148054,3715766,,Rivière Pouéque,,,,,,
15552774,3715767,wkdt,Q26224620,,,,,,
16004700,3715767,,Massifs du Nord,,,,,,
1502924,3715770,,Rivière Rio Hondo,,,,,,
4687054,3715770,,Rivière Hondo,,,,,,
12786283,3715770,fr,Rio Hondo,,,,,,
1502925,3715775,,Rivière Amazone,,,,,,
4687055,3715775,,Rivière Amazones,,,,,,
15418819,3715777,wkdt,Q26224610,,,,,,
16004701,3715777,,Morne Zoulous,,,,,,
12786284,3715780,fr,Rivière Zoranger,,,,,,
15211439,3715781,wkdt,Q26224608,,,,,,
16004702,3715781,,Morne Zoranger,,,,,,
13148055,3715783,fr,Zoranger,,,,,,
1502926,3715784,,Zorange,,,,,,
4687056,3715784,,Zoranger,,,,,,
12259489,3715788,fr,Zoranger,,,,,,
12259490,3715790,fr,Rivière Zombi,,,,,,
12199846,3715795,fr,Zombi,,,,,,
12259491,3715796,fr,Zoizeau Laine,,,,,,
12259492,3715797,fr,Zo Bœuf,,,,,,
12786285,3715798,fr,Zobodo,,,,,,
13148056,3715805,fr,Morne Zétan,,,,,,
13148057,3715806,,Lagon Zérine,,,,,,
13148058,3715806,fr,Lagon Zerine,,,,,,
13148059,3715807,fr,Morne Zerbe Guinée,,,,,,
12259493,3715810,fr,Zerbe Boule,,,,,,
12259494,3715812,,Colline Zeppelin,,,,,,
12259495,3715812,fr,Colline Zépelin,,,,,,
1502927,3715815,,Zephir,,,,,,
4687057,3715815,,Zéphyr,,,,,,
1502928,3715817,,Mare Zéphire,,,,,,
1502929,3715817,,Mare Zephir,,,,,,
4687058,3715817,,Rancho de Las Mujeres,,,,,,
13148060,3715819,fr,Zéphir,,,,,,
13148061,3715829,fr,Morne la Zanta,,,,,,
15840048,3715829,wkdt,Q26224593,,,,,,
12786286,3715830,fr,Morne Zanglais,,,,,,
12786287,3715831,fr,Zanglais,,,,,,
16056158,3715831,link,https://en.wikipedia.org/wiki/Zanglais,,,,,,
15523154,3715837,wkdt,Q26224591,,,,,,
16004703,3715837,,Morne Zaboca,,,,,,
12146575,3715840,fr,Zabethe,,,,,,
1502930,3715841,,Yrva,,,,,,
4687059,3715841,,Yvra,,,,,,
13148062,3715843,fr,Yousse,,,,,,
12786288,3715844,fr,Étang You,,,,,,
12199847,3715854,fr,Yersières,,,,,,
1502931,3715855,,Pointe d’Icaque,,,,,,
1502932,3715855,,Yeague Point,,,,,,
4687060,3715855,,Pointe d’Yeague,,,,,,
13148063,3715855,fr,Pointe d’Yegue,,,,,,
1502933,3715859,,Morne la Yaye,,,,,,
4687061,3715859,,Morne la Yaille,,,,,,
15137926,3715859,wkdt,Q26224588,,,,,,
12146576,3715863,fr,Williamson,,,,,,
12199848,3715866,fr,Welsh,,,,,,
12259496,3715869,,Welch,,,,,,
12259497,3715869,fr,Weche,,,,,,
13148064,3715870,fr,Welch,,,,,,
13148065,3715874,fr,Walsh,,,,,,
13148066,3715877,fr,Wallondry,,,,,,
12786289,3715879,fr,Rivière Wacacou,,,,,,
12786290,3715880,fr,Wacacou,,,,,,
12199849,3715885,,Voûte l’Église,,,,,,
12199850,3715885,fr,Voute l’Église,,,,,,
15051560,3715886,wkdt,Q26224583,,,,,,
16004704,3715886,,Morne Vonc,,,,,,
1502939,3715889,,Rivière La Voldrogue,,,,,,
7425419,3715889,,Rivière la Voldrogue,,,,,,
13148067,3715889,fr,Rivière Voldrogue,,,,,,
14942241,3715890,wkdt,Q26224581,,,,,,
16004705,3715890,,Morne Volant,,,,,,
12259498,3715891,fr,Volant,,,,,,
1502940,3715897,,Virant,,,,,,
7425420,3715897,,Vivant,,,,,,
13148068,3715899,fr,Morne Vitette,,,,,,
15137978,3715899,wkdt,Q26224579,,,,,,
12786291,3715905,fr,Vital,,,,,,
13148069,3715906,fr,Vital,,,,,,
12786292,3715907,fr,Morne la Visite,,,,,,
15754319,3715907,wkdt,Q26224578,,,,,,
1502941,3715908,,Morne Viste,,,,,,
4687062,3715908,,Morne Visite,,,,,,
14959197,3715908,wkdt,Q26224577,,,,,,
12786293,3715909,fr,Virol,,,,,,
12786294,3715910,fr,Virgile,,,,,,
12259499,3715914,fr,Vintin,,,,,,
13148070,3715923,fr,Vincent,,,,,,
15997043,3715925,link,https://en.wikipedia.org/wiki/Grand_Vincent,,,,,,
16004706,3715925,,Vincent,,,,,,
12786295,3715926,fr,Vincent,,,,,,
16056156,3715926,link,"https://en.wikipedia.org/wiki/Vincent,_Sud,_Haiti",,,,,,
13148071,3715928,fr,Vincent,,,,,,
13148072,3715929,fr,Vincent,,,,,,
15166004,3715931,wkdt,Q26224574,,,,,,
16004707,3715931,,Roche Vinaigre,,,,,,
12259500,3715932,fr,Rivière Vimbale,,,,,,
1502942,3715941,,Saut d’Eau,,,,,,
1502943,3715941,,Saut d’Eau de Ville Bonheur,,,,,,
4687063,3715941,,Ville Bonheur,,,,,,
1502944,3715942,,Saut d’Eau,,,,,,
4687064,3715942,,Ville Bonheur,,,,,,
11760743,3715942,link,https://en.wikipedia.org/wiki/Saut-d'Eau,,,,,,
12259501,3715944,fr,Villarseaux,,,,,,
1502945,3715947,,Chapelle Villars,,,,,,
1502946,3715947,,Villars,,,,,,
1502947,3715947,,Fossé Naboth,,,,,,
4687065,3715947,,Villard,,,,,,
