AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
397537,672629,,Mureş,,,,,,
397538,672629,,Mureşul,,,,,,
397539,672629,,Marisus,,,,,,
397540,672629,,Muresh,,,,,,
2703234,672629,ota,موریش,,,,,,
6891258,672629,link,https://en.wikipedia.org/wiki/Mure%C8%99_River,,,,,,
401716,680145,,Crişu Negru,,,,,,
401717,680145,,Crişul Negru,,,,,,
401718,680145,,Râul Crişu Negru,,,,,,
401719,680145,,Black Körös,,,,,,
4342113,680145,,Fekete-Körös,,,,,,
401720,680147,,Fehér-Körös,,,,,,
401721,680147,,Crişul Alb,,,,,,
401722,680147,,Weifse Körös,,,,,,
401723,680147,,Weisze Körös,,,,,,
401724,680147,,White Körös,,,,,,
4342114,680147,,Crişu Alb,,,,,,
401804,680300,,Canalul Crasnei,,,,,,
401805,680300,,Canalul Crasna,,,,,,
4342172,680300,,Kraszna-csatorna,,,,,,
401809,680311,,Kraszna,,,,,,
401810,680311,,Krasna,,,,,,
4342176,680311,,Crasna,,,,,,
426692,713827,,Moggoróspuszta,,,,,,
426693,713827,,Mogyoróspuszta,,,,,,
4421276,713827,,Mogyorós,,,,,,
426694,713829,,Nagyzuhogó,,,,,,
4421278,713829,,Zuhogó,,,,,,
426695,713831,,Szugoly,,,,,,
4421279,713831,,Zugoly,,,,,,
7069708,713836,link,https://en.wikipedia.org/wiki/Zubogy,,,,,,
7120589,713836,,Zubogy,,,,,,
2926163,713839,link,https://en.wikipedia.org/wiki/Zsurk,,,,,,
4421282,713839,,Zsurk,,,,,,
7063343,713841,link,https://en.wikipedia.org/wiki/Zsujta,,,,,,
7120590,713841,,Zsujta,,,,,,
426696,713845,,Zsombékos,,,,,,
426697,713846,,Zsombókakol,,,,,,
4421289,713846,,Zsombékakol,,,,,,
426698,713860,,Zsindelyestanya,,,,,,
4421296,713860,,Zsindelyes,,,,,,
426699,713863,,Zsiger,,,,,,
426700,713863,,Zsigeroldal,,,,,,
4421300,713863,,Zsigeritanyák,,,,,,
426701,713864,,Zsigerháti Oldal,,,,,,
4421301,713864,,Zsigerhát,,,,,,
426702,713868,,Zserc-tanya,,,,,,
426703,713868,,Zsercztanya,,,,,,
4421306,713868,,Zserc,,,,,,
426704,713873,,Zsellérföldi Tanyák,,,,,,
426705,713873,,Zsellérföld,,,,,,
4421307,713873,,Zsellér-földek,,,,,,
2926164,713878,link,https://en.wikipedia.org/wiki/Zsaroly%C3%A1n,,,,,,
4421310,713878,,Zsarolyán,,,,,,
2926165,713881,link,https://en.wikipedia.org/wiki/Zs%C3%A1ka,,,,,,
4421313,713881,,Zsáka,,,,,,
2926166,713884,link,https://en.wikipedia.org/wiki/Zsad%C3%A1ny,,,,,,
4421315,713884,,Zsadány,,,,,,
426706,713887,,Zoltántéri Major,,,,,,
4421317,713887,,Zoltántér,,,,,,
6904808,713905,link,https://en.wikipedia.org/wiki/Ziliz,,,,,,
6924211,713905,,Ziliz,,,,,,
426707,713906,,Zempléni-hegység,,,,,,
426708,713906,,Tokaj-Eperjes Mountains,,,,,,
426709,713906,,Zempléni Hegysor,,,,,,
426710,713906,,Prešovsko-Tokajské Pohoří,,,,,,
426711,713906,,Zempléni-szigethegység,,,,,,
426712,713906,,Eperjes-Tokaji Hegység,,,,,,
426713,713906,,Gory Zemplen,,,,,,
426714,713906,,Eperjes-Tokaj Mountains,,,,,,
426715,713906,,Eperjes-Tokaji-hegysor,,,,,,
4421322,713906,,Prešovsko-Tojaské Pohoří,,,,,,
7496308,713907,link,https://en.wikipedia.org/wiki/Zempl%C3%A9nag%C3%A1rd,,,,,,
7567921,713907,,Zemplénagárd,,,,,,
426716,713908,,Zelenáklapostanya,,,,,,
4421323,713908,,Zelenák-lapos,,,,,,
426717,713910,,Nagy-Zelemér,,,,,,
4421324,713910,,Zelemér,,,,,,
426718,713918,,Zalotai Lápos,,,,,,
4421332,713918,,Zalota,,,,,,
426719,713920,,Zálogostanya,,,,,,
7037006,713921,link,https://en.wikipedia.org/wiki/Zalkod,,,,,,
7120591,713921,,Zalkod,,,,,,
2926167,713923,link,https://en.wikipedia.org/wiki/Zajta,,,,,,
4421346,713923,,Zajta,,,,,,
2727860,713925,,Zajgatóitanyák,,,,,,
2727861,713925,,Zajgató,,,,,,
7185855,713929,link,https://en.wikipedia.org/wiki/Z%C3%A1hony,,,,,,
7325437,713929,,Záhony,,,,,,
13460292,713929,ru,Захонь,,,,,,
13776219,713929,unlc,HUZAH,,,,,,
15563835,713929,wkdt,Q246723,,,,,,
2926168,713932,link,https://en.wikipedia.org/wiki/Zagyvar%C3%A9kas,,,,,,
4421348,713932,,Zagyvarékas,,,,,,
7033957,713937,link,https://en.wikipedia.org/wiki/Zagyva,,,,,,
7120598,713937,,Zagyva,,,,,,
7043352,713939,link,https://en.wikipedia.org/wiki/Z%C3%A1dorfalva,,,,,,
7120599,713939,,Zádorfalva,,,,,,
15461144,713943,wkdt,Q26227911,,,,,,
15982462,713943,,Zabarla,,,,,,
7524326,713944,link,https://en.wikipedia.org/wiki/Zabar%2C_Hungary,,,,,,
7567951,713944,,Zabar,,,,,,
426722,713946,,Vinterpuszta,,,,,,
4421350,713946,,Winterpuszta,,,,,,
426723,713957,,Veres Kutas,,,,,,
426724,713957,,Vöröskutas,,,,,,
426725,713960,,Vöröshalom,,,,,,
426726,713966,,Völgyfőház,,,,,,
4421364,713966,,Völgyfő,,,,,,
426727,713969,,Víz Tisztája,,,,,,
4421370,713969,,Víztisztatanya,,,,,,
