AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1220562,2635367,,Tullyrosmearn,,,,,,
4010246,2635367,,Tullyrossmearan,,,,,,
1222151,2642090,,Mourne Beg River,,,,,,
10932787,2642090,,Mourne Beg,,,,,,
1222470,2643245,,Lough Macnean Upper,,,,,,
1222471,2643245,,Lough Macnean,,,,,,
8077700,2643245,link,https://en.wikipedia.org/wiki/Lough_MacNean,,,,,,
4012148,2649110,,River Foyle,,,,,,
10932789,2649110,,Foyle,,,,,,
11013039,2649110,link,https://en.wikipedia.org/wiki/River_Foyle,,,,,,
11013040,2649110,ga,An Feabhal,,,,,,
4012290,2649929,,River Erne,,,,,,
6892091,2649929,link,https://en.wikipedia.org/wiki/River_Erne,,,,,,
11287665,2650972,link,https://en.wikipedia.org/wiki/Dromore_Lough,,,,,,
11390118,2650972,,Dromore Lough,,,,,,
1224955,2652973,,Swanlinbar River,,,,,,
1224956,2652973,,Cladagh River,,,,,,
4012773,2652973,,Claddagh River,,,,,,
10932790,2652973,,Claddagh,,,,,,
11013043,2652973,link,https://en.wikipedia.org/wiki/River_Cladagh_(Swanlinbar),,,,,,
1225338,2654332,en,Buncrana,,,,,,
2952725,2654332,link,https://en.wikipedia.org/wiki/Buncrana,,,,,,
11479903,2654332,bg,Бънкрана,,,,,,
11479904,2654332,ga,Bun Cranncha,,,,,,
11479905,2654332,gv,Bun Cranncha,,,,,,
11479906,2654332,ka,ბანკრანა,,,,,,
11479907,2654332,uk,Банкрана,,,,,,
11479908,2654332,ru,Банкрана,,,,,,
13776911,2654332,unlc,IEBUC,,,,,,
15391885,2654332,wkdt,Q751475,,,,,,
1271868,2960863,,Dromore,,,,,,
4256533,2960863,,Dromore West,,,,,,
7497350,2960863,link,https://en.wikipedia.org/wiki/Dromore_West,,,,,,
15471133,2960863,wkdt,Q1025564,,,,,,
1271869,2960864,,Dromore House,,,,,,
4256534,2960864,,Dromore,,,,,,
16080235,2960866,en,Youghal Bay,,,,,,
16080236,2960866,ga,Cuan Eochaille,,,,,,
1271870,2960869,en,Youghal,1,,,,,
2961420,2960869,link,https://en.wikipedia.org/wiki/Youghal,,,,,,
7361644,2960869,ga,Eochaill,,,,,,
8292479,2960869,bg,Йол,,,,,,
8292480,2960869,gv,Yoal,,,,,,
8292481,2960869,ru,Йол,,,,,,
8719106,2960869,ka,იოლი,,,,,,
11359246,2960869,ur,یوغل,,,,,,
13777289,2960869,unlc,IEYOU,,,,,,
15788658,2960869,wkdt,Q1012476,,,,,,
11299765,2960873,link,https://en.wikipedia.org/wiki/Yellow_River_%28Ireland%29,,,,,,
11392243,2960873,,Yellow River,,,,,,
7497299,2960874,link,https://en.wikipedia.org/wiki/Yellow_Furze,,,,,,
