AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
6898327,1766,link,https://en.wikipedia.org/wiki/Khiyam_al-Walid,,,,,,
6910857,1766,,Khān Khiyām al Walīd,,,,,,
7352922,1766,ar,خان خيام الوليد,,,,,,
118222,163223,,Aïn ett Tîné,,,,,,
4024200,163223,,‘Ayn at Tīnah,,,,,,
8458697,163223,he,עין אל-חינה,1,,,,,
118462,163398,,Aïn ett Tannoûr,,,,,,
4024368,163398,,‘Ayn at Tannūr,,,,,,
8458698,163398,he,עין אל-תנור,1,,,,,
4024966,164040,,Wādī as Soumtâa,,,,,,
9414546,164040,he,Naẖal Kanaf,,,,,,
9414547,164040,,Wādī aş Şumţāh,,,,,,
9414548,164040,he,נחל כנף,,,,,,
9414549,164040,ar,وادي الصمطاة,,,,,,
4025786,164881,,Wādī as Samak,,,,,,
7097905,164881,he,Naẖal Samakh,,,,,,
7097906,164881,he,נחל סמך,,,,,,
9414556,164881,ar,وادي السمك,,,,,,
121471,165537,,Ramta,,,,,,
4026418,165537,,Ramthā,,,,,,
7357124,165537,ar,رمثا,,,,,,
8458699,165537,he,מצפה רמתה,,,,,,
15226276,165537,wkdt,Q26761860,,,,,,
123295,166771,,Mourhr Chébaâ,,,,,,
4027620,166771,,Mughr Shab‘ā,,,,,,
7357144,166771,ar,مغر شبعا,,,,,,
123491,166932,,Mazraat Zebdîne,,,,,,
4027774,166932,,Mazra‘at Zabdīn,,,,,,
7357148,166932,ar,مزرعة زبدين,,,,,,
4027788,166947,,Mazra‘at Barakhtā,,,,,,
7357151,166947,ar,مزرعة برختا,,,,,,
124218,167444,,Majd el Chams,,,,,,
124219,167444,,Majdal-esh-Shems,,,,,,
4028262,167444,,Majdal Shams,,,,,,
6641996,167444,ar,مجدل شمس,,,,,,
6876844,167444,link,https://en.wikipedia.org/wiki/Majdal_Shams,,,,,,
7844626,167444,,Majdel Chams,,,,,,
11637499,167444,cs,Madždal Šams,,,,,,
11637500,167444,fa,مجدل شمس,,,,,,
11637501,167444,he,מגדל שמס,,,,,,
11637502,167444,pl,Madżdal Szams,,,,,,
11637503,167444,ru,Мадждаль-Шамс,,,,,,
4028443,167636,,Ma‘agan,,,,,,
13654431,167636,link,https://en.wikipedia.org/wiki/Ma%27agan,,,,,,
15911718,167636,he,מעגן,,,,,,
124533,167661,,Nahr al Liddānī,,,,,,
4028468,167661,,Naẖal Dan,,,,,,
7097907,167661,he,Naẖal Dan,,,,,,
7097908,167661,he,נחל דן,,,,,,
8552618,167661,ar,نهر اللداني,,,,,,
125587,168388,,Khallet el Rhazâlé,,,,,,
4029154,168388,,Khallat al Ghazālah,,,,,,
7357163,168388,ar,خلة الغزالة,,,,,,
126302,168872,,Jalābina,,,,,,
126303,168872,,Wadi el Jalâbina,,,,,,
126304,168872,,Jalābine,,,,,,
4029626,168872,,Wādī al Julaybīnah,,,,,,
8552621,168872,,Wādī Julaybīnah,,,,,,
8552622,168872,he,Naẖal Gilbon,,,,,,
8552623,168872,ar,وادي جليبينة,,,,,,
8552624,168872,he,נחל גלבון,,,,,,
126544,169015,,‘Emeq HaYarden HaTahton,,,,,,
126545,169015,,‘Emeq HaYarden HaTikhon,,,,,,
126546,169015,,The Jordan River Valley,,,,,,
4029763,169015,en,Jordan Valley,,,,,,
4029764,169015,,‘Emeq HaYarden,,,,,,
127756,169819,fr,Jourdain,,,,,,
127757,169819,,Nahr Hasbany,,,,,,
127758,169819,,Hatsbani River,,,,,,
127759,169819,,Nahr el Haẕbani,,,,,,
4030548,169819,,Naẖal Senir,,,,,,
5388841,169819,,Nahr al Ḩāşbānī,,,,,,
5757598,169819,link,https://en.wikipedia.org/wiki/Jordan_River,,,,,,
6917722,169819,,Jourdain,,,,,,
7097909,169819,he,Naẖal Senir,,,,,,
7097910,169819,he,נחל שניר,,,,,,
8552633,169819,ar,نهر الحاصباني,,,,,,
8552634,169819,,Nahr al Ḩāşibānī,,,,,,
127890,169919,,Wādī al Ḩanz̧al,,,,,,
127891,169919,,Wadi el Handhal,,,,,,
4030641,169919,,H̱anzal,,,,,,
7097911,169919,he,Naẖal H̱amdal,,,,,,
7097912,169919,he,נחל חמדל,,,,,,
4031006,170296,,Jisr al Ghajar,,,,,,
8552635,170296,ar,جسر الغجر,,,,,,
9938879,170296,,Jisr Ghajar,,,,,,
9938880,170296,he,ג’סר ע’ג’ר,,,,,,
128619,170488,,El Fājir,,,,,,
128620,170488,,Fajer,,,,,,
4031197,170488,,Wādī al Fājir,,,,,,
8552638,170488,he,Naẖal Shuaẖ,,,,,,
8552639,170488,he,נחל שוח,,,,,,
8552640,170488,ar,وادي الفاجر,,,,,,
128661,170521,,Khirbat Duweiraban,,,,,,
4031229,170521,,Khirbat Duwayribān,,,,,,
9414593,170521,ar,خربة دويربان,,,,,,
128831,170622,,Ouâdi ed Doufeila,,,,,,
128832,170622,,Wadi ed-Dufele,,,,,,
128833,170622,,Wadi Dufeila,,,,,,
4031326,170622,,Wādī ad Dufaylah,,,,,,
8552641,170622,he,Naẖal Yardinon,,,,,,
8552642,170622,,Wādī ad Diflah,,,,,,
8552643,170622,he,נחל ירדינון,,,,,,
8552644,170622,ar,وادي الدفلة,,,,,,
130548,171828,,Nahr Bāniyās,,,,,,
130549,171828,,Nahal Hermon,,,,,,
130550,171828,,Nahr el Bānyāsī,,,,,,
130551,171828,,Nahr Banias,,,,,,
130552,171828,,Banyas,,,,,,
130553,171828,,Banvasi,,,,,,
4032494,171828,,Naẖal H̱ermon,,,,,,
7097913,171828,he,Naẖal H̱ermon,,,,,,
7097914,171828,he,נחל חרמון,,,,,,
8552650,171828,ar,نهر بانياس,,,,,,
132184,172863,,Ouâdi el Aassal,,,,,,
132185,172863,,Ouâdi el Assal,,,,,,
4033497,172863,,Wādī al ‘Asal,,,,,,
8552664,172863,,Wādī al ‘Assāl,,,,,,
8552665,172863,ar,وادي العسال,,,,,,
132690,173163,,Noukhaïlé,,,,,,
132691,173163,,Enn Noukhaîle,,,,,,
132692,173163,,En Noukaile,,,,,,
132693,173163,,En Noukhaile,,,,,,
4033781,173163,,An Nukhaylah,,,,,,
7357249,173163,ar,النخيلة,,,,,,
132772,173205,,Nabi Huda,,,,,,
4033822,173205,,An Nabī Hūd,,,,,,
133133,173404,,Naẖal Maẖanayim,,,,,,
133134,173404,,Musheirifa,,,,,,
4034017,173404,,Al Mushayrifah,,,,,,
8552673,173404,,Wādī al Mushayrifah,,,,,,
8552674,173404,ar,وادي المشيرفة,,,,,,
134046,173882,,Rhajar,,,,,,
134047,173882,,Ghajar,,,,,,
134048,173882,,El Ghajar,,,,,,
2921513,173882,link,https://en.wikipedia.org/wiki/Ghajar,,,,,,
4034478,173882,,Al Ghajar,,,,,,
7357268,173882,ar,غجر,,,,,,
15918724,173882,he,ע'ג'ר,,,,,,
154865,245877,,Makhadat Zor al Matamir,,,,,,
4396486,245877,,Makhāḑat Zawr al Maţāmīr,,,,,,
13339510,245877,ar,مخاضة زور المطامير,,,,,,
154963,245940,,Al Yarmūk,,,,,,
154964,245940,,Wādi Nahr el Yarmouk,,,,,,
154965,245940,,El Yarmūk,,,,,,
154966,245940,,Yarmuq,,,,,,
154967,245940,,Sherī‘at el Menādire,,,,,,
154968,245940,,Yahmuk,,,,,,
154969,245940,,Hieromax,,,,,,
154970,245940,,Yarmuk River,,,,,,
154971,245940,,River Heiramax,,,,,,
4396548,245940,,HaYarmuk,,,,,,
5600793,245940,,Nahr al Yarmūk,,,,,,
9416814,245940,ar,نهر اليرموك,,,,,,
155209,246116,,Makhāḑat Umm Tūtah,,,,,,
155210,246116,,Makhadat Umm Tuta,,,,,,
4396730,246116,,Ma‘avar Yardena,,,,,,
7120483,246116,he,Ma‘avar Yardena,,,,,,
7120484,246116,he,מעבר ירדנה,,,,,,
7120485,246116,he,Makhaḍat Umm Tūtā,,,,,,
7120486,246116,he,מח’דת אם תותה,,,,,,
13339522,246116,ar,مخاضة ام توتة,,,,,,
4396936,246315,,Makhāḑat Umm aş Şīşān,,,,,,
13339524,246315,ar,مخاضة ام الصيصان,,,,,,
155675,246414,,Wādī Um el ‘Amad,,,,,,
4397035,246414,,Wādī Umm al ‘Amad,,,,,,
155800,246491,,Makhādat Tureikhim,,,,,,
4397113,246491,,Makhāḑat Turaykhim,,,,,,
13339536,246491,ar,مخاضة تريخم,,,,,,
155998,246637,,Sabkhat Ţābah,,,,,,
155999,246637,,Khabrat el Kabais,,,,,,
156000,246637,,Sibkh et Tāba,,,,,,
156001,246637,,Khabrat al Kubays,,,,,,
4397261,246637,,Meleẖat Yotvata,,,,,,
12142865,246637,,Qā‘ Ţābā,,,,,,
12142866,246637,ar,قاع طابا,,,,,,
12142867,246637,he,מלחת יטבתה,,,,,,
156166,246770,,Wadi es Sik,,,,,,
4397397,246770,,Wādī as Sīq,,,,,,
4397398,246770,ar,وادي السيق,,,,,,
12142869,246770,,Wādī Sīq,,,,,,
156273,246861,,Makhadat Sheikh Qasim,,,,,,
4397489,246861,,Makhāḑat ash Shaykh Qāsim,,,,,,
7120487,246861,he,Ma‘avar Or,,,,,,
7120488,246861,he,מעבר אור,,,,,,
7120489,246861,he,Makhaḍat Sheikh Qasim,,,,,,
7120490,246861,he,מח’דת שיח קסם,,,,,,
13339561,246861,ar,مخاضة الشيخ قاسم,,,,,,
156276,246863,,Gesher Sheikh Hussein,,,,,,
156277,246863,,Jisr esh Sheikh Husein,,,,,,
4397491,246863,,Jisr ash Shaykh Ḩusayn,,,,,,
11111063,246863,ar,جسر الشيخ حسين,,,,,,
11111064,246863,,Ma‘bar Nahr al Urdun,,,,,,
11111065,246863,,Sheikh Hussein Bridge,,,,,,
11111066,246863,,Mi‘bar Nahr al Urdun,,,,,,
11111067,246863,ar,معبر نهر الأردن,,,,,,
4397735,247106,,Makhāḑat aş Şaghīr,,,,,,
13339578,247106,ar,مخاضة الصغير,,,,,,
157105,247572,,Makhāḍat el Qaṭaf,,,,,,
4398201,247572,,Makhāḑat al Qaţaf,,,,,,
7120491,247572,he,Ma‘avar Qataf,,,,,,
7120492,247572,he,מעבר קטף,,,,,,
7120493,247572,he,Makhaḍat el Qaṭaf,,,,,,
7120494,247572,he,מח’דת א קטף,,,,,,
13339598,247572,ar,مخاضة الفطف,,,,,,
157377,247773,,Yarmuk Reservoir,,,,,,
13339606,247773,,Agan Naharayim,,,,,,
157807,248127,,Wādī el Masqara esh Sharqiya,,,,,,
4398762,248127,,Wādī al Maşqarah ash Sharqīyah,,,,,,
2810322,248766,ar,وادي جرف حمار,,,,,,
4399402,248766,ar,Wādī Jurf Ḩimār,,,,,,
159342,249340,,‘Ain el Ḥufeira,,,,,,
4399975,249340,,‘Ayn al Ḩafīrī,,,,,,
7980559,249340,he,‘Ein el Ḥufeira,,,,,,
7980560,249340,he,עין אל חפירה,,,,,,
11020805,249340,,‘Ain el Hufeira,,,,,,
13395188,249340,,‘Ayn al Ḩufayrah,,,,,,
13395189,249340,ar,عين الحفيرة,,,,,,
159404,249390,,Wādī al Ghawbā,,,,,,
159405,249390,,Wādī el Ghauba,,,,,,
159406,249390,,Wādī Ghuweib,,,,,,
4400025,249390,,Wādī Ghuwayb,,,,,,
4400026,249390,ar,وادي غويب,,,,,,
4400027,249390,,Wādī al Ghuwayb,,,,,,
13395192,249390,ar,وادي الغوبا,,,,,,
159532,249490,,Wādī el Fidān,,,,,,
159533,249490,,Wadi Fedan,,,,,,
4400127,249490,,Wādī al Fidān,,,,,,
11265797,249490,,Wādī Fidān,,,,,,
11265798,249490,ar,وادي فدان,,,,,,
11265799,249490,,Wādī Faddān,,,,,,
13395206,249490,ar,وادي الفدان,,,,,,
160817,250384,,Wādī al ‘Arabah,,,,,,
