AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2968616,3042170,link,https://en.wikipedia.org/wiki/Union_Mills,,,,,,
1298430,3042171,,Cronky-y-Keillown,,,,,,
4332921,3042171,,Tynwald Hill,,,,,,
7167787,3042172,link,https://en.wikipedia.org/wiki/River_Sulby,,,,,,
2968617,3042174,link,https://en.wikipedia.org/wiki/Sulby%2C_Isle_of_Man,,,,,,
2968618,3042177,link,https://en.wikipedia.org/wiki/South_Barrule,,,,,,
2968619,3042178,link,https://en.wikipedia.org/wiki/Snaefell,,,,,,
3055060,3042178,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%BD%D1%8D%D1%84%D0%B5%D0%BB%D0%BB%D1%8C,,,,,,
11609090,3042178,es,Monte Snaefell,,,,,,
11609091,3042178,br,Sniaul,,,,,,
11609092,3042178,ga,Sniaul,,,,,,
11609093,3042178,gd,Sniaul,,,,,,
11609094,3042178,gl,Monte Snaefell,,,,,,
11609095,3042178,gv,Sniaul,,,,,,
11609096,3042178,lt,Sneifelis,,,,,,
11609097,3042178,ru,Снэфелль,,,,,,
1298431,3042179,,Point Cranstal,,,,,,
4332922,3042179,,Shellag Point,,,,,,
1298432,3042181,,Saint Ann Head,,,,,,
1298433,3042181,,Saint Anns Head,,,,,,
4332923,3042181,,Santon Head,,,,,,
1298434,3042182,,Saint Anne,,,,,,
4332924,3042182,,Santon,,,,,,
7158735,3042182,link,https://en.wikipedia.org/wiki/Santon_%28parish%29,,,,,,
13777556,3042182,unlc,IMSAN,,,,,,
1298435,3042183,,Saint Michael Island,,,,,,
4332925,3042183,,Saint Michaels Island,,,,,,
7160048,3042183,link,https://en.wikipedia.org/wiki/Michael%2C_Isle_of_Man,,,,,,
4332926,3042185,,Saint Marks,,,,,,
4332927,3042185,,Saint Mark,,,,,,
8678654,3042186,link,https://en.wikipedia.org/wiki/St_John%27s%2C_Isle_of_Man,,,,,,
8802929,3042186,,Saint Johns,,,,,,
1298437,3042190,,Rhenass Waterfall,,,,,,
1298438,3042190,,Rhenas Fall,,,,,,
4332928,3042190,,Rhenas,,,,,,
2968621,3042192,link,https://en.wikipedia.org/wiki/Ramsey%2C_Isle_of_Man,,,,,,
3055062,3042192,link,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%BC%D1%81%D0%B8_%28%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D0%9C%D1%8D%D0%BD%29,,,,,,
8155613,3042192,ru,Рамси,,,,,,
8329018,3042192,gv,Rhumsaa,,,,,,
8329019,3042192,gd,Rhumsaa,,,,,,
8329020,3042192,lt,Ramsis,,,,,,
9339561,3042192,ga,Rhumsaa,,,,,,
11377845,3042192,br,Rhumsaa,,,,,,
13777555,3042192,unlc,IMRAM,,,,,,
15280129,3042192,wkdt,Q150106,,,,,,
6898516,3042193,link,https://en.wikipedia.org/wiki/Port_Soderick,,,,,,
2968620,3042195,link,https://en.wikipedia.org/wiki/Port_St_Mary,,,,,,
13772339,3042195,unlc,GBPSM,,,,,,
2968622,3042196,link,https://en.wikipedia.org/wiki/Port_Erin,,,,,,
3075526,3042196,ru,Порт-Эрин,1,,,,,
15704740,3042196,wkdt,Q520798,,,,,,
