AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
9061640,1114940,link,http://id.loc.gov/authorities/subjects/sh87002222,,,,,,
13190863,1114940,,Rāvi River,,,,,,
13190864,1114940,,Rāvi,,,,,,
3603459,1114942,,Punjab Plains,,,,,,
15526234,1114942,wkdt,Q26777380,,,,,,
551600,1114957,,Veth River,,,,,,
3603463,1114957,,Jhelum River,,,,,,
5906030,1114957,en,River Hydaspes,,,,,,
9061540,1114957,link,http://id.loc.gov/authorities/subjects/sh2002006260,,,,,,
9061541,1114957,link,https://en.wikipedia.org/wiki/Jhelum_River,,,,,,
12191345,1114957,,Jhelum,,,,,,
551601,1114958,,Hindustan,,,,,,
1626789,1114958,es,Hindustán,,,,,,
551613,1114965,,Basantar River,,,,,,
11388545,1114965,,Basantar Nāla,,,,,,
11388546,1114965,en,Basantar,,,,,,
551674,1115006,,Satluj River,,,,,,
551675,1115006,,Langqên Zangbo,,,,,,
551677,1115006,,Hsiang-ch’üan Ho,,,,,,
551678,1115006,,Langqên Kanbab,,,,,,
551679,1115006,,Xiangquan He,,,,,,
551680,1115006,,Sutlij River,,,,,,
551681,1115006,,Sa-t’e-lei-chi Ho,,,,,,
551682,1115006,,Langgên Zangbo,,,,,,
551683,1115006,,Sa-t’e-li-jih Ho,,,,,,
551684,1115006,,Lang-ch’u Ho,,,,,,
551685,1115006,,Sa-t’e-erh-jih Ho,,,,,,
551686,1115006,,Langchen,,,,,,
551687,1115006,,Langchen Khambab,,,,,,
551688,1115006,,Langchen-kampa,,,,,,
551689,1115006,,Lang-chen-kam-p,,,,,,
551690,1115006,,Langchen Kharnbab,,,,,,
551691,1115006,,Langqen Kanbab,,,,,,
2331837,1115006,,Sutlej,,,,,,
3603487,1115006,en,Sutlej River,,,,,,
5706846,1115006,link,https://en.wikipedia.org/wiki/Sutlej,,,,,,
9061642,1115006,link,http://id.loc.gov/authorities/subjects/sh85130912,,,,,,
615421,1167718,,Poonch,,,,,,
2930482,1167718,link,https://en.wikipedia.org/wiki/Poonch,,,,,,
3148455,1167718,,Pūnch,,,,,,
8792384,1167718,link,http://id.loc.gov/authorities/names/n84025785,,,,,,
11218410,1167718,,Punch,,,,,,
15349915,1167718,wkdt,Q2575156,,,,,,
616216,1169325,,Dhoro Puran River,,,,,,
3935714,1169325,,Purān Dhora,,,,,,
3935715,1169325,,Nāra River,,,,,,
620851,1179242,,Ferozepore,,,,,,
15915933,1179242,,Ferozepore Headworks,,,,,,
13897732,1181619,,Chalunka,,,,,,
13897733,1181619,,Chalūnka,,,,,,
642323,1252645,,Olavakod,,,,,,
642324,1252645,,Olavakkot Junction,,,,,,
4131789,1252645,,Olavakod Junction,,,,,,
642325,1252646,,Kilakari,,,,,,
4131790,1252646,,Kīlakarai,,,,,,
6910133,1252646,link,https://en.wikipedia.org/wiki/Kilakarai,,,,,,
11574756,1252646,en,Kilakarai,,,,,,
11574757,1252646,bpy,কীলাকারাই,,,,,,
11574758,1252646,new,कीलाकाराई,,,,,,
11574759,1252646,ta,கீழக்கரை,,,,,,
11574760,1252646,zh,凯埃拉卡赖,,,,,,
13777976,1252646,unlc,INKKR,,,,,,
14896926,1252646,wkdt,Q2135478,,,,,,
642326,1252647,,Kamla,,,,,,
11110235,1252647,,Kamla Nadi,,,,,,
11110236,1252647,,Kamla Nadī,,,,,,
11110237,1252647,,Kamla River,,,,,,
11110238,1252647,,Kamala River,,,,,,
642327,1252648,,Dārmaganga,,,,,,
642328,1252648,,Dārmaganga River,,,,,,
642329,1252648,,Dhouli,,,,,,
642330,1252648,,Dhauli River,,,,,,
4131792,1252648,,Dhaulīganga River,,,,,,
6890828,1252648,link,https://en.wikipedia.org/wiki/Dhauliganga_River,,,,,,
642331,1252649,,Belraien,,,,,,
4131793,1252649,,Kauriāla Ghāt,,,,,,
642332,1252650,,Baranāi,,,,,,
4131794,1252650,,Baranaī Nadī,,,,,,
642333,1252652,,Rachol,,,,,,
642334,1252652,,Juāri,,,,,,
642335,1252652,,Suari River,,,,,,
642336,1252652,,Rio Zuari,,,,,,
642337,1252652,,Zuāri River,,,,,,
4131795,1252652,,Zuvāri River,,,,,,
6960672,1252652,en,Zuari River,,,,,,
7132332,1252652,link,https://en.wikipedia.org/wiki/Zuari_River,,,,,,
2930978,1252653,link,https://en.wikipedia.org/wiki/Zunheboto,,,,,,
4131796,1252653,,Zunheboto,,,,,,
11800541,1252653,post,798620,,,,,,
15342760,1252653,wkdt,Q2484053,,,,,,
642338,1252654,,Zonheboto,,,,,,
4131797,1252654,,Zunheboto,,,,,,
11801938,1252654,link,https://en.wikipedia.org/wiki/Zunheboto_district,,,,,,
11802017,1252654,,Zunhebotto,,,,,,
13696318,1252654,en,Zunheboto,,,,,,
13696319,1252654,abbr,ZNH,,,,,,
642339,1252660,,Zuzzar,,,,,,
4131798,1252660,,Zozar,,,,,,
642340,1252663,,Zongsar,,,,,,
4131799,1252663,,Zongsa,,,,,,
642341,1252665,,Zoji La Pass,,,,,,
642342,1252665,,Zozila Pass,,,,,,
4131800,1252665,,Zoji La,,,,,,
7545332,1252665,link,https://en.wikipedia.org/wiki/Zoji_La,,,,,,
642343,1252668,,Zero,,,,,,
2930979,1252668,link,https://en.wikipedia.org/wiki/Ziro,,,,,,
4131801,1252668,,Ziro,,,,,,
12132897,1252668,iata,ZER,,,,,,
13778416,1252668,unlc,INZER,,,,,,
15588068,1252668,wkdt,Q33528166,,,,,,
5900907,1252671,link,https://en.wikipedia.org/wiki/Zingzingbar,,,,,,
6113650,1252671,,Zingzingbar,,,,,,
10933065,1252673,,Zindpurā Railroad Station,,,,,,
10933066,1252673,,Zindpurā,,,,,,
10933067,1252673,,Zindpura,,,,,,
13661202,1252673,abbr,ZNP,,,,,,
642344,1252675,,Zerpur,,,,,,
4131802,1252675,,Zerpur Pali,,,,,,
2930980,1252676,link,https://en.wikipedia.org/wiki/Zemu_Glacier,,,,,,
4131803,1252676,,Zemu Glacier,,,,,,
7519204,1252680,link,https://en.wikipedia.org/wiki/Zawar,,,,,,
7561536,1252680,,Zawar,,,,,,
10728557,1252680,,Zāwār,,,,,,
7874194,1252681,,Jāwāl,,,,,,
7874195,1252681,,Zāwal,,,,,,
8098152,1252681,link,https://en.wikipedia.org/wiki/Jawal,,,,,,
642345,1252683,,Zāskār Range,,,,,,
642346,1252683,,Sa-ssu-k’a-erh Shan,,,,,,
642347,1252683,,Zanskar Range,,,,,,
642348,1252683,,Zāskār Mountains,,,,,,
4131804,1252683,,Sa-ssu-K’a-erh Shan,,,,,,
8065027,1252683,de,Zanskar,,,,,,
642349,1252685,,Zaranim,,,,,,
642350,1252685,,Zadani,,,,,,
4131805,1252685,,Zarani,,,,,,
7493314,1252686,link,https://en.wikipedia.org/wiki/Zankhvav,,,,,,
7561537,1252686,,Zankhvāv,,,,,,
13657821,1252686,abbr,ZKV,,,,,,
7501889,1252687,link,https://en.wikipedia.org/wiki/Zangla,,,,,,
7561538,1252687,,Zangla,,,,,,
642351,1252689,,Kandukūru,,,,,,
4131806,1252689,,Zangālapalle,,,,,,
13661432,1252689,abbr,ZPL,,,,,,
7769874,1252691,,Zamānia,,,,,,
10933068,1252691,,Zamānia Railroad Station,,,,,,
13655604,1252691,abbr,ZNA,,,,,,
642352,1252692,,Zaminia,,,,,,
2930981,1252692,link,https://en.wikipedia.org/wiki/Zamania,,,,,,
4131807,1252692,,Zamānia,,,,,,
2930982,1252698,link,https://en.wikipedia.org/wiki/Zaidpur,,,,,,
7874196,1252698,,Zaidpur,,,,,,
15345305,1252698,wkdt,Q2543268,,,,,,
2930983,1252699,link,https://en.wikipedia.org/wiki/Zahirabad,,,,,,
4131808,1252699,,Zahirābād,,,,,,
642353,1252703,,Isab Wargaon,,,,,,
4131809,1252703,,Yusufbadgaon,,,,,,
10933069,1252703,,Yusūfwadgaon,,,,,,
642354,1252705,,Yumthang,,,,,,
4131810,1252705,,Yumtang,,,,,,
642355,1252706,,Mome Samdong,,,,,,
4131811,1252706,,Yume Samdong,,,,,,
642356,1252709,,Vorjing,,,,,,
4131812,1252709,,Yorjing Mountains,,,,,,
15535236,1252709,wkdt,Q26777783,,,,,,
642357,1252710,,Yonggyap La,,,,,,
642359,1252710,,Yonggyap Pass,,,,,,
4131813,1252710,,Chiang-Chia-p’u Shan-K’ou,,,,,,
6994988,1252710,bo,Yonggyab La,,,,,,
6994989,1252710,zh,Yongjia La,,,,,,
6994990,1252710,zh,永加拉,,,,,,
15864411,1252710,wkdt,Q26777782,,,,,,
7546079,1252714,link,https://en.wikipedia.org/wiki/Yol%2C_India,,,,,,
7561539,1252714,,Yol,,,,,,
15330713,1252714,wkdt,Q2637314,,,,,,
