AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
654831,1281792,,Oil Islands,,,,,,
1627135,1281792,ca,Illes Chagos,,,,,,
4307891,1281792,,Chagos Archipelago,,,,,,
13498703,1281792,link,https://en.wikipedia.org/wiki/Chagos_Archipelago,,,,,,
654832,1281793,,Nelson,,,,,,
4307892,1281793,,Nelsons Island,,,,,,
6889968,1281793,link,https://en.wikipedia.org/wiki/Nelsons_Island,,,,,,
4308098,1281795,fr,Île Longue,,,,,,
4330332,1282503,fr,Île Yeye,,,,,,
7543847,1282503,link,https://en.wikipedia.org/wiki/%C3%8Ele_Yeye,,,,,,
15258824,1282503,wkdt,Q8078635,,,,,,
655099,1282504,,Wiglit Bank,,,,,,
2934477,1282504,link,https://en.wikipedia.org/wiki/Wight_Bank,,,,,,
4330333,1282504,,Wight Bank,,,,,,
655100,1282505,,West Islet,,,,,,
4330334,1282505,,West Island,,,,,,
7517301,1282506,link,https://en.wikipedia.org/wiki/Victory_Bank,,,,,,
7566502,1282506,,Victory Bank,,,,,,
4330335,1282507,fr,Île Verte,,,,,,
4330336,1282509,fr,Île Vache Marine,,,,,,
655101,1282510,,Three Brothers Islands,,,,,,
4330337,1282510,,Three Brothers,,,,,,
7130406,1282510,link,"https://en.wikipedia.org/wiki/Three_Brothers,_Chagos",,,,,,
7160625,1282515,link,https://en.wikipedia.org/wiki/Speakers_Bank,,,,,,
7323766,1282515,,Speakers Bank,,,,,,
2934478,1282520,link,https://en.wikipedia.org/wiki/Salomon_Islands,,,,,,
4330338,1282520,,Salomon Islands,,,,,,
15247807,1282522,wkdt,Q26838965,,,,,,
15969144,1282522,,Île des Rats,,,,,,
4330339,1282524,fr,Île Poule,,,,,,
7526026,1282526,link,https://en.wikipedia.org/wiki/Pitt_Bank,,,,,,
7566503,1282526,,Pitt Bank,,,,,,
4330340,1282527,fr,Île Pierre,,,,,,
4330341,1282529,fr,Petite Île Mapou,,,,,,
655102,1282532,,Peros Banhos Island,,,,,,
2934479,1282532,link,https://en.wikipedia.org/wiki/Peros_Banhos,,,,,,
4330342,1282532,,Peros Banhos,,,,,,
655103,1282536,,Ile Parasole,,,,,,
4330343,1282536,fr,Île Parasol,,,,,,
8099966,1282536,link,https://en.wikipedia.org/wiki/Ile_Parasol,,,,,,
7535900,1282537,link,https://en.wikipedia.org/wiki/Owen_Bank,,,,,,
7566504,1282537,,Owen Bank,,,,,,
4330344,1282542,fr,Île Monpatre,,,,,,
2532846,1282545,,Middle Pass,,,,,,
4330345,1282545,,Middle Passage,,,,,,
655105,1282546,,Middle Islet,,,,,,
4330346,1282546,,Middle Island,,,,,,
2532847,1282547,,Point Marianne,,,,,,
4330347,1282547,,Pointe Marianne,,,,,,
4330348,1282550,fr,Île Manon,,,,,,
2532848,1282551,,Île Manoel,,,,,,
4330349,1282551,fr,Île Manoël,,,,,,
2532849,1282552,,Main Pass,,,,,,
4330350,1282552,,Main Passage,,,,,,
4330351,1282554,fr,Île Longue,,,,,,
655106,1282559,,Great Chagos,,,,,,
4330352,1282559,,Great Chagos Bank,,,,,,
4330353,1282561,fr,Grande Île Mapou,,,,,,
7534068,1282563,link,https://en.wikipedia.org/wiki/Ganges_Bank,,,,,,
7566505,1282563,,Ganges Bank,,,,,,
4330354,1282564,fr,Île Gabrielle,,,,,,
4330355,1282565,fr,Île Fouquet,,,,,,
4330356,1282567,fr,Île Finon,,,,,,
15561200,1282568,wkdt,Q31589020,,,,,,
15969145,1282568,,Elder Rock,,,,,,
655107,1282569,,Six Islands,,,,,,
655108,1282569,,Egmont,,,,,,
2934480,1282569,link,https://en.wikipedia.org/wiki/Egmont_Islands,,,,,,
4330357,1282569,,Egmont Islands,,,,,,
655109,1282573,,East Islet,,,,,,
4330358,1282573,,East Island,,,,,,
655110,1282574,,Eagle,,,,,,
4330359,1282574,,Eagle Islands,,,,,,
7200911,1282574,link,https://en.wikipedia.org/wiki/Eagle_Islands,,,,,,
1993298,1282575,en,Diego Garcia,,,,,,
1993299,1282575,fr,Diego Garcia,,,,,,
1993300,1282575,es,Diego García,,,,,,
1993301,1282575,de,Diego Garcia,,,,,,
1993302,1282575,pl,Diego Garcia,,,,,,
1993303,1282575,fi,Diego Garcia,,,,,,
1993304,1282575,he,דייגו גרסיה,,,,,,
1993305,1282575,hr,Diego Garcia,,,,,,
1993306,1282575,it,Diego Garcia,,,,,,
1993307,1282575,ja,ディエゴガルシア島,,,,,,
1993308,1282575,nl,Diego Garcia,,,,,,
1993309,1282575,no,Diego Garcia,,,,,,
1993310,1282575,pt,Diego Garcia,,,,,,
1993311,1282575,ru,Диего-Гарсия,,,,,,
1993312,1282575,sv,Diego Garcia,,,,,,
1993313,1282575,sw,Diego Garcia,,,,,,
4330360,1282575,,Diego Garcia,,,,,,
5883866,1282575,link,https://en.wikipedia.org/wiki/Diego_Garcia,,,,,,
8216810,1282575,ur,ڈیگو گارشیا,,,,,,
8216811,1282575,cs,Diego García,,,,,,
8216812,1282575,ml,ഡീഗോ ഗാർഷിയ,,,,,,
8216813,1282575,lt,Diego Garsija,,,,,,
8216814,1282575,sq,Diego Garsia,,,,,,
8216815,1282575,gl,Atol Diego García,,,,,,
8216816,1282575,ar,دييغو غارسيا,,,,,,
8216817,1282575,sr,Дијего Гарсија,,,,,,
8216818,1282575,hi,डिएगो गार्सिया,,,,,,
8216819,1282575,hbs,Dijego Garsija,,,,,,
8216820,1282575,fa,جزیره دیه‌گو گارسیا,,,,,,
8216821,1282575,uk,Дієго-Гарсія,,,,,,
8216822,1282575,bn,দিয়েগো গার্সিয়া,,,,,,
8216823,1282575,bg,Диего Гарсия,,,,,,
8216824,1282575,be,Востраў Дыега-Гарсія,,,,,,
8216825,1282575,el,Ντιέγκο Γκαρσία,,,,,,
8216826,1282575,ko,디에고가르시아 섬,,,,,,
8216827,1282575,pnb,ڈیگو گارشیا,,,,,,
8216828,1282575,th,ดีเอโกการ์ซีอา,,,,,,
8216829,1282575,te,డియెగో గార్సియా,,,,,,
8216830,1282575,zh,迪戈加西亚岛,,,,,,
11322949,1282575,ta,தியேகோ கார்சியா,,,,,,
11322950,1282575,uz,Diyegogarsiya,,,,,,
13332098,1282575,iata,NKW,,,,1,,
13778419,1282575,unlc,IODGA,,,,,,
4330361,1282576,fr,Île Diamant,,,,,,
655111,1282579,,Danger,,,,,,
4330362,1282579,,Danger Island,,,,,,
7138711,1282579,link,https://en.wikipedia.org/wiki/Danger_Island,,,,,,
7162433,1282581,link,https://en.wikipedia.org/wiki/Colvocoresses_Reef,,,,,,
7323767,1282581,,Colvocoresses Reef,,,,,,
655112,1282582,,Gunners Coign,,,,,,
4330363,1282582,,Coin du Mire,,,,,,
7528358,1282585,link,https://en.wikipedia.org/wiki/Cauvin_Bank,,,,,,
7566506,1282585,,Cauvin Bank,,,,,,
1627134,1282588,ca,Territori Britànic de l'Oceà Índic,1,,,,,
2256614,1282588,fr,Territoire britannique de l'océan Indien,1,,,,,
2422190,1282588,am,የብሪታኒያ ህንድ ውቂያኖስ ግዛት,1,,,,,
2422191,1282588,ar,الإقليم البريطاني في المحيط الهندي,1,,,,,
2422192,1282588,be,Брытанская тэрыторыя Індыйскага акіяну,1,,,,,
2422193,1282588,bg,Британски територии в Индийския океан,1,,,,,
2422194,1282588,bn,ব্রিটিশ ভারত মহাসাগরীয় অঞ্চল,1,,,,,
2422195,1282588,cs,Britské indickooceánské území,1,,,,,
2422196,1282588,cy,Tiriogaeth Cefnfor India Prydain,1,,,,,
2422197,1282588,da,Det Britiske Territorium i Det Indiske Ocean,1,,,,,
2422198,1282588,de,Britisches Territorium im Indischen Ozean,1,,,,,
2422199,1282588,el,Βρετανικά Εδάφη Ινδικού Ωκεανού,1,,,,,
2422200,1282588,en,British Indian Ocean Territory,1,,,,,
2422201,1282588,eo,Brita Hindoceana Teritorio,1,,,,,
2422202,1282588,es,Territorio Británico del Océano Índico,1,,,,,
2422203,1282588,et,Briti India ookeani ala,1,,,,,
2422204,1282588,eu,Indiako Ozeanoko Britainiar Lurraldea,1,,,,,
2422205,1282588,fa,مستعمره‌های بریتانیا در اقیانوس هند,1,,,,,
2422206,1282588,fi,Brittiläinen Intian valtameren alue,1,,,,,
2422207,1282588,fr,Territoires britanniques de l'Océan Indien,,,,,,
2422208,1282588,ga,Críocha Briotanacha an Aigéin Indiagh,1,,,,,
2422209,1282588,gl,Territorio Británico do Océano Índico,1,,,,,
2422210,1282588,he,טריטוריה בריטית באוקיאנוס ההודי,1,,,,,
2422211,1282588,hi,ब्रिटिश हिंद महासागरीय क्षेत्र,1,,,,,
2422212,1282588,hr,Britanski Teritorij Indijskog Oceana,1,,,,,
2422213,1282588,hu,Brit Indiai-óceáni Terület,1,,,,,
2422214,1282588,ia,Territorio oceanic britanno-indian,1,,,,,
2422215,1282588,id,Wilayah Inggris di Samudra Hindia,1,,,,,
2422216,1282588,is,Bresku Indlandshafseyjar,1,,,,,
2422217,1282588,it,Territorio Britannico dell’Oceano Indiano,1,,,,,
2422218,1282588,ja,英領インド洋地域,1,,,,,
2422219,1282588,ka,ბრიტანული ტერიტორია ინდოეთის ოკეანეში,1,,,,,
2422220,1282588,ko,영국령 인도양 지역,1,,,,,
2422221,1282588,lt,Indijos vandenyno britų sritis,1,,,,,
2422222,1282588,lv,Indijas okeāna Britu teritorija,1,,,,,
2422223,1282588,mk,Британско Индиско Океанска територија,1,,,,,
2422224,1282588,ms,British Indian Ocean Territory,1,,,,,
2422225,1282588,mt,British Indian Ocean Territory,1,,,,,
2422226,1282588,nb,Britiske territorier i Indiahavet,1,,,,,
2422227,1282588,nl,Britse Gebieden in de Indische Oceaan,1,,,,,
2422228,1282588,nn,Britiske område i Det indiske hav,1,,,,,
2422229,1282588,pl,Terytorium Brytyjskie Oceanu Indyjskiego,1,,,,,
2422230,1282588,pt,Território Britânico do Oceano Índico,1,,,,,
2422231,1282588,ro,Teritoriul Britanic din Oceanul Indian,1,,,,,
2422232,1282588,ru,Британская территория в Индийском океане,1,,,,,
2422233,1282588,sk,Britské územie v Indickom oceáne,1,,,,,
2422234,1282588,sl,Britansko ozemlje v Indijskem oceanu,1,,,,,
2422235,1282588,sr,Британска територија у Индијском океану,1,,,,,
2422236,1282588,sv,Brittiska Indiska oceanöarna,1,,,,,
2422237,1282588,th,บริติชอินเดียนโอเชียนเทร์ริทอรี,1,,,,,
2422238,1282588,tr,İngiliz Hint Okyanusu Bölgesi,1,,,,,
2422239,1282588,uk,Британські території Індійського океану,1,,,,,
2422240,1282588,ur,برطانوی ہندوستانی سمندری خطہ,1,,,,,
2422241,1282588,vi,Thuộc địa Anh tại Ấn Độ Dương,1,,,,,
2422242,1282588,zh,英属印度洋领地,1,,,,,
3332248,1282588,link,https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory,,,,,,
4330364,1282588,,British Indian Ocean Territory,,,,,,
7087591,1282588,af,Britse Indiese Oseaan Gebied,1,,,,,
7087592,1282588,ak,Britenfo Hɔn Man Wɔ India Po No Mu,1,,,,,
7087593,1282588,as,ব্ৰিটিশ্ব ইণ্ডিয়ান মহাসাগৰৰ অঞ্চল,1,,,,,
7087594,1282588,az,Britaniya-Hindistan Okeanik territoriyası,1,,,,,
7087595,1282588,bm,Angilɛ ka ɛndu dugukolo,1,,,,,
7087596,1282588,br,Tiriad breizhveurat Meurvor Indez,1,,,,,
7087597,1282588,bs,Britansko Indijska Okeanska Teritorija,1,,,,,
7087598,1282588,ee,Britaintɔwo ƒe india ƒudome nutome,1,,,,,
7087599,1282588,ff,Keeriindi britaani to maayo enndo,1,,,,,
7087600,1282588,fo,Bretsku Indiahavsoyggjarnar,1,,,,,
7087601,1282588,gu,બ્રિટિશ ઇન્ડિયન ઓશન ટેરિટરી,1,,,,,
7087602,1282588,ha,Yankin Birtaniya Na Tekun Indiya,1,,,,,
7087603,1282588,ki,Eneo la Uingereza katika Bahari Hindi,1,,,,,
7087604,1282588,kn,ಬ್ರಿಟೀಶ್ ಇಂಡಿಯನ್ ಮಹಾಸಾಗರ ಪ್ರದೇಶ,1,,,,,
7087605,1282588,lg,Bizinga by'eCago,1,,,,,
7087606,1282588,ln,Mabelé ya Angɛlɛtɛ́lɛ na mbú ya Indiya,1,,,,,
7087607,1282588,lu,Lutanda lwa Angeletele ku mbu wa Indiya,1,,,,,
7087608,1282588,mg,Faridranomasina indiana britanika,1,,,,,
7087609,1282588,ml,ബ്രിട്ടീഷ് ഇന്ത്യന്‍ മഹാസമുദ്ര പ്രദേശം,1,,,,,
7087610,1282588,mr,ब्रिटिश इंडियन ओशन टेरीटरी,1,,,,,
7087611,1282588,my,ဗြိတိသျှ အိန္ဒြိယ သမုဒ္ဒရာ ပိုင်နက်,1,,,,,
7087612,1282588,nd,British Indian Ocean Territory,1,,,,,
7087613,1282588,ne,बेलायती हिन्द महासागर क्षेत्र,1,,,,,
7087614,1282588,or,ବ୍ରିଟିଶ୍ ଭାରତୀୟ ସାମୁଦ୍ରିକ କ୍ଷେତ୍ର,1,,,,,
7087615,1282588,rm,Territori Britannic en l'Ocean Indic,1,,,,,
7087616,1282588,rn,Intara y'Ubwongereza yo mu birwa by'Abahindi,1,,,,,
7087617,1282588,sg,Sêse tî Anglëe na Ngûyämä tî Ênnde,1,,,,,
7087618,1282588,si,බ්‍රිතාන්‍ය ඉන්දීය සාගර ප්‍රාන්තය,1,,,,,
7087619,1282588,sn,British Indian Ocean Territory,1,,,,,
7087620,1282588,so,British Indian Ocean Territory,1,,,,,
7087621,1282588,sw,Eneo la Uingereza katika Bahari Hindi,1,,,,,
7087622,1282588,ta,பிரிட்டிஷ் இந்தியப் பெருங்கடல் பகுதி,1,,,,,
7087623,1282588,te,బ్రిటిష్ భారతీయ ఓషన్ ప్రాంతం,1,,,,,
7087624,1282588,ti,የብሪታኒያ ህንድ ውቂያኖስ ግዛት,1,,,,,
7087625,1282588,to,Potu fonua moana ʻInitia fakapilitānia,1,,,,,
7087626,1282588,yo,Orílẹ́ède Etíkun Índíánì ti Ìlú Bírítísì,1,,,,,
7087627,1282588,zu,i-British Indian Ocean Territory,1,,,,,
8711708,1282588,it,Territorio britannico dellOceano Indiano,,,,,,
8711709,1282588,nl,Brits Indische Oceaanterritorium,,,,,,
8711710,1282588,ace,Wilayah Inggréh di Samudra Hindia,,,,,,
8711711,1282588,af,Britse Indiese Oseaangebied,,,,,,
8711712,1282588,an,Territorio Britanico de lOcián Indico,,,,,,
8711713,1282588,ang,Bryttisca Indisca Garsecg Landscipe,,,,,,
8711714,1282588,ar,إقليم المحيط الهندي البريطاني,,,,,,
8711715,1282588,bar,Britischs Territorium im Indischn Ozean,,,,,,
8711716,1282588,be,Брытанская тэрыторыя ў Індыйскім акіяне,,,,,,
8711717,1282588,bg,Британска индоокеанска територия,,,,,,
8711718,1282588,br,Tiriad Meurvor Indez Breizh-Veur,,,,,,
8711719,1282588,bs,Britanske indijskookeanske teritorije,,,,,,
8711720,1282588,ca,Territori Britànic de lOceà Índic,,,,,,
8711721,1282588,cy,Tiriogaeth Brydeinig Cefnfor India,,,,,,
8711722,1282588,el,Βρετανικό Έδαφος Ινδικού Ωκεανού,,,,,,
8711723,1282588,fa,قلمرو بریتانیا در اقیانوس هند,,,,,,
8711724,1282588,he,הטריטוריה הבריטית באוקיינוס ההודי,,,,,,
8711725,1282588,hi,ब्रिटिश हिंद महासागर क्षेत्र,,,,,,
8711726,1282588,hr,Britanski Indijskooceanski teritorij,,,,,,
8711727,1282588,hy,Հնդկական օվկիանոսի բրիտանական տարածքներ,,,,,,
8711728,1282588,id,Wilayah Samudra Hindia Britania,,,,,,
8711729,1282588,ja,イギリス領インド洋地域,,,,,,
8711730,1282588,ka,ბრიტანეთის ინდოეთის ოკეანის ტერიტორია,,,,,,
8711731,1282588,lij,Teritöio Britannego de lOçeano Indian,,,,,,
8711732,1282588,lt,Indijos Vandenyno Britų Sritis,,,,,,
8711733,1282588,lv,Britu Indijas Okeāna Teritorija,,,,,,
8711734,1282588,mr,ब्रिटीश हिंदी महासागर क्षेत्र,,,,,,
8711735,1282588,ms,Wilayah Lautan Hindi British,,,,,,
8711736,1282588,nn,Det britiske territoriet i Indiahavet,,,,,,
8711737,1282588,no,Det britiske territoriet i Indiahavet,,,,,,
8711738,1282588,os,Индийы фурды Британийы территори,,,,,,
8711739,1282588,pa,ਬਰਤਾਨਵੀ ਹਿੰਦ ਮਹਾਂਸਾਗਰ ਰਾਜਖੇਤਰ,,,,,,
8711740,1282588,rw,Teritwari y’Inyanja y’Abahinde Nyongereza,,,,,,
8711741,1282588,hbs,Britanski teritorij Indijskog oceana,,,,,,
8711742,1282588,sk,Britské indickooceánske územie,,,,,,
8711743,1282588,sr,Британска територија Индијског океана,,,,,,
8711744,1282588,su,Téritori Samudra Hindia Britania,,,,,,
8711745,1282588,ta,பிரித்தானிய இந்தியப் பெருங்கடல் மண்டலம்,,,,,,
8711746,1282588,tr,Britanya Hint Okyanusu Toprakları,,,,,,
8711747,1282588,uk,Британська територія в Індійському океані,,,,,,
8711748,1282588,ur,برطانوی بحرہند خطہ,,,,,,
8711749,1282588,vi,Lãnh thổ Ấn Độ Dương thuộc Anh,,,,,,
8711750,1282588,war,Teritoryo han Britanya ha Kalawdan Indyano,,,,,,
