AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1219206,2625091,,Ystafell,,,,,,
15579345,2625093,wkdt,Q26996941,,,,,,
15917065,2625093,,Yxnadalur,,,,,,
1219207,2625135,,Yui-Hágangur,,,,,,
5822227,2625135,,Ytri-Hágangur,,,,,,
15690387,2625140,wkdt,Q26996932,,,,,,
15917067,2625140,,Ytridalur,,,,,,
1219208,2625146,,Bjarghóll,,,,,,
5822229,2625146,,Ytri-Bjarghóll,,,,,,
1219209,2625168,,Ytraárfjall,,,,,,
5822231,2625168,,Ytrafjall,,,,,,
15856716,2625168,wkdt,Q26996925,,,,,,
1219210,2625169,,Fjalliadaldal,,,,,,
5822232,2625169,,Ytra-Fjall,,,,,,
1219211,2625173,,Ytra-Árskarðsfjall,,,,,,
3984233,2625173,,Ytra-Ásgarðsfjall,,,,,,
1219212,2625175,,Iztiboði,,,,,,
5822233,2625175,,Ystiboði,,,,,,
1219213,2625177,,Vatnsfell,,,,,,
5822234,2625177,,Wattsfell,,,,,,
1219214,2625179,,Vörzluvík,,,,,,
5822235,2625179,,Vörsluvík,,,,,,
1219216,2625189,en,Vopnafjordur,1,,,,,
2947942,2625189,link,https://en.wikipedia.org/wiki/Vopnafj%C3%B6r%C3%B0ur,,,,,,
5822236,2625189,is,Vopnafjörður,1,,,,,
8289843,2625189,iata,VPN,,,,,,
8289844,2625189,en,Vopnafjörður,,,,,,
8289845,2625189,zh,沃普納菲厄澤,,,,,,
8289846,2625189,ru,Вопнафьордюр,,,,,,
8289847,2625189,ja,ヴォプナフィヨルズル,,,,,,
8515433,2625189,is,Vopnafjörð,,,,,,
8515434,2625189,is,Vopnafirði,,,,,,
8515435,2625189,is,Vopnafjarðar,,,,,,
8515436,2625189,post,690,1,,,,,
13778691,2625189,unlc,ISVPN,,,,,,
15600694,2625189,wkdt,Q33512541,,,,,,
1219217,2625190,,Vopna Flord,,,,,,
1219218,2625190,,Vopnafjordur,,,,,,
1219219,2625190,,Vopna Fjörd,,,,,,
5822237,2625190,,Vopnafjörður,,,,,,
5822238,2625191,,Vopnafjarðarströnd,,,,,,
10587570,2625192,link,https://en.wikipedia.org/wiki/Vopnafj%C3%B6r%C3%B0ur,,,,,,
10587571,2625192,,Vopnafjarðarhreppur,,,,,,
10587572,2625192,,Vopnafjörður,,,,,,
1219221,2625193,,Vopnafjardðargrunn,,,,,,
3984234,2625193,,Vopnafjarðargrunn,,,,,,
