AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
4332845,3042075,en,Violet Channel,,,,,,
1298371,3042076,,Banc De Violet,,,,,,
4332846,3042076,en,Violet Bank,,,,,,
2360414,3042077,,Le Manoir de Vinchelez de Haut,,,,,,
4332847,3042077,,Vinchelez de Haut,,,,,,
2360415,3042078,,Le Manoir de Vinchelez de Bas,,,,,,
4332848,3042078,,Vinchelez de Bas,,,,,,
1298372,3042079,,Ville ès Quenvais,,,,,,
1298373,3042079,,Ville des Quenvais,,,,,,
2360416,3042079,,La Ville des Quennevais,,,,,,
4332849,3042079,en,Ville des Quennevais,,,,,,
2360417,3042080,,Vicard,,,,,,
4332850,3042080,en,Vicard Point,,,,,,
4332851,3042081,en,Verclut Point,,,,,,
1298374,3042082,,Valley des Vaux,,,,,,
1298375,3042082,,Val des Vaux,,,,,,
4332852,3042082,en,Vallée des Vaux,,,,,,
1298376,3042083,,Rozel Tower,,,,,,
2360418,3042083,,La Tour de Rozel,,,,,,
4332853,3042083,,Tour de Rozel,,,,,,
2360419,3042084,,Sorel,,,,,,
4332854,3042084,en,Sorel Point,,,,,,
4332855,3042085,en,Six Rues,,,,,,
1298377,3042086,,Saint Peter’s,,,,,,
1298378,3042086,,Saint Peter Church,,,,,,
1298379,3042086,,Saint Peter,,,,,,
4332856,3042086,en,Saint Peter’s Church,,,,,,
1298380,3042087,,La Mare au Seigneur,,,,,,
2360420,3042087,,St. Ouen’s Pond,,,,,,
4332857,3042087,en,Saint Ouen’s Pond,,,,,,
1298381,3042088,,Saint Ouen Bay,,,,,,
2360421,3042088,,La Baie de St. Ouën,,,,,,
2360422,3042088,,St. Ouën’s Bay,,,,,,
4332858,3042088,en,Saint Ouen’s Bay,,,,,,
13773279,3042088,unlc,GBUEN,,,,,,
1298382,3042089,,Saint Jean,,,,,,
1298383,3042089,,Saint John’s,,,,,,
1298384,3042089,en,Saint John,,1,,,,
2360423,3042089,,St. John’s Church,,,,,,
4332859,3042089,en,Saint John’s Church,,,,,,
7166478,3042089,link,https://en.wikipedia.org/wiki/Saint_John%2C_Jersey,,,,,,
13784030,3042089,unlc,JESJN,,,,,,
4332860,3042090,en,Saint John’s Bay,,,,,,
2426719,3042091,ru,Сент-Хельер,,,,,,
