AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1426739,3487940,,Grange Park,,,,,,
3596072,3487940,,Orange Park,,,,,,
1426740,3487941,,Glenfield Pen,,,,,,
1426741,3487941,,Penny,,,,,,
3596073,3487941,,Harmony Vale,,,,,,
1426742,3487942,,Cunningham Point,,,,,,
1426743,3487942,,Cunninghams Point,,,,,,
3596074,3487942,,Booby Point,,,,,,
1426744,3487943,,Content,,,,,,
3596075,3487943,,Sherwood Content,,,,,,
7509227,3487943,link,https://en.wikipedia.org/wiki/Sherwood_Content,,,,,,
14978983,3487943,wkdt,Q1278713,,,,,,
1426745,3487946,,Mount Sion,,,,,,
3596076,3487946,,Mount Zion,,,,,,
1426746,3487947,,The Y River,,,,,,
1426747,3487947,,The Y.S. River,,,,,,
3596077,3487947,,Y.S. River,,,,,,
8098051,3487947,link,https://en.wikipedia.org/wiki/Y.S._River,,,,,,
1426748,3487948,,Ys House,,,,,,
3596078,3487948,,Y.S. Estate,,,,,,
1426749,3487953,,York Village,,,,,,
3596079,3487953,,York,,,,,,
1426750,3487955,,Ythanside,,,,,,
3596080,3487955,,Ylhanside,,,,,,
1426751,3487956,,Yerry Yerry Gully,,,,,,
3596081,3487956,,Yeary Yeary Gully,,,,,,
7545927,3487959,link,https://en.wikipedia.org/wiki/Yallahs_River,,,,,,
7555496,3487959,,Yallahs River,,,,,,
1426752,3487963,,Yallahs Bay,,,,,,
1426753,3487963,,Yallahs Village,,,,,,
3596082,3487963,,Yallahs,,,,,,
7149498,3487963,link,https://en.wikipedia.org/wiki/Yallahs,,,,,,
13784092,3487963,unlc,JMYAS,,,,,,
1426754,3487966,,Wrecks Bay,,,,,,
3596083,3487966,,Wreck Bay,,,,,,
13784091,3487967,unlc,JMWPK,,,,,,
1426755,3487969,,Words End Gully,,,,,,
3596084,3487969,,Worlds End Gully,,,,,,
1426756,3487970,,Worcester Pen,,,,,,
3596085,3487970,,Worcester,,,,,,
1426757,3487973,,Woodberry,,,,,,
3596086,3487973,,Woolbury,,,,,,
1426758,3487976,,Wood Island,,,,,,
1426759,3487976,,Wood Islet,,,,,,
3596087,3487976,,Woods Island,,,,,,
1426760,3487979,,Woodlands Pen,,,,,,
