AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
3563129,5108,,Qubūr Ḩamdān,,,,,,
6911047,5108,,Qabr Ḩamdān,,,,,,
6911048,5108,ar,قبور حمدان,,,,,,
3679487,100809,,Dmejtet Ummu Ṭe‘ejs,,,,,,
3679488,100809,,Dumaythat Umm Ta‘īs,,,,,,
3679489,100809,,Dumaythāt Umm Ta’āyis,,,,,,
11017984,100809,,Dumaythat Umm Ţu‘ays,,,,,,
46183,103447,,An-Nuwejb‘e,,,,,,
46184,103447,,Wādi el Nuweibi,,,,,,
46185,103447,,An-Nwêb‘e,,,,,,
46186,103447,,Wādī an Nuwaybi‘ī,,,,,,
1799172,103447,ar,وَادِي اَلنُّوَيْبِع,,,,,,
3682004,103447,,Wādī an Nuwaybi‘,,,,,,
12135941,103447,,Wādī Nuwaybi‘,,,,,,
1799173,104045,ar,جَبَل اَلْمَبْرَك,,,,,,
1799174,104045,,Jabal Mubārak,,,,,,
3682575,104045,,Jabal al Mabrak,,,,,,
49673,106854,,Wādī ad Dumaythah Umm Maḩfūr,,,,,,
49674,106854,,Dumaythat Umm Maḩāfīr,,,,,,
49675,106854,,Dumaythah Umm Maḩfūr,,,,,,
49676,106854,,Muhaifu,,,,,,
49677,106854,,Wādī ed Dumeitha Um Maḩfūr,,,,,,
49678,106854,,Dmejtet Ummu Mḥaffûr,,,,,,
49679,106854,,Dumaythat Umm Maḩfūr,,,,,,
11017985,106854,,Wādī ad Dumaythat Umm Maḩfūr,,,,,,
11017986,106854,,Wādī Dumaythat Umm Maḩfūr,,,,,,
11017987,106854,ar,وادي دميثة أم محفور,,,,,,
50651,107817,,Khabra ‘Adhaman,,,,,,
50652,107817,,Khabrat ‘Iz̧āmān,,,,,,
50653,107817,,H̱abra ‘Azâmân,,,,,,
50654,107817,,Qā‘ ‘Az̧āmān,,,,,,
3686159,107817,,Khabrat ‘Az̧āmān,,,,,,
116948,162388,,Jebel ez Zoumle,,,,,,
116949,162388,,Jebel ez Zoumla,,,,,,
116950,162388,,Jebel ez Zamla,,,,,,
116951,162388,,Djebel el Zumle,,,,,,
116952,162388,,Jebel ez Zimla,,,,,,
4023382,162388,,Jabal az Zumlah,,,,,,
13393348,162388,ar,جبل الزملة,,,,,,
117082,162478,,Makhadat Zor Kan‘an,,,,,,
4023470,162478,,Makhāḑat Zawr Kan‘ān,,,,,,
13338856,162478,ar,مخاضة زور كنعان,,,,,,
117614,162835,,Tell Um Şīra,,,,,,
5388832,162835,,Tall Umm Şīrah,,,,,,
117626,162842,,Ouâdi Mchami,,,,,,
117627,162842,,Wādī Umm Shahamī,,,,,,
117628,162842,,Wādī Um Shahamī,,,,,,
4023825,162842,,Wādī Umm Shaḩmī,,,,,,
6917492,162842,,Wādī Umm Shāmah,,,,,,
6917493,162842,ar,وادي أم شامة,,,,,,
117768,162928,,Jisr Um Butma,,,,,,
5388833,162928,,Jisr Umm Buţmah,,,,,,
9414536,162928,ar,جسر أم بطمة,,,,,,
119750,164239,,Wādī Shaiyāḥ,,,,,,
5388834,164239,ar,Wādī Shiyāḩ,,,,,,
121453,165521,,Wādī Ragbān,,,,,,
121454,165521,,Wādī Raqbān,,,,,,
10584120,165521,,Wādī Raqūbān,,,,,,
10584121,165521,ar,وادي رقوبان,,,,,,
121520,165574,,Ouadi er Radjil,,,,,,
4026453,165574,,Wādī ar Rājil,,,,,,
6917581,165574,ar,Wādī Rājil,,,,,,
6917582,165574,ar,وادي راجل,,,,,,
6917584,165574,,Wādī Rāḩil,,,,,,
123432,166883,,Wādī Miqāţ,,,,,,
123433,166883,,al-Minkâṭ,,,,,,
123434,166883,,Wādī el Minqār,,,,,,
123435,166883,,Ouâdi Mgat,,,,,,
123436,166883,,Wādī Moqâte,,,,,,
123437,166883,,Wādī Muqāt,,,,,,
6103934,166883,ar,Wādī Miqāţ,,,,,,
8003392,166883,,Wādī al Minqār,,,,,,
123438,166884,,Ard el Menniâs,,,,,,
4027728,166884,,Arḑ al Minyās,,,,,,
6917620,166884,ar,أرض المنياس,,,,,,
124049,167308,,Mukaren Dam,,,,,,
5388836,167308,,Maqārin,,,,,,
10784592,167308,,Sadd al Waḩdah,,,,,,
10784593,167308,ar,سد الوحدة,,,,,,
4028235,167417,,Wādī al Maksar,,,,,,
6917643,167417,ar,وادي المكسر,,,,,,
11109645,167417,,Wādī al Maşqar,,,,,,
5388837,167463,,Shu‘ayb al Maḩşūr,,,,,,
124263,167479,,Ouâdi Mahmoud,,,,,,
5434019,167479,,Wādī Maḩmūd,,,,,,
5434020,167479,,Ouâdi el Mann Massar,,,,,,
8003395,167479,ar,وادي محمود,,,,,,
125603,168405,,Mukhaiba Dam,,,,,,
125604,168405,,Khaled Ibn Walid,,,,,,
125605,168405,,Sadd al Mukhaybah,,,,,,
125606,168405,,Khaled Ibn al-Walid,,,,,,
125607,168405,,Mukheiba,,,,,,
125608,168405,,Makhiba Dam,,,,,,
125609,168405,,Mukheibeh Dam,,,,,,
125610,168405,,Mokheiba Dam,,,,,,
5388838,168405,,Khālid Ibn al Walīd,,,,,,
125712,168490,,Rauḍ el Kūkaliya,,,,,,
5388839,168490,,Rawḑ al Kawkalīyah,,,,,,
127153,169418,,Ḑahrat el Huweisha,,,,,,
4030157,169418,,Z̧ahrat al Ḩuwayshah,,,,,,
10784739,169418,,Ḑahrat al Ḩuwaysh,,,,,,
10784740,169418,ar,ضهرة الحويش,,,,,,
11715378,169418,,Ḍahrat el Huweisha,,,,,,
15609371,169418,wkdt,Q27120074,,,,,,
8003407,169561,,Shu‘ayb Hīshān,,,,,,
4030346,169611,,Jabal al Ḩibā,,,,,,
5388842,169911,,Jibāl al Ḩaqū‘,,,,,,
11109648,169911,,Jibāl al Ḩaqū,,,,,,
11109649,169911,ar,جبال الحقو,,,,,,
128798,170597,,Fir‘ eḍ Ḍulei‘iya,,,,,,
4031303,170597,,Wādī aḑ Ḑulay‘īyah,,,,,,
8105615,170597,ar,وادي الضليعية,,,,,,
8105616,170597,,Wādī ed Dulei‘iya,,,,,,
128973,170719,,Tell Taëllé,,,,,,
128974,170719,,Tell Thaïl,,,,,,
4031418,170719,,Tall Dhayl,,,,,,
13393412,170719,ar,تل ذيل,,,,,,
129123,170805,,Kerkour des Grottes,,,,,,
129124,170805,,Deïr el Waraq,,,,,,
129125,170805,,Deir el Ouaraq,,,,,,
4031500,170805,,Dayr al Waraq,,,,,,
6917768,170805,ar,دير الورق,,,,,,
15677393,170805,wkdt,Q27120066,,,,,,
129543,171096,,Ouâdi el Boutoum,,,,,,
4031780,171096,,Wādī al Buţum,,,,,,
6917783,171096,,Wādī al Buţm,,,,,,
6917784,171096,ar,وادي البطم,,,,,,
