AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
3646820,55628,so,Kolbiyow,,,,,,
11950381,55628,,Lac Kolbio,,,,,,
11950382,55628,,Lach Gif-ta Bura,,,,,,
11950383,55628,,Mujamadhoodhi,,,,,,
11950384,55628,,Laga Kolbio,,,,,,
11950385,55628,,Laga Kalbio,,,,,,
11950386,55628,,Lach Colbio,,,,,,
11950387,55628,,Lac Colbìo,,,,,,
11950388,55628,,Lac Chinoti,,,,,,
11950389,55628,,Lac Gifta Bura,,,,,,
9951,58869,,Bur Gawse,,,,,,
2499436,58869,,Bur Gavse,,,,,,
3647912,58869,,Bur Gause,,,,,,
15446204,58869,wkdt,Q27190058,,,,,,
3648513,60856,,Did Songa,,,,,,
113614,149213,,Umba River,,,,,,
4016978,149213,,Mto Umba,,,,,,
6589902,149213,,Umba,,,,,,
113688,149529,,Terekoa,,,,,,
113689,149529,,Terekea,,,,,,
4017046,149529,,Musangairo,,,,,,
13700156,149529,,Tarakea,,,,,,
113800,150092,,Serengetti,,,,,,
4017153,150092,,Serengeti Plains,,,,,,
4017169,150177,,Schlobach,,,,,,
113973,150859,,Oldoinyo Orok,,,,,,
13670777,150859,,Ol Doinyo Orok,,,,,,
4017335,150860,,Ol Keju Lengarashi,,,,,,
15918129,150860,,Orkejulengarashi,,,,,,
15918130,150860,,Olkeju Lengarashi,,,,,,
113980,150890,,Oldisari,,,,,,
4017624,151987,,Namanga,,,,,,
13700157,152050,,Mzukune,,,,,,
114744,154205,,Mchongo,,,,,,
4018240,154755,,Marue,,,,,,
13670778,154773,,Marba,,,,,,
13670779,154773,,Maarba,,,,,,
115023,155610,,Lumi,,,,,,
4018418,155610,,Lumwe,,,,,,
7131307,155610,link,https://en.wikipedia.org/wiki/Lumi_River_%28East_Africa%29,,,,,,
13700158,155834,,Loru Kenge,,,,,,
4018525,156014,,Lemrika,,,,,,
115120,156015,,Lemongseri,,,,,,
15918191,156015,,Lemonkiseri,,,,,,
13700159,156053,,Latema,,,,,,
13670780,156821,,Kitenden River,,,,,,
13670781,156821,,Kitenden,,,,,,
13700160,157599,,Kikalelwa,,,,,,
13700161,157599,,Kikeleloa,,,,,,
115499,158134,,Kamuma,,,,,,
13897746,158134,,Kavuma,,,,,,
13897747,158134,,Kavuma Hill,,,,,,
15918226,159143,,Ingoisesia,,,,,,
15918227,159143,,Enkoisesia,,,,,,
115753,159224,,Ildumaro,,,,,,
116051,160669,,Chala Crater Lake,,,,,,
7033127,160669,link,https://en.wikipedia.org/wiki/Lake_Chala,,,,,,
13700162,160669,,Lake Chala,,,,,,
116216,161340,,Embusel,,,,,,
116217,161340,,Emposel,,,,,,
13670782,161340,,Lake Amboseli,,,,,,
137102,177895,,Ogorchi II,,,,,,
137103,177895,,Ogorchu,,,,,,
4106075,177895,,Ogorchi,,,,,,
10584304,177895,,Ogurchi,,,,,,
15055285,177895,wkdt,Q27190805,,,,,,
137104,177896,,Mirihini,,,,,,
4106076,177896,,Miritini,,,,,,
6905772,177896,link,https://en.wikipedia.org/wiki/Miritini,,,,,,
137105,177897,,Central Kavirondo District,,,,,,
