AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
612403,1161918,,Pereval Kirk-Bulak,,,,,,
612404,1161918,,Pereval Yangi-Saban,,,,,,
612405,1161918,,Pereval Yangisabak,,,,,,
3722364,1161918,,Pereval Yangisabakh,,,,,,
7558858,1161918,,Aghbai Kirk-Buloq,,,,,,
7558859,1161918,,Ағбаи Кирк-булоқ,,,,,,
7759814,1161918,,Pereval Kyrk-Bulak,,,,,,
7759815,1161918,ru,Перевал Кырк-Булак,,,,,,
10778868,1161918,ky,Перевал Кырк-Булак,,,,,,
15739362,1161919,wkdt,Q27203393,,,,,,
15915614,1161919,,Pereval Yakhrut,,,,,,
612413,1161922,,Khrebet Turkestanski,,,,,,
3730257,1161922,,Turkestanskiy Khrebet,,,,,,
7558884,1161922,,Qatorkŭhi Turkiston,,,,,,
7558885,1161922,,қаторкӯҳи Туркистон,,,,,,
7760203,1161922,ru,Туркестанский Хребет,,,,,,
7760204,1161922,,Türkstan Range,,,,,,
10778869,1161922,ky,Туркестанский Хребет,,,,,,
7843605,1161923,,Pik Tsyurupy,,,,,,
7843606,1161923,ru,Пик Цюрупы,,,,,,
10779582,1161923,ky,Пик Цюрупы,,,,,,
612439,1161936,,Qullai Lenin,,,,,,
612440,1161936,,Pik Lenina,,,,,,
612441,1161936,,Mount Kaufman,,,,,,
612442,1161936,,Lenin Peak,,,,,,
1931007,1161936,en,Lenin Peak,,,,,,
1931008,1161936,es,Pico Independencia,,,,,,
1931009,1161936,de,Pik Lenin,,,,,,
1931010,1161936,fr,Pic Lénine,,,,,,
1931011,1161936,pl,Szczyt Lenina,,,,,,
1931012,1161936,et,Lenini mäetipp,,,,,,
1931013,1161936,it,Picco Ibn Sina,,,,,,
1931014,1161936,nl,Leninpiek,,,,,,
1931015,1161936,vi,Đỉnh Ibn Sina,,,,,,
2019824,1161936,lt,Avicenos viršukalnė,,,,,,
2930395,1161936,link,https://en.wikipedia.org/wiki/Lenin_Peak,,,,,,
3050062,1161936,link,https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BA_%D0%9D%D0%B5%D0%B7%D0%B0%D0%B2%D0%B8%D1%81%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D0%B8,,,,,,
14900124,1161936,wkdt,Q838587,,,,,,
612444,1161937,ky,Kyzyl-Suu,,,,,,
612445,1161937,,Kyzylsu,,,,,,
612446,1161937,,Kizyl-Su,,,,,,
612447,1161937,,Kzyl-Su,,,,,,
612448,1161937,,Kizöl-su,,,,,,
3838220,1161937,tg,Qizilsu,,,,,,
612456,1161939,,Pereval Kzyl-art,,,,,,
612457,1161939,,Kizil Art Pass,,,,,,
612458,1161939,,Kizöl-art Pass,,,,,,
612459,1161939,,Pereval Kizyl-art,,,,,,
3838239,1161939,,Pereval Kyzyl-Art,,,,,,
7873714,1161939,ru,Перевал Кызыл-Арт,,,,,,
7873715,1161939,en,Kyzyl-Art Pass,,,,,,
8616220,1161939,,Aghbai Qizil-Art,,,,,,
8616221,1161939,,Ағбаи Қизил-Арт,,,,,,
10780206,1161939,ky,Перевал Кызыл-Арт,,,,,,
7873716,1161940,,Gora Kyzylagyn,,,,,,
7873717,1161940,ru,Гора Кызылагын,,,,,,
10780207,1161940,ky,Гора Кызылагын,,,,,,
15412268,1161940,wkdt,Q27203388,,,,,,
7873722,1161941,,Pik Korzhenevskogo,,,,,,
7873723,1161941,ru,Пик Корженевского,,,,,,
10780208,1161941,ky,Пик Корженевского,,,,,,
612476,1161951,,Pik Dzeryhinskogo,,,,,,
3890038,1161951,,Pik Dzerzhinskogo,,,,,,
7843616,1161951,ru,Пик Дзержинского,,,,,,
10779584,1161951,ky,Пик Дзержинского,,,,,,
7844420,1217903,,Alayskiyy Khrebet,,,,,,
7844421,1217903,ru,Алайский Хребет,,,,,,
7844422,1217903,,Alay,,,,,,
7844423,1217903,,Alai Range,,,,,,
7844424,1217903,,Alay Mountains,,,,,,
7844425,1217903,en,Alay Range,,,,,,
10779585,1217903,ky,Алайский Хребет,,,,,,
633380,1220014,,Denau,,,,,,
4020731,1220014,,Dinau,,,,,,
7082242,1220014,link,https://en.wikipedia.org/wiki/Dinau,,,,,,
7420227,1220014,,Dehnav,,,,,,
7767700,1220014,ru,Динау,,,,,,
10772815,1220014,ky,Динау,1,,,,,
15606295,1220014,wkdt,Q12825358,,,,,,
7844427,1220293,,Pereval Tutek,,,,,,
7844428,1220293,ru,Перевал Тутек,,,,,,
10779586,1220293,ky,Перевал Тутек,,,,,,
14850792,1220293,wkdt,Q27203383,,,,,,
634005,1220817,,Qatorkŭhi Pasi Oloy,,,,,,
634006,1220817,,Zaalayskiy Khrebet,,,,,,
634007,1220817,,Trans Alay Range,,,,,,
634008,1220817,,Trans-Alai Mountains,,,,,,
4021236,1220817,,Chong Alay Kyrka Toosu,,,,,,
7874075,1220817,ru,Заалайский Хребет,,,,,,
7874076,1220817,en,Chong-Alay Range,,,,,,
10780209,1220817,ky,Заалайский Хребет,,,,,,
634295,1221130,,Pereval Kuzgum,,,,,,
4021466,1221130,,Pereval Kuzgun,,,,,,
15558427,1221130,wkdt,Q27203380,,,,,,
5902295,1221150,link,https://en.wikipedia.org/wiki/Gora_Kurumdy,,,,,,
6103364,1221150,,Gora Kurumdy,,,,,,
7874077,1221150,ru,Гора Курумды,,,,,,
10780210,1221150,ky,Гора Курумды,,,,,,
7844429,1221234,,Pik Krasina,,,,,,
7844430,1221234,ru,Пик Красина,,,,,,
10779587,1221234,ky,Пик Красина,,,,,,
635296,1222527,,Zardulu,,,,,,
635297,1222527,,Zardele,,,,,,
635298,1222527,,Zardalo,,,,,,
635299,1222527,,Zardali,,,,,,
635300,1222527,,Zardale,,,,,,
4092925,1222527,,Zardaly,,,,,,
7514729,1222527,link,https://en.wikipedia.org/wiki/Zardaly,,,,,,
7844856,1222527,,Korgon,,,,,,
7844857,1222527,ru,Коргон,,,,,,
10772817,1222527,ky,Коргон,1,,,,,
15708840,1222527,wkdt,Q12830695,,,,,,
7844858,1222528,,Dzhaman-Kyrchin,,,,,,
7844859,1222528,ru,Джаман-Кырчин,,,,,,
7844860,1222528,,Yaman-Kyrchin,,,,,,
10779588,1222528,ky,Джаман-Кырчин,,,,,,
7769415,1222529,,Vostochnyy,,,,1,,
7769416,1222529,ru,Восточный,,,,,,
10772818,1222529,ky,Кош-Булак,1,,,,,
10772922,1222529,link,"https://en.wikipedia.org/wiki/Koshbulak,_Sulukta",,,,,,
7047846,1222530,link,https://en.wikipedia.org/wiki/Urakain,,,,,,
7098365,1222530,,Urakain,,,,,,
7844861,1222530,,Razvaliny Urakain,,,,,,
7844862,1222530,ru,Развалины Уракаин,,,,,,
10772820,1222530,ky,Развалины Уракаин,1,,,,,
7844863,1222531,,Pereval Uponym,,,,,,
7844864,1222531,ru,Перевал Упоным,,,,,,
7844865,1222531,,Pereval Upanym,,,,,,
10779589,1222531,ky,Перевал Упоным,,,,,,
15486612,1222531,wkdt,Q27203378,,,,,,
7844866,1222532,ru,Pereval Uluu-Bel’,,,,,,
7844867,1222532,ru,Перевал Улуу-Бель,,,,,,
7844868,1222532,,Pereval Ul’-Bel’,,,,,,
10779590,1222532,ky,Pereval Uluu-Bel’,,,,,,
10779591,1222532,ky,Перевал Улуу-Бель,,,,,,
7844869,1222533,,Ularle,,,,,,
7844870,1222533,ru,Уларле,,,,,,
7844871,1222533,,Ularly,,,,,,
10779592,1222533,ky,Уларле,,,,,,
7035031,1222534,link,https://en.wikipedia.org/wiki/Uch-Tyube,,,,,,
7098379,1222534,,Uch-Tyube,,,,,,
10772822,1222534,ky,Үч Түбе,1,,,,,
15886253,1222534,wkdt,Q7876641,,,,,,
7844872,1222535,,Pereval Tyuzashuu,,,,,,
7844873,1222535,ru,Перевал Тюзашуу,,,,,,
7844874,1222535,,Pereval Tuz-Ashu,,,,,,
10779593,1222535,ky,Перевал Тюзашуу,,,,,,
7844875,1222536,,Tyuzashuu,,,,,,
7844876,1222536,ru,Тюзашуу,,,,,,
7844877,1222536,,Tuz-Ashu,,,,,,
10779594,1222536,ky,Тюзашуу,,,,,,
635303,1222538,,Turra-Chita,,,,,,
635304,1222538,,Tura-Chita,,,,,,
4092968,1222538,,Turpachita,,,,,,
7080154,1222538,link,https://en.wikipedia.org/wiki/Turpachita,,,,,,
7844878,1222538,,Turpachaty,,,,,,
7844879,1222538,ru,Турпачаты,,,,,,
10772823,1222538,ky,Турпачаты,1,,,,,
14905633,1222538,wkdt,Q7856165,,,,,,
635305,1222539,,Tyubek,,,,,,
635306,1222539,,Turbek,,,,,,
4092973,1222539,,Tubek,,,,,,
7073944,1222539,link,https://en.wikipedia.org/wiki/Tubek,,,,,,
7844880,1222539,,Letnik Tubek,,,,,,
7844881,1222539,ru,Летник Тубек,,,,,,
10779595,1222539,ky,Летник Тубек,,,,,,
635307,1222540,,Pereval Tamurun,,,,,,
635308,1222540,,Pereval Taunmurun,,,,,,
635309,1222540,,Taun-muran Pass,,,,,,
635310,1222540,,Taun-Morum Pass,,,,,,
635311,1222540,,Tau-murun Pass,,,,,,
4092988,1222540,,Pereval Tomurun,,,,,,
7874084,1222540,ru,Перевал Таунмурун,,,,,,
10780211,1222540,ky,Перевал Таунмурун,,,,,,
15413156,1222540,wkdt,Q27203375,,,,,,
7844882,1222541,,Tash-Kyungey,,,,,,
7844883,1222541,ru,Таш-Кюнгей,,,,,,
7844884,1222541,,Tokuz-Kungey,,,,,,
10779596,1222541,ky,Таш-Кюнгей,,,,,,
7073781,1222542,link,https://en.wikipedia.org/wiki/Terskey,,,,,,
7098436,1222542,,Terskey,,,,,,
7844885,1222542,,Teskey,,,,,,
7844886,1222542,ru,Тескей,,,,,,
10772825,1222542,ky,Тескей,1,,,,,
10846443,1222542,ky,Teskei,,,,,,
7844887,1222543,,Pereval Ters-Agar,,,,,,
7844888,1222543,ru,Перевал Терс-Агар,,,,,,
10779597,1222543,ky,Перевал Терс-Агар,,,,,,
7844889,1222544,,Ters-Agar-Suu,,,,,,
7844890,1222544,ru,Терс-Агар-Суу,,,,,,
7844891,1222544,,Tersagar,,,,,,
10779598,1222544,ky,Терс-Агар-Суу,,,,,,
635312,1222545,,Terek Pass,,,,,,
4092993,1222545,,Pereval Terekdavan,,,,,,
7874085,1222545,ru,Перевал Терекдаван,,,,,,
8082336,1222545,link,https://en.wikipedia.org/wiki/Terek_Pass,,,,,,
10780212,1222545,ky,Перевал Терекдаван,,,,,,
7844892,1222546,,Pereval Tengizbay,,,,,,
7844893,1222546,ru,Перевал Тенгизбай,,,,,,
10779599,1222546,ky,Перевал Тенгизбай,,,,,,
7040035,1222547,link,https://en.wikipedia.org/wiki/Tengizbay,,,,,,
7098450,1222547,,Tengizbay,,,,,,
7844894,1222547,,Letnik Tengizbay,,,,,,
7844895,1222547,ru,Летник Тенгизбай,,,,,,
10779600,1222547,ky,Летник Тенгизбай,,,,,,
7844896,1222548,,Pereval Tekesaldy,,,,,,
7844897,1222548,ru,Перевал Текесалды,,,,,,
10779601,1222548,ky,Перевал Текесалды,,,,,,
15700931,1222548,wkdt,Q27203371,,,,,,
635313,1222549,,Tekelik,,,,,,
4092998,1222549,,Tekalik,,,,,,
7844898,1222549,ru,Текелик,,,,,,
10779602,1222549,ky,Текелик,,,,,,
7844899,1222550,,Pereval Tegermech,,,,,,
7844900,1222550,ru,Перевал Тегермеч,,,,,,
7844901,1222550,,Pereval Tegermach,,,,,,
10779603,1222550,ky,Перевал Тегермеч,,,,,,
7844902,1222551,,Ozero Tegermech,,,,,,
7844903,1222551,ru,Озеро Тегермеч,,,,,,
7844904,1222551,,Ozero Tegermach,,,,,,
10779604,1222551,ky,Озеро Тегермеч,,,,,,
7844905,1222552,,Tegermech,,,,,,
7844906,1222552,ru,Тегермеч,,,,,,
7844907,1222552,,Tegermach,,,,,,
10779605,1222552,ky,Тегермеч,,,,,,
7048250,1222553,link,https://en.wikipedia.org/wiki/Tegermach,,,,,,
7098455,1222553,,Tegermach,,,,,,
10772955,1222553,ky,Тегермач,1,,,,,
15606803,1222553,wkdt,Q7694701,,,,,,
7081452,1222554,link,https://en.wikipedia.org/wiki/Tayan%2C_Kyrgyzstan,,,,,,
7098461,1222554,,Tayan,,,,,,
7844908,1222554,ru,Таян,,,,,,
7844909,1222554,uz,Taen,,,,,,
10772828,1222554,ky,Таян,1,,,,,
10772956,1222555,ky,Таш-Курган,1,,,,,
10785290,1222555,,Tash-Kurgan,,,,,,
7844910,1222556,,Tar-Asha,,,,,,
7844911,1222556,ru,Тар-Аша,,,,,,
10779606,1222556,ky,Тар-Аша,,,,,,
635314,1222557,,Taldik Pass,,,,,,
635315,1222557,,Taldök Pass,,,,,,
4093014,1222557,,Pereval Taldyk,,,,,,
6890218,1222557,link,https://en.wikipedia.org/wiki/Taldyk_Pass,,,,,,
7874090,1222557,ru,Перевал Талдык,,,,,,
7874091,1222557,en,Taldyk Pass,,,,,,
10780214,1222557,ky,Перевал Талдык,,,,,,
