AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
760350,1563204,,Sông Vàm Cỏ Tây,,,,,,
760351,1563204,,West Vaico,,,,,,
760352,1563204,,Vaico Occidental,,,,,,
760353,1563204,,West Vaiko,,,,,,
760354,1563204,,Song Vung Ngu,,,,,,
760355,1563204,,West Arm,,,,,,
760356,1563205,,Sông Vàm Cỏ Đông,,,,,,
760357,1563205,,East Vaico,,,,,,
760358,1563205,,Song Ben-Luc,,,,,,
760359,1563205,,East Arm,,,,,,
760360,1563205,,Vaico Oriental,,,,,,
760361,1563205,,East Vaiko River,,,,,,
760664,1564109,,Stœ̆ng Takêv,,,,,,
760665,1564109,,Rivière de Takeo,,,,,,
760666,1564109,,Sông Takeo,,,,,,
3600943,1564109,,Sông Tra Keo,,,,,,
12254501,1564109,km,Stueng Ta Kaev,,,,,,
12254502,1564109,km,ស្ទឹងតាកែវ,,,,,,
761853,1567132,,Sông Tam Ly,,,,,,
761854,1567132,,Prek Trabeck,,,,,,
3601129,1567132,,Prêk Trâbêk,,,,,,
12254503,1567132,km,Preaek Trabaek,,,,,,
761964,1567503,,Southeast Islets,,,,,,
3601153,1567503,,Îlots Sud-Est,,,,,,
762008,1567590,,Rạch Sở Thượng,,,,,,
762009,1567590,,Song Thuong,,,,,,
762010,1567590,,Song So Thuong,,,,,,
762011,1567590,,Rach Banam,,,,,,
3601161,1567590,,Prêk Kaôh Sâmpoŭ,,,,,,
9533116,1567590,vi,Sông Sở Thượng,,,,,,
12254504,1567590,km,Preaek Kaoh Sampov,,,,,,
762107,1567778,,Rạch Sở Hạ,,,,,,
762108,1567778,,Song Sỏ Hạ,,,,,,
3601186,1567778,,Prêk Kraôm,,,,,,
9533118,1567778,vi,Sông Sở Hạ,,,,,,
12254505,1567778,km,Preaek Kraom,,,,,,
762204,1568022,,Prêk Sathay,,,,,,
762205,1568022,,Dak Hodrai,,,,,,
762206,1568022,,Nuoc Sathay,,,,,,
762207,1568022,,Hadrey,,,,,,
762208,1568022,,Dak Hedrai,,,,,,
3601213,1568022,,Nam Sathay,,,,,,
8548900,1568022,,Nam Sa Thầy,,,,,,
12254506,1568022,km,Preaek Sathay,,,,,,
763345,1571232,,Prêk Paplam,,,,,,
3601413,1571232,,O Bâphlŏâm,,,,,,
12254507,1571232,km,Ou Baphloam,,,,,,
763828,1572608,,Rạch Ngã Tư,,,,,,
3601525,1572608,,Prêk Kbal Buŏn,,,,,,
12254508,1572608,km,Preaek Kbal Buon,,,,,,
764751,1575716,,Rach Long Khoi,,,,,,
10646020,1575716,vi,Rạch Long Khốt,,,,,,
764864,1576042,,Ya Liau Blah,,,,,,
764865,1576042,,Prêk Ya Lau Phlăh,,,,,,
764866,1576042,,Ia Liau Blah,,,,,,
3601788,1576042,,Pêk Ya Lau Phlăh,,,,,,
12254509,1576042,km,Preaek Ya Lau Phlah,,,,,,
765423,1578240,,Ia Kri,,,,,,
765424,1578240,,Prêk Ia Kri,,,,,,
765425,1578240,,La Kri,,,,,,
3601906,1578240,,Prêk Ya Kri,,,,,,
12254510,1578240,km,Preaek Ya Kri,,,,,,
12254511,1578240,km,Preaek Yaki,,,,,,
765436,1578260,,O Kray,,,,,,
765437,1578260,,Prêk Mong,,,,,,
765438,1578260,,Prek Kray,,,,,,
765439,1578260,,Prek Krai,,,,,,
3601910,1578260,,Sông Krai,,,,,,
9187235,1578260,vi,Suối Krai,,,,,,
765961,1579995,,French Indochina,,,,,,
3602030,1579995,,Indochina,,,,,,
766276,1581020,,Sông Hậu Giang,,,,,,
766277,1581020,,Fleuve Postérieur,,,,,,
766278,1581020,,Tonle Bassac,,,,,,
766279,1581020,,Fleuve Postérieur Bassac,,,,,,
766280,1581020,,Bassac Fleuve,,,,,,
766281,1581020,,Bassac River,,,,,,
766282,1581020,,Bassac Fleuve Postérieur,,,,,,
3602104,1581020,,Tônlé Basăk,,,,,,
7124362,1581020,link,https://en.wikipedia.org/wiki/Bassac_River,,,,,,
9742058,1581020,vi,Sông Hậu,,,,,,
3602228,1581984,,Kinh Gành Dầu,,,,,,
9187248,1581984,vi,Eo Gành Dầu,,,,,,
767178,1583554,,Depond Reef,,,,,,
3602356,1583554,,Récif Depond,,,,,,
767811,1585295,,Suối Chor,,,,,,
767812,1585295,,Stung Chor,,,,,,
3602479,1585295,,Prêk Chôr,,,,,,
9187265,1585295,vi,Suối Cho,,,,,,
12778000,1585295,km,Preaek Choa,,,,,,
767960,1585750,,Rạch Chanh,,,,,,
767961,1585750,,Prek Kompong Rores,,,,,,
3602524,1585750,,Prêk Kâmpóng Rôtéh,,,,,,
12254512,1585750,km,Preaek Kampong Roteh,,,,,,
767978,1585792,,Rạch Chàm,,,,,,
3602529,1585792,,Tonlé Chàm,,,,,,
9187269,1585792,,Rach Chàm,,,,,,
9187270,1585792,,Tôn Lé Cham,,,,,,
9187271,1585792,,Sông Cầnle Chàm,,,,,,
9187272,1585792,,Tonlê Chàm,,,,,,
12254513,1585792,km,Tonle Cham,,,,,,
768114,1586070,,Rạch Cá Rô,,,,,,
3602565,1586070,,O Kâmpóng Roŭ,,,,,,
9187274,1586070,vi,Rạch Cái Rô,,,,,,
768401,1586613,,Rạch Cái Bác,,,,,,
768402,1586613,,Stœ̆ng Kâmpóng Ktĕ,,,,,,
768403,1586613,,Rach Coi Cay Bac,,,,,,
3602658,1586613,,Stœ̆ng Kâmpông Kdei,,,,,,
771283,1594561,,O A Khvĭn,,,,,,
3603414,1594561,,O A Khvĕn,,,,,,
12254514,1594561,km,Ou A Khven,,,,,,
5920388,1594931,,Phnum Ta Phrom,,,,,,
5920389,1594931,,Phanom Ta Phrom,,,,,,
15741953,1594931,wkdt,Q27213786,,,,,,
3157930,1595399,,Khok Yai,,,,,,
3157931,1595399,th,โคกใหญ่,,,,,,
3157932,1595399,,Phu Khok Yai,,,,,,
3082614,1595422,,Chong Phrik,,,,,,
3082615,1595422,,Chong Phrik Mate,,,,,,
15201853,1595422,wkdt,Q27213783,,,,,,
10727501,1595574,,Khlong Phaeng,,,,,,
10727502,1595574,th,คลองแผง,,,,,,
3082806,1596929,,Chong Pradek,,,,,,
3082807,1596929,,Chong Pradok,,,,,,
15845205,1596929,wkdt,Q27213781,,,,,,
771797,1605212,,Phnum Vêng,,,,,,
771798,1605212,,Phnom Veng,,,,,,
771928,1605275,,Phnom Trièng,,,,,,
11994598,1605275,km,Phnum Trieng,,,,,,
11994599,1605275,km,ភ្នំទ្រៀង,,,,,,
11994600,1605275,km,Phnŭm Triĕng,,,,,,
13190871,1605704,km,Khao Ta Thong,,,,,,
772806,1606341,,Chong Pradok,,,,,,
3633233,1606341,,Chong Sek Yia,,,,,,
15454973,1606341,wkdt,Q27213779,,,,,,
772999,1606549,,Col de Kon Phlau Sangam,,,,,,
3633366,1606549,,Chong Sa-ngam,,,,,,
773179,1606721,,Chong Samet,,,,,,
773180,1606721,,Passe de Tchoup Smach,,,,,,
773181,1606721,,Chok Semot,,,,,,
773343,1606890,,Huai Nam Sai,,,,,,
773344,1606890,,Ô Pasi,,,,,,
773345,1606890,,Nam Sai,,,,,,
773346,1606890,,Stung Houei Sai,,,,,,
773347,1606890,,Houei Nam Sai,,,,,,
773348,1606890,,Lam Nam Sai,,,,,,
773349,1606890,,Klong Nam Sai,,,,,,
3107573,1606890,,Prêk Năm Sai,,,,,,
10727833,1606890,,Khlong Nam Sai,,,,,,
