AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
15911411,2110023,link,https://en.wikipedia.org/wiki/Utiroa,,,,,,
1041080,2110026,,Umanterwena,,,,,,
4309120,2110026,,Umantewena,,,,,,
6900587,2110026,link,https://en.wikipedia.org/wiki/Umantewena,,,,,,
1041082,2110027,,Umai Ataei,,,,,,
4309121,2110027,,Umaia Ataei,,,,,,
1041083,2110028,,Ukiaññan Point,,,,,,
1041084,2110028,,Ukiangong Point,,,,,,
1041085,2110028,,Tabosotegeya,,,,,,
1041086,2110028,,Ukiannen Point,,,,,,
4309122,2110028,,Ukiangang Point,,,,,,
5424298,2110028,,HEREFORD POINT WW2,,,,,,
7538380,2110028,link,https://en.wikipedia.org/wiki/Ukiangong_Point,,,,,,
15911409,2110030,link,https://en.wikipedia.org/wiki/Ubanteman,,,,,,
1041087,2110031,,Ubrantakoto Island,,,,,,
1041088,2110031,,Upalhaku,,,,,,
4309123,2110031,,Ubantakoto,,,,,,
1041089,2110032,,Tukurere,,,,,,
1041090,2110032,,Takurere Island,,,,,,
1041091,2110032,,Tukerure,,,,,,
1041092,2110032,,Nakudi Island,,,,,,
4309124,2110032,,Tukerere,,,,,,
7080970,2110039,link,https://en.wikipedia.org/wiki/Teteirio,,,,,,
1041094,2110043,,Terikai,,,,,,
4309127,2110043,,Terikiai,,,,,,
15378950,2110043,wkdt,Q7702420,,,,,,
15911408,2110043,link,https://en.wikipedia.org/wiki/Terikiai,,,,,,
1041095,2110049,,Temoto Island,,,,,,
4309129,2110049,,Temotu,,,,,,
4309130,2110050,,Temaraia,,,,,,
6909460,2110050,link,https://en.wikipedia.org/wiki/Temaraia,,,,,,
15518891,2110050,wkdt,Q7697985,,,,,,
5580504,2110054,,OSCAR WW2,,,,,,
1041098,2110057,,Terio,,,,,,
4309132,2110057,,Teirio,,,,,,
1041099,2110058,,Tibarao Sandbank,,,,,,
1041100,2110058,,Tipurao Sandbank,,,,,,
4309133,2110058,,Tebwerewi,,,,,,
15911401,2110060,link,https://en.wikipedia.org/wiki/Tebunginako,,,,,,
7072834,2110061,link,https://en.wikipedia.org/wiki/Tetabakea,,,,,,
1041101,2110063,,Bikerei,,,,,,
1041102,2110063,,Tebikerai,,,,,,
4309134,2110063,,Tebikerei,,,,,,
7081296,2110063,link,https://en.wikipedia.org/wiki/Tebikerei,,,,,,
15426447,2110063,wkdt,Q7692062,,,,,,
1041104,2110067,,Taboneaba,,,,,,
4309136,2110067,,Tebanga,,,,,,
1041105,2110068,,Tebana,,,,,,
4309137,2110068,,Tebanga,,,,,,
1041106,2110070,,Teaoraereka,,,,,,
1041107,2110070,,Teaoraereke Mission,,,,,,
4309138,2110070,,Teaoraereke,,,,,,
1041108,2110072,,Tongiaka,,,,,,
4309139,2110072,,Taungeaka,,,,,,
1041109,2110075,,Knoy Island,,,,,,
1041110,2110075,,Tarawa Island,,,,,,
1041111,2110075,,Cook Island,,,,,,
1041112,2110075,,Tarowa,,,,,,
1041113,2110075,,Knox Island,,,,,,
1990095,2110075,fr,Tarawa,,,,,,
1990096,2110075,es,Tarawa,,,,,,
1990097,2110075,de,Tarawa,,,,,,
1990098,2110075,pl,Tarawa,,,,,,
1990099,2110075,en,Tarawa Atoll,,,,,,
1990100,2110075,el,Ταράουα,,,,,,
1990101,2110075,eu,Tarawa,,,,,,
1990102,2110075,fi,Tarawa,,,,,,
1990103,2110075,io,Tarawa,,,,,,
1990104,2110075,it,Tarawa,,,,,,
1990105,2110075,ja,タラワ,,,,,,
1990106,2110075,ko,타라와,,,,,,
1990107,2110075,lt,Tarava,,,,,,
1990108,2110075,nl,Tarawa,,,,,,
1990109,2110075,pt,Tarawa,,,,,,
1990110,2110075,sv,Tarawa,,,,,,
1990111,2110075,zh,塔拉瓦,,,,,,
2940047,2110075,link,https://en.wikipedia.org/wiki/Tarawa,,,,,,
3051066,2110075,link,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D0%B2%D0%B0_%28%D0%B0%D1%82%D0%BE%D0%BB%D0%BB%29,,,,,,
4309140,2110075,,Tarawa Atoll,,,,,,
5424295,2110075,,INCREDIBLE WW2,,,,,,
5883961,2110075,,LONGSUIT WW2,,,,,,
1041114,2110076,,Taritai,,,,,,
4309141,2110076,,Taratai,,,,,,
1041118,2110080,,Tebebentau Reef,,,,,,
4309143,2110080,,Taoatu Reef,,,,,,
1041119,2110084,,Tanimaiki,,,,,,
4309144,2110084,,Tanimaiaki,,,,,,
1041120,2110085,,Tanaeang,,,,,,
4309145,2110085,,Tanaiang,,,,,,
15911400,2110085,link,https://en.wikipedia.org/wiki/Tanaiang,,,,,,
1041121,2110087,,Tomana,,,,,,
1041122,2110087,,Rotcher Island,,,,,,
3051067,2110087,link,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%B0%D0%BD%D0%B0,,,,,,
4309146,2110087,,Tamana,,,,,,
13785769,2110087,unlc,KITMN,,,,,,
1041123,2110091,,Takarona,,,,,,
4309147,2110091,,Takarano,,,,,,
7076850,2110091,link,https://en.wikipedia.org/wiki/Takarano,,,,,,
15584343,2110091,wkdt,Q7677265,,,,,,
15911398,2110092,link,https://en.wikipedia.org/wiki/Tabutoa,,,,,,
1041124,2110093,,Tebero,,,,,,
4309148,2110093,,Taburao,,,,,,
