AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
515159,921654,,Oanani,,,,,,
515160,921654,,Wanani,,,,,,
2929324,921654,link,https://en.wikipedia.org/wiki/Wanani,,,,,,
4140359,921654,,Ouanani,,,,,,
15271501,921654,wkdt,Q2014425,,,,,,
515161,921655,,Voany,,,,,,
515162,921655,,Voani,,,,,,
4140360,921655,,Vouani,,,,,,
8079452,921655,link,https://en.wikipedia.org/wiki/Vouani,,,,,,
515163,921656,,Town Anchorage,,,,,,
4140361,921656,,Mouillage de la Ville,,,,,,
515169,921660,,Vassi,,,,,,
4140365,921660,,Vassy,,,,,,
8093019,921660,link,https://en.wikipedia.org/wiki/Vassi,,,,,,
15284900,921660,wkdt,Q7916933,,,,,,
515170,921661,,Vanamboini,,,,,,
4140366,921661,,Vanambouani,,,,,,
8098468,921661,link,https://en.wikipedia.org/wiki/Vanamboini,,,,,,
15707969,921661,wkdt,Q16902484,,,,,,
515171,921662,,Vailheu Shoal,,,,,,
4140367,921662,,Récif Vailheu,,,,,,
2929325,921664,link,https://en.wikipedia.org/wiki/Tsimbeo,,,,,,
4140368,921664,,Tsimbeo,,,,,,
15311822,921664,wkdt,Q1885248,,,,,,
15910910,921664,,Tsembéhou,,,,,,
515172,921666,,Tortues Island,,,,,,
4140369,921666,,Île aux Tortues,,,,,,
2929326,921674,link,https://en.wikipedia.org/wiki/Singani%2C_Comoros,,,,,,
4140373,921674,,Singani,,,,,,
7487708,921675,link,https://en.wikipedia.org/wiki/Sima%2C_Comoros,,,,,,
7561862,921675,,Sima,,,,,,
15614437,921675,wkdt,Q3110104,,,,,,
515184,921684,,Samia Islet,,,,,,
4140379,921684,,Îlot Samia,,,,,,
515185,921685,,M’Tsumbia,,,,,,
2929327,921685,link,https://en.wikipedia.org/wiki/Sambia%2C_Comoros,,,,,,
4140380,921685,,Sambia,,,,,,
515186,921686,,Samba,,,,,,
4140381,921686,,Samba-Madi,,,,,,
515187,921687,,Selimani,,,,,,
4140382,921687,,Salimani,,,,,,
13963136,921687,link,https://en.wikipedia.org/wiki/Salimani,,,,,,
15644203,921687,wkdt,Q7404606,,,,,,
515197,921697,,Pomoni Harbour,,,,,,
515198,921697,,Pomoni Harbor,,,,,,
515199,921697,,Pomony Anchorage,,,,,,
515200,921697,,Havre Pomony,,,,,,
515201,921697,,Mouillage de Pomoni,,,,,,
4140389,921697,,Havre Pomoni,,,,,,
515202,921698,,Pomony,,,,,,
2929328,921698,link,https://en.wikipedia.org/wiki/Pomoni,,,,,,
4140390,921698,,Pomoni,,,,,,
515203,921699,,Flat Rocks,,,,,,
4140391,921699,,Roches Plates,,,,,,
7082794,921700,link,https://en.wikipedia.org/wiki/Pidjani,,,,,,
7101857,921700,,Pidjani,,,,,,
515204,921701,,Roche Perche,,,,,,
4140392,921701,,Roche Percée,,,,,,
515207,921703,,Patsy,,,,,,
515208,921703,,Wilson,,,,,,
4140394,921703,,Patsi,,,,,,
13963094,921703,link,"https://en.wikipedia.org/wiki/Patsy,_Comoros",,,,,,
515209,921706,,Panda Gongoue,,,,,,
4140395,921706,,Panda,,,,,,
515218,921711,,Ousini,,,,,,
4140400,921711,,Ouzini,,,,,,
15483125,921711,wkdt,Q27222313,,,,,,
515219,921712,,Outsa Daoueni,,,,,,
4140401,921712,,Ajaho,,,,,,
515220,921713,,Ousivo,,,,,,
4140402,921713,,Oussivo,,,,,,
8071765,921713,link,https://en.wikipedia.org/wiki/Ousivo,,,,,,
14940156,921713,wkdt,Q7111344,,,,,,
8092843,921714,link,https://en.wikipedia.org/wiki/Ourov%C3%A9ni,,,,,,
8106344,921714,,Ourovéni,,,,,,
15337446,921714,wkdt,Q7111310,,,,,,
515221,921715,,West Point,,,,,,
4140403,921715,,Pointe Ouest,,,,,,
515225,921717,,Wenefu,,,,,,
515226,921717,,Île Ouénéfou,,,,,,
4140405,921717,,Chissioua Ouénéfou,,,,,,
515227,921718,,Uemani,,,,,,
4140406,921718,,Ouémani,,,,,,
515232,921721,,Ouany,,,,,,
515233,921721,,Oani,,,,,,
2929330,921721,link,https://en.wikipedia.org/wiki/Ouani,,,,,,
4140408,921721,,Ouani,,,,,,
8487811,921721,iata,AJN,,,,,,
8487812,921721,en,Ouani,,,,,,
15532169,921721,wkdt,Q3143004,,,,,,
515234,921722,,Luala,,,,,,
515235,921722,,Ouala,,,,,,
2929331,921722,link,https://en.wikipedia.org/wiki/Ouallah,,,,,,
4140409,921722,,Ouallah,,,,,,
15410682,921722,wkdt,Q7110170,,,,,,
515239,921725,,Ongoijou,,,,,,
4140412,921725,,Ongoujou,,,,,,
7543577,921725,link,https://en.wikipedia.org/wiki/Ongoujou,,,,,,
15563805,921725,wkdt,Q3120986,,,,,,
8096157,921726,link,https://en.wikipedia.org/wiki/Ongoni,,,,,,
8106345,921726,,Ongoni,,,,,,
15554816,921726,wkdt,Q7093857,,,,,,
15357505,921727,wkdt,Q27222308,,,,,,
15927170,921727,,Pointe Oani,,,,,,
515240,921728,,Nunga,,,,,,
4140413,921728,,Nounga,,,,,,
15798133,921728,wkdt,Q27222307,,,,,,
515241,921729,,Tsudjin,,,,,,
515242,921729,,Tsudjini,,,,,,
515243,921729,,Mitsuje,,,,,,
515245,921729,,Mitsudje,,,,,,
515246,921729,,Mitsoudjini,,,,,,
515247,921729,,Tsudjim,,,,,,
4140414,921729,,Ntsoudjini,,,,,,
4140415,921729,,Tsujuni,,,,,,
8096158,921729,link,https://en.wikipedia.org/wiki/Ntsoudjini,,,,,,
15245490,921729,wkdt,Q7067659,,,,,,
515248,921730,,Sazu,,,,,,
4140416,921730,,Ntsazou,,,,,,
515249,921731,,Mtsaoueni,,,,,,
515250,921731,,Tsaueni,,,,,,
515251,921731,,Mitsaoueni,,,,,,
4140417,921731,,Ntsaouéni,,,,,,
8090435,921731,link,https://en.wikipedia.org/wiki/Ntsaou%C3%A9ni,,,,,,
515257,921736,,North Point,,,,,,
4140422,921736,,Pointe Nord,,,,,,
515258,921737,,Ras Baku,,,,,,
4140423,921737,,Pointe Nord,,,,,,
515259,921738,,Black Rock,,,,,,
4140424,921738,,Rocher Noir,,,,,,
515260,921739,,Black Rock,,,,,,
4140425,921739,,Rocher Noir,,,,,,
515261,921740,,Tohbugodunda,,,,,,
515262,921740,,Niumbaju,,,,,,
515263,921740,,Niumbadju,,,,,,
4140426,921740,,Nioumbadjou,,,,,,
515264,921741,,Pointe Nioumakele,,,,,,
4140427,921741,,Nioumakélé,,,,,,
515265,921742,,Nioumakele,,,,,,
515266,921742,,Niumakélé,,,,,,
4140428,921742,,Chaouéni,,,,,,
8069025,921742,link,https://en.wikipedia.org/wiki/Chaou%C3%A9ni,,,,,,
15464810,921742,wkdt,Q5072848,,,,,,
515267,921743,,Nioumadzaha Voumbari,,,,,,
515268,921743,,Niumadzaha,,,,,,
4140429,921743,,Nioumadzaha Mvoumbari,,,,,,
8070201,921743,link,https://en.wikipedia.org/wiki/Ngnoumadzaha_Mvoubari,,,,,,
515269,921744,,Numa Choa Haven,,,,,,
515270,921744,,Port Nioumachoi,,,,,,
515271,921744,,Port Numa Choa,,,,,,
4140430,921744,,Port Nioumachoua,,,,,,
515272,921745,,Numa Choa,,,,,,
515273,921745,,Nioumachoi,,,,,,
515274,921745,,Niomachoi,,,,,,
515275,921745,,Nioumgchoi,,,,,,
2929332,921745,link,https://en.wikipedia.org/wiki/Nioumachoua,,,,,,
4140431,921745,,Nioumachoua,,,,,,
515276,921746,,Niambahamoro,,,,,,
4140432,921746,,Kyo,,,,,,
15579161,921746,wkdt,Q27222303,,,,,,
515277,921747,,Draure,,,,,,
4140433,921747,,Ndzaouze,,,,,,
7038520,921747,link,https://en.wikipedia.org/wiki/Ndzaouz%C3%A9,,,,,,
515290,921752,,Matsamudu Road,,,,,,
515291,921752,,Mutsamudu Road,,,,,,
4140437,921752,,Mouillage de Mutsamudu,,,,,,
515292,921753,,Matsamudu,,,,,,
515293,921753,,Mutsamudu,,,,,,
2929333,921753,link,https://en.wikipedia.org/wiki/Mutsamudu,,,,,,
4140438,921753,,Moutsamoudou,,,,,,
13785778,921753,unlc,KMMUT,,,,,,
15758661,921753,wkdt,Q691016,,,,,,
515294,921754,,Rocher Blanc,,,,,,
515295,921754,,Muchaco Islet,,,,,,
515296,921754,,White Rock,,,,,,
515297,921754,,Muchaco Island,,,,,,
4140439,921754,,Îlot Muchaco,,,,,,
7043586,921756,link,https://en.wikipedia.org/wiki/Mtsamdou,,,,,,
7101858,921756,,Mtsamdou,,,,,,
15550470,921756,wkdt,Q6930487,,,,,,
515303,921758,,Pic d’Anjouan,,,,,,
515304,921758,,Pic Mtingui,,,,,,
515305,921758,,M’Tingue,,,,,,
4140442,921758,,Ntingui,,,,,,
13523712,921758,en,Johanna Peak,,,,1,,
515308,921762,,Mrenani,,,,,,
4140444,921762,,Mrémani,,,,,,
8068951,921762,link,https://en.wikipedia.org/wiki/Mr%C3%A9mani,,,,,,
15263811,921762,wkdt,Q6930033,,,,,,
515309,921763,,M’Ramoni,,,,,,
515310,921763,,M’ramoni,,,,,,
2929334,921763,link,https://en.wikipedia.org/wiki/Mramani,,,,,,
4140445,921763,,Mramani,,,,,,
15672510,921763,wkdt,Q3503546,,,,,,
2929335,921764,link,https://en.wikipedia.org/wiki/Moya%2C_Comoros,,,,,,
4140446,921764,,Moya,,,,,,
1595968,921772,de,Moroni,,,,,,
1595969,921772,en,Moroni,,,,,,
1595970,921772,es,Moroni,,,,,,
1595971,921772,ar,موروني,,,,,,
1595972,921772,da,Moroni,,,,,,
1595973,921772,fi,Moroni,,,,,,
1595975,921772,fr,Moroni,,,,,,
