AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
934455,1838645,,Pukhan-gang,,,,,,
934456,1838645,,Ch’unch’ŏn-gang,,,,,,
934457,1838645,,Kita-kankō,,,,,,
934458,1838645,,Hokukan-kō,,,,,,
934459,1838645,,Shunsen-kō,,,,,,
6551215,1838645,,Bukhangang,,,,,,
6551216,1838645,ko,북한강,,,,,,
7189403,1838645,link,https://en.wikipedia.org/wiki/Bukhan_River,,,,,,
10233060,1840475,,Namdae-ch’ŏn,,,,,,
10233061,1840475,,Namdaecheon,,,,,,
10233062,1840475,ko,남대천,,,,,,
940860,1843607,,Imjin-gang,,,,,,
940861,1843607,,Rinsin Kō,,,,,,
940862,1843607,,Imjin River,,,,,,
940863,1843607,,Rinshin-kō,,,,,,
6551217,1843607,ko,림진강,,,,,,
7171718,1843607,link,https://en.wikipedia.org/wiki/Imjin_River,,,,,,
941819,1844429,,Kannan-sen,,,,,,
941821,1844429,,Kandan-kō,,,,,,
941822,1844429,,Hanta,,,,,,
941823,1844429,,Kantansen,,,,,,
941824,1844429,,Kannan-kō,,,,,,
4505581,1844429,,Hant’an-ch’ŏn,,,,,,
10233111,1844429,,Hantangang,,,,,,
10233112,1844429,,Hant’an-gang,,,,,,
10233113,1844429,ko,한탄강,,,,,,
8413093,1844777,,Haeam-sŏm,,,,,,
8413094,1844777,,해암섬,,,,,,
1624761,1865779,,Yongch’ŏn,,,,,,
1624762,1865779,,Ryūsen-gun,,,,,,
1847983,1865779,,룡천군,,,,,,
4644663,1865779,,Yongch’ŏn-gun,,,,,,
6147341,1865779,ko,룡천군,,,,,,
964650,1865780,,Tuil-li,,,,,,
3282087,1865780,,Tuil-tong,,,,,,
8345930,1865780,ko,두일동,,,,,,
1624763,1865781,,Tŏkch’ŏn,,,,,,
1624764,1865781,,Tŏkch’ŏn-gun,,,,,,
4644664,1865781,,Tŏkch’ŏn-si,,,,,,
5724853,1865781,ko,덕천시,,,,,,
7499249,1865781,link,https://en.wikipedia.org/wiki/Tokchon,,,,,,
964653,1865782,,T’ogyo,,,,,,
4644665,1865782,,Hŭktari,,,,,,
12197711,1865782,ko,흙다리,,,,,,
964654,1865783,,Taean-ni,,,,,,
964655,1865783,,Taean-nodongjagu,,,,,,
3252503,1865783,,Taean,,,,,,
964656,1865784,,Shō-renshū-tō,,,,,,
964657,1865784,,Shō-rensyū-tō,,,,,,
4644666,1865784,,Soryŏnju-do,,,,,,
12101162,1865784,ko,소련주도,,,,,,
964658,1865785,,Meikō-hantō,,,,,,
964659,1865785,,Shodenhantō,,,,,,
964660,1865785,,Myŏnghyo-pando,,,,,,
964661,1865785,,Myonho Hanto,,,,,,
4644670,1865785,,Songjŏn-bando,,,,,,
12101163,1865785,ko,송전반도,,,,,,
1624765,1865786,,Kangsŏ,,,,,,
1624766,1865786,,Kōsei-gun,,,,,,
3282088,1865786,,Kangsŏ-guyŏk,,,,,,
5724854,1865786,ko,강서구역,,,,,,
964664,1865787,,Giyō,,,,,,
964665,1865787,,Kōsei,,,,,,
964666,1865787,,Taean-si,,,,,,
964667,1865787,,Kiyang,,,,,,
964668,1865787,,Taean,,,,,,
964669,1865787,,Kangso,,,,,,
964670,1865787,,Kiyō,,,,,,
964671,1865787,,Kiyang-ni,,,,,,
964672,1865787,,Kango,,,,,,
964673,1865787,,Kangsŏ-ŭp,,,,,,
964674,1865787,,Kiyō-ri,,,,,,
2938743,1865787,link,https://en.wikipedia.org/wiki/Kangso-guyok,,,,,,
3252506,1865787,,Kangsŏ,,,,,,
964675,1865788,,Yuyŏn-ni,,,,,,
4644675,1865788,,Yuyŏl-li,,,,,,
13535092,1865789,,Yuyang-ni,,,,,,
13535093,1865789,ko,유양리,,,,,,
13535094,1865789,,Yuyangni,,,,,,
4644676,1865790,ko,Yuwŏn,,,,,,
4644677,1865790,ko,유원,,,,,,
12101164,1865791,,Yuwŏl-tong,,,,,,
12101165,1865791,ko,유월동,,,,,,
2055852,1865792,,유운동,,,,,,
4644678,1865792,,Yuun-dong,,,,,,
2055853,1865793,,유읍리,,,,,,
4644679,1865793,,Yuŭm-ni,,,,,,
1847987,1865794,,유승리,,,,,,
4644680,1865794,,Yusŭng-ni,,,,,,
2055854,1865795,,류소리,,,,,,
4644682,1865795,,Yuso-ri,,,,,,
964676,1865796,,Yugong-ni,,,,,,
964677,1865796,,Yujō-ri,,,,,,
1847989,1865796,,유성리,,,,,,
4644685,1865796,,Yusŏng-ni,,,,,,
5437295,1865797,,Yusŏng-ni,,,,,,
5437296,1865797,ko,유성리,,,,,,
2055855,1865798,ko,유성리,,,,,,
4644686,1865798,ko,Yusŏng-ni,,,,,,
12101166,1865799,,Yusŏng-dong,,,,,,
12101167,1865799,ko,유성동,,,,,,
12101168,1865800,,Yusŏl-li,,,,,,
12101169,1865800,ko,유선리,,,,,,
13535095,1865801,,Yusil-li,,,,,,
13535096,1865801,ko,유신리,,,,,,
13535097,1865801,,Yusin-ni,,,,,,
13535098,1865801,,Yusilli,,,,,,
2055856,1865802,,유사리,,,,,,
4644692,1865802,,Yusa-ri,,,,,,
7658842,1865802,ko,Yusari-maŭl,,,,,,
7658843,1865802,ko,류사리마을,,,,,,
13535099,1865802,,Ryusari-maŭl,,,,,,
13535100,1865802,,Yusarimaeul,,,,,,
13535101,1865802,ko,유사리마을,,,,,,
964678,1865803,,Yusa-ri,,,,,,
1847991,1865803,,류사동,,,,,,
3282089,1865803,,Yusa-dong,,,,,,
2213345,1865804,ko,유사포,,,,,,
7326646,1865804,ko,Yusap’o,,,,,,
7326647,1865804,ko,Nŭrŭpkae,,,,,,
7326648,1865804,ko,느릅개,,,,,,
964679,1865805,,Yesa P’o,,,,,,
4644693,1865805,,Yusa-p’o,,,,,,
12101170,1865805,ko,유사포,,,,,,
12101171,1865806,,Yusang-ni,,,,,,
12101172,1865806,ko,유상리,,,,,,
12101173,1865808,,Yusa,,,,,,
12101174,1865808,,Yusa-yŏk,,,,,,
12101175,1865808,ko,유사,,,,,,
12101176,1865808,ko,유사역,,,,,,
2055860,1865810,,유리,,,,,,
4644700,1865810,,Yu-ri,,,,,,
7658844,1865810,,Yudong,,,,,,
7658845,1865810,ko,류동,,,,,,
7658846,1865810,ko,Yuch’ol-li,,,,,,
7658847,1865810,ko,Pŏdŭ-dong,,,,,,
7658848,1865810,ko,류천리,,,,,,
7658849,1865810,ko,버드동,,,,,,
13535102,1865810,,Ryu-dong,,,,,,
13535103,1865810,,Nyudong,,,,,,
13535104,1865810,ko,뉴동,,,,,,
4644701,1865811,ko,Yurhyŏn-dong,,,,,,
4644702,1865811,ko,율현동,,,,,,
1847994,1865812,,율현동,,,,,,
4644703,1865812,,Yurhyŏn-dong,,,,,,
12101177,1865813,,Yurhyŏn,,,,,,
12101178,1865813,ko,율현,,,,,,
1847995,1865815,,율하리,,,,,,
3282090,1865815,,Yurha-ri,,,,,,
2213346,1865816,ko,유포리,,,,,,
4644708,1865816,ko,Yup’o-ri,,,,,,
13535105,1865817,,Yup’o-ri,,,,,,
13535106,1865817,ko,유포리,,,,,,
13535107,1865817,,Yupori,,,,,,
12101179,1865818,,Yup’o-ri,,,,,,
12101180,1865818,ko,유포리,,,,,,
12101181,1865819,,Yunsu-bong,,,,,,
12101182,1865819,ko,윤수봉,,,,,,
2213347,1865820,ko,윤소리도,,,,,,
7214956,1865820,,Yunsori-do,,,,,,
964680,1865821,,Injō,,,,,,
1847997,1865821,,윤성,,,,,,
4644712,1865821,,Yunsŏng,,,,,,
7326649,1865821,ko,Yunsŏnp’o-maŭl,,,,,,
7326650,1865821,,Yunsong,,,,,,
7326651,1865821,ko,윤선포마을,,,,,,
7326652,1865821,ko,윤송,,,,,,
12101185,1865823,,Yunsan,,,,,,
12101186,1865823,ko,윤산,,,,,,
12101187,1865824,,Yunsan,,,,,,
12101188,1865824,ko,윤산,,,,,,
1847999,1865825,,윤포동,,,,,,
4644714,1865825,,Yunp’o-dong,,,,,,
2213348,1865826,ko,육리,,,,,,
7214957,1865826,,Yung-ni,,,,,,
2213349,1865828,ko,육리,,,,,,
7214958,1865828,,Yung-ni,,,,,,
2055861,1865830,,융리,,,,,,
4644717,1865830,,Yung-ni,,,,,,
13535108,1865830,,Yungni,,,,,,
964681,1865831,,Ryūchū-ri,,,,,,
4644718,1865831,,Yungjung-ni,,,,,,
12101189,1865831,ko,융중리,,,,,,
12101190,1865832,,Yunggol-san,,,,,,
12101191,1865832,ko,융골산,,,,,,
964682,1865834,,Yun-dong,,,,,,
4644720,1865834,,Hŭru-ri,,,,,,
1848000,1865835,,Yunch’on-ni,,,,,,
4644721,1865835,,Yonchol-li,,,,,,
2055862,1865836,ko,유촌동,,,,,,
4644722,1865836,ko,Yunch’on-dong,,,,,,
2055863,1865841,ko,률동리,,,,,,
7214959,1865841,,Yultong-ni,,,,,,
964683,1865843,,Yul-li,,,,,,
4644726,1865843,,Yul-tong,,,,,,
7658850,1865843,ko,률동,,,,,,
7658851,1865843,,Pamnamugol,,,,,,
7658852,1865843,ko,밤나무골,,,,,,
4644728,1865845,ko,율동,,,,,,
7214960,1865845,,Yul-tong,,,,,,
2055864,1865846,,율동,,,,,,
4644729,1865846,,Yul-tong,,,,,,
964684,1865850,,Nŭltae,,,,,,
964685,1865850,,Ritsutai,,,,,,
2055865,1865850,ko,율대,,,,,,
7214961,1865850,,Yultae,,,,,,
1848001,1865851,,률성리,,,,,,
4644731,1865851,,Yulsŏng-ni,,,,,,
12101194,1865852,,Yulsang-ni,,,,,,
12101195,1865852,ko,율상리,,,,,,
964686,1865853,,Yusan,,,,,,
1848002,1865853,,율산,,,,,,
4644732,1865853,,Yulsan,,,,,,
7326653,1865853,,Yulsanburak,,,,,,
7326654,1865853,ko,률산부락,,,,,,
4644734,1865856,ko,율목동,,,,,,
7214962,1865856,,Yulmok-tong,,,,,,
12101196,1865859,,Yulmok-tong,,,,,,
12101197,1865859,ko,율목동,,,,,,
964687,1865861,,Yullŭng-dong,,,,,,
3282091,1865861,,Pamnŭng-dong,,,,,,
964688,1865862,,Ritsu-ri,,,,,,
4644735,1865862,,Yul-li,,,,,,
12101200,1865862,ko,윤리,,,,,,
964689,1865865,,Yul-li,,,,,,
964690,1865865,,Cho-ri,,,,,,
4644736,1865865,,Takchŏng-gol,,,,,,
964691,1865868,,Yulgwan-ni,,,,,,
3282092,1865868,,Yulgon-ni,,,,,,
2213350,1865869,ko,률곡리,,,,,,
7214963,1865869,,Yulgong-ni,,,,,,
12101201,1865870,,Yul-gol,,,,,,
12101202,1865870,ko,율골,,,,,,
1848004,1865871,,율가동,,,,,,
4644739,1865871,,Yulga-dong,,,,,,
2055866,1865872,ko,율촌,,,,,,
4644740,1865872,ko,Yulch’on,,,,,,
964692,1865873,,Yulch’ŏn-ni,,,,,,
2213351,1865873,,율천리,,,,,,
4644741,1865873,,Yulch’ŏl-li,,,,,,
964693,1865874,,Yulche,,,,,,
3252509,1865874,,Yulchae,,,,,,
3252510,1865874,,율재,,,,,,
