AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
32149,89823,,Khor Um Qasr,,,,,,
32150,89823,,Khōr Umm Qasr,,,,,,
8437255,89823,,Khawr Umm Qaşr,,,,,,
48461,105658,,Al Ḩuzaym,,,,,,
48462,105658,,Ḩazim,,,,,,
48463,105658,,Ḩuzaym,,,,,,
48464,105658,,Hazaim,,,,,,
48465,105658,,Al Huzaim,,,,,,
48466,105658,,Al Hazaim,,,,,,
48467,105658,,Huzeem,,,,,,
3684113,105658,,Ḩamḑ al Ḩuzaym,,,,,,
197572,285361,,Ḑulay‘ az Zunayf,,,,,,
197573,285361,,Dhulai Zinaif,,,,,,
197574,285361,,Ḑulay‘ Zināf,,,,,,
1845898,285361,ar,ضُلَيْع زُنَيْف,,,,,,
4466141,285361,,Ḑulay‘ Zunayf,,,,,,
197575,285362,,Ras Al-Zour,,,,,,
197576,285362,,Ras az Zor,,,,,,
197577,285362,,Rās az Zaur,,,,,,
1845899,285362,ar,رَأْس اَلزَّوْر,,,,,,
4466142,285362,,Ra’s az Zawr,,,,,,
197578,285363,,Jal Az-Zor,,,,,,
197579,285363,,Jal az Zaur,,,,,,
197580,285363,,Jal az Zor,,,,,,
1845901,285363,ar,جَال اَلزَّوْر,,,,,,
4466143,285363,,Jāl az Zawr,,,,,,
197581,285364,,Dawḩat az Zarq,,,,,,
197582,285364,,Dohat az Zaur,,,,,,
1845902,285364,ar,دَوْحَة اَلزَّوْر,,,,,,
4466144,285364,,Dawḩat az Zawr,,,,,,
197583,285365,,Banīyat az Zor,,,,,,
197584,285365,,Banāyā az Zawr,,,,,,
1845903,285365,ar,بَنِيَّة اَلزَّوْر,,,,,,
4466145,285365,,Banīyat az Zawr,,,,,,
197585,285366,,Hissu adh Dhabi,,,,,,
197586,285366,,Hasu Al-Thabi,,,,,,
1845904,285366,ar,حِسُو أَلظَبِي,,,,,,
3223752,285366,,Ḩisū az̧ Z̧aby,,,,,,
3223753,285366,,Ḩisū az̧ Z̧abī,,,,,,
1845905,285367,ar,قُلْبَان يَاسِين,,,,,,
4466146,285367,ar,Qulbān Yāsīn,,,,,,
1845906,285368,ar,رَأْس اَلْيَحِي,,,,,,
3223754,285368,,Ra’s al Yaḩī,,,,,,
3223755,285368,,Rā’s Al-Yāhī,,,,,,
197587,285369,,Mashash Wawi,,,,,,
197588,285369,,Mishāsh Wāwī,,,,,,
1845907,285369,ar,مُشَاش وَاوِي,,,,,,
4466147,285369,ar,Mushāsh Wāwī,,,,,,
197589,285370,,Al Warbah Spit,,,,,,
197590,285370,,Warbah,,,,,,
197591,285370,,Warba Spit,,,,,,
1845908,285370,ar,وَرْبَة سْپِت,,,,,,
4466148,285370,,Warbah Spit,,,,,,
197592,285371,,Al Warba Island,,,,,,
197593,285371,,Wabra Island,,,,,,
197594,285371,,Al Warbah,,,,,,
197595,285371,,Warba,,,,,,
197596,285371,,Ouarba,,,,,,
1845909,285371,ar,جَزِيرَة وَرْبَة,,,,,,
3223756,285371,,Jazīrat Warbah,,,,,,
1845910,285372,ar,تَلّ وَارَة,,,,,,
4466149,285372,,Tall Wārah,,,,,,
272,285373,,War,,,,,,
1845911,285373,ar,وَارَة,,,,,,
4466150,285373,,Wārah,,,,,,
1845912,285374,ar,مَخْفَر اَلْوَفْرَة,,,,,,
4466151,285374,,Makhfar al Wafrah,,,,,,
1845913,285375,ar,عُشَيْش اَلْجَهْرَاء,,,,,,
4466152,285375,,‘Ushaysh al Jahrā’,,,,,,
197597,285376,,Rās ‘Ashairiz,,,,,,
197598,285376,,Ra’s ‘Ushayriq,,,,,,
197599,285376,,Ras ‘Ashairiq,,,,,,
197600,285376,,Ras ‘Ashairij,,,,,,
197601,285376,,Ra’s ad Dawḩah,,,,,,
1845914,285376,ar,رَأْس عُشَيْرِج,,,,,,
4466153,285376,,Ra’s ‘Ushayrij,,,,,,
197602,285377,,Kita Atain Ushairiz,,,,,,
197603,285377,,Qiţ‘atayn ‘Ushayriq,,,,,,
197604,285377,,Kita ‘Atain Ushairij,,,,,,
197605,285377,,Qiţa‘ ‘Utayn Ushayrij,,,,,,
1845915,285377,ar,قِطْعَتَيْن عُشَيْرِج,,,,,,
4466154,285377,,Qiţ‘atayn ‘Ushayrij,,,,,,
197606,285378,,‘Ushayriq,,,,,,
1845916,285378,ar,عُشَيْرِج,,,,,,
4466155,285378,,‘Ushayrij,,,,,,
273,285379,,Asheirij,,,,,,
197607,285379,,‘Ushayriq,,,,,,
197608,285379,,Ashairij,,,,,,
197609,285379,,Usharij,,,,,,
1845917,285379,ar,عُشَيْرِج,,,,,,
4466156,285379,,‘Ushayrij,,,,,,
197610,285380,,Kita at Araifiyan,,,,,,
197611,285380,,Kita al Araifiyan,,,,,,
1845918,285380,ar,قِطْعَة عُرَيْفِجَان,,,,,,
4466157,285380,,Qiţ‘at ‘Urayfijān,,,,,,
197612,285381,,‘Urayfijān police post,,,,,,
1845919,285381,ar,مَخْفَر عُرَيْفِجَان,,,,,,
4466158,285381,,Makhfar ‘Urayfijān,,,,,,
197613,285382,,Banaya Araifjan,,,,,,
197614,285382,,Banaya ‘Urayfuān,,,,,,
1845920,285382,ar,بَنَايَا عُرَيْفِجَان,,,,,,
4466159,285382,,Banāyā ‘Urayfijān,,,,,,
197615,285383,,Araifjan,,,,,,
1845921,285383,ar,عُرَيْفِجَان,,,,,,
4466160,285383,,‘Urayfijān,,,,,,
197616,285384,,‘Araifjān,,,,,,
197617,285384,,Arefjan,,,,,,
1845922,285384,ar,عُرَيْفِجَان,,,,,,
4466161,285384,,‘Urayfijān,,,,,,
1845923,285385,ar,عُرَيْفِجَان,,,,,,
4466162,285385,,‘Urayfijān,,,,,,
197618,285386,,Umm Utwaynij,,,,,,
197619,285386,,Umm Utwaynii,,,,,,
1845924,285386,ar,أُمّ تُوَيْنِج,,,,,,
4466163,285386,,Umm Tuwaynij,,,,,,
15464168,285386,wkdt,Q27345606,,,,,,
1845925,285387,ar,ثَمِيلَة أُمّ صَفْق,,,,,,
4466164,285387,,Thamīlat Umm Şafq,,,,,,
1845926,285388,ar,مَرْكَز أُمّ صَفْق,,,,,,
4466165,285388,,Markaz Umm Şafq,,,,,,
1845927,285389,ar,أُمّ صَفَق,,,,,,
4466166,285389,,Umm Şafaq,,,,,,
197620,285390,,Umm Rukaybah,,,,,,
1845928,285390,ar,أُمّ رُقَيْبَة,,,,,,
4466167,285390,,Umm Ruqaybah,,,,,,
197621,285391,,Umm Rijm,,,,,,
197622,285391,,Umm Rajam,,,,,,
197623,285391,,Um Rijm,,,,,,
1845929,285391,ar,أُمّ رُجْم,,,,,,
4466168,285391,,Umm Rujm,,,,,,
197624,285392,,Umm Rajam,,,,,,
197625,285392,,Umm Rijm,,,,,,
1845930,285392,ar,أُمّ رُجْم,,,,,,
4466169,285392,,Umm Rujm,,,,,,
197626,285393,,Umm Quadayr-1,,,,,,
197627,285393,,Umm Gudair-1,,,,,,
1845931,285393,ar,أُمّ قُدَيْر 1,,,,,,
4466170,285393,,Umm Qudayr 1,,,,,,
197628,285394,,Thumailet Umm Gadir,,,,,,
197629,285394,,Thamīlat Umm Gudair,,,,,,
197630,285394,,Thamīlat Um Qudayr,,,,,,
1845932,285394,ar,ثَمِيلَة أُمّ قُدَيْر,,,,,,
