AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1456721,3580473,,South West Point,,,,,,
4332746,3580473,,West End Point,,,,,,
1456722,3580474,,South West Point,,,,,,
4332747,3580474,,West End Point,,,,,,
1456723,3580477,,West End,,,,,,
4332748,3580477,,West Bay,,,,,,
7148295,3580477,link,https://en.wikipedia.org/wiki/West_Bay%2C_Cayman_Islands,,,,,,
7323791,3580478,,West Bay,,,,,,
15378573,3580487,wkdt,Q27346975,,,,,,
15969305,3580487,,Vidal Cay,,,,,,
15320668,3580493,wkdt,Q27346973,,,,,,
15969306,3580493,,Timms Point,,,,,,
8695483,3580499,link,https://en.wikipedia.org/wiki/The_Bluff_%28Cayman_Islands%29,,,,,,
1456724,3580503,,Stakes Bay Point,,,,,,
4332749,3580503,,Stake Bay Point,,,,,,
15878454,3580503,wkdt,Q27346971,,,,,,
1456725,3580504,,Stakes Bay,,,,,,
4332750,3580504,,Stake Bay,,,,,,
1456726,3580505,,Spots Bay,,,,,,
4332751,3580505,,Spotts Bay,,,,,,
1456727,3580518,,Blossom Village,,,,,,
1456728,3580518,,South Hole,,,,,,
4332752,3580518,,South Town,,,,,,
1456729,3580519,,South West Sound,,,,,,
4332753,3580519,,South Sound,,,,,,
1456730,3580527,,Scotts Bay,,,,,,
4332754,3580527,,Scotts Anchorage,,,,,,
1456731,3580530,,Sand Cliff Point,,,,,,
4332755,3580530,,Sandy Point,,,,,,
15799429,3580536,wkdt,Q27347482,,,,,,
15969307,3580536,,Salt Water Point,,,,,,
1456732,3580544,,Roger Wreck Point,,,,,,
4332756,3580544,,Rogers Wreck Point,,,,,,
15589121,3580544,wkdt,Q27347478,,,,,,
1456733,3580547,,Red Bay,,,,,,
4332757,3580547,,Red Bay Estate,,,,,,
1456734,3580560,en,Georgetown Owen Roberts International Airport,,,,,,
1892567,3580560,icao,MWCR,,,,,,
1892568,3580560,iata,GCM,,,,,,
2986230,3580560,link,https://en.wikipedia.org/wiki/Owen_Roberts_International_Airport,,,,,,
5894132,3580560,es,Aeropuerto Internacional Owen Roberts,,,,,,
5894133,3580560,it,Aeroporto Internazionale Owen Roberts,,,,,,
5894134,3580560,vi,Sân bay quốc tế Owen Roberts,,,,,,
5894135,3580560,zh,歐文·羅伯茨國際機場,,,,,,
