AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
3585934,453509,,Smirnovskaya,,,,,,
276916,453510,,Domba,,,,,,
276917,453511,,Shirokaya,,,,,,
15263964,453512,wkdt,Q27347352,,,,,,
15913596,453512,,Ostrov Bulgachnyy,,,,,,
276918,453513,,Bulgachnyy,,,,,,
3585935,453513,,Bulgachnoye,,,,,,
276919,453519,,Domba,,,,,,
3585936,453519,,Damba,,,,,,
15373288,453522,wkdt,Q27347350,,,,,,
15913597,453522,,Bugor Arzhanovskiy,,,,,,
15310639,453523,wkdt,Q27347349,,,,,,
15913598,453523,,Bugor Chikhov,,,,,,
15489629,453524,wkdt,Q27347348,,,,,,
15913599,453524,,Bugor Kazachiy,,,,,,
15354889,453525,wkdt,Q27347347,,,,,,
15913600,453525,,Bugor Linii,,,,,,
15773532,453527,wkdt,Q27347346,,,,,,
15913601,453527,,Bugor Malyy Zatonnyy,,,,,,
15516317,453528,wkdt,Q27347345,,,,,,
15913602,453528,,Bugor Cherta,,,,,,
15566259,453531,wkdt,Q27347343,,,,,,
15913603,453531,,Bugor Baganta,,,,,,
15777725,453533,wkdt,Q27347341,,,,,,
15913604,453533,,Bugor Tabunbura,,,,,,
15337509,453534,wkdt,Q27347340,,,,,,
15913605,453534,,Bugor Soldatskiy,,,,,,
15435773,453538,wkdt,Q27347337,,,,,,
15913606,453538,,Bugor Selyuta,,,,,,
15225303,453540,wkdt,Q27347335,,,,,,
15913607,453540,,Bugor Orsta,,,,,,
15344154,453544,wkdt,Q27348298,,,,,,
15913608,453544,,Bugor Zolota,,,,,,
15223956,453546,wkdt,Q27348297,,,,,,
15913609,453546,,Bugor Shcheka,,,,,,
15441918,453548,wkdt,Q27348296,,,,,,
15913610,453548,,Bugor Kashinskiy,,,,,,
15690846,453550,wkdt,Q27348295,,,,,,
15913611,453550,,Bugor Utinskiy,,,,,,
15743924,453551,wkdt,Q27348294,,,,,,
15913612,453551,,Bugor Kashin,,,,,,
15486363,453553,wkdt,Q27348292,,,,,,
15851245,453554,wkdt,Q27348291,,,,,,
15913613,453554,,Bugor Kuygun,,,,,,
15431772,453556,wkdt,Q27348290,,,,,,
15913614,453556,,Bugor Saranovskiy,,,,,,
15638646,453558,wkdt,Q27348289,,,,,,
15913615,453558,,Bugor Malyy Arshin,,,,,,
15825668,453559,wkdt,Q27348288,,,,,,
15913616,453559,,Bugor Kayka,,,,,,
15442807,453560,wkdt,Q27348286,,,,,,
15913617,453560,,Bugor Baygara,,,,,,
15290797,453562,wkdt,Q27348284,,,,,,
15913618,453562,,Bugor Dolgun,,,,,,
15515391,453564,wkdt,Q27348283,,,,,,
15913619,453564,,Bugor Kryshkin,,,,,,
14931873,453566,wkdt,Q27348282,,,,,,
15913620,453566,,Bugor Zhaylautobe,,,,,,
15690190,453568,wkdt,Q27348281,,,,,,
15913621,453568,,Bugor Kirse,,,,,,
15302523,453579,wkdt,Q27348279,,,,,,
15913622,453579,,Bugor Zhamansara,,,,,,
15731722,453582,wkdt,Q27348278,,,,,,
15913623,453582,,Bugor Zhantakta,,,,,,
15438905,453584,wkdt,Q27348276,,,,,,
15913624,453584,,Bugor Deutskiy,,,,,,
15673168,453585,wkdt,Q27348275,,,,,,
15913625,453585,,Bugor Shanvoy,,,,,,
15681616,453586,wkdt,Q27348274,,,,,,
15913626,453586,,Bugor Kishkeyayetobe,,,,,,
15600372,453594,wkdt,Q27348272,,,,,,
15913627,453594,,Bugor Yenbekshi,,,,,,
15220311,453607,wkdt,Q27348267,,,,,,
15913628,453607,,Bugor Dashin,,,,,,
276920,453608,,Zhastalap,,,,,,
276921,453608,,Dzhas-Talap,,,,,,
276922,453608,,Dzhas Talal,,,,,,
276923,453608,,Ganyushkinotobe,,,,,,
1763435,453608,en,Gangyushkīno,,,,,,
1763436,453608,ru,Жасталап,,,,,,
3585938,453608,,Gangyushkīno,,,,,,
15669689,453612,wkdt,Q27348265,,,,,,
15913629,453612,,Bugor Bayda,,,,,,
276924,453619,,Zimnik,,,,,,
3585939,453619,,L’dobaza,,,,,,
276925,453626,,Raz”yezd Nomer 4 (Chetyre),,,,,,
3585940,453626,,Raz”yezd Nomer Chetyre,,,,,,
276926,453634,,Raz”yezd Nomer 3 (Tri),,,,,,
3585941,453634,,Raz”yezd Nomer Tri,,,,,,
14970757,453635,wkdt,Q4992279,,,,,,
15913630,453635,,Imeni Diny Nurpeisovoy,,,,,,
15690884,453636,wkdt,Q27348263,,,,,,
15913631,453636,,Bugor Ostrovnoy,,,,,,
285068,461731,,Kolodets Bash-Kuduk,,,,,,
3717727,461731,,Baskuduk,,,,,,
286289,464860,,Zapadnyy Chink,,,,,,
286290,464860,,Zapadnyy Chink Ust’-Urta,,,,,,
