AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
759374,1560668,,Phou Xong,,,,,,
3600580,1560668,,Phu Xong,,,,,,
11909104,1562159,,Phu Xé,,,,,,
11909105,1562159,lo,Phou Xé,,,,,,
760017,1562290,,Phou Xai Lai Leng,,,,,,
760018,1562290,,Phou Lai Leng,,,,,,
3600788,1562290,,Phu Xai Lai Leng,,,,,,
5713546,1562290,link,https://en.wikipedia.org/wiki/Phu_Xai_Lai_Leng,,,,,,
15499148,1562290,wkdt,Q1766698,,,,,,
7911781,1563413,,Co Tun Tang,,,,,,
7911782,1563413,,Phou Tuntang,,,,,,
15541637,1563413,wkdt,Q27431463,,,,,,
760754,1564386,,Ngoc Tong Ho,,,,,,
11804490,1564386,,Ngoc Tong Hoi,,,,,,
11804491,1564386,lo,Phou Tônghoy,,,,,,
760760,1564403,,Phu Tong Chinh,,,,,,
3600959,1564403,,Phou Tong Chinh,,,,,,
11840923,1564403,lo,Phou Tongchin,,,,,,
761473,1565851,,Nam Chim,,,,,,
3601029,1565851,,Nam Thin,,,,,,
7911787,1565851,vi,Nậm Chim,,,,,,
761620,1566292,,Nam Tham,,,,,,
11840924,1566657,,Co Ta Roun,,,,,,
11840925,1566657,lo,Phou Taloun,,,,,,
7911793,1567964,,Phu Senioum,,,,,,
7911794,1567964,lo,Phou Sengnoum,,,,,,
15577805,1567964,wkdt,Q27431462,,,,,,
762236,1568117,,Phou San,,,,,,
11909107,1568117,,Phu Sang,,,,,,
11909108,1568117,lo,Phou Sang,,,,,,
7911796,1568971,,Co Pou Pan,,,,,,
7911797,1568971,,Phou Poupan,,,,,,
762866,1569719,,Nam Pinh,,,,,,
11909109,1569719,lo,Houay Pin,,,,,,
11909111,1571034,,Phu Pha Sang,,,,,,
11909112,1571034,lo,Phou Phasang,,,,,,
763309,1571159,,Ngoc Pen Hoye,,,,,,
3601406,1571159,,Ngok Hoye,,,,,,
11804492,1571159,lo,Phou Pénhouay,,,,,,
763320,1571170,,Nui Peng Dia,,,,,,
11804493,1571170,,Ngok Peng Dia,,,,,,
11804494,1571170,lo,Phou Péngdia,,,,,,
11909113,1571323,,Phu Pa Lồng,,,,,,
11909114,1571323,lo,Phou Palông,,,,,,
763544,1571746,,Nui Nuoc Pung,,,,,,
11840926,1571746,,Núi Nước Rung,,,,,,
11840927,1571746,lo,Phou Nouaklung,,,,,,
763616,1571992,,Song Lo,,,,,,
763617,1571992,,Nam Kiem,,,,,,
3601476,1571992,,Nậm Niem,,,,,,
8238136,1571992,vi,Nậm Niêm,,,,,,
764262,1574354,,Col de Gia,,,,,,
764263,1574354,,Mu Gia Pass,,,,,,
