AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
3561530,2897,,Khirbat Nu‘aymān,,,,,,
6960874,2897,ar,خربة نعيمان,,,,,,
12190526,2897,,Khirbat Nu‘aymāt,,,,,,
12190527,2897,,Naamât el Faouqa,,,,,,
12190528,2897,ar,خربة نعيمات,,,,,,
3567037,12859,,Jabal Sha‘yā,,,,,,
6755911,12859,ar,جبل شعيا,,,,,,
11949907,12859,,Ruwaysat Sha‘yā,,,,,,
11949908,12859,ar,رويسة شعيا,,,,,,
117130,162507,,Jabal az Za‘tar,,,,,,
117131,162507,,Jebel Zaatar,,,,,,
117187,162553,,Dallil Hamzé,,,,,,
7420513,162553,,Z̧alīl Ḩamzah,,,,,,
13576025,162553,ar,ضليل حمزة,,,,,,
13576026,162553,,Ḑallīl Ḩamzah,,,,,,
117387,162698,,Wādī Ḩajar,,,,,,
117388,162698,,Ouâdi Hajar,,,,,,
6964592,162698,,Shārat Wādī al Ḩajar,,,,,,
6964593,162698,ar,شارة وادي الحجر,,,,,,
7767820,162698,,Shārat Wādī Ḩajar,,,,,,
7767821,162698,ar,شارة وادي حجر,,,,,,
12192546,162698,,Jabal al Ithnayn,,,,,,
12192547,162698,,Jebel el Atnine,,,,,,
12192548,162698,,Jebel el Atnéïne,,,,,,
12192549,162698,,Jebel el Atnein,,,,,,
12192550,162698,,Jabal al Atnayn,,,,,,
12192551,162698,,Jabal al ‘Aţnayn,,,,,,
12192552,162698,ar,جبل العطنين,,,,,,
117408,162709,,Makret el Laouz,,,,,,
7420517,162709,,Tallat Wādī al Lawz,,,,,,
7767822,162709,,Tellet Ouâdi el Laouz,,,,,,
7767823,162709,,Tellet el Ouâdi Laouz,,,,,,
13576027,162709,ar,تلة وادي اللوز,,,,,,
118261,163257,,Harf ett Tellâjé,,,,,,
4024234,163257,,Ḩarf ath Thallājah,,,,,,
6964707,163257,ar,حرف الثلاجة,,,,,,
12192575,163257,,Qurnat Şadr al Bustān al Qiblīyah,,,,,,
12192576,163257,ar,قرنة صدر البستان القبلية,,,,,,
119323,163935,,Jebel Soummâq,,,,,,
4024865,163935,,Jabal Summāq,,,,,,
8003355,163935,,Jabal Soummaq,,,,,,
8003356,163935,ar,جبل سماق,,,,,,
8552602,163935,,Jabal as Summāq,,,,,,
8552603,163935,ar,جبل السماق,,,,,,
15794769,163935,wkdt,Q21560585,,,,,,
119527,164081,,Ouâdi Ser’rhâya,,,,,,
7420526,164081,ar,Wādī Sirghāyā,,,,,,
119588,164122,,Ouadi es Sahrij,,,,,,
119589,164122,,Wādī aş Şahrīj,,,,,,
4025046,164122,,Wādī aş Şihrīj,,,,,,
6768220,164122,ar,وادي الصهريج,,,,,,
119754,164242,,Jebel Chîr Choûbek,,,,,,
7420529,164242,,Jabal Shīr Shawbak,,,,,,
120096,164487,,Aïn ech Chqîf,,,,,,
4025401,164487,,‘Ayn ash Shaqīf,,,,,,
120750,164980,,Wādī Sa‘īd,,,,,,
120751,164980,,Ouâdi Saaïd,,,,,,
120841,165067,,Qornet es Safha,,,,,,
7420549,165067,,Qurnat aş Şafḩah,,,,,,
120976,165192,,Jebel Roûs,,,,,,
4026082,165192,,Jabal Ru’ūs,,,,,,
7357113,165192,,Jabal ar Rūs,,,,,,
7357114,165192,ar,جبل الروس,,,,,,
8003375,165192,,Jabal er Rous,,,,,,
122101,165954,,Qasr Chbîb,,,,,,
7357134,165954,,Qaşr Shabīb,,,,,,
8070120,165954,link,https://en.wikipedia.org/wiki/Qasr_Chbib,,,,,,
4027041,166180,,Qal‘at Şubaybī,,,,,,
123343,166809,,Wadi Mbeit,,,,,,
123344,166809,,Wādī Mbeit,,,,,,
4027657,166809,,Wādī Mubayyit,,,,,,
7768024,166809,ar,وادي مبيت,,,,,,
7768025,166809,,Wādī Mubayt,,,,,,
123390,166850,,Ouâdi el Mezrâb,,,,,,
4027695,166850,,Wādī al Mizrāb,,,,,,
6965224,166850,ar,وادي المزراب,,,,,,
123698,167063,,Jabal el Messeyat,,,,,,
123699,167063,,Jebel Massayâte,,,,,,
7420569,167063,,Jabal Maşşāyāt,,,,,,
7768040,167063,ar,جبل مصايات,,,,,,
13576028,167063,ar,جبل المصيات,,,,,,
13576029,167063,,Jabal al Maşşayāt,,,,,,
124026,167293,,Ouâdi Maqsem,,,,,,
1833982,167293,,Ouadi Maqsam,,,,,,
3176796,167293,,Wādī Maqsam,,,,,,
6768367,167293,ar,وادي مقسم,,,,,,
175,167354,,Jabal Manbūh,,,,,,
124100,167354,,Jabal el Manboûaa,,,,,,
124101,167354,,Jebel Mannboûh,,,,,,
124102,167354,,Jabal Manboûh,,,,,,
3176802,167354,,Jabal al Manbū‘,,,,,,
7768053,167354,ar,جبل منبوح,,,,,,
13576030,167354,ar,جبل المنبوع,,,,,,
124123,167360,,Jebel Lemnâr,,,,,,
4028181,167360,,Jabal al Manār,,,,,,
6768374,167360,,Shārat Jabal al Manār,,,,,,
6768375,167360,ar,شارة جبل المنار,,,,,,
124378,167560,,Jebel Mdar ez Zaïyâte,,,,,,
124379,167560,,Jabal Mdar ez Zeyate,,,,,,
124380,167560,,Jabal Mder ez Zeyâte,,,,,,
4028371,167560,,Jabal Madār az Zayyāt,,,,,,
7768066,167560,ar,جبل مدار الزيات,,,,,,
125368,168250,,Jabal el Kharchoûné,,,,,,
7420589,168250,,Jabal al Kharshūnah,,,,,,
125586,168387,,Khallet Beït el Qassîs,,,,,,
7420591,168387,,Khallat Bayt al Qissīs,,,,,,
13576031,168387,ar,خلة بيت القسيس,,,,,,
4029762,169014,,Jabal Joubie,,,,,,
11951608,169014,,Jabal al Jawbīyah,,,,,,
11951609,169014,ar,جبل الجوبية,,,,,,
126569,169025,,Jisr ed Dari,,,,,,
4029774,169025,,Jisr ad Darī,,,,,,
12192949,169025,,Jisr aḑ Ḑahrī,,,,,,
127453,169612,,Jabal ash Shaykh,,,,,,
127455,169612,,Jebel ech Cheïkh,,,,,,
127456,169612,,Jabal al Thalj,,,,,,
127457,169612,,Ḩarmūn,,,,,,
127458,169612,,Jebel esh Sheikh,,,,,,
127459,169612,,Mount Herman,,,,,,
127460,169612,,Jebel eth Thelj,,,,,,
4030347,169612,en,Mount Hermon,,,,,,
5761723,169612,link,https://en.wikipedia.org/wiki/Mount_Hermon,,,,,,
7357182,169612,ar,جبل الشيخ,,,,,,
7950851,169612,,Jebel Cheïkh,,,,,,
7950852,169612,,Hermon,,,,,,
7950853,169612,,Haramoun,,,,,,
7950854,169612,ar,حرمون,,,,,,
8043993,169612,,Harmūn,,,,,,
8043994,169612,ar,هرمون,,,,,,
128041,170038,,Jebel Halîmé,,,,,,
4030756,170038,,Jabal Ḩalīmah,,,,,,
6965686,170038,ar,جبل حليمة,,,,,,
12193014,170038,,Ḩalīmat al Qurayş,,,,,,
12193015,170038,ar,حليمة القريص,,,,,,
128042,170039,,Ḩalīmah,,,,,,
128043,170039,,Halîmé,,,,,,
6965687,170039,,Shārat Ḩalīmah,,,,,,
6965688,170039,ar,شارة حليمة,,,,,,
12193016,170039,,Ḩalīmat Qārah,,,,,,
12193017,170039,,Halîmet Qara,,,,,,
12193018,170039,ar,حليمة قارة,,,,,,
128959,170707,,Harf et Tiné,,,,,,
128960,170707,,Qornet ed Dîbe,,,,,,
7950932,170707,,Qurnat adh Dhi’bah,,,,,,
12193058,170707,,Qornet ed Dibe,,,,,,
15419797,170707,wkdt,Q21581613,,,,,,
129989,171401,,Birket el Foukhte,,,,,,
4032077,171401,,Birkat al Fukhtah,,,,,,
7768186,171401,ar,بركة الفختة,,,,,,
130056,171448,,Dahr el Béqaa,,,,,,
130057,171448,,Dâhr el Bekaa,,,,,,
7420636,171448,,Ḑahr al Biqā‘,,,,,,
4032246,171573,,Bayt Ḩayrah,,,,,,
131050,172170,,Jabal Aïn es Safsâf,,,,,,
