AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1455292,3576399,,Trou Zombie,,,,,,
4314280,3576399,,Trou Zambé,,,,,,
6890864,3576402,link,https://en.wikipedia.org/wiki/Volet_River,,,,,,
6923143,3576402,,Volet River,,,,,,
1455293,3576405,,Violon Bay,,,,,,
4314281,3576405,,Anse Violon,,,,,,
15396053,3576406,wkdt,Q7928894,,,,,,
1455294,3576407,,Vigie,,,,,,
1892983,3576407,icao,TLPC,,,,,,
1892984,3576407,iata,SLU,,,,,,
10224875,3576407,,Vigie Airport,,,,1,,
13786219,3576407,unlc,LCSLU,,,,,,
15473537,3576407,wkdt,Q3275393,,,,,,
7076302,3576408,link,https://en.wikipedia.org/wiki/Vigie,,,,,,
7119000,3576408,,Vigie,,,,,,
1455295,3576411,,Riviere du Vieux Fort,,,,,,
4314282,3576411,,Vieux Fort River,,,,,,
6891446,3576411,link,https://en.wikipedia.org/wiki/Vieux_Fort_River,,,,,,
2186695,3576413,,Vieux-Fort,1,1,,,,
5650132,3576413,,Quarter of Vieux-Fort,,,,,,
7198905,3576413,link,https://en.wikipedia.org/wiki/Vieux_Fort_Quarter,,,,,,
9184290,3576413,,District of Vieux-Fort,,,,,,
7154216,3576414,link,https://en.wikipedia.org/wiki/Vieux_Fort%2C_Saint_Lucia,,,,,,
7323642,3576414,,Vieux Fort,,,,,,
9709354,3576414,de,Vieux Fort,1,,,,,
9709355,3576414,fr,Vieux Fort,1,,,,,
9709356,3576414,en,Vieux Fort,1,,,,,
13786221,3576414,unlc,LCVIF,,,,,,
7498760,3576418,link,https://en.wikipedia.org/wiki/Vanard,,,,,,
7566387,3576418,,Vanard,,,,,,
1455296,3576421,,Thoumassé River,,,,,,
1455297,3576421,,Troumasse River,,,,,,
4314283,3576421,,Troumassée River,,,,,,
6892252,3576421,link,https://en.wikipedia.org/wiki/Troumass%C3%A9e_River,,,,,,
1455298,3576424,,Thoumassé,,,,,,
4314284,3576424,,Troumasse,,,,,,
1455299,3576425,,Trou Mare River,,,,,,
4314285,3576425,,Trou Marc River,,,,,,
6892437,3576426,link,https://en.wikipedia.org/wiki/Trou_Grauval_River,,,,,,
6923144,3576426,,Trou Grauval River,,,,,,
6892377,3576429,link,https://en.wikipedia.org/wiki/Trou_Barbet_River,,,,,,
6923145,3576429,,Trou Barbet River,,,,,,
1455300,3576431,,Morne Tourney,,,,,,
4314286,3576431,,Mount Tourney,,,,,,
15637718,3576431,wkdt,Q27437748,,,,,,
1455301,3576434,,Mount Terrefallee,,,,,,
1455302,3576434,,Terrefallee,,,,,,
1455303,3576434,,Mount Terrafallee,,,,,,
4314287,3576434,,Mount Terr Fallée,,,,,,
1455304,3576437,,Tariti Point,,,,,,
4314288,3576437,,Tanti Point,,,,,,
1455305,3576438,,Morne Tabac,,,,,,
4314289,3576438,,Mount Tabac,,,,,,
15650738,3576438,wkdt,Q27437742,,,,,,
6892608,3576439,link,https://en.wikipedia.org/wiki/Soufri%C3%A8re_River,,,,,,
6923146,3576439,,Soufrière River,,,,,,
2186696,3576441,,Soufrière,1,1,,,,
5650133,3576441,,Quarter of Soufrière,,,,,,
7168124,3576441,link,https://en.wikipedia.org/wiki/Soufri%C3%A8re_Quarter,,,,,,
9184291,3576441,,District of Soufrière,,,,,,
7142541,3576442,link,https://en.wikipedia.org/wiki/Soufri%C3%A8re%2C_Saint_Lucia,,,,,,
15567059,3576442,wkdt,Q493030,,,,,,
4314290,3576443,,Soucis,,,,,,
6714040,3576443,,Sans Soucis,,,,,,
6714041,3576443,,Sans Souci,,,,,,
1455308,3576446,,Mount Siquots,,,,,,
4314291,3576446,,Mount Siquot,,,,,,
15423496,3576446,wkdt,Q27437739,,,,,,
1455309,3576447,,Pointe Seraphine,,,,,,
4314292,3576447,,Pointe Serafin,,,,,,
1455310,3576449,,Savannes,,,,,,
4314293,3576449,,Savannes Estate,,,,,,
1455311,3576451,,Port Savannes,,,,,,
1455312,3576451,,Port des Savannes,,,,,,
4314294,3576451,,Savannes Bay,,,,,,
7072013,3576453,link,https://en.wikipedia.org/wiki/Sarot,,,,,,
7119001,3576453,,Sarot,,,,,,
1455313,3576456,,Salibus Point,,,,,,
4314295,3576456,,Saltibus Point,,,,,,
2986162,3576460,link,https://en.wikipedia.org/wiki/Saint_Vincent_Passage,,,,,,
4314296,3576460,,Saint Vincent Passage,,,,,,
1455314,3576463,,Saint Urban,,,,,,
4314297,3576463,,Saint Urbain,,,,,,
15872325,3576464,wkdt,Q27437731,,,,,,
15959361,3576464,,Saint Urbain,,,,,,
1455315,3576466,,Saint Lucia,,,,,,
1619478,3576466,de,St. Lucia,,,,,,
1619479,3576466,en,Saint Lucia,,,,,,
1619480,3576466,es,Santa Lucía,,,,,,
1619481,3576466,an,Santa Luzía,,,,,,
1619482,3576466,ast,Santa Lucía,,,,,,
1619483,3576466,bg,Сейнт Лусия,,,,,,
1619484,3576466,ca,Saint Lucia,,,,,,
1619485,3576466,cs,Svatá Lucie,,,,,,
1619486,3576466,da,Saint Lucia,,,,,,
1619487,3576466,eo,Sankta Lucio,,,,,,
1619488,3576466,et,Saint Lucia,,,,,,
1619489,3576466,eu,Santa Luzia,,,,,,
1619490,3576466,fi,Saint Lucia,,,,,,
1619491,3576466,fr,Sainte-Lucie,,,,,,
1619492,3576466,gl,Santa Lucía - Saint Lucia,,,,,,
1619493,3576466,he,סנט לוסיה,,,,,,
1619494,3576466,hr,Sveta Lucija,,,,,,
1619495,3576466,hu,Saint Lucia,,,,,,
1619496,3576466,id,Saint Lucia,,,,,,
1619497,3576466,io,St Lucia,,,,,,
1619498,3576466,is,Sankti Lúsía,,,,,,
1619499,3576466,it,Santa Lucia,,,,,,
1619500,3576466,ja,セントルシア,,,,,,
1619501,3576466,ko,세인트루시아,,,,,,
1619502,3576466,kw,Sen Lusia,,,,,,
1619503,3576466,lt,Sent Lusija,,,,,,
1619504,3576466,lv,Sentlūsija,,,,,,
1619505,3576466,ms,Saint Lucia,,,,,,
1619506,3576466,nds,St. Lucia,,,,,,
1619507,3576466,nl,Saint Lucia,,,,,,
1619508,3576466,nn,Saint Lucia,,,,,,
1619509,3576466,no,Saint Lucia,,,,,,
1619510,3576466,oc,Santa Lúcia,,,,,,
1619511,3576466,pl,Saint Lucia,,,,,,
1619512,3576466,pt,Santa Lúcia,,,,,,
1619513,3576466,ro,Sfânta Lucia,,,,,,
1619514,3576466,ru,Сент-Люсия,,,,,,
1619515,3576466,sa,सेंट लूसिया,,,,,,
1619516,3576466,hbs,Sveta Lucija,,,,,,
1619517,3576466,sk,Svätá Lucia,,,,,,
1619518,3576466,sl,Saint Lucia,,,,,,
1619519,3576466,sq,Santa Lucia,,,,,,
1619520,3576466,sr,Света Луција,,,,,,
1619521,3576466,sv,Saint Lucia,,,,,,
1619522,3576466,tl,Saint Lucia,,,,,,
1619523,3576466,tr,Saint Lucia,,,,,,
1619524,3576466,uk,Сент-Люсія,,,,,,
1619525,3576466,zh,圣卢西亚,,,,,,
1633076,3576466,ug,ساينت لۇسىيە,,,,,,
1895020,3576466,bs,Sveta Lucija,,,,,,
1895021,3576466,el,Αγία Λουκία,,,,,,
1895022,3576466,ht,Sent Lisi,,,,,,
1895023,3576466,ms,Santos Lucia,,,,,,
1980907,3576466,fy,Sint Lucia,,,,,,
1980908,3576466,sw,Saint Lucia,,,,,,
3056526,3576466,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%82-%D0%9B%D1%8E%D1%81%D0%B8%D1%8F,,,,,,
4314298,3576466,,Saint Lucia Island,,,,,,
7995712,3576466,link,https://en.wikipedia.org/wiki/Saint_Lucia,,,,,,
8163038,3576466,iata,SLU,,,,,,
1455316,3576468,,State of Saint Lucia,,,,,,
1455317,3576468,,Saint Lucia Colony,,,,,,
1455318,3576468,,Colony of Saint Lucia,,,,,,
1562384,3576468,am,ሴንት ሉቺያ,,,,,,
1562385,3576468,ar,سانت لوسيا,,,,,,
1562386,3576468,bg,Сейнт Лусия,,,,,,
1562387,3576468,cs,Svatá Lucie,,,,,,
1562388,3576468,cy,Saint Lucia,,,,,,
1562389,3576468,da,Saint Lucia,,,,,,
1562390,3576468,de,St. Lucia,,,,,,
1562391,3576468,el,Αγία Λουκία,,,,,,
1562392,3576468,en,Saint Lucia,1,,,,,
1562393,3576468,eo,Sent-Lucio,,,,,,
1562394,3576468,es,Saint Lucia,,,,,,
1562395,3576468,et,Saint Lucia,,,,,,
1562396,3576468,eu,Santa Luzia,,,,,,
1562397,3576468,fa,سنت لوسیا,,,,,,
1562398,3576468,fi,Saint Lucia,,,,,,
1562399,3576468,fo,Saint Lusia,,,,,,
1562400,3576468,fr,Sainte-Lucie,,,,,,
1562401,3576468,ga,San Lúisia,1,,,,,
1562402,3576468,he,סנט לוסיה,,,,,,
1562403,3576468,hi,सेंट लूसिया,,,,,,
1562404,3576468,hr,Sveta Lucija,,,,,,
1562405,3576468,hu,Santa Lucia,1,,,,,
1562406,3576468,hy,Սանտա Լուչիա,,,,,,
1562407,3576468,id,Saint Lucia,1,,,,,
1562408,3576468,is,Sankti Lúsía,,,,,,
1562409,3576468,it,Saint Lucia,,,,,,
1562410,3576468,ja,セントルシア,,,,,,
1562411,3576468,ka,სენტ-ლუსია,,,,,,
1562412,3576468,ko,세인트루시아,,,,,,
1562413,3576468,lt,Šventoji Liucija,1,,,,,
1562414,3576468,lv,Sentlūsija,,,,,,
1562415,3576468,mk,Света Лучија,,,,,,
1562416,3576468,ms,Saint Lucia,,,,,,
1562417,3576468,mt,Saint Lucia,,,,,,
1562418,3576468,nb,St. Lucia,,,,,,
1562419,3576468,nl,Saint Lucia,,,,,,
1562420,3576468,nn,St. Lucia,,,,,,
1562421,3576468,pl,Saint Lucia,,,,,,
1562422,3576468,pt,Santa Lúcia,,,,,,
1562423,3576468,ro,Sfânta Lucia,1,,,,,
1562424,3576468,ru,Сент-Люсия,,,,,,
1562425,3576468,sk,Svätá Lucia,,,,,,
1562426,3576468,sl,Saint Lucia,,,,,,
1562427,3576468,sr,Сент Луција,,,,,,
1562428,3576468,sv,S:t Lucia,,,,,,
1562429,3576468,th,เซนต์ลูเซีย,,,,,,
1562430,3576468,tr,Saint Lucia,,,,,,
1562431,3576468,uk,Сент-Люсія,,,,,,
1562432,3576468,vi,Xan Lu-xi,,,,,,
1562433,3576468,zh,圣卢西亚,,,,,,
1959643,3576468,,Hewanorra,,,,1,,
2080117,3576468,es,Santa Lucía,1,1,,,,
2188442,3576468,sv,Saint Lucia,1,,,,,
2421572,3576468,be,Сэнт-Люсія,1,,,,,
2421573,3576468,bg,Света Лусия,1,,,,,
2421574,3576468,bn,সেন্ট লুসিয়া,1,,,,,
2421575,3576468,bo,སེནྚ། ལུ་ཤི་ཡ།,1,,,,,
2421576,3576468,ca,Saint Lucia,1,,,,,
2421577,3576468,fa,سیت لوسیا,1,,,,,
2421578,3576468,gl,Santa Lucía,1,,,,,
2421579,3576468,he,סיינט לוצ'יה,1,,,,,
2421580,3576468,hi,सेन्ट लुसिया,1,,,,,
2421581,3576468,hr,Sv. Lucija,1,,,,,
2421582,3576468,ia,Sancte Lucia,1,,,,,
2421583,3576468,is,Saint Lúsía,1,,,,,
2421584,3576468,it,Santa Lucia,1,,,,,
2421585,3576468,ko,세인트 루시아,1,,,,,
2421586,3576468,mt,Santa Luċija,1,,,,,
2421587,3576468,nb,Saint Lucia,1,,,,,
2421588,3576468,nl,St. Lucia,1,,,,,
2421589,3576468,nn,Saint Lucia,1,,,,,
2421590,3576468,se,Saint Lucia,1,,,,,
2421591,3576468,sr,Света Луција,1,,,,,
2421592,3576468,sv,St Lucia,,1,,,,
2421593,3576468,uk,Санта Лючія,1,,,,,
2421594,3576468,ur,سینٹ لوسیا,1,,,,,
2421595,3576468,vi,Xanh Lu-xi  (Saint Lucia),1,,,,,
3075879,3576468,link,https://en.wikipedia.org/wiki/Saint_Lucia,,,,,,
4314299,3576468,,Saint Lucia,,,,,,
7088245,3576468,af,Sint Lucia,1,,,,,
7088246,3576468,ak,Saint Lucia,1,,,,,
7088247,3576468,az,Seynt Lusiya,1,,,,,
7088248,3576468,bm,Lusi-Senu,1,,,,,
7088249,3576468,br,Saint Lucia,1,,,,,
7088250,3576468,bs,Sent Lucija,1,,,,,
7088251,3576468,ee,Saint Lusia nutome,1,,,,,
7088252,3576468,ff,Sent Lusiyaa,1,,,,,
7088253,3576468,gu,સેંટ લુસિયા,1,,,,,
7088254,3576468,ha,San Lusiya,1,,,,,
7088255,3576468,ki,Santalusia,1,,,,,
7088256,3576468,kl,Saint Lucia,1,,,,,
7088257,3576468,kn,ಸೇಂಟ್ ಲೂಸಿಯಾ,1,,,,,
7088258,3576468,ku,سەینت لووسیا,1,,,,,
7088259,3576468,lg,Senti Luciya,1,,,,,
7088260,3576468,ln,Sántu lisi,1,,,,,
7088261,3576468,lu,Santu lisi,1,,,,,
7088262,3576468,mg,Sainte-Lucie,1,,,,,
7088263,3576468,ml,സെന്‍റ് ലൂസിയ,1,,,,,
7088264,3576468,mr,सेंट ल्यूसिया,1,,,,,
7088265,3576468,nd,Saint Lucia,1,,,,,
7088266,3576468,ne,सेन्ट लुसिया,1,,,,,
7088267,3576468,or,ସେଣ୍ଟ ଲୁସିଆ,1,,,,,
7088268,3576468,rm,Saint Lucia,1,,,,,
7088269,3576468,rn,Selusiya,1,,,,,
7088270,3576468,sg,Sênt-Lisïi,1,,,,,
7088271,3576468,si,ශාන්ත ලුසියා,1,,,,,
7088272,3576468,sn,Saint Lucia,1,,,,,
7088273,3576468,so,Saint Lucia,1,,,,,
7088274,3576468,sw,Santalusia,1,,,,,
7088275,3576468,ta,செயின்ட் லூசியா,1,,,,,
7088276,3576468,te,సెంట్ లూసియా,1,,,,,
7088277,3576468,ti,ሴንት ሉቺያ,1,,,,,
7088278,3576468,to,Seini Lusia,1,,,,,
7088279,3576468,yo,Orílẹ́ède Luṣia,1,,,,,
7088280,3576468,zu,i-Saint Lucia,1,,,,,
7588845,3576468,hi,सन्त लूसिया,,,,,,
7588846,3576468,sah,Сент Лусия,,,,,,
7588847,3576468,be,Сент-Люсія,,,,,,
7588848,3576468,tl,Santa Lucia,,,,,,
7588849,3576468,lt,Sent Lusija,,,,,,
7588850,3576468,oc,Santa Lúcia,,,,,,
7588851,3576468,az,Sent-Lüsiya,,,,,,
7588852,3576468,bar,St. Lucia,,,,,,
7588853,3576468,th,ประเทศเซนต์ลูเซีย,,,,,,
7588854,3576468,my,စိန့်လူစီယာနိုင်ငံ,,,,,,
7588855,3576468,gv,Noo Lucia,,,,,,
7588856,3576468,ta,செயிண்ட் லூசியா,,,,,,
7588857,3576468,an,Santa Lucía,,,,,,
7588858,3576468,frr,St. Lucia,,,,,,
7588859,3576468,ast,Santa Llucía,,,,,,
7588860,3576468,mr,सेंट लुसिया,,,,,,
7588861,3576468,nds,St. Lucia,,,,,,
7588862,3576468,bpy,সান্টা লউসিয়া,,,,,,
7588863,3576468,sq,Shën Luçia,,,,,,
7588864,3576468,scn,Santa Lucia,,,,,,
7588865,3576468,sco,Saunt Lucia,,,,,,
7588866,3576468,af,St. Lucia,,,,,,
7588867,3576468,ss,ISenti-Lushiya,,,,,,
7588868,3576468,os,Сент-Люси,,,,,,
7588869,3576468,kw,Sen Lusia,,,,,,
7588870,3576468,yo,Lùsíà Mímọ́,,,,,,
7588871,3576468,ga,San Lucia,,,,,,
7588872,3576468,mk,Света Луција,,,,,,
7588873,3576468,io,Santa Lucia,,,,,,
7588874,3576468,ml,സെയ്ന്റ് ലൂസിയ,,,,,,
7588875,3576468,ext,Santa Luzia,,,,,,
7588876,3576468,crh,Sent Lusiya,,,,,,
7588877,3576468,fy,Sint Lusia,,,,,,
7588878,3576468,lij,Santa Luçia,,,,,,
7588879,3576468,eo,Sankta Lucio,,,,,,
7588880,3576468,sa,सेंट लूसिया,,,,,,
7588881,3576468,hbs,Sveta Lucija,,,,,,
7588882,3576468,nah,Santa Lucía,,,,,,
7588883,3576468,als,St. Lucia,,,,,,
7588884,3576468,arz,سانت لوسيا,,,,,,
7588885,3576468,qu,Santa Lusiya wat'a,,,,,,
7588886,3576468,lmo,Santa Lüzia,,,,,,
7588887,3576468,bcl,Santa Lucia,,,,,,
7588888,3576468,kn,ಸೇಂಟ್ ಲೂಷಿಯ,,,,,,
7588889,3576468,bo,སེན་ཊ་ལུ་ཤི་ཡ།,,,,,,
7588890,3576468,rw,Mutagatifu Lusiya,,,,,,
7588891,3576468,br,Santez-Lusia,,,,,,
7588892,3576468,bs,Sveta Lucija,,,,,,
7588893,3576468,hy,Սենթ Լյուսիա,,,,,,
7588894,3576468,ug,سېنت ليۇسىيە,,,,,,
7588895,3576468,ht,Sent Lisi,,,,,,
7588896,3576468,nov,Sankte Lusia,,,,,,
7588897,3576468,ln,Santa Luzia,,,,,,
7588898,3576468,war,Santa Lucia,,,,,,
7588899,3576468,xal,Сенлүүсин Орн,,,,,,
7588900,3576468,la,Sancta Lucia,,,,,,
7588901,3576468,pnb,سینٹ لوشیا,,,,,,
7588902,3576468,ps,سېنټ لوسیا,,,,,,
7588903,3576468,dv,ސަންތި ލޫސިއާ,,,,,,
7588904,3576468,frp,Santa-Lucie,,,,,,
7588905,3576468,ckb,سەینت لووسیا,,,,,,
7588906,3576468,pms,Santa Lussìa,,,,,,
8182822,3576468,ay,Santa Lusiya,,,,,,
8182823,3576468,su,Saint Lusia,,,,,,
8182824,3576468,mdf,Сент-Люсие,,,,,,
8182825,3576468,kk,Сент-Люсия,,,,,,
8182826,3576468,ba,Сент-Люсия,,,,,,
8182827,3576468,ilo,Santa Lucia,,,,,,
13288307,3576468,en,St Lucia,,,,,,
15143072,3576470,wkdt,Q27437729,,,,,,
15959362,3576470,,Piton Saint Esprit,,,,,,
1455319,3576471,,Saint Croix Roads,,,,,,
1455320,3576471,,Sainte Croix Roads,,,,,,
4314300,3576471,,Saint Croix Roadstead,,,,,,
1455321,3576472,,Anse Pointe Sable,,,,,,
1455322,3576472,,Pointe Sable,,,,,,
1455323,3576472,,Pointe Sable Bay,,,,,,
4314301,3576472,,Anse de Sables,,,,,,
1455324,3576473,,Pointe Sables,,,,,,
1455325,3576473,,Sable Point,,,,,,
4314302,3576473,,Pointe Sable,,,,,,
1455326,3576479,,Bouche Island,,,,,,
1455327,3576479,,Bouche Islet,,,,,,
4314303,3576479,,Rouche Island,,,,,,
15886366,3576479,wkdt,Q27437725,,,,,,
6890518,3576480,link,https://en.wikipedia.org/wiki/Rouarne_River,,,,,,
6923147,3576480,,Rouarné River,,,,,,
1455328,3576482,,La Grande Riviere,,,,,,
4314304,3576482,,Roseau River,,,,,,
6892447,3576482,link,https://en.wikipedia.org/wiki/Roseau_River_%28Saint_Lucia%29,,,,,,
1455329,3576484,,Rousea,,,,,,
4314305,3576484,,Roseau,,,,,,
1455330,3576486,,Gros Ilet Bay,,,,,,
1455331,3576486,,Gros Islet Bay,,,,,,
4314306,3576486,,Rodney Bay,,,,,,
7033480,3576486,link,https://en.wikipedia.org/wiki/Rodney_Bay,,,,,,
1455332,3576490,,Dorée,,,,,,
1455333,3576490,,Riviere Doree,,,,,,
4314307,3576490,,River Dorée,,,,,,
1455334,3576495,,Morne Regnier,,,,,,
4314308,3576495,,Mount Regnier,,,,,,
15226592,3576495,wkdt,Q27437722,,,,,,
13913621,3576496,,Réduit,,,,,,
13913622,3576496,,Reduit,,,,,,
1455335,3576497,,Morne Reddie,,,,,,
4314309,3576497,,Mount Reddie,,,,,,
15466678,3576497,wkdt,Q27437721,,,,,,
1455336,3576498,,La Raye Bay,,,,,,
1455337,3576498,,L’anse La Raye,,,,,,
4314310,3576498,,L’Anse la Raye,,,,,,
1455338,3576499,,Islet du Choc,,,,,,
1455339,3576499,,Choc Island,,,,,,
1455340,3576499,,Choc Islet,,,,,,
1455341,3576499,,Rat Islet,,,,,,
4314311,3576499,,Rat Island,,,,,,
1455342,3576504,,Rivière des Trois Islets,,,,,,
4314312,3576504,,Praslin River,,,,,,
6891665,3576504,link,https://en.wikipedia.org/wiki/Praslin_River,,,,,,
1455343,3576506,,Port Praslin,,,,,,
4314313,3576506,,Praslin Bay,,,,,,
2186694,3576507,,Praslin,1,1,,,,
2986163,3576507,link,https://en.wikipedia.org/wiki/Praslin_Quarter,,,,,,
5650134,3576507,,Quarter of Praslin,,,,,,
4314314,3576508,,Praslin,,,,,,
8408554,3576508,link,https://en.wikipedia.org/wiki/Praslin_Quarter,,,,,,
1455344,3576509,,Pourvait Point,,,,,,
4314315,3576509,,Povert Point,,,,,,
1455345,3576510,,Pourvait Bay,,,,,,
1455346,3576510,,Anse Pourvait,,,,,,
4314316,3576510,,Anse Povert,,,,,,
1455347,3576512,,Point Sable,,,,,,
4314317,3576512,,Pointe Sable,,,,,,
1455348,3576514,,Anse Des Pitons,,,,,,
1455349,3576514,,Pitons Bay,,,,,,
4314318,3576514,,Anse des Pitons,,,,,,
1455350,3576515,,Mount Bourgaret,,,,,,
4314319,3576515,,Mount Pimard,,,,,,
15385542,3576515,wkdt,Q27437708,,,,,,
1455351,3576517,,Pilori Bay,,,,,,
4314320,3576517,,Anse Pilori,,,,,,
1455352,3576519,,Gros Islet,,,,,,
1455353,3576519,,Ile des Ramiers,,,,,,
1455354,3576519,,Gros Island,,,,,,
4314321,3576519,,Pigeon Island,,,,,,
8076666,3576519,link,https://en.wikipedia.org/wiki/Pigeon_Island_%28Saint_Lucia%29,,,,,,
6891354,3576520,link,https://en.wikipedia.org/wiki/Piaye_River,,,,,,
6923148,3576520,,Piaye River,,,,,,
