AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1226304,2658099,,Grauspitz,,,,,,
5713033,2658099,link,https://en.wikipedia.org/wiki/Grauspitz,,,,,,
1227057,2660346,,Grauspitz,,,,,,
3075695,2660346,,Schwarzhorn,,1,,,,
5712704,2660346,link,https://en.wikipedia.org/wiki/Hinter_Grauspitz,,,,,,
1298324,3042029,,Vorderer Schellenberg,,,,,,
1298325,3042029,,Vorder-Schellenberg,,,,,,
4332839,3042029,,Vorderschellenberg,,,,,,
1596298,3042030,de,Vaduz,,,,,,
1596299,3042030,en,Vaduz,,,,,,
1596300,3042030,es,Vaduz,,,,,,
1596301,3042030,als,Vaduz,,,,,,
1596302,3042030,bg,Вадуц,,,,,,
1596303,3042030,ca,Vaduz,,,,,,
1596304,3042030,cs,Vaduz,,,,,,
1596305,3042030,da,Vaduz,,,,,,
1596306,3042030,el,Βαντούζ,,,,,,
1596307,3042030,eo,Vaduzo,,,,,,
1596308,3042030,et,Vaduz,,,,,,
1596309,3042030,fi,Vaduz,,,,,,
1596310,3042030,fr,Vaduz,,,,,,
1596311,3042030,he,פאדוץ,,,,,,
1596312,3042030,hr,Vaduz,,,,,,
1596313,3042030,id,Vaduz,,,,,,
1596314,3042030,io,Vaduz,,,,,,
1596315,3042030,is,Vaduz,,,,,,
1596316,3042030,it,Vaduz,,,,,,
1596317,3042030,ja,ファドゥーツ,,,,,,
1596318,3042030,ko,파두츠,,,,,,
1596319,3042030,nl,Vaduz,,,,,,
1596320,3042030,no,Vaduz,,,,,,
1596321,3042030,pl,Vaduz,,,,,,
1596322,3042030,pt,Vaduz,,,,,,
1596323,3042030,ro,Vaduz,,,,,,
1596324,3042030,ru,Вадуц,,,,,,
1596325,3042030,sk,Vaduz,,,,,,
1596326,3042030,sl,Vaduz,,,,,,
1596327,3042030,sr,Вадуц,,,,,,
1596328,3042030,sv,Vaduz,,,,,,
1596329,3042030,zh,瓦都茲,,,,,,
1620509,3042030,be,Вадуц,,,,,,
1620510,3042030,ka,ვადუცი,,,,,,
1620511,3042030,lt,Vaducas,,,,,,
1620512,3042030,tr,Vaduz,,,,,,
1895855,3042030,bs,Vaduz,,,,,,
1895856,3042030,eu,Vaduz,,,,,,
1895857,3042030,hu,Vaduz,,,,,,
1895858,3042030,oc,Vaduz,,,,,,
1895859,3042030,scn,Vaduz,,,,,,
1895860,3042030,sq,Vaduz,,,,,,
1895861,3042030,vo,Vaduz,,,,,,
1981814,3042030,am,ፋዱጽ,,,,,,
1981815,3042030,frp,Vaduz,,,,,,
1981816,3042030,qu,Vaduz,,,,,,
1981817,3042030,sw,Vaduz,,,,,,
2968601,3042030,link,https://en.wikipedia.org/wiki/Vaduz,,,,,,
3055048,3042030,link,https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%B4%D1%83%D1%86,,,,,,
7485594,3042030,iata,QVU,,,,,,
8103396,3042030,post,9490,,,,,,
13786231,3042030,unlc,LIVDZ,,,,,,
