AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
635378,1222722,,Vannakulam,,,,,,
4111238,1222722,,Karunkandalvannakulam,,,,,,
7049520,1222722,link,https://en.wikipedia.org/wiki/Karunkandalvannakulam,,,,,,
635379,1222723,,Periya Karisal,,,,,,
4111239,1222723,,Karisal,,,,,,
635380,1222724,,Marie Mills,,,,,,
3211138,1222724,,Kattimahana,,,,,,
635381,1222725,,Maha Wewa,,,,,,
3211139,1222725,,Karukkuliya Maha Wewa,,,,,,
635382,1222726,,Kurunaidawetiya,,,,,,
635383,1222726,,Kuruniydawetiya,,,,,,
3211140,1222726,,Karunaldawetiya,,,,,,
3211141,1222726,,Karunaidawetiya,,,,,,
635384,1222727,,Kurukkuwatawana,,,,,,
3211142,1222727,,Karukkuwatawana,,,,,,
635385,1222728,,Kottambuwawa,,,,,,
4111240,1222728,,Kattambuwawa,,,,,,
635386,1222729,,Kithagama,,,,,,
4111241,1222729,,Kitagama,,,,,,
635387,1222730,,Kirihattikulama,,,,,,
4111242,1222730,,Karihattikulama,,,,,,
635388,1222731,,Keraipodda Kulam,,,,,,
4111243,1222731,,Karuppi Setta,,,,,,
635391,1222733,,Karavilahena,,,,,,
3211143,1222733,,Karawilahena,,,,,,
635392,1222734,,Karaimalaiyoothu,,,,,,
3211144,1222734,,Karimalaiuttu,,,,,,
635393,1222735,,Chunkankerni,,,,,,
4111244,1222735,,Chunkankeni,,,,,,
635394,1222738,,Galkande,,,,,,
4111245,1222738,,Yuillefield,,,,,,
5662367,1222741,,Yudhaganawa,,,,,,
5662368,1222741,,Yudaganawa,,,,,,
635395,1222742,,Cla Totam,,,,,,
4111246,1222742,,Ythanside,,,,,,
635396,1222748,,Yompana,,,,,,
3211145,1222748,,Yonpane,,,,,,
3211146,1222748,,Vompana,,,,,,
7540493,1222751,link,https://en.wikipedia.org/wiki/Yompana,,,,,,
7561290,1222751,,Yompana,,,,,,
15531389,1222751,wkdt,Q16727074,,,,,,
3211147,1222752,,Yombuwelthenna,,,,,,
3211148,1222752,,Yombuweltenna,,,,,,
7551264,1222752,link,https://en.wikipedia.org/wiki/Yombuweltenna,,,,,,
3211149,1222755,,Yogama Estate,,,,,,
3211150,1222755,,Yogama,,,,,,
635397,1222759,,Yodamalakapu Ara,,,,,,
3211151,1222759,,Yodemolakapu Ara,,,,,,
635398,1222760,,Yodiella,,,,,,
3211152,1222760,,Yodella,,,,,,
7529828,1222768,link,https://en.wikipedia.org/wiki/Yodagannawa,,,,,,
7561291,1222768,,Yodagannawa,,,,,,
15531221,1222768,wkdt,Q8054266,,,,,,
635399,1222778,,Yodaella,,,,,,
4111247,1222778,,Yoda Ela,,,,,,
635400,1222787,,Selavendy,,,,,,
3211153,1222787,,Yellabeda,,,,,,
3211154,1222787,,Yellabenda,,,,,,
635401,1222788,,Vizalatenne,,,,,,
635402,1222788,,Yelletenne,,,,,,
