AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1094171,2272482,,Tenebu,,,,,,
4126214,2272482,,Kpademai,,,,,,
1094172,2272483,,Piein,,,,,,
4126215,2272483,,Kpagbla,,,,,,
10150493,2272483,,Kpagbola,,,,,,
1094173,2272484,,Pandamai,,,,,,
1094174,2272484,,Kpandemai,,,,,,
1094175,2272484,,Pandemai,,,,,,
1094176,2272484,,Pamdemé,,,,,,
4126216,2272484,,Kpademai,,,,,,
1094177,2272485,,Mount Kpoh,,,,,,
4126217,2272485,,Mount Kpa,,,,,,
1094178,2272486,,Kpajedeta,,,,,,
4126218,2272486,,Kpauedeta,,,,,,
1094179,2272487,,Gbae,,,,,,
1094180,2272487,,Kpaai,,,,,,
1094181,2272487,,Kpakai,,,,,,
1094182,2272487,,Kapi,,,,,,
4126219,2272487,,Kpai,,,,,,
10227728,2272487,,Kpaai Number One,,,,,,
1094183,2272488,,Kpainsu,,,,,,
1094184,2272488,,Gbaizu,,,,,,
4126220,2272488,,Basu,,,,,,
10227729,2272490,en,Zwiata,,,,,,
1094185,2272491,,Tchien,,,,,,
1094186,2272491,,Zwadhru,,,,,,
2943535,2272491,link,https://en.wikipedia.org/wiki/Zwedru,,,,,,
3040802,2272491,ru,Зведру,,,,,,
4126221,2272491,,Zwedru,,,,,,
13786382,2272491,unlc,LRTHC,,,,,,
15713116,2272491,wkdt,Q231884,,,,,,
10150494,2272492,,Tuzohn,,,,,,
10150495,2272492,,Zuzohn,,,,,,
10227730,2272495,en,Zuwolota,,,,,,
1094187,2272497,,Zuotuo,,,,,,
4126222,2272497,,Zuoplay,,,,,,
1094188,2272499,,Zuoli,,,,,,
1094189,2272499,,Zuole,,,,,,
4126223,2272499,,Zuolay,,,,,,
1094190,2272500,,Gbaama,,,,,,
1094191,2272500,,Zuolata,,,,,,
4126224,2272500,,Zulata,,,,,,
1094192,2272502,,Zoe,,,,,,
4126225,2272502,,Zuo,,,,,,
1094193,2272503,,Zuo,,,,,,
4126226,2272503,,Puo Town,,,,,,
1094194,2272504,,Lapla Town,,,,,,
