AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
517208,931923,,Seapa,,,,,,
4302975,931923,,White Hill,,,,,,
517209,931924,,Van Roiyan’s Gate,,,,,,
4302976,931924,,Van Rooyens Gate,,,,,,
517210,931925,,Choatlella,,,,,,
4302977,931925,,Upper Qeme,,,,,,
517211,931927,,Tumakole Stream,,,,,,
517212,931927,,Tumahole,,,,,,
517213,931927,,Tumakole,,,,,,
4302978,931927,,Tumahole Stream,,,,,,
15747731,931930,wkdt,Q27480173,,,,,,
15958225,931930,,Tsupani,,,,,,
517214,931931,,Sepanies Gate,,,,,,
517215,931931,,Tsupani Gate,,,,,,
4302979,931931,,Tsupane Gate,,,,,,
517216,931932,,Tsuingnane,,,,,,
517217,931932,,Tsuingynane River,,,,,,
4302980,931932,,Tsuinyane River,,,,,,
517218,931934,,Thaba Tsieu,,,,,,
4302981,931934,,Thaba Tsueu,,,,,,
517219,931937,,Tsoloani,,,,,,
4302982,931937,,Tsoloane,,,,,,
517220,931938,,Thaba Tsueu,,,,,,
4302983,931938,,Thaba Tsoeu,,,,,,
15682174,931938,wkdt,Q27480168,,,,,,
517221,931942,,Tswaning River,,,,,,
517222,931942,,Tsoaing,,,,,,
4302984,931942,,Tsoaing River,,,,,,
517223,931944,,Lebeko,,,,,,
4302985,931944,,Tsitsong,,,,,,
15526779,931945,wkdt,Q27480167,,,,,,
15958226,931945,,Tsitas Nek,,,,,,
517224,931948,,Tsikwani,,,,,,
4302986,931948,,Tsikoane Mountain,,,,,,
15552853,931948,wkdt,Q27480166,,,,,,
517225,931950,,Tsikwani,,,,,,
4302987,931950,,Tsikoane,,,,,,
517226,931951,,Lipolisa,,,,,,
517227,931951,,Likotsi,,,,,,
4302988,931951,,Tsiame,,,,,,
517228,931956,,Good Shepherd,,,,,,
4302989,931956,,Tsepo,,,,,,
517229,931958,,Tsepeng,,,,,,
517230,931958,,Gairntoul,,,,,,
4302990,931958,,Cairntoul,,,,,,
15326341,931958,wkdt,Q27480165,,,,,,
517231,931959,,Tsenotong,,,,,,
517232,931959,,Tjutjulo,,,,,,
4302991,931959,,Tsenolong,,,,,,
517233,931960,,Tsekong,,,,,,
517234,931960,,Tsekomg Stream,,,,,,
4302992,931960,,Tsekong Stream,,,,,,
517235,931961,,Frans,,,,,,
4302993,931961,,Tsekong,,,,,,
15335729,931962,wkdt,Q27480164,,,,,,
15958227,931962,,Thabana Tsekanyane,,,,,,
15305602,931963,wkdt,Q27480163,,,,,,
15958228,931963,,Thaba Tseka,,,,,,
517236,931965,,Sehlo,,,,,,
517237,931965,,Tsehlos,,,,,,
4302994,931965,,Tsehlo,,,,,,
517238,931966,,Tsoelike River,,,,,,
517239,931966,,Tsedike,,,,,,
4302995,931966,,Tsedike River,,,,,,
517240,931968,,Babbijaan,,,,,,
4302996,931968,,Tsatsane,,,,,,
7143434,931968,link,https://en.wikipedia.org/wiki/Tsatsane,,,,,,
517241,931970,,Tsanatalana Stream,,,,,,
4302997,931970,,Tsana Talana,,,,,,
517242,931971,,Tsakhole,,,,,,
4302998,931971,,Tsa Kholo Lake,,,,,,
517243,931972,,Tsakholo Stream,,,,,,
4302999,931972,,Tsa Kholo,,,,,,
517244,931974,,Tsakhalo,,,,,,
517245,931974,,Tsakholo Stream,,,,,,
4303000,931974,,Tsakhalo Stream,,,,,,
517246,931977,,Lekhoa,,,,,,
4303001,931977,,Toloane,,,,,,
517247,931978,,Kloui,,,,,,
4303002,931978,,Tlouoe,,,,,,
517248,931982,,Tihanyaku,,,,,,
517249,931982,,Motebisoani,,,,,,
4303003,931982,,Tlhanyaku,,,,,,
517250,931983,,Hlakanelo,,,,,,
4303004,931983,,Tlhakanelo,,,,,,
517251,931984,,Hlakanelo,,,,,,
4303005,931984,,Tlhakanelo,,,,,,
15552867,931984,wkdt,Q27480160,,,,,,
517252,931985,,Ntlapaning,,,,,,
4303006,931985,,Tlapaneng,,,,,,
15307562,931985,wkdt,Q27480159,,,,,,
517253,931990,,Tlali,,,,,,
4303007,931990,,Tlalis,,,,,,
517254,931995,,Leklatsa,,,,,,
4303008,931995,,Tikoe,,,,,,
517255,931996,,Thupadikaka,,,,,,
4303009,931996,,Thupa Likaka,,,,,,
15478870,931996,wkdt,Q27480158,,,,,,
517256,931998,,Tupukubu Stream,,,,,,
4303010,931998,,Thupa Kubu,,,,,,
517257,931999,,Masupa,,,,,,
4303011,931999,,Thupa Kubu,,,,,,
517258,932000,,Tholo,,,,,,
4303012,932000,,Thulo,,,,,,
517259,932004,,Thekos,,,,,,
4303013,932004,,Theko,,,,,,
15851579,932007,wkdt,Q27480157,,,,,,
15958229,932007,,Lehaha la Thakalatsa,,,,,,
517260,932009,,Thakabanna,,,,,,
4303014,932009,,Thakabannas,,,,,,
517261,932011,,Thaba-Tseka,1,1,,,,
2034803,932011,en,Thaba-Tseka District,,,,,,
2034804,932011,es,Distrito de Thaba-Tseka,,,,,,
2034805,932011,fr,District de Thaba-Tseka,,,,,,
2034806,932011,fi,Thaba-Tseka,,,,,,
2034807,932011,id,Distrik Thaba-Tseka,,,,,,
2034808,932011,ja,ターバ・ツェーカ県,,,,,,
2034809,932011,nl,Thaba-Tseka,,,,,,
2034810,932011,pt,Thaba-Tseka,,,,,,
2929421,932011,link,https://en.wikipedia.org/wiki/Thaba-Tseka_District,,,,,,
3049993,932011,link,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B1%D0%B0-%D0%A6%D0%B5%D0%BA%D0%B0_%28%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%29,,,,,,
5463432,932011,en,Thaba-Tseka,,1,,,,
5649973,932011,,Thaba-Tseka District,,,,,,
9382690,932011,de,Distrikt Thaba-Tseka,,,,,,
