AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
298718,494174,,Shervinta,,,,,,
298719,494174,,Shirvinta,,,,,,
298720,494174,,Schirwindt,,,,,,
3750859,494174,,Širvinta,,,,,,
317371,538563,lt,Kuršių nerija,1,,,,,
317372,538563,,Courland Spit,,,,,,
317373,538563,,Kuhrische Nehrung,,,,,,
317374,538563,,Užmaris,,,,,,
317375,538563,,Kurskaja Kosa,,,,,,
317376,538563,,Kurische Nehrung,,,,,,
317377,538563,,Kuršių Neringa,,,,,,
317378,538563,,Kosa Kurishe-Nerung,,,,,,
317379,538563,,Kurskaya Kosa,,,,,,
317380,538563,,Kosa Kurisch Nerung,,,,,,
3840266,538563,,Kurshskaya Kosa,,,,,,
3840267,538563,,Куршская Коса,,,,,,
5756845,538563,link,https://en.wikipedia.org/wiki/Curonian_Spit,,,,,,
6020279,538563,ru,Куршская Коса,,,,,,
8660673,538563,en,Curonian Spit,,,,,,
348709,592646,,Ozero Pogeger Zeye,,,,,,
348710,592646,,Ozero Pagegyay,,,,,,
4003701,592646,,Pagėgių Ežeras,,,,,,
12011481,592646,lt,Velnežeris,,,,,,
348711,592647,,Bileišių,,,,,,
348712,592647,,Bilayshyay,,,,,,
4003702,592647,,Bilaišiai,,,,,,
12011482,592647,lt,Bileišiai,,,,,,
348713,592648,,Abakų,,,,,,
348714,592648,,Abakay,,,,,,
4003703,592648,,Abakai,,,,,,
12011483,592649,lt,Žyzdrė,,,,,,
348715,592650,,Zyple,,,,,,
4003704,592650,,Zypliai,,,,,,
348716,592651,,Szienen,,,,,,
348717,592651,,Zhinyay,,,,,,
348718,592651,,Zhiney,,,,,,
348719,592651,,Žinių,,,,,,
4003705,592651,,Žyniai,,,,,,
348720,592652,,Zhine,,,,,,
348721,592652,,Zhinyay,,,,,,
348722,592652,,Žinių,,,,,,
4003706,592652,,Žyniai,,,,,,
12011484,592653,lt,Žyneliai,,,,,,
12011485,592654,lt,Pelkė Kūtymai,,,,,,
12011486,592654,,Žylių Pelkė,,,,,,
348723,592655,,Zhalokas,,,,,,
4003707,592655,,Žylakiai,,,,,,
348724,592656,,Zhigenay,,,,,,
4003708,592656,,Žygėnai,,,,,,
348725,592657,,Zhigaychyay,,,,,,
348726,592657,,Żygajcie,,,,,,
348727,592657,,Zhigaytse,,,,,,
348728,592657,,Žygaičių,,,,,,
1694505,592657,en,Žygaičiai,,,,,,
1694506,592657,ru,Жигайчяй,,,,,,
4003709,592657,,Žygaičiai,,,,,,
7501231,592657,link,https://en.wikipedia.org/wiki/%C5%BDygai%C4%8Diai,,,,,,
14985634,592657,wkdt,Q2463396,,,,,,
348729,592658,,Zhidelyay,,,,,,
348730,592658,,Žydelių,,,,,,
4003710,592658,,Žydeliai,,,,,,
12011487,592659,lt,Žydeliai,,,,,,
348731,592660,,Zhidaykishki,,,,,,
348732,592660,,Žydeikiškiai,,,,,,
348733,592660,,Žydeikiškių,,,,,,
4003711,592660,,Žydeikiškės,,,,,,
348734,592661,,Novyye Zhitovishki,,,,,,
4003712,592661,,Žydaviškis,,,,,,
348735,592662,,Zebertonys,,,,,,
4003713,592662,,Žybartonys,,,,,,
12011488,592662,lt,Žebertonys,,,,,,
348736,592663,,Zhibartay,,,,,,
4003714,592663,,Žybartai,,,,,,
348737,592664,,Zhviry,,,,,,
348738,592664,,Žvyrių,,,,,,
4003715,592664,,Žvyriai,,,,,,
348739,592665,,Zhvinenay,,,,,,
348740,592665,,Žvynėnų,,,,,,
348741,592665,,Žvyrėnai,,,,,,
4003716,592665,,Žvynėnai,,,,,,
348742,592666,,Zhvirzdyne,,,,,,
4003717,592666,,Žvirzdė,,,,,,
348743,592667,,Zhvirzda,,,,,,
4003718,592667,,Žvirzdaliai,,,,,,
12011489,592667,lt,Žvirždaliai,,,,,,
12011490,592668,lt,Ežeras Žvernas,,,,,,
12011491,592668,lt,Žvirnas,,,,,,
348744,592669,,Zhvirgdzhyunay,,,,,,
4003719,592669,,Žvirgždžiūnai,,,,,,
348745,592670,,Zhviradis,,,,,,
4003720,592670,,Žvirgždžiai,,,,,,
12011492,592671,lt,Žvirgždžiai,,,,,,
348746,592672,,Zhvirzhdenay,,,,,,
348747,592672,,Žvirgždėnų,,,,,,
4003721,592672,,Žvirgždėnai,,,,,,
348748,592673,,Žvirždė,,,,,,
4003722,592673,,Žvirgždė,,,,,,
348749,592674,,Zhvirgzhdaychyay,,,,,,
348750,592674,,Žvirgždaičių,,,,,,
348751,592674,,Zhvirgzhdaitse,,,,,,
4003723,592674,,Žvirgždaičiai,,,,,,
7503609,592674,link,https://en.wikipedia.org/wiki/%C5%BDvirg%C5%BEdai%C4%8Diai,,,,,,
14995762,592674,wkdt,Q3117428,,,,,,
348752,592675,,Zvirozhdaytse,,,,,,
4003724,592675,,Žvirgždaičiai,,,,,,
348753,592676,,Reka Zhvirblsh,,,,,,
4003725,592676,,Žvirblys,,,,,,
12011493,592676,lt,Žvirblis,,,,,,
348754,592677,,Zhvirbley,,,,,,
4003726,592677,,Žvirbliai,,,,,,
348755,592678,,Zhvirblyantse,,,,,,
348756,592678,,Zvirblėnų,,,,,,
4003727,592678,,Žvirblėnai,,,,,,
348757,592679,,Zhvirblavka,,,,,,
4003728,592679,,Žvirblaukys,,,,,,
12011494,592680,lt,Žvirblaičiai,,,,,,
12011495,592681,lt,Žvirbloniai,,,,,,
12011496,592681,lt,Žvirbioniai,,,,,,
348758,592682,,Zhvingyay,,,,,,
348759,592682,,Žvingių,,,,,,
4003729,592682,,Žvingiai,,,,,,
7504582,592682,link,https://en.wikipedia.org/wiki/%C5%BDvingiai,,,,,,
15538179,592682,wkdt,Q2581287,,,,,,
348760,592683,,Zhvil’gyay,,,,,,
4003730,592683,,Žvilgiai,,,,,,
348761,592685,,Zverinets,,,,,,
4003731,592685,,Žvėrynas,,,,,,
12011497,592686,lt,Žvėrupis,,,,,,
12011498,592687,lt,Žvėrė,,,,,,
348762,592688,,Zhvel’syany,,,,,,
4003732,592688,,Žvelsėnai,,,,,,
348763,592689,,Reka Zhvel’sya,,,,,,
4003733,592689,,Žvelsa,,,,,,
12011499,592689,lt,Žvizdrė,,,,,,
348764,592690,,Reka Zherplisis,,,,,,
348765,592690,,Žiaulysis,,,,,,
348766,592690,,Zhvelesis,,,,,,
4003734,592690,,Žvelesys,,,,,,
348767,592691,,Zhvyayotgala,,,,,,
4003735,592691,,Žvejotgala,,,,,,
12011500,592692,lt,Zvėgių Miškas,,,,,,
12011501,592692,lt,Zveglių Miškas,,,,,,
348768,592693,,Zhvegi,,,,,,
348769,592693,,Zhvegyay,,,,,,
4003736,592693,,Zvėgiai,,,,,,
348770,592694,,Reka Zhverenta,,,,,,
4003737,592694,,Žvaranta,,,,,,
348771,592695,,Zhvaginey,,,,,,
4003738,592695,,Žvaginiai,,,,,,
348772,592696,,Zapovednik Zhuvintas,,,,,,
4003739,592696,,Žuvinto Rezervatas,,,,,,
348773,592697,,Boloto Zhuvintas,,,,,,
4003740,592697,,Žuvinto Pelkė,,,,,,
348774,592698,,Ozero Zhuvintas,,,,,,
348775,592698,,Ežeras Žuvintas,,,,,,
348776,592698,,Ozero Zhuvinty,,,,,,
348777,592698,,Žuvintų Ežeras,,,,,,
4003741,592698,,Žuvinto Ežeras,,,,,,
7534129,592698,link,https://en.wikipedia.org/wiki/Lake_%C5%BDuvintas,,,,,,
348778,592699,,Žuvinta,,,,,,
348779,592699,,Reka Zhuvinta,,,,,,
4003742,592699,,Žuvintė,,,,,,
348780,592700,,Zhuvinty,,,,,,
348781,592700,,Žuvintų,,,,,,
4003743,592700,,Žuvintai,,,,,,
348782,592701,,Rybokay,,,,,,
4003744,592701,,Žuvininkai,,,,,,
348783,592702,,Zhuvinchyay,,,,,,
4003745,592702,,Žuvinčiai,,,,,,
348784,592703,,Zutkyay,,,,,,
4003746,592703,,Zutkiai,,,,,,
348785,592704,,Greičiai,,,,,,
348786,592704,,Žutautai Antrieji,,,,,,
348787,592704,,Zhutautay,,,,,,
4003747,592704,,Žutautai II,,,,,,
348788,592705,,Žutautai Pirmieji,,,,,,
348789,592705,,Zhutautay,,,,,,
348790,592705,,Žutautai I,,,,,,
348791,592705,,Žutautų,,,,,,
4003748,592705,,Žutautai,,,,,,
348792,592706,,Zhukle,,,,,,
348793,592706,,Zhuklyay,,,,,,
4003749,592706,,Žuklijai,,,,,,
348794,592707,,Zhuklyay,,,,,,
348795,592707,,Žuklių,,,,,,
4003750,592707,,Žukliai,,,,,,
348796,592708,,Zhukleya,,,,,,
348797,592708,,Žuklėjų,,,,,,
348798,592708,,Žuklija,,,,,,
348799,592708,,Žuklijai,,,,,,
4003751,592708,,Žuklėjai,,,,,,
348800,592709,,Zhukishki,,,,,,
4003752,592709,,Žukiškės,,,,,,
348801,592710,,Zhukovshchizna,,,,,,
4003753,592710,,Žukaičiai,,,,,,
348802,592711,,Zhukaytse,,,,,,
4003754,592711,,Žukaičiai,,,,,,
348803,592712,,Szugken,,,,,,
348804,592712,,Zhukay,,,,,,
348805,592712,,Zhugken,,,,,,
348806,592712,,Žukų,,,,,,
1670290,592712,en,Žukai,,,,,,
1670291,592712,ru,Жукай,,,,,,
4003755,592712,,Žukai,,,,,,
12011502,592713,lt,Zujūnai,,,,,,
348807,592714,,Zui,,,,,,
4003756,592714,,Zujai,,,,,,
348808,592715,,Zuykine,,,,,,
4003757,592715,,Zuikinė,,,,,,
348809,592716,,Zhuchyay,,,,,,
4003758,592716,,Žučiai,,,,,,
348810,592718,,Zubrickai,,,,,,
4003759,592718,,Zubriai,,,,,,
12011503,592719,lt,Zubriai,,,,,,
348811,592720,,Zubiškių,,,,,,
348812,592720,,Zubishkyay,,,,,,
4003760,592720,,Zubiškiai,,,,,,
348813,592721,,Zubiškiai,,,,,,
348814,592721,,Zubishki,,,,,,
348815,592721,,Zubishkyay,,,,,,
4003761,592721,,Zūbiškės,,,,,,
348816,592722,,Zubishki,,,,,,
348817,592722,,Zubiškiai,,,,,,
4003762,592722,,Zūbiškės,,,,,,
12011504,592722,lt,Didžiosios Zubiškės,,,,,,
348818,592724,,Zashtauta,,,,,,
348819,592724,,Zashtovty,,,,,,
348820,592724,,Zhostautay,,,,,,
4003763,592724,,Žostautai,,,,,,
348821,592725,,Zorūbų,,,,,,
348822,592725,,Zarubay,,,,,,
4003764,592725,,Zorūbai,,,,,,
12011505,592726,lt,Zoliškiai,,,,,,
12011506,592727,lt,Zokniai,,,,,,
348823,592728,,Zhodishkes,,,,,,
348824,592728,,Zhidzishki,,,,,,
348825,592728,,Zastyanek Zhidzishki,,,,,,
4003765,592728,,Žodiškės,,,,,,
12011507,592728,lt,Žudiškės,,,,,,
348826,592729,,Zhmirklyay,,,,,,
4003766,592729,,Žmirkliai,,,,,,
348827,592730,,Zlubiny,,,,,,
348828,592730,,Zhlibinay,,,,,,
1687767,592730,en,Žlibinai,,,,,,
1687768,592730,ru,Жлибинай,,,,,,
4003767,592730,,Žlibinai,,,,,,
348829,592731,,Zhloukty,,,,,,
4003768,592731,,Zlaugtai,,,,,,
12011508,592731,lt,Žlaugtai,,,,,,
348830,592732,,Zizonyay,,,,,,
4003769,592732,,Zizonys,,,,,,
348831,592733,,Zhizhmy,,,,,,
4003770,592733,,Žižmiai,,,,,,
348832,592734,,Žižma,,,,,,
4003771,592734,,Žižmai,,,,,,
348833,592735,,Reka Zhizhma,,,,,,
348834,592735,,Žyžma,,,,,,
4003772,592735,,Žižma,,,,,,
12011509,592735,lt,Žižma I,,,,,,
348838,592737,,Živavodės,,,,,,
348839,592737,,Zhiva Voda,,,,,,
4003774,592737,,Živavodė,,,,,,
348840,592738,,Žiurgžmotis,,,,,,
348841,592738,,Reka Zharzhmota,,,,,,
348842,592738,,Žiržmala,,,,,,
4003775,592738,,Žiuržmotis,,,,,,
507,592739,,Zhurany,,,,,,
4003776,592739,,Žiūronys,,,,,,
348843,592740,,Zhurkyay,,,,,,
4003777,592740,,Žiurkiai,,,,,,
348844,592741,,Gudeliai,,,,,,
348845,592741,,Zury-Gudeli,,,,,,
348846,592741,,Ziurių Gudeliai,,,,,,
4003778,592741,,Žiūriai-Gudeliai,,,,,,
12011510,592741,lt,Žiūriai,,,,,,
348847,592742,,Žuri,,,,,,
348848,592742,,Zhury,,,,,,
348849,592742,,Zhyuryay,,,,,,
4003779,592742,,Žiuriai,,,,,,
348850,592743,,Zhuryay,,,,,,
348851,592743,,Žiūrių,,,,,,
348852,592743,,Zhyuryay,,,,,,
348853,592743,,Zhury,,,,,,
4003780,592743,,Žiūriai,,,,,,
12011511,592744,lt,Žiūrai,,,,,,
12011512,592745,lt,Žiūrai,,,,,,
15361348,592745,wkdt,Q5619999,,,,,,
348854,592746,,Zhirnishkyay,,,,,,
348855,592746,,Zhirnishki,,,,,,
4003781,592746,,Žirniškiai,,,,,,
348856,592747,,Zhirnavogi,,,,,,
4003782,592747,,Žirniavagiai,,,,,,
12011513,592747,lt,Žarnavagiai,,,,,,
348857,592748,,Ozero Zhirnayu,,,,,,
348858,592748,,Žirnajai,,,,,,
4003783,592748,,Žirnajų Ežeras,,,,,,
12011514,592748,lt,Ežeras Žirnajai,,,,,,
12011515,592749,lt,Žirnaja,,,,,,
348859,592750,,Zhirnayne,,,,,,
4003784,592750,,Žirnainiai,,,,,,
348860,592751,,Žiopelių,,,,,,
348861,592751,,Žiogeliai,,,,,,
348862,592751,,Zhiopelyay,,,,,,
4003785,592751,,Žiopeliai,,,,,,
12011516,592752,lt,Žiogys,,,,,,
10784316,592753,lt,Žiogupalis,,,,,,
12011517,592754,lt,Žiogeliai,,,,,,
348863,592755,,Žiogaičių,,,,,,
348864,592755,,Zhiogaychyay,,,,,,
4003786,592755,,Žiogaičiai,,,,,,
348865,592756,,Zh’ogaychyay,,,,,,
348866,592756,,Žiogaičių,,,,,,
4003787,592756,,Žiogaičiai,,,,,,
348867,592757,ru,Zhëgay,,,,,,
4003788,592757,,Žiogai,,,,,,
348868,592758,,Shabern-Vittko,,,,,,
4003789,592758,,Žiobriai,,,,,,
348869,592759,,Žiobiškio,,,,,,
348870,592759,,Zhëbishkis,,,,,,
348871,592759,,Zhiobishkis,,,,,,
348872,592759,,Żabiszki,,,,,,
1727586,592759,en,Žiobiškis,,,,,,
1727587,592759,ru,Жебишкис,,,,,,
4003790,592759,,Žiobiškis,,,,,,
348873,592760,,Zinyunay,,,,,,
4003791,592760,,Ziniūnai,,,,,,
348874,592761,,Ostrov Zingelinis,,,,,,
348875,592761,,Ostrov Zingel’-verder,,,,,,
11844853,592761,,Zingelinis Verderis,,,,,,
348876,592763,,Zhinenay,,,,,,
4003793,592763,,Žinėnai,,,,,,
348877,592764,,Žinėnų,,,,,,
348878,592764,,Zhinenay,,,,,,
4003794,592764,,Žinėnai,,,,,,
348879,592765,,Zhindaitsy,,,,,,
348880,592765,,Zhindaychyay,,,,,,
4003795,592765,,Žindaičiai,,,,,,
348881,592766,,Zhilvichai,,,,,,
4003796,592766,,Žilvičiai,,,,,,
348882,592767,,Sokiai,,,,,,
