AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13385699,2959958,post,L-6255,,,,,,
13393857,2959958,,Zittig,,,,,,
4219243,2959959,,Wormeldange,,,,,,
13340251,2959959,lb,Wuermeldeng,,,,,,
13340252,2959959,de,Wormeldingen,,,,,,
13385700,2959959,post,L-5480,,,,,,
13385701,2959959,post,L-5481,,,,,,
13385702,2959959,post,L-5482,,,,,,
13385703,2959959,post,L-5483,,,,,,
13786664,2959959,unlc,LUWLG,,,,,,
1271125,2959960,,Woos,,,,,,
4219244,2959960,,Wues,,,,,,
1657786,2959961,lb,Wolwen,,,,,,
2961035,2959961,link,https://en.wikipedia.org/wiki/Wolwelange,,,,,,
4219245,2959961,,Wolwelange,,,,,,
13385704,2959961,post,L-8833,,,,,,
15474693,2959961,wkdt,Q2517590,,,,,,
1271126,2959963,,Wolz,,,,,,
4219246,2959963,,Woltz,,,,,,
1271127,2959964,,Wolper,,,,,,
1271128,2959964,,Maisons Wolper,,,,,,
4219247,2959964,,Wolpert,,,,,,
13385705,2959964,post,L-6252,,,,,,
1271129,2959965,,Wolfsmühle,,,,,,
4219248,2959965,,Wolfsmuhle-lès-Ellange,,,,,,
1271130,2959966,,Wolfsmühle,,,,,,
1271131,2959966,,Wolfsmuhle lès Wasserbillig,,,,,,
4219249,2959966,,Wollefsmillen,,,,,,
2961036,2959967,link,https://en.wikipedia.org/wiki/Wintrange,,,,,,
4219250,2959967,,Wintrange,,,,,,
13385706,2959967,post,L-5495,,,,,,
13786668,2959967,unlc,LUWTA,,,,,,
2961037,2959968,link,https://en.wikipedia.org/wiki/Winseler,,,,,,
4219251,2959968,,Winseler,,,,,,
11574004,2959968,als,Wanseler,,,,,,
11574005,2959968,fa,وینزلر,,,,,,
11574006,2959968,lb,Gemeng Wanseler,,,,,,
11574007,2959968,uk,Вінселер,,,,,,
11574008,2959968,ru,Винзелер,,,,,,
13385707,2959968,post,L-9696,,,,,,
13786665,2959968,unlc,LUWNS,,,,,,
1271132,2959969,,Windhof-lès-Ettelbrück,,,,,,
1271133,2959969,,Windhof,,,,,,
4219252,2959969,,Wandhaff,,,,,,
1271134,2959970,,Windhof,,,,,,
4219253,2959970,,Wandhaff,,,,,,
1271135,2959971,,Wenerange,,,,,,
1271136,2959971,,Wintger,,,,,,
4219254,2959971,,Wincrange,,,,,,
13385708,2959971,post,L-9780,,,,,,
1271137,2959972,,Wilwerwilz,,,,,,
2961040,2959972,link,https://en.wikipedia.org/wiki/Wilwerwiltz,,,,,,
4219255,2959972,,Wilwerwiltz,,,,,,
13385709,2959972,post,L-9776,,,,,,
2961041,2959973,link,https://en.wikipedia.org/wiki/Wilwerdange,,,,,,
4219256,2959973,,Wilwerdange,,,,,,
13385710,2959973,post,L-9980,,,,,,
15790176,2959973,wkdt,Q2123050,,,,,,
1271138,2959974,,Ferrantsmühle,,,,,,
1271139,2959974,,Wilzermühle,,,,,,
4219257,2959974,,Wiltzermühle,,,,,,
1271140,2959975,,Wiltz,,,,,,
2961042,2959975,link,https://en.wikipedia.org/wiki/Wiltz_(canton),,,,,,
4219258,2959975,,Canton de Wiltz,,,,,,
8490685,2959975,lb,Wolz,,,,,,
8490686,2959975,lb,Kanton Wolz,,,,,,
8490687,2959975,de,Kanton Wiltz,,,,,,
12189346,2959975,en,Wiltz,,,,,,
1271144,2959977,,Wilz,,,,,,
1952442,2959977,de,Wiltz,,,,,,
1952443,2959977,fr,Wiltz,,,,,,
1952444,2959977,en,Wiltz,,,,,,
1952445,2959977,be,Вільц,,,,,,
1952446,2959977,lb,Wolz,,,,,,
1952447,2959977,nl,Wiltz,,,,,,
1952448,2959977,pt,Wiltz,,,,,,
4219260,2959977,,Wiltz,,,,,,
9377998,2959977,als,Wolz,,,,,,
9377999,2959977,fa,ویلتز,,,,,,
9378001,2959977,lt,Vilcas,,,,,,
9378002,2959977,sr,Вилц,,,,,,
9378003,2959977,uk,Вільц,,,,,,
9378004,2959977,ru,Вильц,,,,,,
13385711,2959977,post,L-9510,,,,,,
13385712,2959977,post,L-9511,,,,,,
13385713,2959977,post,L-9512,,,,,,
13385714,2959977,post,L-9513,,,,,,
13385715,2959977,post,L-9514,,,,,,
13385716,2959977,post,L-9515,,,,,,
13385717,2959977,post,L-9516,,,,,,
13385718,2959977,post,L-9519,,,,,,
13385719,2959977,post,L-9520,,,,,,
13385720,2959977,post,L-9521,,,,,,
13385721,2959977,post,L-9522,,,,,,
13385722,2959977,post,L-9523,,,,,,
13385723,2959977,post,L-9530,,,,,,
13385724,2959977,post,L-9531,,,,,,
13385725,2959977,post,L-9532,,,,,,
13385726,2959977,post,L-9533,,,,,,
13385727,2959977,post,L-9534,,,,,,
13385728,2959977,post,L-9536,,,,,,
13385729,2959977,post,L-9537,,,,,,
13385730,2959977,post,L-9538,,,,,,
13385731,2959977,post,L-9539,,,,,,
13385732,2959977,post,L-9540,,,,,,
13385733,2959977,post,L-9541,,,,,,
13385734,2959977,post,L-9542,,,,,,
13385735,2959977,post,L-9543,,,,,,
13385736,2959977,post,L-9544,,,,,,
13385737,2959977,post,L-9545,,,,,,
13385738,2959977,post,L-9550,,,,,,
13385739,2959977,post,L-9551,,,,,,
13385740,2959977,post,L-9552,,,,,,
13385741,2959977,post,L-9554,,,,,,
13385742,2959977,post,L-9555,,,,,,
13385743,2959977,post,L-9556,,,,,,
13385744,2959977,post,L-9557,,,,,,
13385745,2959977,post,L-9558,,,,,,
13385746,2959977,post,L-9559,,,,,,
13385747,2959977,post,L-9560,,,,,,
13385748,2959977,post,L-9570,,,,,,
13385749,2959977,post,L-9571,,,,,,
13385750,2959977,post,L-9573,,,,,,
13385751,2959977,post,L-9574,,,,,,
13385752,2959977,post,L-9575,,,,,,
13385753,2959977,post,L-9577,,,,,,
13385754,2959977,post,L-9578,,,,,,
13385755,2959977,post,L-9674,,,,,,
13385756,2959977,post,L-9696,,,,,,
13786662,2959977,unlc,LUWIL,,,,,,
15889647,2959977,wkdt,Q16765057,,,,,,
7322138,2959978,,Wiltz,,,,,,
8490688,2959978,fr,Commune de Wiltz,,,,,,
8490689,2959978,fr,Ville de Wiltz,,,,,,
8490690,2959978,lb,Wooltz,,,,,,
8490691,2959978,lb,Wolz,,,,,,
8490692,2959978,lb,Gemeng Wolz,,,,,,
8490693,2959978,de,Gemeinde Wiltz,,,,,,
11298194,2959978,link,https://en.wikipedia.org/wiki/Wiltz,,,,,,
11377866,2959978,de,Kanton Wiltz,,,,,,
11377867,2959978,es,Cantón de Wiltz,,,,,,
11377868,2959978,fr,Canton de Wiltz,,,,,,
11377869,2959978,it,Cantone di Wiltz,,,,,,
11377870,2959978,nl,Kanton Wiltz,,,,,,
11377871,2959978,als,Kanton Wolz,,,,,,
11377872,2959978,ca,Cantó de Wiltz,,,,,,
11377873,2959978,ceb,Canton de Wiltz,,,,,,
11377874,2959978,eo,Kantono Wiltz,,,,,,
11377875,2959978,fa,ویلتز,,,,,,
11377876,2959978,id,Kanton Wiltz,,,,,,
11377877,2959978,ko,빌츠 주,,,,,,
11377878,2959978,lb,Kanton Wolz,,,,,,
11377879,2959978,lt,Vilco kantonas,,,,,,
11377880,2959978,tr,Wiltz kantonu,,,,,,
11377881,2959978,uk,Вільц,,,,,,
11377882,2959978,ur,ولتز,,,,,,
11377883,2959978,pl,Kanton Wiltz,,,,,,
2961044,2959980,link,https://en.wikipedia.org/wiki/Wickrange,,,,,,
4219261,2959980,,Wickrange,,,,,,
13385757,2959980,post,L-3980,,,,,,
1271145,2959981,,Ferme Wickelescht,,,,,,
4219262,2959981,,Wickelscheid,,,,,,
13385758,2959982,post,L-6155,,,,,,
13393858,2959982,,Weyer,,,,,,
1271146,2959983,,Wemperhart,,,,,,
1271147,2959983,,Wemperhaard,,,,,,
4219263,2959983,,Wemperhardt,,,,,,
13385759,2959983,post,L-9999,,,,,,
13786661,2959983,unlc,LUWEM,,,,,,
13385760,2959984,post,L-7713,,,,,,
13385761,2959984,post,L-7723,,,,,,
2961045,2959985,link,https://en.wikipedia.org/wiki/Welscheid,,,,,,
4219264,2959985,,Welscheid,,,,,,
13385762,2959985,post,L-9191,,,,,,
1271148,2959986,,Wellerbusch,,,,,,
4219265,2959986,,Wellerboesch,,,,,,
4219266,2959987,,Wellenstein,,,,,,
12189519,2959987,link,https://en.wikipedia.org/wiki/Wellenstein,,,,,,
13385763,2959987,post,L-5470,,,,,,
13385764,2959987,post,L-5471,,,,,,
13786667,2959987,unlc,LUWST,,,,,,
15885116,2959987,wkdt,Q3247082,,,,,,
2961047,2959988,link,https://en.wikipedia.org/wiki/Welfrange,,,,,,
12108375,2959988,,Welfrange,,,,,,
13385765,2959988,post,L-5698,,,,,,
4219267,2959989,,Weiswampach,,,,,,
13385766,2959989,post,L-9990,,,,,,
13385767,2959989,post,L-9991,,,,,,
13385768,2959989,post,L-9992,,,,,,
13385769,2959989,post,L-9993,,,,,,
13786659,2959989,unlc,LUWEI,,,,,,
1271149,2959990,,Weissenhof,,,,,,
1271150,2959990,,Weishof,,,,,,
4219268,2959990,,Weissenhaff,,,,,,
1271151,2959992,,Wimerskirch,,,,,,
1271152,2959992,,Neimersk,,,,,,
1271153,2959992,,Waymersk,,,,,,
4219269,2959992,,Weimerskirch,,,,,,
7054766,2959992,link,https://en.wikipedia.org/wiki/Weimerskirch,,,,,,
15530341,2959992,wkdt,Q1016195,,,,,,
1271154,2959994,,Weilesbach,,,,,,
1271155,2959994,,Steinescht,,,,,,
4219270,2959994,,Weileschbach,,,,,,
1271156,2959995,,Weiler,,,,,,
4219271,2959995,,Weiler-lès-Putscheid,,,,,,
7505526,2959995,link,https://en.wikipedia.org/wiki/Weiler%2C_Luxembourg,,,,,,
13385770,2959995,post,L-9466,,,,,,
4219272,2959996,,Weiler-la-Tour,,,,,,
13385771,2959996,post,L-5770,,,,,,
13385772,2959996,post,L-5771,,,,,,
13385773,2959996,post,L-5772,,,,,,
13385774,2959996,post,L-5774,,,,,,
13385775,2959996,post,L-5775,,,,,,
13385776,2959996,post,L-5776,,,,,,
2961050,2959997,link,https://en.wikipedia.org/wiki/Weilerbach%2C_Luxembourg,,,,,,
4219273,2959997,,Weilerbach,,,,,,
13385777,2959997,post,L-6590,,,,,,
13385778,2959998,post,L-9982,,,,,,
13393859,2959998,,Weiler,,,,,,
2961051,2960000,link,https://en.wikipedia.org/wiki/Weidingen,,,,,,
4219275,2960000,,Weidingen,,,,,,
13385779,2960000,post,L-9517,,,,,,
13385780,2960000,post,L-9518,,,,,,
13385781,2960000,post,L-9535,,,,,,
13385782,2960000,post,L-9553,,,,,,
13385783,2960000,post,L-9572,,,,,,
13385784,2960000,post,L-9576,,,,,,
13385785,2960000,post,L-9579,,,,,,
1271158,2960001,,Weidig,,,,,,
1271159,2960001,,Fermes Weidig,,,,,,
1271160,2960001,,Weidigerhof,,,,,,
4219276,2960001,,Weydig,,,,,,
2961052,2960002,link,https://en.wikipedia.org/wiki/Weicherdange,,,,,,
4219277,2960002,,Weicherdange,,,,,,
13385786,2960002,post,L-9775,,,,,,
2961053,2960003,link,https://en.wikipedia.org/wiki/Wecker%2C_Luxembourg,,,,,,
4219278,2960003,,Wecker,,,,,,
13358856,2960003,,Wecker-Gare,,,,,,
13385787,2960003,post,L-6852,,,,,,
13385788,2960003,post,L-6868,,,,,,
13385789,2960003,post,L-6869,,,,,,
13385790,2960003,post,L-6870,,,,,,
13385791,2960003,post,L-6871,,,,,,
13786660,2960003,unlc,LUWEK,,,,,,
1271161,2960004,,Weberhof,,,,,,
4219279,2960004,,Webershof,,,,,,
1271162,2960005,,Watschenterhof,,,,,,
4219280,2960005,,Watschenterhaff,,,,,,
1271163,2960006,,Walter,,,,,,
4219281,2960006,,Watrange,,,,,,
13385792,2960006,post,L-9690,,,,,,
15812437,2960006,wkdt,Q2661239,,,,,,
2961054,2960007,link,https://en.wikipedia.org/wiki/Wasserbillig,,,,,,
4219282,2960007,,Wasserbillig,,,,,,
13385793,2960007,post,L-6610,,,,,,
13385794,2960007,post,L-6611,,,,,,
13385795,2960007,post,L-6612,,,,,,
13385796,2960007,post,L-6613,,,,,,
13385797,2960007,post,L-6614,,,,,,
13385798,2960007,post,L-6615,,,,,,
13385799,2960007,post,L-6616,,,,,,
13385800,2960007,post,L-6617,,,,,,
13385801,2960007,post,L-6618,,,,,,
13385802,2960007,post,L-6619,,,,,,
13385803,2960007,post,L-6620,,,,,,
13385804,2960007,post,L-6621,,,,,,
13385805,2960007,post,L-6622,,,,,,
13385806,2960007,post,L-6623,,,,,,
13385807,2960007,post,L-6630,,,,,,
13385808,2960007,post,L-6631,,,,,,
13385809,2960007,post,L-6632,,,,,,
13385810,2960007,post,L-6633,,,,,,
13385811,2960007,post,L-6634,,,,,,
13385812,2960007,post,L-6635,,,,,,
13385813,2960007,post,L-6636,,,,,,
13385814,2960007,post,L-6637,,,,,,
13385815,2960007,post,L-6638,,,,,,
13385816,2960007,post,L-6645,,,,,,
13385817,2960007,post,L-6646,,,,,,
13385818,2960007,post,L-6647,,,,,,
13385819,2960007,post,L-6648,,,,,,
13385820,2960007,post,L-6649,,,,,,
13385821,2960007,post,L-6650,,,,,,
13385822,2960007,post,L-6651,,,,,,
13786666,2960007,unlc,LUWSG,,,,,,
14910274,2960007,wkdt,Q1026497,,,,,,
2961055,2960008,link,https://en.wikipedia.org/wiki/Warken,,,,,,
4219283,2960008,,Warken,,,,,,
13385823,2960008,post,L-9018,,,,,,
13385824,2960008,post,L-9019,,,,,,
13385825,2960008,post,L-9028,,,,,,
13385826,2960008,post,L-9029,,,,,,
13385827,2960008,post,L-9030,,,,,,
13385828,2960008,post,L-9031,,,,,,
13385829,2960008,post,L-9032,,,,,,
13385830,2960008,post,L-9033,,,,,,
13385831,2960008,post,L-9090,,,,,,
7533908,2960009,link,https://en.wikipedia.org/wiki/Wark_%28river%29,,,,,,
7565695,2960009,,Wark,,,,,,
1957313,2960010,fr,Walferdange,,,,,,
1957314,2960010,pl,Walferdange,,,,,,
1957315,2960010,de,Walferdingen,,,,,,
1957316,2960010,en,Walferdange,,,,,,
1957317,2960010,lb,Walfer,,,,,,
1957318,2960010,nl,Walferdange,,,,,,
1957319,2960010,pt,Walferdange,,,,,,
4219284,2960010,,Walferdange,,,,,,
13385832,2960010,post,L-7209,,,,,,
13385833,2960010,post,L-7220,,,,,,
13385834,2960010,post,L-7222,,,,,,
13385835,2960010,post,L-7224,,,,,,
13385836,2960010,post,L-7226,,,,,,
13385837,2960010,post,L-7238,,,,,,
13385838,2960010,post,L-7253,,,,,,
13385839,2960010,post,L-7256,,,,,,
13385840,2960010,post,L-7269,,,,,,
13385841,2960010,post,L-7274,,,,,,
13786663,2960010,unlc,LUWLF,,,,,,
1271164,2960011,,Waldsdorf,,,,,,
4219285,2960011,,Walsdorf,,,,,,
13385842,2960011,post,L-9465,,,,,,
1271165,2960012,,Blannenhof,,,,,,
1271166,2960012,,Waldhof,,,,,,
4219286,2960012,,Waldhaff,,,,,,
4219287,2960013,,Waldbredimus,,,,,,
13385843,2960013,post,L-5465,,,,,,
13385844,2960013,post,L-5466,,,,,,
4219288,2960014,,Waldbillig,,,,,,
13385845,2960014,post,L-7634,,,,,,
13385846,2960014,post,L-7680,,,,,,
13385847,2960014,post,L-7681,,,,,,
1271167,2960016,,Wahlhousen,,,,,,
2961059,2960016,link,https://en.wikipedia.org/wiki/Wahlhausen%2C_Luxembourg,,,,,,
4219289,2960016,,Wahlhausen,,,,,,
13385848,2960016,post,L-9841,,,,,,
1955847,2960017,pl,Wahl,,,,,,
1955848,2960017,fr,Wahl,,,,,,
1955849,2960017,de,Wahl,,,,,,
1955850,2960017,en,Wahl,,,,,,
1955851,2960017,lb,Wal,,,,,,
1955852,2960017,nl,Wahl,,,,,,
1955853,2960017,pt,Wahl,,,,,,
4219290,2960017,,Wahl,,,,,,
13385849,2960017,post,L-8818,,,,,,
13385850,2960017,post,L-8838,,,,,,
13786658,2960017,unlc,LUWAL,,,,,,
1271168,2960018,,Vogelsmule,,,,,,
1271169,2960018,,Vogelsmühle,,,,,,
1271170,2960018,,Vogelsmühl,,,,,,
4219291,2960018,,Vugelsmillen,,,,,,
1951503,2960019,pl,Vichten,,,,,,
1951504,2960019,fr,Vichten,,,,,,
1951505,2960019,de,Vichten,,,,,,
1951506,2960019,en,Vichten,,,,,,
1951507,2960019,lb,Viichten,,,,,,
1951508,2960019,nl,Vichten,,,,,,
