AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
276940,453729,,Virgulitsa,,,,,,
3600549,453729,,Virguļica,,,,,,
5716151,453729,,Viguliīca,,,,,,
5920309,453729,lv,Virguļica,,,,,,
11994291,453729,lv,Virgulica,,,,,,
276941,453730,,Belojes Ezers,,,,,,
276942,453730,,Baltezers,,,,,,
3600550,453730,,Baltais Ezers,,,,,,
277034,453747,,Gauja,,,,,,
277035,453747,,Aa,,,,,,
277036,453747,,Livländische Aa,,,,,,
277037,453747,,Koiva,,,,,,
277038,453747,,Treider Aa,,,,,,
277039,453747,,Aha,,,,,,
277040,453747,,Livonian Aa,,,,,,
277041,453747,,Giuja,,,,,,
277042,453747,,Gauya,,,,,,
3603427,453747,,Koiva Jõgi,,,,,,
5920314,453747,lv,Gauja,,,,,,
5920315,453747,et,Koiva Jõgi,,,,,,
6959574,453747,en,Gauja River,,,,,,
277090,453754,,Valmiera,,,,,,
277092,453754,,Valmeena,,,,,,
277093,453754,,Valmieras,,,,,,
277094,453754,,Valmera,,,,,,
277095,453754,,Wolmar,,,,,,
277096,453754,,Valmeera,,,,,,
277097,453754,,Vol'mar,,,,,,
1680242,453754,en,Valmiera,1,,,,,
1912429,453754,pl,Valmiera,,,,,,
1912430,453754,de,Valmiera,,,,,,
1912432,453754,et,Valmiera,,,,,,
1912433,453754,lt,Valmiera,,,,,,
1912434,453754,lv,Valmiera,,,,,,
1912435,453754,nds,Valmiera,,,,,,
1912436,453754,nl,Valmiera,,,,,,
1912437,453754,ru,Валмиера,,,,,,
1912438,453754,sv,Valmiera,,,,,,
1997077,453754,fr,Valmiera,,,,,,
1997078,453754,no,Valmiera,,,,,,
5702430,453754,link,https://en.wikipedia.org/wiki/Valmiera,,,,,,
8726181,453754,ar,فالميرا,,,,,,
8726182,453754,sgs,Valmėira,,,,,,
8726183,453754,be,Горад Валміера,,,,,,
8726184,453754,bg,Валмиера,,,,,,
8726188,453754,he,ולמירה,,,,,,
8726189,453754,ja,ヴァルミエラ,,,,,,
8726190,453754,ka,ვალმიერა,,,,,,
8726194,453754,kk,Валмиера,,,,,,
8726195,453754,ko,발미에라,,,,,,
8726196,453754,pa,ਵਾਲਮੀਰਾ,,,,,,
8726197,453754,sr,Валмијера,,,,,,
8726198,453754,uk,Валмієра,,,,,,
8726199,453754,zh,瓦爾米耶拉,,,,,,
11366153,453754,fa,والمیرا,,,,,,
11366154,453754,ur,والمیرا,,,,,,
13786815,453754,unlc,LVVIA,,,,,,
277098,453755,,Narishi,,,,,,
277099,453756,,Jaunzemi,,,,,,
3650204,453756,,Jaunzemji,,,,,,
277100,453757,,Jaunāmuiža,,,,,,
3650205,453757,,Burtnieki,,,,,,
277101,453758,,Grizhukrogs,,,,,,
3650206,453758,,Grīžukrogs,,,,,,
277102,453759,,Choleny,,,,,,
3650207,453759,,Čolēni,,,,,,
277103,453760,,Zvirgzdu Sala,,,,,,
277104,453760,,Zvirgzdu Island,,,,,,
3650208,453760,,Zvirgzdu Pussala,,,,,,
277105,453762,,Zvirgzdyn’sh,,,,,,
277106,453762,,Zvirgzdini,,,,,,
277107,453762,,Zvirgzdins,,,,,,
3650209,453762,,Zvirgzdiņu,,,,,,
11388667,453763,lv,Zviergzdines Ezers,,,,,,
11388668,453763,lv,Zvirgzdines Ezers,,,,,,
277108,453764,,Znirgzdene,,,,,,
3650210,453764,,Zvirgzdene,,,,,,
11388669,453764,,Zviergzdine,,,,,,
1759453,453766,en,Zvirgzde,,,,,,
1759454,453766,ru,Звиргзде,,,,,,
3650211,453766,,Zvirgzde,,,,,,
277109,453767,,Zvīrbul’,,,,,,
3650212,453767,,Zvirbuļi,,,,,,
13524436,453767,,Kalna Zvirbuļi,,,,,,
13140818,453769,lv,Zvidzienas Kanāls,,,,,,
13140819,453769,,Zvidzienas Kanālas,,,,,,
13290583,453771,lv,Lielais Purvs,,,,,,
13290584,453771,,Zvidzes Purvs,,,,,,
277110,453773,,Zverdova,,,,,,
277111,453773,,Zverzdova,,,,,,
277112,453773,,Zvezdovo,,,,,,
3650213,453773,,Zverzdovo,,,,,,
11388670,453773,,Zviergzdova,,,,,,
277113,453774,,Zvindelishkas,,,,,,
3650214,453774,,Zvendeniški,,,,,,
11840943,453774,,Zvindeļiški,,,,,,
277114,453775,,Zveyniyekligavas,,,,,,
277115,453775,,Zvejnieklīgavas,,,,,,
3650215,453775,,Kursīši,,,,,,
13599137,453775,,Kursiyeshi,,,,,,
13599138,453775,,Kursieši,,,,,,
277116,453776,,Zvaynek,,,,,,
277117,453776,,Zveynieki,,,,,,
3650216,453776,,Zvejnieki,,,,,,
277118,453777,,Zvejniekciems,,,,,,
277119,453777,,Stacija Zvejniekciems,,,,,,
277120,453777,,Ostanovochnyy Punkt Zveyniyektsiyems,,,,,,
3650217,453777,,Pieturas Punkts Zvejniekciems,,,,,,
277121,453778,,Zveyniyektsiyems,,,,,,
1714920,453778,en,Zvejniekciems,,,,,,
1714921,453778,ru,Звейниекциемс,,,,,,
3650218,453778,,Zvejniekciems,,,,,,
277122,453779,,Zvejas,,,,,,
277123,453779,,Zveyas,,,,,,
3650219,453779,,Zveji,,,,,,
277124,453783,,Myza Zvare,,,,,,
277125,453783,,Stacija Zvare,,,,,,
3650220,453783,,Zvāre,,,,,,
13670062,453786,,Zvani,,,,,,
13670063,453786,,Zvaiņi,,,,,,
277126,453787,,Zvajgznītes,,,,,,
277127,453787,,Zvaygznytes,,,,,,
3650221,453787,,Zvaigznītes,,,,,,
277128,453789,,Gailis,,,,,,
3650222,453789,,Zvaigzne,,,,,,
13524437,453789,,Gaiļi,,,,,,
277129,453790,,Svagveyeveri,,,,,,
277130,453790,,Zvagveri,,,,,,
3650223,453790,,Zvagvēveri,,,,,,
11263152,453791,lv,Zvaguļpurs,,,,,,
11263153,453791,,Zvaguļu Purvs,,,,,,
277131,453792,,Zvagļi,,,,,,
3650224,453792,,Zvaguļi,,,,,,
11263154,453794,,Zutene,,,,,,
11263155,453794,,Zuteņu Ezers,,,,,,
11263156,453794,,Ozoliņezers,,,,,,
277132,453795,,Myza Tsuteni,,,,,,
277133,453795,,Zutene,,,,,,
3650225,453795,,Zutēni,,,,,,
277134,453796,,Zušumuiža,,,,,,
3650226,453796,,Zuši,,,,,,
13636533,453797,,Bētiņu Ciems,,,,,,
13636534,453797,,Zuši,,,,,,
277135,453798,,Zushi,,,,,,
3650227,453798,,Zuši,,,,,,
277136,453799,,Zushi,,,,,,
3650228,453799,,Zuši,,,,,,
277137,453800,,Zushi,,,,,,
3650229,453800,,Zuši,,,,,,
13524438,453800,,Kalna Zuši,,,,,,
11388671,453801,lv,Zurzu Ezers,,,,,,
11388672,453801,,Zurzy Ezers,,,,,,
277138,453802,,Reka Zhurnika,,,,,,
3650230,453802,,Žurnika,,,,,,
5716805,453802,,Žurnikupe,,,,,,
11263157,453802,,Šķēde,,,,,,
277139,453803,,Zhuri,,,,,,
3650231,453803,,Žūri,,,,,,
13445200,453803,lv,Vecžūri,,,,,,
277140,453804,,Zhurtsin’as,,,,,,
3650232,453804,,Žurciņas,,,,,,
277141,453805,,Zūras,,,,,,
3650233,453805,,Stacija Zūras,,,,,,
277142,453806,,Myza Zuras,,,,,,
3650234,453806,,Zūras,,,,,,
277143,453811,,Zhulpas,,,,,,
3650235,453811,,Žulpas,,,,,,
277144,453812,,Spridishi,,,,,,
3650236,453812,,Zulleni,,,,,,
13499731,453813,lv,Žuldiņu Purvs,,,,,,
277145,453814,,Zhuldini,,,,,,
277146,453814,,Žuldiņu,,,,,,
3650237,453814,,Žuldiņi,,,,,,
13499732,453814,,Žuldiņas,,,,,,
5716806,453816,,Zviede,,,,,,
5716807,453816,,Zuiede,,,,,,
11263158,453816,,Renda,,,,,,
277147,453817,,Zhuburi,,,,,,
3650238,453817,,Žuburi,,,,,,
277148,453819,,Polumyza Zosula,,,,,,
277149,453819,,Zasolas Pusmuiža,,,,,,
3650239,453819,,Zosuļi,,,,,,
13290585,453819,,Zosuli,,,,,,
277150,453820,,Sosnas Ezers,,,,,,
277151,453820,,Ozero Zosna,,,,,,
3650240,453820,,Zosnas Ezers,,,,,,
277152,453822,,Zoseny,,,,,,
277153,453822,,Zosenu Muiža,,,,,,
1720382,453822,en,Zosēni,,,,,,
1720383,453822,ru,Зосени,,,,,,
3650241,453822,,Zosēni,,,,,,
277154,453823,,Zosa,,,,,,
3650242,453823,,Zasa,,,,,,
13391095,453823,,Zasas Muiža,,,,,,
13391096,453823,,Myza Zasa,,,,,,
277155,453824,,Zonepe,,,,,,
13599139,453825,,Zonapi,,,,,,
13599140,453825,,Zonepe,,,,,,
13599141,453825,,Zonepes,,,,,,
277156,453827,,Žagatas,,,,,,
277157,453827,,Zhogoty,,,,,,
277158,453827,,Žagati,,,,,,
277159,453827,,Žogoti,,,,,,
3650243,453827,,Žogotas,,,,,,
277160,453830,,Zhotsene,,,,,,
277161,453830,,Žocenes Ciems,,,,,,
3650244,453830,,Žocene,,,,,,
277162,453831,,Ozero Zobols,,,,,,
3650245,453831,,Zobuļu Ezers,,,,,,
277163,453832,,Zoby,,,,,,
3650246,453832,,Zobi,,,,,,
11994714,453832,,Veczobi,,,,,,
277164,453834,,Zhlyudzeny,,,,,,
277165,453834,,Žudzēni,,,,,,
3650247,453834,,Žļudzēni,,,,,,
11263159,453834,,Žļudzenes,,,,,,
277166,453835,,Myza Zlekas,,,,,,
277167,453835,,Zlēka,,,,,,
277168,453835,,Zlēka Muižas Centrs,,,,,,
3650248,453835,,Zlēkas,,,,,,
11388673,453837,,Sļadzeva,,,,,,
11388674,453837,,Žiževa,,,,,,
277169,453839,,Zizhas,,,,,,
3650249,453839,,Zīžas,,,,,,
277170,453840,,Zhivas,,,,,,
3650250,453840,,Žīvas,,,,,,
277171,453841,,Zirnyumuyzha,,,,,,
277172,453841,,Zirņumuiža,,,,,,
277173,453841,,Zirnenieki,,,,,,
3650251,453841,,Zirņi,,,,,,
13140820,453843,,Ziernaites,,,,,,
13140821,453843,,Zirnaites,,,,,,
277174,453844,,Bebrupe,,,,,,
3650252,453844,,Zirguvolka,,,,,,
11263160,453844,,Zirgvalks,,,,,,
277175,453846,,Zirgu Island,,,,,,
15535833,453846,wkdt,Q27485942,,,,,,
5645226,453847,lv,Zirga ezers,,,,,,
277176,453848,,Zyrgi,,,,,,
3650253,453848,,Zirgi,,,,,,
277177,453849,,Myza Ziras,,,,,,
277178,453849,,Zirasciems,,,,,,
277179,453849,,Zīra Muiza Centrs,,,,,,
277180,453849,,Zira,,,,,,
3650254,453849,,Ziras,,,,,,
277181,453850,,Ziluppe,,,,,,
277182,453850,,Zilupes,,,,,,
1757339,453850,en,Zilupe,,,,,,
1757340,453850,ru,Зилупе,,,,,,
2923546,453850,link,https://en.wikipedia.org/wiki/Zilupe,,,,,,
3650255,453850,,Zilupe,,,,,,
11629943,453850,ar,زيلوب,,,,,,
11629944,453850,sgs,Zilopė,,,,,,
11629945,453850,bg,Зилупе,,,,,,
11629946,453850,fa,زیلوپ,,,,,,
11629947,453850,kk,Зилупе,,,,,,
11629948,453850,lt,Zilupė,,,,,,
11629949,453850,ltg,Sīnuoja,,,,,,
11629950,453850,uk,Зілупе,,,,,,
11629951,453850,zh,濟盧佩,,,,,,
13786832,453850,unlc,LVZLP,,,,,,
277183,453851,,Zilyte,,,,,,
3650256,453851,,Zīlīte,,,,,,
13445201,453851,,Zīlītes,,,,,,
277184,453852,,Sējas,,,,,,
3650257,453852,,Ziliņi,,,,,,
277185,453853,,Zīles,,,,,,
3650258,453853,,Zīliņi,,,,,,
277186,453854,,Dome Berg,,,,,,
277187,453854,,Gori Ziliye-Kalny,,,,,,
277188,453854,,Domberg,,,,,,
277189,453854,,Blue Berg,,,,,,
277190,453854,,Bláubergen,,,,,,
3650259,453854,,Zilie Kalni,,,,,,
11263161,453854,,Zalis Kalni,,,,,,
11263162,453854,ru,Залис Кални,,,,,,
277191,453855,,Polumyza Zili,,,,,,
277192,453855,,Zīļi,,,,,,
277193,453855,,Zīle,,,,,,
277194,453855,,Zīļu Pusmuiža,,,,,,
3650260,453855,,Zīles,,,,,,
277195,453856,,Zilgalv’i,,,,,,
3650261,453856,,Zilgalvji,,,,,,
277196,453857,,Zilezers,,,,,,
277197,453857,,Siņeje,,,,,,
3650262,453857,,Ozero Sineye,,,,,,
11388675,453857,,Ozero Sinee,,,,,,
277198,453858,,Myza Ziles,,,,,,
3650263,453858,,Zīles,,,,,,
277199,453861,,Ziles,,,,,,
3650264,453861,,Zīle,,,,,,
7126655,453862,link,https://en.wikipedia.org/wiki/Z%C4%ABl%C4%81ni,,,,,,
277200,453863,,Stantsiya Zalaiskalns,,,,,,
277201,453863,,Zilaiskalns,,,,,,
3650265,453863,,Stacija Zilaiskalns,,,,,,
13524439,453863,,Zilākalna Stacija,,,,,,
277202,453864,,Zilayskalns,,,,,,
1693055,453864,en,Zilaiskalns,,,,,,
1693056,453864,ru,Зилайскалнс,,,,,,
3650266,453864,,Zilaiskalns,,,,,,
13786829,453864,unlc,LVZIL,,,,,,
277203,453865,,Zhiguri,,,,,,
277204,453865,,Žīguri,,,,,,
3650267,453865,,Stacija Žīguri,,,,,,
277205,453866,,Svences,,,,,,
277206,453866,,Teri,,,,,,
277207,453867,,Zhevalt,,,,,,
277208,453867,,Ževaldi,,,,,,
3650268,453867,,Žievalti,,,,,,
13524440,453868,lv,Ziemupe Mežs,,,,,,
277209,453869,,Ziyemupe,,,,,,
277210,453869,,Zemuppen Farm,,,,,,
277211,453869,,Ziemupes Muižas Centrs,,,,,,
277212,453869,,Ziemupes Muiža,,,,,,
3650269,453869,,Ziemupe,,,,,,
13499733,453870,,Ziemuļi,,,,,,
13499734,453870,,Ziemulis,,,,,,
277213,453871,,Myza Ziameris,,,,,,
277214,453871,,Ziyemeris,,,,,,
277215,453871,,Ziemeri,,,,,,
1728900,453871,en,Ziemeris,,,,,,
1728901,453871,ru,Зиемери,,,,,,
3650270,453871,,Ziemeris,,,,,,
277216,453874,,Ziyemeli,,,,,,
277217,453874,,Zemgaļi,,,,,,
3650271,453874,,Ziemeļi,,,,,,
277218,453875,,Ziyemeli,,,,,,
3650272,453875,,Ziemeļi,,,,,,
277219,453877,,Stacija Rinuži,,,,,,
277220,453877,,Ziyemel’blazma,,,,,,
277221,453877,,Ziemeļblāzma,,,,,,
277222,453877,,Stacija Ziemeļblāzma,,,,,,
3650273,453877,,Dzelzceļa Stacija Ziemeļblāzmas,,,,,,
7505857,453877,link,https://en.wikipedia.org/wiki/Zieme%C4%BCbl%C4%81zma_Station,,,,,,
277223,453878,,Ziedukalns,,,,,,
277224,453878,,Ziyedulakny,,,,,,
3650274,453878,,Ziedkalni,,,,,,
277225,453879,,Ziedoņi,,,,,,
3650275,453879,,Zīdėņi,,,,,,
13670064,453879,,Zīdeņi,,,,,,
277226,453880,,Berķene,,,,,,
277227,453880,,Zedkalne,,,,,,
277228,453880,,Lielberķene,,,,,,
3650276,453880,,Ziedkalne,,,,,,
277229,453881,,Stacija Ziediņi,,,,,,
277230,453881,,Ostanovochnyy Punkt Ziyedini,,,,,,
277231,453881,,Ziediņi,,,,,,
3650277,453881,,Pieturas Punkts Ziediņis,,,,,,
13670065,453883,,Jaunziediņi,,,,,,
13670066,453883,,Ziediņi,,,,,,
5716808,453885,,Ziede,,,,,,
5716809,453885,,Ziedene,,,,,,
277232,453886,,Židini,,,,,,
277233,453886,,Zhidina,,,,,,
1746356,453886,en,Židina,,,,,,
1746357,453886,ru,Жидино,,,,,,
3650278,453886,,Židina,,,,,,
11840944,453886,,Židieniškas,,,,,,
13391097,453887,,Jaunzīdeņi,,,,,,
13391098,453887,,Zīdeņi,,,,,,
277234,453888,,Borchova,,,,,,
3650279,453888,,Zibergova,,,,,,
11994715,453888,,Borkova,,,,,,
11662591,453889,lv,Zjazuļova,,,,,,
11662592,453889,,Zezuļeva,,,,,,
277235,453891,,Zety,,,,,,
3650280,453891,,Zeti,,,,,,
11263163,453891,,Zetes,,,,,,
277236,453892,,Slabada,,,,,,
277237,453892,,Zherkli-Sloboda,,,,,,
277238,453892,,Žerkļisloboda,,,,,,
3650281,453892,,Žerkļi,,,,,,
13140822,453892,,Žierkļi,,,,,,
277239,453894,,Myza Sentene,,,,,,
3650282,453894,,Zentene,,,,,,
277240,453895,,Zenyni,,,,,,
3650283,453895,,Zēniņi,,,,,,
277241,453896,,Zemtiči,,,,,,
3650284,453896,,Zemliči,,,,,,
13391099,453897,,Zemzari,,,,,,
13391100,453897,,Zemkas,,,,,,
277242,453899,,Myza Zemites,,,,,,
277243,453899,,Zemītes Muiža,,,,,,
