AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
25047,80501,,Om Zerem,,,,,,
3659301,80501,,Mudīrīyat Umm ar Rizam,,,,,,
25048,80502,,Martouba,,,,,,
3659303,80502,,Mudīrīyat Martūbah,,,,,,
25049,80503,,Limnias,,,,,,
25050,80503,,Limniades,,,,,,
25051,80503,,Limmiades,,,,,,
25052,80503,,Lamlúda,,,,,,
6535859,80503,,Lamlūdah,,,,,,
7186368,80503,link,https://en.wikipedia.org/wiki/Lamluda,,,,,,
25053,80504,,El Marj District,,,,,,
6535860,80504,,Mutaşarrifīyat al Marj,,,,,,
7551719,80504,link,https://en.wikipedia.org/wiki/Marj_District,,,,,,
25054,80505,,El Marj,,,,,,
6535861,80505,,Mudīrīyat al Marj,,,,,,
25055,80506,,Wadi ed Urejbat,,,,,,
25056,80506,,Wadi ed Dreibut,,,,,,
25057,80506,,Uàdi ed-Dreibát,,,,,,
25058,80506,,Wādī aḑ Ḑarbāt,,,,,,
6535863,80506,,Wādī aḑ Ḑuraybāt,,,,,,
25059,80507,,Bir al Adhem,,,,,,
3659307,80507,,Bi’r al ‘Uz̧aym,,,,,,
25060,80508,,Zuwaytinah,,,,,,
25061,80508,,Al-Zwaitina,,,,,,
25062,80508,,Zueitina,,,,,,
25063,80508,,Zuetina,,,,,,
3659308,80508,,Az Zuwaytīnah,,,,,,
25064,80509,,Bórdi Slemán,,,,,,
25065,80509,,Petras Maior,,,,,,
25066,80509,,Al Bardīyah,,,,,,
25067,80509,,Bardia,,,,,,
2920931,80509,link,https://en.wikipedia.org/wiki/Bardia,,,,,,
3659309,80509,,Bardīyah,,,,,,
7949506,80509,,بردية,,,,,,
13636587,80509,ar,البردية,,,,,,
13786843,80509,unlc,LYBAR,,,,,,
25068,80510,,Zayyānah,,,,,,
25069,80510,,Blue Lagoon,,,,,,
25070,80510,,Zeiána,,,,,,
25071,80510,,Ain Zainana,,,,,,
25072,80510,,Ain Zeiàna,,,,,,
25073,80510,,Ain Zeiana-el Coefia,,,,,,
6535865,80510,,‘Ayn Zayyānah,,,,,,
3115910,80511,,Bi’r Zūzāb,,,,,,
3115911,80511,,Bir Zuzeb,,,,,,
25074,80512,,Abiár Nehél,,,,,,
25075,80512,,Abiár ez Zueil,,,,,,
6535866,80512,,Ābār az Zuwayyil,,,,,,
25076,80514,,Trigh el Zueiya,,,,,,
25077,80514,,Trigh ez Zuéia,,,,,,
6535867,80514,,Ţarīq Zuwayyah,,,,,,
25078,80515,,Gur Zuéia,,,,,,
3659315,80515,,Qūr Zuwayyah,,,,,,
25079,80516,,Gabr el Zuela,,,,,,
25080,80516,,Gabr ez Zuéia,,,,,,
6535868,80516,,Qabr az Zuwayyah,,,,,,
25081,80517,,Ain Zueia,,,,,,
3659316,80517,,‘Ayn Zuwayyah,,,,,,
7949507,80517,,عين زوية,,,,,,
25082,80518,,Ras ez-Zúei,,,,,,
6535869,80518,,Ra’s az Zuwayy,,,,,,
