AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1150277,2461874,,Esmara,,,,,,
1150278,2461874,,Smar,,,,,,
1150279,2461874,,Smara,,,,,,
4368437,2461874,,Semara,,,,,,
5810385,2461874,link,https://en.wikipedia.org/wiki/Smara,,,,,,
7589157,2461874,fr,Es-Semara,,,,,,
7589158,2461874,bg,Смара,,,,,,
7589159,2461874,kk,Смара қаласы,,,,,,
7589160,2461874,fa,سماره,,,,,,
7589161,2461874,ko,스마라,,,,,,
7589162,2461874,et,Es-Smara,,,,,,
7589163,2461874,ar,السمارة,,,,,,
7589164,2461874,ja,スマラ,,,,,,
7589165,2461874,pl,Asmara,,,,,,
7589166,2461874,ru,Смара,,,,,,
7589167,2461874,sv,Es-Smara,,,,,,
7589168,2461874,zh,斯马拉,,,,,,
8067509,2461874,iata,SMW,,,,,,
11502285,2461874,he,סמארה,,,,,,
13286572,2461874,en,Smara,,,,,,
13786955,2461874,unlc,MASMW,,,,,,
1150902,2463161,,Aussert,,,,,,
1150903,2463161,,Aousred,,,,,,
1150904,2463161,,Ausserd,,,,,,
1150905,2463161,,Auserd,,,,,,
3221510,2463161,,Ausert,,,,,,
3221511,2463161,,Awsard,,,,,,
11286239,2463161,link,https://en.wikipedia.org/wiki/Aousserd,,,,,,
15215671,2498777,wkdt,Q27508586,,,,,,
15993571,2498777,,El Abed,,,,,,
12108600,2504252,,Hassi Brabar,,,,,,
12108601,2504252,,Hassi Beraber,,,,,,
1184047,2525825,,Oued el Garifa,,,,,,
1184048,2525825,,Oued Ayacha,,,,,,
1184049,2525825,,Rio Garifa,,,,,,
1184050,2525825,,Rio el Aisa,,,,,,
1184051,2525825,,Oued el Hakef,,,,,,
1184052,2525825,,Uad el Aiaxa,,,,,,
1184053,2525825,,Uad Aaiacha,,,,,,
1184054,2525825,,Uad Aiacha,,,,,,
1184055,2525825,,Río el Aiaxa,,,,,,
4688637,2525825,,Oued el Aïacha,,,,,,
1184056,2525826,,Oued el Tleta,,,,,,
3253806,2525826,,Oued et Tleta,,,,,,
1184057,2525828,,Hassi el Mreïr,,,,,,
4688638,2525828,,Hassi Kseïr,,,,,,
1184058,2525832,,Douar Zrok,,,,,,
4688639,2525832,,Zrok,,,,,,
1184059,2525834,,Douar Zri Ouled,,,,,,
1184060,2525834,,Zraoula,,,,,,
