AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
287972,469351,,Yalpuh,,,,,,
287973,469351,,Ialpugul,,,,,,
287974,469351,,Yalpukh,,,,,,
287975,469351,,Ialpugul Mare,,,,,,
287976,469351,,Yalpug,,,,,,
287977,469351,,Bol’shoy Yalpug,,,,,,
3722526,469351,,Ialpug,,,,,,
10646947,469351,ru,Большой Ялпуг,,,,,,
288109,469718,,Iagorlîk,,,,,,
288110,469718,,Yagorlyk,,,,,,
288111,469718,,Iagornik,,,,,,
3722749,469718,,Yahorlyk,,,,,,
10646948,469718,ru,Iagorlâc,,,,,,
10646949,469718,ru,Ягорлык,,,,,,
293257,481413,,Trostyanets,,,,,,
293258,481413,,Trostianec,,,,,,
293259,481413,,Trosyanets,,,,,,
3731160,481413,ro,Trostianeţ,,,,,,
10646952,481413,ro,Trossanec,,,,,,
10646953,481413,ru,Тростянец,,,,,,
300587,498678,uk,Sarata,,,,,,
300588,498678,,Serata,,,,,,
3760005,498678,ro,Sărata,,,,,,
10386611,498678,uk,Сарата,,,,,,
300891,499393,ro,Saca,,,,,,
300892,499393,,Arsa,,,,,,
300893,499393,ro,Seaca,,,,,,
3761659,499393,,Saka,,,,,,
11662733,499393,uk,Сака,,,,,,
307376,515347,,Vil’shanka,,,,,,
307377,515347,ru,Ol’shanka,,,,,,
3137504,515347,,Olşanka,,,,,,
3137505,515347,uk,Вільшанка,,,,,,
307694,516011,,Ocniţa,,,,,,
307695,516011,,Oknitsa,,,,,,
3137611,516011,,Viknytsya,,,,,,
3137612,516011,uk,Вікниця,,,,,,
3137613,516011,,Oknytsya,,,,,,
320876,546708,,Cogîlnic,,,,,,
320877,546708,,Kunduk,,,,,,
320878,546708,,Cohalnic,,,,,,
320879,546708,,Reka Kogylnik,,,,,,
320880,546708,,Cogâlnicul,,,,,,
320881,546708,,Kogil’nik,,,,,,
320882,546708,,Cogâlnic,,,,,,
3855308,546708,,Kohyl’nyk,,,,,,
10386617,546708,uk,Когильник,,,,,,
321614,548495,,Kyrhyzh-Kytay,,,,,,
321615,548495,,Kirgizh-Kitay,,,,,,
321616,548495,,Chirghiş Chitai,,,,,,
3858433,548495,,Kirghij-Kilai,,,,,,
10264859,548495,uk,Киргиж-Китай,,,,,,
322761,550839,,Hadjidere,,,,,,
322762,550839,,Khadzhider,,,,,,
3864003,550839,uk,Khodzhyder,,,,,,
10386618,550839,uk,Khadzhyder,,,,,,
10386619,550839,uk,Хаджидер,,,,,,
323798,553045,,Kaplan’,,,,,,
323799,553045,ro,Caplani,,,,,,
323800,553045,,Reka Kaplani,,,,,,
323801,553045,,Kaplany,,,,,,
3868678,553045,ro,Căplani,,,,,,
10386620,553045,uk,Kaplanka,,,,,,
10386621,553045,uk,Капланка,,,,,,
324142,553602,,Camenca,,,,,,
324143,553602,,Kamenka,,,,,,
324144,553602,,Kamienka,,,,,,
2924170,553602,link,https://en.wikipedia.org/wiki/Camenca_sub-district,,,,,,
3048545,553602,link,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%BA%D0%B0_%28%D0%9F%D0%9C%D0%A0%29,,,,,,
3142896,553602,,Kam”yanka,,,,,,
3142897,553602,uk,Кам’янка,,,,,,
328966,565888,,Nistru,,,,,,
328967,565888,,Dnister,,,,,,
328968,565888,,Tyras,,,,,,
328969,565888,,Dniester River,,,,,,
328970,565888,,Nistrul,,,,,,
328971,565888,,Dnestr,,,,,,
328972,565888,,Dnyestr,,,,,,
328973,565888,fr,Dniestr,,,,,,
328974,565888,el,Danastris,,,,,,
2920604,565888,link,https://en.wikipedia.org/wiki/Dniester,,,,,,
3048654,565888,link,https://ru.wikipedia.org/wiki/%D0%94%D0%BD%D0%B5%D1%81%D1%82%D1%80,,,,,,
3893929,565888,en,Dniester,,,,,,
6915540,565888,,Dniestr,,,,,,
8006389,565888,pt,Rio Dniestre,,,,,,
10386625,565888,uk,Дністер,,,,,,
330843,570100,,Chaga,,,,,,
330844,570100,,Čaga,,,,,,
3902751,570100,,Ceaga,,,,,,
10386627,570100,uk,Чага,,,,,,
331311,571227,,Bugeac,,,,,,
331312,571227,,Budzhyak,,,,,,
331313,571227,,Budzhakskaya Step’,,,,,,
3905351,571227,,Budzhak,,,,,,
372322,617029,,Zirneshty,,,,,,
372323,617029,,Zerneshty,,,,,,
372324,617029,,Zerneshti,,,,,,
372325,617029,,Zyrneshty,,,,,,
372326,617029,,Zărneşti,,,,,,
