AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1435675,3513945,,Pointe Babil,,,,,,
1435676,3513945,,Babil Punt,,,,,,
4224280,3513945,,Babit Point,,,,,,
15548220,3513945,wkdt,Q27572625,,,,,,
1455828,3578297,,Ile Chaloupe,,,,,,
1455829,3578297,,Île Charlotte,,,,,,
1455830,3578297,,Green Cay,,,,,,
4330385,3578297,,Caye Verte,,,,,,
1455848,3578339,,Îlot Tintamarre,,,,,,
1455849,3578339,,Îlot Tintamare,,,,,,
4330396,3578339,,Île Tintamarre,,,,,,
5580384,3578339,link,https://en.wikipedia.org/wiki/%C3%8Ele_Tintamarre,,,,,,
1455850,3578346,,Peninsula des Terres Basses,,,,,,
4330397,3578346,,Péninsule des Terres Basses,,,,,,
1455877,3578382,,Grand Étang de Simsonbaai,,,,,,
1455878,3578382,,Lac Simson's Bay,,,,,,
1455879,3578382,,Lac Simson,,,,,,
1455880,3578382,,Simson Baai Lagoen,,,,,,
1455881,3578382,,Étang de Simpson,,,,,,
1455882,3578382,,Simsons-Lagune,,,,,,
1455883,3578382,,Lac Simpson,,,,,,
1455884,3578382,,Lagon Simson,,,,,,
1455885,3578382,,Simson Baai Lagoon,,,,,,
7512005,3578419,link,https://en.wikipedia.org/wiki/Arrondissement_of_Saint-Martin-Saint-Barth%C3%A9lemy,,,,,,
8554664,3578419,,Arrondissement de Saint-Martin-Saint-Barthélemy,,,,,,
1455895,3578420,en,Grand Case Airport,,,,,,
2428246,3578420,icao,TFFG,,,,,,
2428247,3578420,iata,SFG,,,,,,
5884736,3578420,link,https://en.wikipedia.org/wiki/L%27Esp%C3%A9rance_Airport,,,,,,
8146285,3578420,iata,CCE,,,,1,,
8146287,3578420,en,Grand Case - L'Espérance Airport,,,,,,
12776460,3578420,fr,Aéroport de Grand Case - L'Espérance,,,,,,
13787048,3578420,unlc,MFSFG,,,,,,
2421386,3578421,en,Saint Martin,1,,,,,
2426807,3578421,ru,Сен-Мартен,,,,,,
2426923,3578421,nl,Eilandgebied Sint Maarten,,,,,,
2426924,3578421,fr,Collectivité de Saint-Martin,,,,,,
2430941,3578421,it,Saint-Martin,,,,,,
2430942,3578421,pt,São Martinho,,,,,,
2430943,3578421,de,Saint-Martin,,,,,,
2430944,3578421,es,Isla de San Martín,,,,,,
2728369,3578421,fr,Saint-Martin,,1,,,,
3075099,3578421,bg,Сен Мартен,,,,,,
3075870,3578421,link,https://en.wikipedia.org/wiki/Saint_Martin_(France),,,,,,
6768931,3578421,en,St Martin,,,,,,
6910483,3578421,pl,Sint Maarten,,,,,,
6910484,3578421,pl,Saint-Martin,,,,,,
6998110,3578421,uk,Сен-Мартен,,,,,,
7088647,3578421,af,Sint Martin,1,,,,,
7088648,3578421,am,ሴንት ማርቲን,1,,,,,
7088649,3578421,ar,سانت مارتين,1,,,,,
7088650,3578421,az,Seynt Martin,1,,,,,
7088651,3578421,bg,Сейнт Мартин,1,,,,,
7088652,3578421,bn,সেন্ট মার্টিন,1,,,,,
7088653,3578421,br,Saint Martin,1,,,,,
7088654,3578421,bs,Sv. Martin,1,,,,,
7088655,3578421,ca,Saint Martin,1,,,,,
7088656,3578421,cs,Svatý Martin,1,,,,,
7088657,3578421,da,Saint Martin,1,,,,,
7088658,3578421,de,St. Martin,1,,,,,
7088659,3578421,ee,Saint Martin nutome,1,,,,,
7088660,3578421,el,Άγιος Μαρτίνος,1,,,,,
7088661,3578421,es,San Martín,1,,,,,
7088662,3578421,et,Saint Martin,1,,,,,
7088663,3578421,eu,Saint Martin,1,,,,,
7088664,3578421,fa,سنت مارتین,1,,,,,
7088665,3578421,fi,Saint-Martin,1,,,,,
7088666,3578421,fo,Saint Martin,1,,,,,
7088667,3578421,gl,San Martiño,1,,,,,
7088668,3578421,gu,સેંટ માર્ટિન,1,,,,,
7088669,3578421,he,סנט מרטין,1,,,,,
7088670,3578421,hi,सेंट मार्टिन,1,,,,,
7088671,3578421,hr,Sveti Martin,1,,,,,
7088672,3578421,hu,Saint Martin,1,,,,,
7088673,3578421,id,Saint Martin,1,,,,,
7088674,3578421,is,Saint Martin,1,,,,,
7088675,3578421,it,Saint Martin,1,,,,,
7088676,3578421,ja,仏領サン・マルタン,1,,,,,
7088677,3578421,kl,Saint Martin,1,,,,,
7088678,3578421,kn,ಸೇಂಟ್ ಮಾರ್ಟಿನ್,1,,,,,
7088679,3578421,ko,생 마르탱,1,,,,,
7088680,3578421,lt,Saint-Martin,1,,,,,
7088681,3578421,lv,Senmartēna,1,,,,,
7088682,3578421,mk,Сент Мартин,1,,,,,
7088683,3578421,ml,സെന്‍റ് മാര്‍ട്ടിന്‍,1,,,,,
7088684,3578421,mr,सेंट मार्टिन,1,,,,,
7088685,3578421,ms,Saint Martin,1,,,,,
7088686,3578421,my,စိန့်မာတင်,1,,,,,
7088687,3578421,nb,Saint Martin,1,,,,,
7088688,3578421,ne,सेन्ट मार्टिन,1,,,,,
7088689,3578421,nl,Sint-Maarten,1,,,,,
7088690,3578421,nn,Saint Martin,1,,,,,
7088691,3578421,or,ସେଣ୍ଟ ମାର୍ଟିନ୍,1,,,,,
7088692,3578421,rm,Saint Martin,1,,,,,
7088693,3578421,ro,Sfântul Martin,1,,,,,
7088694,3578421,ru,Остров Святого Мартина,1,,,,,
7088695,3578421,se,Saint Martin,1,,,,,
7088696,3578421,sk,Svätý Martin,1,,,,,
7088697,3578421,sl,Saint Martin,1,,,,,
7088698,3578421,sr,Сент Мартин,1,,,,,
7088699,3578421,sv,S:t Martin,1,,,,,
7088700,3578421,sw,Saint Martin,1,,,,,
7088701,3578421,ta,செயின் மார்டீன்,1,,,,,
7088702,3578421,te,సెంట్ మార్టిన్,1,,,,,
7088703,3578421,th,เซนต์มาติน,1,,,,,
7088704,3578421,to,Seini Matini,1,,,,,
7088705,3578421,tr,Saint Martin,1,,,,,
7088706,3578421,uk,Острів Святого Мартіна,1,,,,,
7088707,3578421,ur,سینٹ مارٹن,1,,,,,
7088708,3578421,zh,圣马丁,1,,,,,
7088709,3578421,zu,i-Saint Martin,1,,,,,
8103229,3578421,en,Saint Martin (French Part),,,,,,
8513285,3578421,fr,Saint-Martin (Antilles françaises),1,,,,,
10379387,3578421,link,http://id.loc.gov/authorities/names/no2008109008,,,,,,
10379388,3578421,en,Saint-Martin Collectivity,,,,,,
11261987,3578421,ar,سانت مارتن,,,,,,
12187548,3578421,post,97150,,,,,,
1455896,3578422,,Sint Maarten,,,,,,
1455897,3578422,,Île Saint-Martin,,,,,,
1455898,3578422,,Sint Martijn,,,,,,
1455899,3578422,,Sint Martin,,,,,,
1986184,3578422,fr,Saint-Martin,,,,,,
1986185,3578422,de,Saint-Martin,,,,,,
1986186,3578422,en,Saint Martin,,,,,,
1986187,3578422,es,Isla de San Martín,,,,,,
1986188,3578422,pl,Sint Maarten,,,,,,
1986189,3578422,an,Isla de San Martín,,,,,,
1986190,3578422,bg,Синт Мартен,,,,,,
1986191,3578422,br,Sant-Martin,,,,,,
1986192,3578422,ca,Sint Maarten,,,,,,
1986193,3578422,cs,Svatý Martin,,,,,,
1986194,3578422,eo,Sint Maarten,,,,,,
1986195,3578422,et,Saint-Martin,,,,,,
1986196,3578422,fi,Saint-Martin,,,,,,
1986197,3578422,he,סן מרטן,,,,,,
1986198,3578422,it,Saint Martin,,,,,,
1986199,3578422,ja,セント・マーチン島,,,,,,
1986200,3578422,ko,세인트마틴 섬,,,,,,
1986201,3578422,lb,Saint Martin,,,,,,
1986202,3578422,nl,Sint-Maarten,,,,,,
1986203,3578422,no,Saint Martin,,,,,,
1986204,3578422,pt,Saint Martin,,,,,,
1986205,3578422,ro,Insula Sfântul Martin,,,,,,
1986206,3578422,ru,Остров Святого Мартина,,,,,,
1986207,3578422,sk,Saint Martin,,,,,,
1986208,3578422,sv,Saint Martin,,,,,,
1986209,3578422,tr,Ermiş Martin,,,,,,
1986210,3578422,zh,圣马丁岛,,,,,,
2920808,3578422,link,https://en.wikipedia.org/wiki/Saint_Martin,,,,,,
3056557,3578422,link,https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D1%82-%D0%9C%D0%B0%D0%B0%D1%80%D1%82%D0%B5%D0%BD,,,,,,
8146326,3578422,iata,SFG,,,,,,
13385432,3578422,en,St Martin,1,,,,,
15355495,3578422,wkdt,Q25596,,,,,,
13702175,3578434,fr,Saint-James,,,,,,
13702176,3578480,fr,Anse des Sables,,,,,,
4330437,3578504,,Baie Rouge,,,,,,
4330438,3578504,,Baie Rogue,,,,,,
1455943,3578511,,Montagne Ronde,,,,,,
1455944,3578511,,Colline Ronde,,,,,,
4330442,3578511,,Morne Rond,,,,,,
13702178,3578544,fr,Rambaud,,,,,,
1455958,3578556,,Colombier,,,,,,
1455959,3578556,,Quartier de Colombier,,,,,,
4330450,3578556,,Quartier du Colombier,,,,,,
1455960,3578557,,Orléans,,,,,,
4330451,3578557,,Quartier d’Orléans,,,,,,
1455963,3578559,,Quartier de la Grande Case,,,,,,
4330452,3578559,,Quartier de Grand’ Case,,,,,,
13702181,3578574,fr,Baie de la Potence,,,,,,
13702182,3578588,fr,Étang aux Poissons,,,,,,
1455986,3578603,,Pointe aux Prunes,,,,,,
4330467,3578603,,Pointe Plum,,,,,,
1455994,3578619,,Île de la Carrière,,,,,,
1455995,3578619,,Île Pinels,,,,,,
1455996,3578619,,Île La Barrière,,,,,,
3059296,3578619,en,Pinel Island,,,,,,
13702183,3578657,fr,Petites Cayes,,,,,,
1456027,3578713,,Le Paradis,,,,,,
1456028,3578713,,Pic de Paradis,,,,,,
3059295,3578713,,Pic Paradis,,,,,,
5713213,3578713,link,https://en.wikipedia.org/wiki/Pic_Paradis,,,,,,
1456037,3578730,,Baie d’Orléans,,,,,,
4330497,3578730,,Baie Orientale,,,,,,
1456038,3578731,,Saline Fisch,,,,,,
1456039,3578731,,Saline Fish,,,,,,
4330498,3578731,,Salines d’Orient,,,,,,
4330499,3578731,,Saline d’Orient,,,,,,
