AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
544113,1053383,,Tomboatrava,,,,,,
4639414,1053383,,Tambohantrova,,,,,,
544114,1053384,,Tamatave,,,,,,
1604851,1053384,de,Toamasina,,,,,,
1604852,1053384,en,Toamasina,,,,,,
1604853,1053384,fr,Toamasina,,,,,,
1604854,1053384,it,Toamasina,,,,,,
1604855,1053384,nl,Toamasina,,,,,,
1604856,1053384,no,Toamasina,,,,,,
1604857,1053384,pl,Toamasina,,,,,,
1655625,1053384,sv,Toamasina,,,,,,
1655626,1053384,zh-CN,图阿马西纳,,,,,,
1917080,1053384,et,Toamasina,,,,,,
2000159,1053384,mg,Toamasina,,,,,,
2930055,1053384,link,https://en.wikipedia.org/wiki/Toamasina,,,,,,
3038772,1053384,ru,Туамасина,,,,,,
4639415,1053384,,Toamasina,,,,,,
8065975,1053384,iata,TMM,,,,,,
9339001,1053384,el,Τοαμασίνα,,,,,,
9339002,1053384,he,טומאסינה,,,,,,
9339003,1053384,ja,トゥアマシナ,,,,,,
9339004,1053384,ko,토아마시나,,,,,,
9339005,1053384,mn,Туамасина,,,,,,
9339006,1053384,sr,Тоамасина,,,,,,
9339007,1053384,uk,Туамасіна,,,,,,
9339008,1053384,zh,图阿马西纳,,,,,,
11355974,1053384,ka,ტუამასინა,,,,,,
11355975,1053384,ur,تواماسینا,,,,,,
13787093,1053384,unlc,MGTMM,,,,,,
13787095,1053384,unlc,MGTOA,,,,,,
544115,1053385,,Samoro,,,,,,
4639416,1053385,,Sahamoro,,,,,,
544116,1053386,,Namatoana-Antanambao,,,,,,
4639417,1053386,,Tanambao-Namantoana,,,,,,
544117,1053387,,Morarano,,,,,,
4639418,1053387,,Morarano-Gara,,,,,,
544118,1053388,,Midongy Ouest,,,,,,
544119,1053388,,Midongy,,,,,,
4639419,1053388,,Midongy Nord,,,,,,
544120,1053389,,Marovoho,,,,,,
4639420,1053389,,Marovoha,,,,,,
544121,1053390,,Maremiandra,,,,,,
4639421,1053390,,Maromiandry,,,,,,
544122,1053391,,Mahavelo,,,,,,
4639422,1053391,,Mahavelona,,,,,,
544123,1053392,,Mafaimbony,,,,,,
4639423,1053392,,Mafaibony,,,,,,
544124,1053393,,Ianakaly,,,,,,
4639424,1053393,,Ianakafy,,,,,,
7170042,1053393,link,https://en.wikipedia.org/wiki/Ianakafy,,,,,,
544125,1053394,,Fenoarivo,,,,,,
4639425,1053394,,Fenoarivo Nord,,,,,,
544126,1053395,,Fenoarivo,,,,,,
4639426,1053395,,Fenoarivo-Kivavaho,,,,,,
544127,1053396,,Betanimena,,,,,,
544128,1053396,,Mitsinjo,,,,,,
4639427,1053396,,Mitsinjo-Betanimena,,,,,,
544129,1053397,,Beantamaharamay,,,,,,
4639428,1053397,,Betaramahamay,,,,,,
544130,1053398,,Antanimavo,,,,,,
4639429,1053398,,Antonimavo,,,,,,
544131,1053399,,Rivière Anjangona,,,,,,
4639430,1053399,,Ambatolampy,,,,,,
544132,1053400,,Ambondrombe,,,,,,
4639431,1053400,,Ambondrobe,,,,,,
544133,1053402,,Forêt de Zombitsy,,,,,,
4639432,1053402,,Alan’ i Zombitsy,,,,,,
544134,1053406,,Tsimandao,,,,,,
4639433,1053406,,Zomandao,,,,,,
11298414,1053406,link,https://en.wikipedia.org/wiki/Zomandao_River,,,,,,
544135,1053407,,Anjoma,,,,,,
544136,1053407,,Zoma,,,,,,
4639434,1053407,,Zoma-Bealoka,,,,,,
544137,1053410,,Zelee Bank,,,,,,
4639435,1053410,,Banc de la Zélée,,,,,,
544138,1053412,,Zaxafotsy,,,,,,
