AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
427909,718075,,Peoples Republic of Macedonia,,,,,,
427911,718075,,Socialist Republic of Macedonia,,,,,,
1561587,718075,af,Macedonië,,,,,,
1561588,718075,am,ማከዶኒያ,,,,,,
1561589,718075,ar,مقدونيا,,,,,,
1561590,718075,bg,"Македония, Република",,,,,,
1561591,718075,ca,Macedònia,1,1,,,,
1561592,718075,cs,Macedonia,,,,,,
1561593,718075,cy,Macedonia,,,,,,
1561594,718075,da,Republikken Makedonien,,,,,,
1561595,718075,de,Mazedonien,,,,,,
1561596,718075,el,ΠΓΔ Μακεδονίας,,,,,,
1561597,718075,en,Macedonia (FYR),,,1,,,
1561598,718075,eo,Makedonujo,,,,,,
1561599,718075,es,Macedonia,,1,,,,
1561600,718075,et,Makedoonia Vabariik,,,,,,
1561601,718075,eu,Mazedonia,,,,,,
1561602,718075,fa,مقدونیه,,,,,,
1561603,718075,fi,Makedonia,1,,,,,
1561604,718075,fo,Makedónia,,,,,,
1561605,718075,fr,Macédoine,1,1,,,,
1561606,718075,ga,An Mhacadóin,,,,,,
1561607,718075,he,מקדוניה,,,,,,
1561608,718075,hi,मैसेडोनिया,,,,,,
1561609,718075,hr,"Makedonija, Republika",,,,,,
1561610,718075,hu,"Macedónia, Köztársaság",,,,,,
1561611,718075,hy,Մակեդոնիա,,,,,,
1561612,718075,id,Macedonia,,,,,,
1561613,718075,is,Makedónía,,,,,,
1561614,718075,it,"Macedonia, Repubblica",,,,,,
1561615,718075,ja,マケドニア,,,,,,
1561616,718075,ka,მაკედონია,,,,,,
1561617,718075,km,ម៉ាសេដន,,,,,,
1561618,718075,ko,마케도니아,,1,,,,
1561619,718075,lo,ແມຊິໂຄເນຍ,,,,,,
1561620,718075,lt,Makedonija,,,,,,
1561621,718075,lv,Maķedonija,,,,,,
1561622,718075,mk,Македонија,,,,,,
1561623,718075,ms,Macedonia,,,,,,
1561624,718075,mt,Maċedonja,,,,,,
1561625,718075,nb,Makedonia,1,,,,,
1561626,718075,nl,"Macedonië, Republiek",,,,,,
1561627,718075,nn,Makedonia,1,,,,,
1561628,718075,pl,"Macedonia, Republika",,,,,,
1561629,718075,pt,"Macedônia, República da",,,,,,
