AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1090420,2253519,,Boutou,,,,,,
1090421,2253519,,Bountou Malinke,,,,,,
1090422,2253519,,Bontou,,,,,,
4105722,2253519,,Bountou,,,,,,
2530939,2353961,,Vendo Ména,,,,,,
4221667,2353961,,Véndou Ména,,,,,,
1120230,2357076,,Ukulu,,,,,,
1120231,2357076,,Oukoulou,,,,,,
4222181,2357076,,Okoulourou,,,,,,
7952254,2357076,,Oukoulourou,,,,,,
1120313,2357400,,Banifing,,,,,,
4222240,2357400,,Ngorolaka,,,,,,
7952257,2360690,,Gaïkindé,,,,,,
7952258,2360690,,Gakindé,,,,,,
2360389,2381685,,’Aklé,,,,,,
4306710,2381685,,Aklé,,,,,,
1140126,2438540,,Titabantaben,,,,,,
4359060,2438540,,Titabantabene,,,,,,
15319337,2438540,wkdt,Q27689301,,,,,,
1144107,2448254,,Elb Zrah,,,,,,
4363046,2448254,,’Elb Zra’,,,,,,
1144108,2448255,,Zouiat,,,,,,
4363047,2448255,,Zouyat,,,,,,
1144109,2448258,,Adrar in Zoulehe,,,,,,
1144110,2448258,,Adrar-in-Zula,,,,,,
4363048,2448258,,Adrar I-n-Zouleh,,,,,,
7876557,2448258,,Adrar In Zouleh,,,,,,
15527508,2448258,wkdt,Q27689298,,,,,,
1590,2448267,,Zogue,,,,,,
1144111,2448267,,Zogoué,,,,,,
4363049,2448267,,Zokwé,,,,,,
2536220,2448270,,Zog Zogui,,,,,,
4363050,2448270,,Zog Zogi,,,,,,
1144113,2448273,,N’Zarfika,,,,,,
2536221,2448273,,Zogofina,,,,,,
4363051,2448273,,Zokofina,,,,,,
1144114,2448275,,Zmeïet Azor,,,,,,
4363052,2448275,,Zmeyet Azor,,,,,,
15086117,2448275,wkdt,Q27689295,,,,,,
1144115,2448278,,Ziranikoro,,,,,,
1144116,2448278,,Siraninkoro,,,,,,
4363053,2448278,,Sidiankoro,,,,,,
1144117,2448282,,Cinzana,,,,,,
4363054,2448282,,Zinzana,,,,,,
7542110,2448282,link,https://en.wikipedia.org/wiki/Cinzana,,,,,,
1144118,2448283,,Zangou,,,,,,
4363055,2448283,,Zinkou,,,,,,
1144119,2448285,,Zigasso,,,,,,
1144120,2448285,,Zignasso,,,,,,
1144121,2448285,,Ziguasso,,,,,,
4363056,2448285,,Ziniasso,,,,,,
2536222,2448286,,Zingim,,,,,,
4363057,2448286,,Zinguim,,,,,,
2536223,2448290,,Zimanso,,,,,,
4363058,2448290,,Zimansso,,,,,,
1144123,2448291,,Zigril,,,,,,
1834714,2448291,,Zigzill,,,,,,
4363059,2448291,,Zigzil,,,,,,
2360617,2448293,,Ânou Zigrene,,,,,,
4363060,2448293,,Hanouzigrèn,,,,,,
1144125,2448294,,Zenguila,,,,,,
2536224,2448294,,Zigouéla,,,,,,
4363061,2448294,,Zégouéla,,,,,,
1144126,2448295,,Giesso,,,,,,
4363062,2448295,,Zièsso,,,,,,
1144127,2448296,,Jina,,,,,,
1144128,2448296,,Zina,,,,,,
4363063,2448296,,Ziéna,,,,,,
7534655,2448296,link,https://en.wikipedia.org/wiki/Ziena,,,,,,
1144129,2448300,,Zanangolodougou,,,,,,
4363064,2448300,,Ziangolodougou,,,,,,
1144130,2448301,,Zako,,,,,,
4363065,2448301,,Ziako,,,,,,
1144131,2448302,,Ezgeret,,,,,,
1144132,2448302,,Zgarat,,,,,,
1144133,2448302,,Oued Zgereth,,,,,,
4363066,2448302,,Zgarèt,,,,,,
4363067,2448303,fr,Zéta,,,,,,
1144134,2448306,,Zérita,,,,,,
4363068,2448306,,Zérila,,,,,,
1144135,2448310,,Zenzane,,,,,,
4363069,2448310,,Zenzana,,,,,,
1144136,2448311,,Zignébougou,,,,,,
2536225,2448311,fr,Zéniébougou,,,,,,
4363070,2448311,,Zinyébougou,,,,,,
6130367,2448311,fr,Zignébougou,,,,,,
6130368,2448311,,Zéniébougou,,,,,,
1144137,2448313,,Dempiéla,,,,,,
1144138,2448313,,Zenpiéla,,,,,,
2536226,2448313,fr,Zempiéla,,,,,,
4363071,2448313,,Zampiéla,,,,,,
6130369,2448313,fr,Zenpiéla,,,,,,
6130370,2448313,,Zempiéla,,,,,,
6130371,2448313,fr,Dempiéla,,,,,,
1144139,2448314,,Kheb-in-Zemm,,,,,,
4363072,2448314,,Kreb I-n-Zemm,,,,,,
15625360,2448314,wkdt,Q27689292,,,,,,
1144140,2448318,,Nzéguéré,,,,,,
4363073,2448318,,Zéguéré,,,,,,
1144141,2448320,,Zigúena,,,,,,
4363074,2448320,,Zéguéna,,,,,,
1144142,2448321,,Zéguédougou,,,,,,
1144143,2448321,,Zeguedugu,,,,,,
4363075,2448321,,Zéguédou,,,,,,
1144144,2448322,,Zegua,,,,,,
1144145,2448322,,Zékoua,,,,,,
4363076,2448322,,Zégoua,,,,,,
7521534,2448322,link,https://en.wikipedia.org/wiki/Z%C3%A9goua,,,,,,
1144146,2448323,,Iracher Ichaggaren,,,,,,
1144147,2448323,,Iracher Zeggerene,,,,,,
1144148,2448323,,Oued Iracher Zeggerene,,,,,,
1144149,2448323,,Iracher Zeggeren,,,,,,
1144150,2448323,,Oued Iracher Zeggueren,,,,,,
1144151,2448323,,Iracher Zergueren,,,,,,
1144152,2448323,,Iracher Zeggueren,,,,,,
1144153,2448323,,Iracher Zegueren,,,,,,
1144154,2448323,,Iracher Zaggarène,,,,,,
1960738,2448323,,Irhacher Zegguerene,,,,,,
4363077,2448323,,Ighacher Zeggueghene,,,,,,
1144155,2448324,,Zébal,,,,,,
4363078,2448324,,Zébat,,,,,,
7512124,2448325,link,https://en.wikipedia.org/wiki/Z%C3%A9bala,,,,,,
7567172,2448325,,Zébala,,,,,,
1144156,2448326,,Zansona,,,,,,
4363079,2448326,fr,Zazouna,,,,,,
6130373,2448326,fr,Zansona,,,,,,
1144157,2448328,,Zarma,,,,,,
2360618,2448328,,Zarhma,,,,,,
4363080,2448328,,Zaghma,,,,,,
1144158,2448329,,Zarah Fiat,,,,,,
4363081,2448329,,Zara Fiat,,,,,,
1144159,2448330,,Oued Ti-n-Zaouatene,,,,,,
1144160,2448330,,Tin Zaouaten,,,,,,
1144161,2448330,,Oued tin Zaouaten,,,,,,
1144162,2448330,,Tin Zaouatene,,,,,,
1144163,2448330,,Ti-n-Zaouatene,,,,,,
1144165,2448331,,Adrar Tin Zaouaten,,,,,,
4363082,2448331,,Adrar Ti-n-Zaouâtene,,,,,,
1144166,2448332,,Sansoni,,,,,,
1144167,2448332,,Zangoni,,,,,,
1144168,2448332,,Zanssoni,,,,,,
4363083,2448332,,Zanzouni,,,,,,
1144169,2448333,,Sanfaléna,,,,,,
1144170,2448333,,Zanfaléna,,,,,,
4363084,2448333,,Zanvaléna,,,,,,
1144171,2448334,,Zantoumana,,,,,,
4363085,2448334,,Zantoumala,,,,,,
1144172,2448335,,Zanton-Ziasso,,,,,,
4363086,2448335,,Zantonsiasso,,,,,,
1144173,2448336,,Antona,,,,,,
1144174,2448336,,Zantoma,,,,,,
4363087,2448336,,Zantona,,,,,,
7193979,2448338,link,https://en.wikipedia.org/wiki/Zanti%C3%A9bougou,,,,,,
7324170,2448338,,Zantiébougou,,,,,,
1144175,2448339,,Zanao,,,,,,
4363088,2448339,,Zansoni,,,,,,
7173919,2448339,link,https://en.wikipedia.org/wiki/Zansoni,,,,,,
15529322,2448339,wkdt,Q8066264,,,,,,
1144176,2448340,,Nansogona,,,,,,
4363089,2448340,,Zansogona,,,,,,
13654269,2448345,link,https://en.wikipedia.org/wiki/Zani%C3%A9na,,,,,,
13672685,2448345,,Zaniéna,,,,,,
1144177,2448347,,Zandiéla,,,,,,
4363091,2448347,,Zaniéla,,,,,,
1144178,2448349,,Zonia,,,,,,
4363092,2448349,,Zaniakani,,,,,,
1144179,2448350,,Zangéna,,,,,,
1144180,2448350,,Zanguéna,,,,,,
4363093,2448350,,Zanguénabougou,,,,,,
2536227,2448351,,Zanguébougou,,,,,,
4363094,2448351,,Zankèbougou,,,,,,
1144182,2448352,,Néguéssambougou,,,,,,
4363095,2448352,,Zanguébougou,,,,,,
2536228,2448356,fr,Zangouala,,,,,,
4363096,2448356,,Zangoula,,,,,,
6130376,2448356,,Zangouala,,,,,,
2536229,2448358,,Zangorabougou,,,,,,
4363097,2448358,,Zangourabougou,,,,,,
2536230,2448359,,Zangasso,,,,,,
4363098,2448359,,Sangasso,,,,,,
7490870,2448361,link,https://en.wikipedia.org/wiki/Zangaradougou,,,,,,
7567173,2448361,,Zangaradougou,,,,,,
1144184,2448364,,Ravina,,,,,,
4363099,2448364,fr,Zanfina,,,,,,
6130377,2448364,fr,Ravina,,,,,,
4363100,2448365,fr,Zanférébougou,,,,,,
7519949,2448365,link,https://en.wikipedia.org/wiki/Zanf%C3%A9r%C3%A9bougou,,,,,,
4363101,2448369,fr,Zanbougou,,,,,,
2536231,2448370,,Zanbougou,,,,,,
4363102,2448370,,Zambougou,,,,,,
2536232,2448371,,Zanbougou,,,,,,
4363103,2448371,,Zambougou,,,,,,
4363104,2448372,fr,Zanbougou,,,,,,
1144185,2448373,,Zanbougou,,,,,,
2536233,2448373,,Zanbougou Djonkala,,,,,,
4363105,2448373,,Zambougou Dionkala,,,,,,
4363106,2448374,fr,Zanbougou,,,,,,
4363107,2448377,fr,Zanbilala,,,,,,
4363108,2448378,fr,Zanbala,,,,,,
1144186,2448379,,Zabadiana,,,,,,
4363109,2448379,fr,Zanbadyana,,,,,,
6130378,2448379,fr,Zabadiana,,,,,,
1144187,2448383,,Nzana,,,,,,
4363110,2448383,,Zana,,,,,,
4363111,2448385,fr,Zana,,,,,,
4363112,2448386,fr,Zana,,,,,,
1144188,2448387,,Safa,,,,,,
4363113,2448387,fr,Zana,,,,,,
6130379,2448387,fr,Safa,,,,,,
1144189,2448388,,N’Zana,,,,,,
4363114,2448388,,Zana,,,,,,
1144190,2448389,,Zambéléla,,,,,,
1144191,2448389,,Zamblana,,,,,,
2536234,2448389,,Zamlara,,,,,,
4363115,2448389,,Zammlara,,,,,,
4363116,2448390,fr,Zaminiasso,,,,,,
