AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
7353326,1115143,,Khao Wang Noi,,,,,,
7353327,1115143,th,เขาวังน้อย,,,,,,
15294076,1115143,wkdt,Q27696124,,,,,,
5652871,1115346,,Mae Nam Suriya,,,,,,
5652872,1115346,th,แม่น้ำสุริยะ,,,,,,
5466313,1115939,,Mamuang Sam Muen Taung,1,1,,,,
5466314,1115939,th,เขามะม่วงสามหมื่น,,,,,,
5466315,1115939,,Khao Mamuang Sam Mun,,,,,,
13444201,1115939,en,Mount Mamuang Sam Muen,,,,,,
13444202,1115939,en,Mamuang-Sam-Muen Taung,,,,,,
15324302,1115939,wkdt,Q31610736,,,,,,
7353453,1116525,,Khao Hin Dat,,,,,,
7353454,1116525,th,เขาหินดาด,,,,,,
5466368,1116533,,Khao Daen,,,,,,
5466369,1116533,th,เขาแดน,,,,,,
15770035,1116533,wkdt,Q27696122,,,,,,
599478,1149800,,Yage Taung,,,,,,
3632159,1149800,,Yakae Tong,,,,,,
599517,1149860,,Khao Wong Khabaek,,,,,,
3632221,1149860,,Khao Wong Krabaek,,,,,,
7354928,1149860,,Khao Wang Tabaek,,,,,,
7354929,1149860,th,เขาวังตะแบก,,,,,,
15727409,1149860,wkdt,Q27696120,,,,,,
599549,1149888,,Khao Wa Yau,,,,,,
3632244,1149888,,Khao Wayo,,,,,,
7997902,1149888,th,เขาว้ายอ,,,,,,
15729354,1149888,wkdt,Q27696119,,,,,,
599565,1149900,,Khao Wan Mi,,,,,,
599566,1149900,,Kahao Wan Mu,,,,,,
3632287,1149900,,Potathu Taung,,,,,,
15728629,1149900,wkdt,Q27696118,,,,,,
599596,1149943,,Huai Wale,,,,,,
599597,1149943,,Koli Chong,,,,,,
3632338,1149943,,Gawli Chaung,,,,,,
5478307,1149943,th,ห้วยวาเล่ย์,,,,,,
5653396,1149943,,Megala River,,,,,,
9937648,1149943,,Huai Wa Le,,,,,,
599700,1150050,,Khao Thwe,,,,,,
599701,1150050,,Khao Taeyai,,,,,,
3632462,1150050,,Khao Toei Yai,,,,,,
5478310,1150050,th,เขาเตยใหญ่,,,,,,
15487778,1150050,wkdt,Q27696117,,,,,,
599773,1150122,,Doi Thuai,,,,,,
2781910,1150122,,Loi Htwè,,,,,,
3632513,1150122,,Loi Htwe,,,,,,
15652884,1150122,wkdt,Q27696116,,,,,,
