AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
2296580,1514931,,Yumt Uul,,,,,,
738669,1514932,,Yumiin chzhisa,,,,,,
4081309,1514932,,Yumiin Jisa,,,,,,
738670,1514933,,Ai-ssu-t’e-k’o-yin-sa-la,,,,,,
4081311,1514933,,Yöstyökiyn Salaa,,,,,,
738671,1514934,,Yarugiin gol,,,,,,
4081316,1514934,,Yöröö Gol,,,,,,
9529301,1514935,,Elt Gol,,,1,,,
9535390,1514935,,Yolt Gol,,,,,,
738672,1514936,,Ih Uul,,,,,,
738673,1514936,,Gora Ikhe ula,,,,,,
4081322,1514936,,Yihe Uula,,,,,,
738674,1514937,,Gora Ikhe ula,,,,,,
4081323,1514937,,Yihe Uula,,,,,,
738675,1514938,,Gora Ikhe Ula,,,,,,
738676,1514938,,Yihe Uul,,,,,,
4081324,1514938,,Yihe Uula,,,,,,
738677,1514939,,Ikhe khuduk,,,,,,
738678,1514939,,Ih Hudag,,,,,,
4081348,1514939,,Yihe Hudag,,,,,,
738679,1514940,,Ikhe bulagiin dugang,,,,,,
4081356,1514940,,Yihe Bulagiin Dugang,,,,,,
738680,1514941,,Yasuin Obo,,,,,,
4081359,1514941,,Yasaiin Oboo,,,,,,
738681,1514942,,Yaruu Gol,,,,,,
738682,1514942,,Yaruugiïn Gol,,,,,,
4081360,1514942,,Yaruugiyn Gol,,,,,,
738683,1514943,,Ya-erh-kai-t’ing-wu-su,,,,,,
4081363,1514943,,Yargaytïn Us,,,,,,
738684,1514944,,Yargaytïn Sayr,,,,,,
4081364,1514944,,Sanchakou Gou,,,,,,
738685,1514945,,Ya-jan-t’ai-yin-wu-la,,,,,,
4081366,1514945,,Yarantayn Uul,,,,,,
15401059,1514945,wkdt,Q27701996,,,,,,
738686,1514946,,Yarantayn Tal,,,,,,
4081367,1514946,,T’a-k’o-shih-k’en,,,,,,
15641315,1514946,wkdt,Q27701995,,,,,,
738687,1514947,,Yarain khuduk,,,,,,
738688,1514947,,Yarayn Hudag,,,,,,
4081368,1514947,,Yaran Hudag,,,,,,
738689,1514948,,K’o-tzu-erh-sa-la-kou,,,,,,
4081369,1514948,,Yangirtïn Salaa,,,,,,
738690,1514949,,K’o-tzu-erh-t’a-ssu,,,,,,
4081370,1514949,,Yangirtïn Hyasaa Uul,,,,,,
738691,1514950,,Ya-ma-t’e-wu-la,,,,,,
4081374,1514950,,Yamaat Uul,,,,,,
738692,1514951,,Ya-ma-t’e-nu-ju,,,,,,
4081375,1514951,,Yamaatïn Nuruu,,,,,,
738693,1514952,,Yamaat Gol,,,,,,
738694,1514952,,Songinïn Gol,,,,,,
738695,1514952,,Ya-ma-t’e kao-le,,,,,,
738696,1514952,,Sung-ken-ning-kao-le,,,,,,
4081376,1514952,,Ya-ma-t’e-kao-le,,,,,,
738697,1514954,,Ya-man-wu-su-ni-a-mu,,,,,,
4081380,1514954,,Yamaan Usnï Am,,,,,,
738698,1514955,,Ya-man-wu-su,,,,,,
4081382,1514955,,Yamaan Us,,,,,,
738699,1514956,,Ilatu,,,,,,
738700,1514956,,Rodnik Yalatu bulak,,,,,,
4081386,1514956,,Yalata Bulag,,,,,,
738701,1514957,,Yarugiin Khure,,,,,,
4081389,1514957,,Yaaruugiin Hüryee,,,,,,
738702,1514959,,Wu-yeh-erh-t’e-kao-le,,,,,,
4081394,1514959,,Üyörtiyn Gol,,,,,,
738703,1514960,,Üyörtiyn Davaa,,,,,,
4081395,1514960,,Sai-i-li-ken-ta-fan,,,,,,
738704,1514961,,Uinchi sumu,,,,,,
738705,1514961,,Uyenchi,,,,,,
738706,1514961,,Uyenchi Somon,,,,,,
738707,1514961,,Üyenchi Suma,,,,,,
4081396,1514961,mn,Üyönch,,,,,,
738708,1514962,,Oyguriin Gol,,,,,,
738709,1514962,,Oygur,,,,,,
738710,1514962,,Uygar Gol,,,,,,
4081402,1514962,,Uygariin Gol,,,,,,
738711,1514963,,Urd Uygar,,,,,,
738712,1514963,,Uïgar Gol,,,,,,
738713,1514963,,Ih Uygar Gol,,,,,,
738714,1514963,,Uigur Gol,,,,,,
4081403,1514963,,Uygar Gol,,,,,,
738715,1514964,,Wu-yün-ch’i Ho,,,,,,
738716,1514964,,Reka Narin,,,,,,
738717,1514964,,Uinchi-Gol,,,,,,
738718,1514964,,Üyenchi Gol,,,,,,
738719,1514964,,Üönch gol,,,,,,
738720,1514964,,Uyönch Gol,,,,,,
738721,1514964,,Uyunchi Kawa,,,,,,
738722,1514964,,Reka Uyunchi,,,,,,
4081404,1514964,,Üyench Gol,,,,,,
738723,1514965,,Ozero Ubsu-Nur,,,,,,
738724,1514965,,Wu-pu-sha Po,,,,,,
738725,1514965,,Soubsen-nor,,,,,,
738726,1514965,,Ubso Noor,,,,,,
738727,1514965,,Usba,,,,,,
738728,1514965,,Ubsu Nuur,,,,,,
738729,1514965,,Ubssa Nor,,,,,,
738730,1514965,,Ubsu Nor,,,,,,
738731,1514965,,Ubsa Nuur,,,,,,
738732,1514965,,Ovs-nur,,,,,,
738733,1514965,,Ozero Ubsa,,,,,,
738734,1514965,,Ozero Ubsa-nur,,,,,,
738735,1514965,,Ubsa Nor,,,,,,
2009127,1514965,fr,Uvs nuur,,,,,,
2009128,1514965,en,Uvs Lake,,,,,,
2009129,1514965,cs,Uvs núr,,,,,,
2009130,1514965,fi,Uvs Nuur,,,,,,
2009131,1514965,lv,Uvsnūrs,,,,,,
2009132,1514965,ru,Убсу-Нур,,,,,,
2009133,1514965,sv,Uvs Nuur,,,,,,
2009134,1514965,vi,Hồ Uvs,,,,,,
2009135,1514965,zh,烏布蘇湖,,,,,,
2935011,1514965,link,https://en.wikipedia.org/wiki/Uvs_Lake,,,,,,
3050504,1514965,link,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D1%81%D1%83-%D0%9D%D1%83%D1%80,,,,,,
11485704,1514965,de,Uws Nuur,,,,,,
11485705,1514965,es,Lago Uvs,,,,,,
11485706,1514965,az,Ubsu-Nur,,,,,,
11485707,1514965,be,Возера Убсу-Нур,,,,,,
11485708,1514965,cv,Увăс Нур,,,,,,
11485709,1514965,et,Uvs,,,,,,
11485710,1514965,eu,Uvs aintzira,,,,,,
11485711,1514965,he,אובס נואור,,,,,,
11485712,1514965,hr,Uvs-Nuur,,,,,,
11485713,1514965,hu,Uvsz-tó,,,,,,
11485714,1514965,id,Danau Uvs,,,,,,
11485715,1514965,ja,ウヴス・ヌール,,,,,,
11485716,1514965,ka,უბსუ-ნური,,,,,,
11485717,1514965,lt,Ubsu Nuras,,,,,,
11485719,1514965,ml,യുവിഎസ് തടാകം,,,,,,
11485720,1514965,mn,Увс нуур,,,,,,
11485721,1514965,os,Убсу-Нур,,,,,,
11485722,1514965,hbs,Uvs-Nuur,,,,,,
11485723,1514965,sk,Uvs-núr,,,,,,
11485724,1514965,sr,Увс-Нур,,,,,,
11485725,1514965,tr,Ubsa Gölü,,,,,,
11485726,1514965,uk,Убсу-Нур,,,,,,
11485727,1514965,uz,Ubsunur,,,,,,
11485728,1514965,pl,Uws-nur,,,,,,
11485729,1514965,pt,Lago Uvs,,,,,,
1551671,1514967,mn,Увс Аймаг,,,,,,
