AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
915177,1821261,,Tai Van,,,,,,
2212591,1821261,,Da Wan,,,,,,
2212592,1821261,zh,大湾,,,,,,
4330297,1821261,pt,Baía de Tai Van,,,,,,
915178,1821262,,Kai Kiong,,,,,,
915179,1821262,,Ilha de Taipa,,,,,,
915180,1821262,,I-li-mi,,,,,,
915181,1821262,,Tai Pa Island,,,,,,
915182,1821262,,Taipa,,,,,,
2212593,1821262,,Ilha da Taipa,,,,,,
2212594,1821262,zh,氹仔島,,,,,,
4330298,1821262,,Dangzai Dao,,,,,,
5709870,1821262,link,https://en.wikipedia.org/wiki/Taipa,,,,,,
915183,1821263,,Vila da Taipa,,,,,,
915184,1821263,,Lin-chia-ts’un,,,,,,
2212595,1821263,pt,Taipa,,,,,,
2212596,1821263,zh,氹仔,,,,,,
4330299,1821263,,Dangzai,,,,,,
7486734,1821263,iata,YFT,,,,,,
7872133,1821263,link,https://en.wikipedia.org/wiki/Taipa,,,,,,
915185,1821264,,South Basin,,,,,,
915186,1821264,,Pi-Tan-Ni-Nan Wan,,,,,,
2212597,1821264,,Kuaiziji Nanwan,,,,,,
2212598,1821264,zh,筷子基南湾,,,,,,
4330300,1821264,,Bacia Sul do Patane,,,,,,
915196,1821266,,Shih-Pai Wan,,,,,,
915197,1821266,,Praia de Siac-pai-Var,,,,,,
915198,1821266,,Baía de Siao Pai Van,,,,,,
2212599,1821266,,Shipai Wan,,,,,,
2212600,1821266,zh,石排湾,,,,,,
2212601,1821266,,Baía de Siac Pai Van,,,,,,
4330301,1821266,pt,Baía de Seac Pai Van,,,,,,
2212602,1821267,pt,Cemitério de São Miguel,,,,,,
2212603,1821267,zh,西洋坟场,,,,,,
4330302,1821267,,Xiyang Fenchang,,,,,,
6129031,1821267,zh,Cemitério de São Miguel,,,,,,
915199,1821268,,Baía Praia da Grande,,,,,,
915200,1821268,,Praia Grande,,,,,,
915201,1821268,,Enseada Praia Grande,,,,,,
915202,1821268,,Nan-huan,,,,,,
915203,1821268,,Nam Wan,,,,,,
2212604,1821268,,Nan Wan Hu,,,,,,
2212605,1821268,zh,南湾湖,,,,,,
2212606,1821268,,Nan Wan,,,,,,
2212607,1821268,,Nan Wan Rengong Hu,,,,,,
2212608,1821268,pt,Baía da Praia Grande,,,,,,
2212609,1821268,zh,南湾,,,,,,
2212610,1821268,zh,南湾人工湖,,,,,,
4330303,1821268,,Lago Nam Van,,,,,,
7532273,1821268,link,https://en.wikipedia.org/wiki/Nam_Van_Lake,,,,,,
915204,1821269,,Penha Hill,,,,,,
2212611,1821269,pt,Colina da Penha,,,,,,
2212612,1821269,zh,西望洋山,,,,,,
4330304,1821269,,Xiwangyang Shan,,,,,,
6129033,1821269,zh,Colina da Penha,,,,,,
15484498,1821269,wkdt,Q16926772,,,,,,
915205,1821270,,Pi-tan-ni-Pei Wan,,,,,,
915206,1821270,,North Basin,,,,,,
2212613,1821270,,Kuaiziji Beiwan,,,,,,
2212614,1821270,zh,筷子基北湾,,,,,,
4330305,1821270,,Bacia Norte do Patane,,,,,,
915207,1821271,,Maria Point,,,,,,
4330306,1821271,,Ponta Maria,,,,,,
915208,1821272,,Ao-men Tao,,,,,,
915209,1821272,pt,Ilha de Macau,,,,,,
915210,1821272,,Macao Island,,,,,,
915211,1821272,,Heungshan,,,,,,
915212,1821272,,Hião-Chão,,,,,,
915213,1821272,,Chung-Shan,,,,,,
915214,1821272,,Aumun,,,,,,
2212615,1821272,,Aomen Bandao,,,,,,
2212616,1821272,zh,澳门半岛,,,,,,
4330307,1821272,en,Macau Island,,,,,,
6129037,1821272,zh,Ilha de Macau,,,,,,
7537039,1821272,link,https://en.wikipedia.org/wiki/Macau_Peninsula,,,,,,
915215,1821273,en,Macau,,1,,,,
5650164,1821273,,Concelho de Macau,,,,,,
7541493,1821273,link,https://en.wikipedia.org/wiki/Municipality_of_Macau,,,,,,
8616566,1821273,ko,마카오 시,1,,,,,
8616567,1821273,en,Municipality of Macau,1,,,,,
915216,1821274,,Macao,,,,,,
915218,1821274,,Cidade de Macau,,,,,,
1649354,1821274,de,Macao,,,,,,
1649384,1821274,en,Macao,,,,,,
1649416,1821274,fr,Macao,,,,,,
1649455,1821274,it,Macao,,,,,,
1649516,1821274,da,Macao,,,,,,
1649651,1821274,el,Macao,,,,,,
1649741,1821274,es,Macao,,,,,,
1649778,1821274,fi,Macao,,,,,,
1649815,1821274,pt,Cidade do Santo Nome de Deus de Macau,,,,,,
1649850,1821274,sv,Macao,,,,,,
2212617,1821274,,Macau,,,,,,
2212618,1821274,zh,澳门,,,,,,
2426675,1821274,ru,Макао,,,,,,
2920103,1821274,link,https://en.wikipedia.org/wiki/Macau,,,,,,
3050748,1821274,link,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D0%BE,,,,,,
4330308,1821274,,Aomen,,,,,,
5884730,1821274,no,Macao,,,,,,
6923259,1821274,pt,Macau,,,,,,
7485978,1821274,iata,MFM,,,,,,
7581309,1821274,jv,Makau,,,,,,
7581310,1821274,bpy,মাকাউ,,,,,,
7581311,1821274,kn,ಮಕಾವು,,,,,,
7581312,1821274,pnb,مکاؤ,,,,,,
7581313,1821274,el,Μακάου,,,,,,
7581314,1821274,kk,Аумын,,,,,,
7581315,1821274,eo,Makao,,,,,,
7581316,1821274,ko,마카오,,,,,,
7581317,1821274,mn,Макао,,,,,,
7581318,1821274,ln,Makau,,,,,,
7581319,1821274,vi,Ma Cao,,,,,,
7581320,1821274,lv,Makao,,,,,,
7581321,1821274,rw,Makawo,,,,,,
7581322,1821274,lt,Makao,,,,,,
7581323,1821274,li,Makau,,,,,,
7581324,1821274,nov,Makau,,,,,,
7581325,1821274,fa,ماکائو,,,,,,
7581326,1821274,la,Macaum,,,,,,
7581327,1821274,dv,މަކާއޫ,,,,,,
7581328,1821274,ka,მაკაო,,,,,,
7581329,1821274,arz,ماكاو,,,,,,
7581330,1821274,pa,ਮਕਾਉ,,,,,,
7581331,1821274,tet,Makau,,,,,,
7581332,1821274,wo,Makaaw,,,,,,
7581333,1821274,ja,マカオ,,,,,,
7581334,1821274,za,Aumwnz,,,,,,
7581335,1821274,su,Makau,,,,,,
7581336,1821274,ur,مکاؤ,,,,,,
7581337,1821274,cv,Макао,,,,,,
7581338,1821274,mr,मकाओ,,,,,,
7581339,1821274,sq,Makao,,,,,,
7581340,1821274,os,Макао,,,,,,
7581341,1821274,lad,Makao,,,,,,
7581342,1821274,io,Makau,,,,,,
7581343,1821274,sr,Макао,,,,,,
7581344,1821274,ace,Makèë,,,,,,
7581345,1821274,cdo,Ó̤-muòng,,,,,,
7581346,1821274,is,Makaó,,,,,,
7581347,1821274,gan,澳門,,,,,,
7581348,1821274,fy,Makao,,,,,,
7581349,1821274,id,Makau,,,,,,
