AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1043913,2113167,,Farallon de Torres,,,,,,
1043914,2113167,,Piedras de Torres,,,,,,
1043915,2113167,,Jiirandeya-tai,,,,,,
6533411,2113167,,Mariana Trench Marine National Monument - Vents Unit,,,,,,
1043923,2113186,,Northwest Uracas Ridge,,,,,,
5906017,2113199,,Taga Seamount,,,,,,
6533416,2113199,,Mariana Trench Marine National Monument - Vents Unit,,,,,,
1043969,2113233,,Beatrice-Riff,,,,,,
5906038,2113233,,Pathfinder Reef,,,,,,
5906022,2113258,,Minami Kasuga 2 Seamount,,,,,,
6533403,2113258,,Mariana Trench Marine National Monument - Vents Unit,,,,,,
1044014,2113272,,Marianas Trench,,,,,,
1044016,2113272,,Marianskiy Zhelob,,,,,,
6533430,2113272,,Mariana Trench Marine National Monument - Trench Unit,,,,,,
1044019,2113273,,Marianas Ridge,,,,,,
6533414,2113341,,Mariana Trench Marine National Monument - Vents Unit,,,,,,
1044131,2113383,,Arakane Iwa,,,,,,
1044132,2113383,,Aragane Shoal,,,,,,
1044133,2113383,,Arakana Iwa,,,,,,
1044134,2113383,,Aragane Shō,,,,,,
1044135,2113383,,Arakane-Shō,,,,,,
1044136,2113383,,Aragane Reef,,,,,,
6533408,2113387,,Mariana Trench Marine National Monument - Vents Unit,,,,,,
1044140,2113390,,Conception Seamount,,,,,,
5905810,2113391,,Del Cano Guyot,,,,,,
5905811,2113397,,Victoria Seamount,,,,,,
12325111,4041096,,Gleichenia Cliffs,,,,,,
12596948,4041096,,Laderan Achugau,,,,,,
12748892,4041096,,Achugau Cliffs,,,,,,
6582027,4041097,,Achugao - Uncovered Volcanic Outcrop,,,,,,
12325234,4041097,,Ogso Achugau,,,,,,
12442193,4041097,,Atchugau,,,,,,
12537569,4041097,,Gleichenia Mountain,,,,,,
12597087,4041097,,Okso Achugao,,,,,,
12597088,4041097,,Achugo,,,,,,
15679035,4041097,wkdt,Q27728345,,,,,,
12559142,4041098,,Achugau Point,,,,,,
12559143,4041098,,Puntan Achugau,,,,,,
12748893,4041098,,Gleichenia Point,,,,,,
12367363,4041100,,Achugau Beach,,,,,,
12559144,4041100,,Gleichenia Beach,,,,,,
12559145,4041100,,Unai Achugau,,,,,,
15553653,4041100,wkdt,Q27728343,,,,,,
12409776,4041104,,Afetna Point,,,,,,
12502871,4041104,,Abdomen Point,,,,,,
12668104,4041104,,Puntan Chalan Piao,,,,,,
