AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1452707,3569772,,Sans Souci Pass,,,,,,
4253660,3569772,,Passe de Sans-Souci,,,,,,
1452708,3569773,,Fond-blanc de l’Let à Ramiers,,,,,,
4253661,3569773,,Fond Blanc de l’Îlet à Ramiers,,,,,,
1452709,3569774,,Bonchard,,,,,,
4253662,3569774,,Îlet Bouchard,,,,,,
13266956,3569774,fr,Îlet Oscar,,,,,,
1452710,3569775,,Zombis Rock,,,,,,
4253663,3569775,,Rocher Zombis,,,,,,
15501260,3569775,wkdt,Q27728654,,,,,,
13266957,3569776,fr,Pointe Zombi,,,,,,
13266958,3569776,fr,Pointe Michel,,,,,,
13292803,3569777,fr,Zobeïde,,,,,,
13292804,3569777,,Zobéide,,,,,,
1452711,3569778,,Quartier la Zabeth,,,,,,
1452712,3569778,,Quartier Zabeth,,,,,,
4253664,3569778,,Zabeth,,,,,,
13292805,3569779,fr,Col Yang Ting,,,,,,
13266959,3569780,fr,Watel,,,,,,
1452713,3569781,,Quartier Voltaire,,,,,,
4253665,3569781,,Voltaire,,,,,,
13292806,3569782,fr,Volga Plage,,,,,,
13292807,3569782,,Volga-Plage,,,,,,
1452714,3569783,,La Voile Bay,,,,,,
1452715,3569783,,Anse La Voile,,,,,,
4253666,3569783,,Anse à Voile,,,,,,
13292808,3569784,fr,Viviès,,,,,,
13292809,3569785,fr,Vivé,,,,,,
13292810,3569786,fr,Ravine Vilaine,,,,,,
13292811,3569789,fr,Banc de la Vierge,,,,,,
1452716,3569790,,Quartier Vielle-Terre,,,,,,
4253667,3569790,,Vieille Terre,,,,,,
13266960,3569791,fr,La Victoire,,,,,,
13266961,3569791,,Victoire,,,,,,
13266962,3569793,fr,Morne Vert Pré,,,,,,
13266963,3569793,,Morne Vert-Pré,,,,,,
1452717,3569794,,Quartier Vert-Pré,,,,,,
4253668,3569794,,Vert-Pré,,,,,,
13266964,3569794,fr,Vert Pré,,,,,,
1452718,3569797,,Quartier Verrier,,,,,,
4253669,3569797,,Verrier,,,,,,
13292812,3569798,fr,Morne Venté,,,,,,
13292813,3569798,,Morne Vente,,,,,,
13266965,3569799,fr,Morne Vent,,,,,,
1452719,3569800,,Rio Vauclin,,,,,,
4253670,3569800,,Rivière du Vauclin,,,,,,
1452720,3569801,,Vauclin Point,,,,,,
4253671,3569801,,Pointe du Vauclin,,,,,,
1452721,3569802,,Vauclin Channel,,,,,,
4253672,3569802,,Passe du Vauclin,,,,,,
15273054,3569803,wkdt,Q27728644,,,,,,
1452722,3569804,,Vauclin Cays,,,,,,
4253673,3569804,,Cayes du Vauclin,,,,,,
1452723,3569805,,Cul-de-Sac du Vauclin,,,,,,
1452724,3569805,,Anse du Vauclin,,,,,,
4253674,3569805,,Baie du Vauclin,,,,,,
13193576,3569806,fr,Pointe Vatable,,,,,,
13266966,3569808,fr,Morne Val d’Or,,,,,,
13266967,3569809,fr,Val d’Or,,,,,,
13193577,3569810,fr,Val d’Or,,,,,,
13266968,3569811,fr,Val d’Or,,,,,,
1452725,3569812,,Quartier la Valette,,,,,,
1452726,3569812,,Quartier la Valatte,,,,,,
4253675,3569812,,Valatte,,,,,,
13193578,3569813,fr,Cul-de-Sac à Vache,,,,,,
13193579,3569813,,Cul-de-Sac aux Vaches,,,,,,
13193580,3569814,fr,Caye à Vache,,,,,,
13266969,3569815,fr,Union en Haut,,,,,,
1452728,3569818,,Quartier Union,,,,,,
4253676,3569818,,Union,,,,,,
4253677,3569818,,Urion,,,,,,
1452729,3569820,,Quartier Trou-Terre,,,,,,
4253678,3569820,,Trou Terre,,,,,,
1452730,3569821,,Gangeron,,,,,,
4253679,3569821,,Trou Maringouins,,,,,,
13266970,3569822,fr,Ravine Trou Laurent,,,,,,
1452731,3569823,,Quartier Trou Grec,,,,,,
4253680,3569823,,Trou Grec,,,,,,
13266971,3569825,fr,Baie du Trou au Diable,,,,,,
13193581,3569826,fr,Anse des Trois Rivières,,,,,,
13193582,3569827,fr,Trois Rivières,,,,,,
15766694,3569827,wkdt,Q16511592,,,,,,
15916531,3569827,link,"https://en.wikipedia.org/wiki/Trois-Rivi%C3%A8res,_Martinique",,,,,,
13193583,3569828,fr,Passe des Trois-Îlets,,,,,,
13193584,3569828,,Passe des Trois Îlets,,,,,,
1452732,3569829,,Anchorage des Trois Ilets,,,,,,
4253681,3569829,,Mouillage des Trois Îlets,,,,,,
1452733,3569830,,Trois Cailles Bank,,,,,,
