AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1124980,2375536,,Hassi Guenderes,,,,,,
4303622,2375536,,Hassi Guendres,,,,,,
1124981,2375537,,Nfouachit,,,,,,
1124983,2375537,,Nifouachit,,,,,,
1124984,2375537,,Ntfouachit,,,,,,
4303623,2375537,,E-n-Tfâchît,,,,,,
1124985,2375543,,Tajal Zragia,,,,,,
2531217,2375543,,Tajâl Zraguia,,,,,,
4303624,2375543,,Zrâguîg,,,,,,
1124986,2375544,,Zrafiet,,,,,,
4303625,2375544,,Zrafié,,,,,,
1124987,2375546,,Taref Zour el Kadi,,,,,,
1124988,2375546,,Zourg,,,,,,
2531218,2375546,,Târef Zourg el Kadi,,,,,,
4303626,2375546,,Tarf Zoûgh el Qâdi,,,,,,
1124989,2375547,,Zourg el Atchan,,,,,,
2531219,2375547,,Zourg el Atchâne,,,,,,
4303627,2375547,,Zoûgh el Atchâne,,,,,,
2531220,2375549,fr,Zoulega,,,,,,
4303628,2375549,,Tâmoûrt Zouleïkha,,,,,,
6128062,2375549,,Zoulega,,,,,,
2531221,2375550,fr,Zoulega,,,,,,
4303629,2375550,,Zouleïkha,,,,,,
6128063,2375550,,Zoulega,,,,,,
2808166,2375551,,Gleïb Zoul,,,,,,
4303630,2375551,,Guelb Zoul,,,,,,
14931984,2375551,wkdt,Q27730153,,,,,,
1124990,2375553,,Oued Zouérate,,,,,,
4303631,2375553,,Oued Zouîrât,,,,,,
1124991,2375554,,Bathète Zouérate,,,,,,
1124992,2375554,,Bathet Zwirat,,,,,,
3219987,2375554,,Baṭḥet Zouérat,,,,,,
3219988,2375554,,Bathet Zouîrât,,,,,,
15568999,2375554,wkdt,Q27730151,,,,,,
2531222,2375555,,Mare de Zouina,,,,,,
4303632,2375555,,Zouina,,,,,,
1124993,2375556,,Zwikiat,,,,,,
2531223,2375556,,Zouikiat,,,,,,
4303633,2375556,,Zoueïkiât,,,,,,
1124994,2375557,,Zwetenes,,,,,,
2531224,2375557,,Zouiet Noss,,,,,,
4303634,2375557,,Zoueïret en Nouçç,,,,,,
1124995,2375558,,Zouîrât,,,,,,
1124996,2375558,,Zoueïratt,,,,,,
1124997,2375558,,Zouérate,,,,,,
1951389,2375558,fr,Zouerate,,,,,,
1951390,2375558,es,Zuérate,,,,,,
1951391,2375558,pl,Zuwirat,,,,,,
1951392,2375558,en,Zouérat,,,,,,
1951393,2375558,fi,Zouérat,,,,,,
1951394,2375558,nl,Zouérat,,,,,,
1951395,2375558,sv,Zouérat,,,,,,
2018754,2375558,ja,ズエラット,,,,,,
2018756,2375558,lt,Zueratas,,,,,,
2944083,2375558,link,https://en.wikipedia.org/wiki/Zou%C3%A9rat,,,,,,
3219989,2375558,,Zouérat,,,,,,
8145290,2375558,iata,OUZ,,,,,,
11222364,2375558,,Zouerate,,,,,,
11222365,2375558,ar,ازويرات,,,,,,
11222366,2375558,,Azuwayrāt,,,,,,
11222367,2375558,,Az Zuwayrāt,,,,,,
