AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1455778,3578005,,Trants Bay,,,,,,
4330282,3578005,,Trant’s Bay,,,,,,
1455779,3578024,,South Soufriere Hills,,,,,,
4330283,3578024,,South Soufrière Hills,,,,,,
1455780,3578025,,Soufrière,,,,,,
2030702,3578025,de,Soufriere Hills,,,,,,
2030703,3578025,es,Soufriere Hills,,,,,,
2030704,3578025,pl,Soufrière Hills,,,,,,
2030705,3578025,en,Soufrière Hills,,,,,,
2030706,3578025,fr,Soufrière,,,,,,
2030707,3578025,nl,Soufrière,,,,,,
2030708,3578025,sk,Soufriére Hills,,,,,,
2030709,3578025,sk,Soufrière Hills,,,,,,
2986203,3578025,link,https://en.wikipedia.org/wiki/Soufri%C3%A8re_Hills,,,,,,
3056554,3578025,link,https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%84%D1%80%D0%B8%D0%B5%D1%80,,,,,,
4330284,3578025,,Soufrière Hills,,,,,,
11473810,3578025,cy,Bryniau Soufrière,,,,,,
11473811,3578025,el,Σουφριέρ Χιλς,,,,,,
11473812,3578025,he,סופרייר הילס,,,,,,
11473813,3578025,ja,スーフリエール・ヒルズ,,,,,,
11473814,3578025,ko,수프리에르힐스,,,,,,
11473815,3578025,lt,Sufriero kalvų ugnikalnis,,,,,,
11473816,3578025,ru,Суфриер-Хилс,,,,,,
11473817,3578025,zh,苏弗里埃尔火山,,,,,,
1455781,3578038,,Saint Peter's Village,,,,,,
2185444,3578039,,Saint Peter,1,1,,,,
5650161,3578039,,Parish of Saint Peter,,,,,,
7752467,3578039,link,"https://en.wikipedia.org/wiki/Saint_Peter_Parish,_Montserrat",,,,,,
1455782,3578040,,Saint Patrick's Village,,,,,,
1455783,3578041,,Saint John's,,,,,,
1455784,3578041,,Saint John,,,,,,
1455785,3578043,,Saint George Hill,,,,,,
4330285,3578043,,Saint George’s Hill,,,,,,
1455786,3578044,,Saint George,,,,,,
2185443,3578044,,Saint Georges,1,1,,,,
5650162,3578044,,Parish of Saint Georges,,,,,,
7752469,3578044,link,"https://en.wikipedia.org/wiki/Saint_Georges_Parish,_Montserrat",,,,,,
2185442,3578045,,Saint Anthony,1,1,,,,
